"TF","Target","pred_prob"
"RELA","CCL4",0.95693773
"IRF4","TES",0.9394627
"IRF4","H2-T23",0.91825515
"IRF4","SLAMF7",0.9062529
"IRF4","CIITA",0.90121406
"RELA","GYG",0.88573045
"IRF4","RUNX1",0.82566315
"IRF4","DPF2",0.8067388
"IRF4","HHEX",0.80505246
"IRF4","SRI",0.7895702
"IRF4","MYL6",0.7891794
"RELA","BCL2A1D",0.7848698
"RELA","CYTIP",0.7831198
"ATF4","TNFRSF1B",0.7822742
"IRF4","NCK1",0.7710031
"BATF3","BCL2A1C",0.76945806
"ATF4","MORF4L1",0.7691411
"IRF4","PREB",0.76317364
"RELA","BCL2A1B",0.7596961
"RELA","SRI",0.75806093
"BATF3","CFP",0.75592375
"BATF3","CNOT2",0.7430446
"STAT1","TRAPPC2L",0.7413956
"IRF1","TANK",0.73962784
"IRF1","SUMO1",0.7383704
"RELA","CXCL16",0.7346412
"BATF3","MT2",0.7328004
"RELA","SUMO1",0.72856927
"BATF3","MRC1",0.7277392
"RELA","VPS28",0.72446835
"IRF1","ARF4",0.72200674
"IRF4","MRPL42",0.716531
"IRF4","ASAH1",0.7155758
"BATF3","LY6E",0.7150013
"RELA","IRF2",0.7103424
"BATF3","SLC7A11",0.7089495
"RELA","ARL8B",0.70679253
"IRF4","EHMT1",0.70536494
"BATF3","TREM2",0.7001232
"IRF4","CYBA",0.6957739
"IRF4","PSME2",0.6930931
"IRF1","STAT3",0.6921508
"STAT1","GTF2A2",0.69025654
"RELA","H2-D1",0.68962157
"IRF1","BCL2A1C",0.6830492
"STAT1","EIF3K",0.6795347
"IRF4","ITM2B",0.6729883
"STAT1","MYD88",0.6695261
"IRF1","RAB32",0.6689126
"BATF3","TANK",0.66639084
"IRF4","TNIP3",0.6661812
"RELA","BCL2A1A",0.6657721
"BATF3","SEC61B",0.665314
"IRF4","CD274",0.6649158
"BATF3","SUMO1",0.65735334
"RELA","BCL2A1C",0.65440434
"BATF3","CLK1",0.65228474
"BATF3","SLC3A2",0.6492586
"IRF4","SRRM1",0.64694417
"STAT1","BATF3",0.6466633
"RELA","P2RY14",0.6455533
"STAT1","GABARAP",0.6445124
"BATF3","IL1RN",0.6442927
"RELA","LY6E",0.64343137
"ATF4","RAB32",0.6414952
"BATF3","FTL1",0.6411725
"BATF3","RPSA",0.6355379
"IRF4","TNFRSF1B",0.62856907
"IRF4","CCDC12",0.62669545
"RELA","ELF1",0.62576663
"ATF4","SLAMF7",0.6257287
"RELA","MYD88",0.62302345
"BATF3","PSMC5",0.62007755
"RELA","TNFRSF1B",0.6196251
"RELA","SEC61G",0.61754215
"BATF3","CXCL16",0.6172748
"IRF4","ELF1",0.61273634
"IRF4","SLC7A11",0.61109555
"RELA","NR3C1",0.60742265
"IRF4","TBXAS1",0.60711116
"STAT1","MT1",0.60693395
"ATF4","CD274",0.6049104
"RELA","TLR4",0.60075486
"RELA","CD53",0.5983364
"RELA","LITAF",0.5975288
"RELA","LGALS3",0.59221673
"RELA","ATF6",0.59156317
"STAT1","JMJD1C",0.59108603
"IRF4","CCL6",0.5883937
"IRF1","MALT1",0.58545226
"IRF4","B2M",0.5851868
"IRF4","IL1B",0.5825309
"ATF4","H2-T23",0.5773279
"STAT1","ZFP36L1",0.57638127
"STAT1","RNH1",0.57618004
"BATF3","TFEC",0.57558155
"SUMO2","MORF4L1",0.57250416
"IRF4","SEC61G",0.5713597
"BATF3","CTSZ",0.571314
"IRF4","TBPL1",0.56713927
"IRF4","PTPRC",0.56658256
"ATF4","ITM2B",0.5616189
"RELA","CD14",0.56114763
"BATF3","H2-D1",0.559272
"RELA","RPSA",0.5591999
"RELA","CD274",0.55663306
"SUMO2","TCF7L2",0.5546198
"RELA","CST3",0.55434644
"IRF4","UBE2K",0.55433345
"ATF4","SEC61G",0.55359286
"BATF3","KHDRBS1",0.55246466
"IRF1","IL1RN",0.55043054
"BATF3","NAPSA",0.5492192
"ATF4","SRI",0.5460428
"IRF4","CNOT2",0.5453463
"BATF3","NFKBIA",0.54461586
"CTCF","RPL37A",0.5440155
"BATF3","TALDO1",0.54009426
"RELA","CDKN1A",0.5385729
"SUMO2","SNRPE",0.5355286
"IRF4","DPYSL2",0.5339925
"ATF4","ASAH1",0.53263533
"BATF3","UBC",0.53068143
"ATF4","IFRD1",0.52875763
"IRF4","CAPZB",0.52810854
"BATF3","RAC2",0.5244811
"IRF1","TGIF1",0.5235152
"IRF4","TAGLN2",0.523393
"IRF4","IL1A",0.5232829
"IRF1","P2RY14",0.51957595
"IRF4","LAPTM5",0.51897675
"ATF4","TUBA1B",0.51705277
"RELA","ING1",0.51686937
"IRF4","CSDE1",0.5166968
"IRF4","AP2M1",0.5094075
"IRF1","MPEG1",0.50802916
"IRF4","DENND4A",0.5065643
"RELA","AKR1B3",0.5062152
"ATF4","GLRX",0.5061238
"BATF3","GADD45B",0.5058912
"RELA","H2-T23",0.50300264
"IRF4","PDIA3",0.502439
"ATF4","MAPK1",0.5019627
"STAT1","DAP",0.50141996
"ATF4","ELF1",0.49877876
"RELA","TMEM219",0.4978179
"STAT1","BCL2A1B",0.4958295
"IRF4","CHMP5",0.4958067
"RELA","ATOX1",0.49347842
"SUMO2","RPL10A",0.4894441
"BATF3","FCER1G",0.48823753
"STAT1","UQCRQ",0.48609772
"RELA","HDAC1",0.48451927
"STAT1","LITAF",0.48215654
"IRF1","ARL8B",0.48076308
"RELA","TMEM208",0.48001435
"IRF1","GADD45B",0.4794798
"BATF3","SLFN2",0.47883233
"IRF4","RNF181",0.4784619
"ATF4","TPT1",0.47773305
"BATF3","ARL8B",0.47714218
"STAT1","BCL2A1C",0.4767675
"ATF4","POMP",0.47604775
"RELA","POLDIP3",0.47580436
"BATF3","STAT3",0.4750659
"ATF4","JUN",0.47473434
"ATF4","IL1A",0.47409272
"RELA","TREM2",0.4702283
"RELA","STAT3",0.4700833
"ATF4","CACYBP",0.46976072
"SUMO2","DNMT1",0.4677802
