	AHR	ATF3	ATF4	BATF3	CTCF	EGR1	EGR2	ETS2	HIF1A	IRF1	IRF2	IRF4	JUNB	MAFF	NFKB1	RELA	RUNX1	STAT1	STAT3	SUMO1	SUMO2
AHR	1	0.1218	0.0683	0.1507	0.0421	0.06742	0.0705	0.06805	0.2112	0.08442	0.07642	0.05577	0.07452	0.1232	0.03949	0.05538	0.0634	0.06722	0.03474	0.07079	0.08768
ATF3	0.09777	1	0.4213	0.6131	0.08234	0.08751	0.06368	0.1129	0.1054	0.09815	0.09422	0.06553	0.389	0.3148	0.1624	0.09375	0.09426	0.06727	0.154	0.07661	0.0809
ATF4	0.08107	0.4193	1	0.5584	0.0695	0.08456	0.07525	0.09755	0.07985	0.06483	0.09061	0.07909	0.1849	0.1042	0.05912	0.0719	0.1185	0.048	0.05453	0.08131	0.07501
BATF3	0.1201	0.6131	0.5796	1	0.1047	0.1533	0.07648	0.2135	0.2061	0.142	0.1144	0.1278	0.5573	0.482	0.1982	0.1623	0.1208	0.1063	0.1143	0.1511	0.1155
CTCF	0.04108	0.1182	0.09745	0.1458	1	0.175	0.173	0.06763	0.0416	0.07309	0.0722	0.05191	0.07443	0.1032	0.03218	0.05806	0.06248	0.02503	0.03502	0.1728	0.1729
EGR1	0.07381	0.1779	0.08456	0.1229	0.1734	1	0.2119	0.07324	0.06032	0.07226	0.084	0.06571	0.07619	0.1538	0.05812	0.05217	0.0613	0.02666	0.04472	0.1088	0.09384
EGR2	0.06805	0.1154	0.0632	0.1653	0.1754	0.211	1	0.05596	0.07156	0.07323	0.07363	0.04835	0.06205	0.09868	0.04949	0.07242	0.071	0.03673	0.03863	0.1068	0.1137
ETS2	0.06088	0.1695	0.09736	0.2299	0.05755	0.07538	0.05596	1	0.07176	0.08132	0.08052	0.06179	0.08449	0.1822	0.06331	0.07446	0.07138	0.06154	0.05579	0.1259	0.1194
HIF1A	0.214	0.2391	0.07914	0.2129	0.04358	0.05995	0.05425	0.05895	1	0.07107	0.08475	0.05314	0.06815	0.1286	0.06325	0.07597	0.07374	0.04807	0.06353	0.08719	0.08755
IRF1	0.07212	0.1021	0.07281	0.1082	0.08863	0.07863	0.09868	0.08151	0.06798	1	0.3778	0.3151	0.06309	0.1066	0.05636	0.07306	0.09628	0.06674	0.06205	0.1821	0.1259
IRF2	0.08516	0.09702	0.09061	0.1119	0.07317	0.07164	0.07495	0.08361	0.0825	0.3675	1	0.3297	0.06446	0.1269	0.06296	0.07766	0.1121	0.06383	0.04266	0.1508	0.1234
IRF4	0.05091	0.09261	0.07341	0.1488	0.06867	0.07721	0.06441	0.08906	0.06241	0.3181	0.3165	1	0.07655	0.08926	0.055	0.0564	0.05779	0.08016	0.04632	0.1467	0.1257
JUNB	0.06914	0.389	0.2019	0.5573	0.07984	0.07609	0.06227	0.08176	0.06316	0.06514	0.06133	0.06378	1	0.2945	0.05477	0.06795	0.05776	0.0497	0.05648	0.08251	0.09902
MAFF	0.09455	0.2393	0.2126	0.4645	0.1255	0.1188	0.07483	0.06647	0.1353	0.1329	0.07878	0.08702	0.3143	1	0.07822	0.1141	0.09162	0.1156	0.1161	0.1013	0.1197
NFKB1	0.03384	0.2057	0.09561	0.2592	0.03361	0.06242	0.04879	0.06713	0.06333	0.07876	0.05668	0.06546	0.0943	0.08981	1	0.4948	0.1194	0.09505	0.1214	0.1215	0.163
RELA	0.05995	0.1132	0.07076	0.1796	0.05806	0.04614	0.06151	0.07357	0.08425	0.09638	0.07064	0.0533	0.06788	0.1317	0.4911	1	0.1272	0.1219	0.1333	0.1371	0.1169
RUNX1	0.06475	0.09426	0.06495	0.1785	0.06244	0.06489	0.071	0.07008	0.07716	0.08516	0.1138	0.04892	0.0623	0.102	0.12	0.1082	1	0.1724	0.1515	0.1342	0.1125
STAT1	0.06849	0.1601	0.04077	0.278	0.03155	0.04367	0.03582	0.03606	0.04835	0.0837	0.0391	0.09995	0.0497	0.3037	0.09927	0.1219	0.1724	1	0.9181	0.1087	0.1029
STAT3	0.03216	0.2334	0.04297	0.1921	0.04016	0.03273	0.03542	0.04214	0.08917	0.07392	0.05798	0.06083	0.04415	0.1666	0.09876	0.1633	0.1649	0.9184	1	0.1039	0.1475
SUMO1	0.1465	0.1184	0.1327	0.1511	0.1815	0.1321	0.1445	0.1117	0.1359	0.1334	0.1413	0.107	0.09497	0.1262	0.1215	0.1536	0.1308	0.1087	0.1039	1	0.8189
SUMO2	0.05211	0.1155	0.1363	0.148	0.1944	0.1071	0.1432	0.1293	0.109	0.1259	0.1307	0.1138	0.1154	0.1259	0.163	0.1632	0.1357	0.1029	0.1414	0.8189	1
