	AR	BCL11A	CTNNB1	DNMT3B	EGR1	EOMES	EZH2	FOXH1	FOXP1	GATA2	GATA3	GATA4	GATA6	HAND2	JUND	KLF5	LEF1	MLLT3	MXI1	NANOG	OTX2	POU5F1	PRDM1	SMAD2	SNAI2	SOX17	SOX2	STAT3	TCF4	TEAD4	TFAP2A	TP53	TRIM28	ZFP42
AR	1	0.169774937525433	0.159794117076574	0.144942758913112	0.238381520188943	0.144620305212437	0.104461432899142	0.178315737905373	0.11194627867626	0.21883172517636	0.207930984025102	0.22040156554543	0.215813211981457	0.170906187568766	0.238623503600522	0.187867287325545	0.190489689373516	0.161874051522008	0.231908414260979	0.216930457818656	0.203549072864355	0.221556360990459	0.135515382663028	0.221062837855084	0.130448483021801	0.197693580433877	0.284783034468174	0.259024647862611	0.221403721385024	0.236690534165575	0.22389255735252	0.19349176732719	0.138946694858375	0.180497051278856
BCL11A	0.169774937525433	1	0.089842912235322	0.298807152333598	0.215003290891883	0.149071198499986	0.107676380411633	0.110282193314071	0.230783165688525	0.159223467730283	0.122474487139159	0.170388550274119	0.157027176777064	0.0880830329272055	0.223606797749979	0.215165741455968	0.196352277469526	0.143019388386839	0.418330013267038	0.313049516849971	0.139875721236047	0.33218191941496	0.31429363309631	0.177229389239642	0.179284291400159	0.145555627434896	0.195698421916033	0.200247371770493	0.182574185835055	0.243975018237133	0.230783165688525	0.166205623828633	0.143222974807887	0.248069469178417
CTNNB1	0.159794117076574	0.089842912235322	1	0.0894856825413132	0.0827850934024493	0.0781257785212829	0.0806163299594958	0.0880717636891992	0.0691141056678132	0.119209166975795	0.0916955383259127	0.0850455753787859	0.125402478771041	0.114308078396776	0.120536915432837	0.0644370560855883	0.176408604319002	0.114215807633673	0.0894856825413132	0.0937509342255395	0.0698157897047919	0.0994806367738635	0.0836653490204216	0.174392620308794	0.0805371142871819	0.0958990373805973	0.117214107631954	0.119938713648869	0.0956841465674164	0.102290655371753	0.128354767668796	0.129414109713658	0.128675691557467	0.0557182088691486
DNMT3B	0.144942758913112	0.298807152333598	0.0894856825413132	1	0.220266929464306	0.17817416127495	0.193046835626336	0.175749910065499	0.197027601559775	0.158590369923888	0.121987509118567	0.169711058325533	0.125122249417971	0.105279360951539	0.213808993529939	0.205737799949456	0.176014394654657	0.227921152919276	0.285714285714286	0.267261241912424	0.111455642515071	0.248145833492733	0.250435161338905	0.181568259800641	0.178571428571429	0.139177800127844	0.194920293896363	0.159560925122743	0.163663417676994	0.174963553055941	0.23643312187173	0.119192229979352	0.256776295506548	0.14824986333222
EGR1	0.238381520188943	0.215003290891883	0.0827850934024493	0.220266929464306	1	0.274721127897378	0.115753880699137	0.270983251306287	0.182274392224211	0.228223796994855	0.225706438158984	0.296561754127122	0.208998893792806	0.198399582344724	0.329665353476854	0.290785581429986	0.271391051764699	0.175712223797227	0.330400394196459	0.384609579056329	0.286416575063102	0.357101029244993	0.235973276077079	0.217742296738751	0.220266929464306	0.232476689018491	0.320577559880344	0.246021965274894	0.336463292455227	0.329719857131599	0.344296074201287	0.214408536527367	0.175962348085833	0.266678761215811
EOMES	0.144620305212437	0.149071198499986	0.0781257785212829	0.17817416127495	0.274721127897378	1	0.120385853085769	0.219198649740476	0.172015615514047	0.158237554425847	0.182574185835055	0.232833566167016	0.175561720794196	0.131306432859723	0.3	0.256600119639834	0.182940433316151	0.14213381090374	0.267261241912424	0.366666666666667	0.243266816399921	0.309492230295086	0.182202722203374	0.188712839024099	0.155902391115581	0.23867967013151	0.243108319163158	0.199007438041998	0.272165526975909	0.218217890235992	0.270310252950645	0.123882357707861	0.106752102536725	0.18490006540841
EZH2	0.104461432899142	0.107676380411633	0.0806163299594958	0.193046835626336	0.115753880699137	0.120385853085769	1	0.0791652493327679	0.124249479706393	0.0857230334089265	0.0769277218961752	0.107023130416433	0.140900983513433	0.0474223108064009	0.144463023702923	0.115841341142819	0.13214064077187	0.102665400467869	0.193046835626336	0.168540194320077	0.100408742467761	0.134130550202969	0.112806669327442	0.109048109347937	0.144785126719752	0.0940374186644025	0.14048065149458	0.131767241095046	0.0982946374365981	0.131351734373183	0.141999405378735	0.0894820998896236	0.173494479589872	0.0667780563294178
FOXH1	0.178315737905373	0.110282193314071	0.0880717636891992	0.175749910065499	0.270983251306287	0.219198649740476	0.0791652493327679	1	0.169675157947302	0.156084562207714	0.195097573185991	0.334059076263729	0.211655906793112	0.194279801299355	0.295918177149643	0.221470199008916	0.216541598215524	0.140199927446556	0.219687387581873	0.295918177149643	0.239956909566871	0.274753129892699	0.102699233192619	0.316446836196224	0.131812432549124	0.235432176359982	0.311740739512259	0.229016348962367	0.335578027607012	0.28699840133367	0.266632391060046	0.171075526878248	0.131624531623164	0.182384301035021
FOXP1	0.11194627867626	0.230783165688525	0.0691141056678132	0.197027601559775	0.182274392224211	0.172015615514047	0.124249479706393	0.169675157947302	1	0.139985127370283	0.174974118168904	0.149801177254628	0.155310981238897	0.135520541215914	0.265395521078815	0.255376959227625	0.161838572087747	0.0943041920192897	0.354649682807595	0.324372303540774	0.215206411665471	0.273792839096697	0.230265649529252	0.15025062674119	0.197027601559775	0.134367153932819	0.172052957447736	0.146710229771433	0.240771706171538	0.225221308230725	0.260869565217391	0.153429840089633	0.118048041162471	0.245358246032859
GATA2	0.21883172517636	0.159223467730283	0.119209166975795	0.158590369923888	0.228223796994855	0.158237554425847	0.0857230334089265	0.156084562207714	0.139985127370283	1	0.21667569500872	0.211009989836962	0.208353430119502	0.17141527273286	0.261091964802648	0.228396236609177	0.208425936769577	0.101209079873851	0.190308443908665	0.237356331638771	0.173222757450382	0.242417803496693	0.203878571710585	0.188127186256372	0.142731332931499	0.154505811652274	0.207731875778764	0.212560539581153	0.242250791555755	0.258976989621835	0.209977691055425	0.167604293287709	0.114022293537793	0.230407806536822
GATA3	0.207930984025102	0.122474487139159	0.0916955383259127	0.121987509118567	0.225706438158984	0.182574185835055	0.0769277218961752	0.195097573185991	0.174974118168904	0.21667569500872	1	0.243462920274088	0.213686921585344	0.179798738057019	0.200831604418561	0.175682092231577	0.16032096321124	0.0973123680201904	0.195180014589707	0.237346441585572	0.19034674690672	0.220370638676763	0.185336433266465	0.217060785531115	0.134186260030423	0.142614806562459	0.186418274451958	0.199834915366009	0.242240697562477	0.199204768222399	0.255731403477629	0.156062272125095	0.146176336551172	0.15191090506255
GATA4	0.22040156554543	0.170388550274119	0.0850455753787859	0.169711058325533	0.296561754127122	0.232833566167016	0.107023130416433	0.334059076263729	0.149801177254628	0.211009989836962	0.243462920274088	1	0.341877532837601	0.216787137438648	0.304800304800457	0.21997067253203	0.195161049422816	0.135382590268471	0.305479904985959	0.355600355600533	0.238332213599569	0.306583309913776	0.178506788345554	0.244458856130797	0.203653269990639	0.231476115200136	0.277873086676715	0.240102714100505	0.285161716050867	0.249423297963162	0.280877207352427	0.16047736665221	0.162690366956417	0.211340986102904
