	AR	BCL11A	CTNNB1	DNMT3B	EGR1	EOMES	EZH2	FOXH1	FOXP1	GATA2	GATA3	GATA4	GATA6	HAND2	JUND	KLF5	LEF1	MLLT3	MXI1	NANOG	OTX2	POU5F1	PRDM1	SMAD2	SNAI2	SOX17	SOX2	STAT3	TCF4	TEAD4	TFAP2A	TP53	TRIM28	ZFP42
AR	1	0.04907	0.06998	0.04541	0.07271	0.05187	0.03261	0.06059	0.05759	0.07063	0.0857	0.08465	0.05896	0.116	0.08822	0.07135	0.08853	0.05686	0.1679	0.09632	0.1111	0.07184	0.03508	0.05164	0.08516	0.0674	0.09685	0.06637	0.05593	0.06587	0.09914	0.05835	0.06431	0.07808
BCL11A	0.05	1	0.04075	0.04765	0.1071	0.04742	0.03673	0.07239	0.05425	0.06707	0.06317	0.07286	0.07243	0.1079	0.07569	0.1347	0.07657	0.05299	0.1471	0.07878	0.07145	0.04583	0.07243	0.06381	0.1806	0.06315	0.09104	0.03108	0.06953	0.06123	0.0595	0.07218	0.03606	0.1746
CTNNB1	0.07004	0.03654	1	0.04473	0.05638	0.04326	0.05304	0.05372	0.05444	0.04744	0.06086	0.1028	0.03992	0.1048	0.06501	0.05496	0.07899	0.08316	0.1118	0.08464	0.09948	0.09674	0.02558	0.0559	0.07888	0.06707	0.08681	0.05406	0.04994	0.08781	0.05281	0.06231	0.04582	0.05303
DNMT3B	0.05324	0.04619	0.04335	1	0.05629	0.0481	0.034	0.07062	0.03635	0.07253	0.07309	0.07263	0.0749	0.08254	0.07554	0.08491	0.09144	0.04858	0.05847	0.1147	0.11	0.0719	0.03472	0.0687	0.06644	0.05788	0.06781	0.03147	0.0742	0.08461	0.09148	0.07239	0.04947	0.07633
EGR1	0.05482	0.108	0.0592	0.04024	1	0.05474	0.08229	0.06764	0.08935	0.0675	0.07693	0.1055	0.07093	0.1047	0.1148	0.1832	0.08061	0.05489	0.1666	0.1128	0.07149	0.103	0.1619	0.05245	0.2697	0.07451	0.0794	0.03199	0.06564	0.09806	0.07244	0.06737	0.05098	0.2453
EOMES	0.04781	0.04835	0.05322	0.04578	0.05593	1	0.04589	0.06658	0.05103	0.04816	0.07292	0.09939	0.0657	0.08839	0.08892	0.05711	0.07441	0.09755	0.09778	0.06958	0.1101	0.07605	0.03968	0.03554	0.07155	0.06496	0.07811	0.07247	0.05892	0.1139	0.07276	0.1836	0.04876	0.05073
EZH2	0.04145	0.0432	0.04877	0.02961	0.06327	0.0383	1	0.07022	0.07733	0.05541	0.07272	0.06567	0.03672	0.1056	0.06992	0.06123	0.08026	0.04484	0.1277	0.1393	0.1193	0.07154	0.1232	0.04391	0.1101	0.08056	0.09505	0.05237	0.045	0.07877	0.04767	0.07201	0.05018	0.1051
FOXH1	0.05672	0.09486	0.07016	0.07174	0.06228	0.0646	0.06288	1	0.1997	0.07101	0.08544	0.06436	0.0701	0.07622	0.09064	0.06804	0.06343	0.05577	0.11	0.08711	0.1117	0.06656	0.09046	0.04967	0.08859	0.08228	0.09375	0.04883	0.06166	0.06659	0.07592	0.05796	0.07644	0.05576
FOXP1	0.06433	0.06001	0.06505	0.03419	0.06446	0.0643	0.07831	0.1997	1	0.06439	0.07109	0.08212	0.05347	0.08789	0.1253	0.07246	0.08468	0.04634	0.1175	0.1167	0.1088	0.08825	0.04824	0.06139	0.1091	0.06994	0.08779	0.03447	0.06402	0.07675	0.08809	0.06782	0.04953	0.05974
GATA2	0.08125	0.06933	0.05786	0.05895	0.07309	0.04816	0.05144	0.07505	0.06501	1	0.3358	0.2431	0.2311	0.06857	0.08678	0.06045	0.06192	0.06575	0.08005	0.1083	0.0891	0.08158	0.08528	0.04706	0.08926	0.06098	0.05923	0.04174	0.06206	0.04415	0.06304	0.05303	0.07332	0.07001
