	AR	BCL11A	CTNNB1	DNMT3B	EGR1	EOMES	EZH2	FOXH1	FOXP1	GATA2	GATA3	GATA4	GATA6	HAND2	JUND	KLF5	LEF1	MLLT3	MXI1	NANOG	OTX2	POU5F1	PRDM1	SMAD2	SNAI2	SOX17	SOX2	STAT3	TCF4	TEAD4	TFAP2A	TP53	TRIM28	ZFP42
AR	1	0.07668680742376	0.00512766229579929	0.165232358468594	0.0679348986433558	0.210246646553777	0.0739664362808853	0.0968994298432352	0.0886459067384416	0.0334900910910827	0.0108655117739029	0.224262752372563	0.245849714578463	0.0993124088320106	0.231402956851336	0.0345483954572215	0.0315491650476659	0.120387998507686	0.0697985731407748	0.28933738618479	0.22383587759506	0.25734482324422	0.23933838016608	0.118033037496045	0.0591538484638401	0.129606290316823	0.304846491371776	0.0442154941566173	0.0279587553111176	0.189390271293336	0.158665433189489	0.128700860501273	0.110444138017967	0.183945250955227
BCL11A	0.07668680742376	1	0.0183597349310478	0.227551429032559	0.0560433802716623	0.223323253903225	0.18548471683902	0.199410963538548	0.0605030122166797	0.099707396320569	0.00153660818168857	0.132640148435216	0.126573200834908	0.0937673528115005	0.168161328371815	0.0625740755466503	0.0813099667574459	0.111572388140385	0.0322838230308995	0.214042060608709	0.0755058894394647	0.214517121294936	0.268141000751271	0.0374707719815528	0.144486959699234	0.203211985850964	0.227163561757635	0.100390580426266	0.150412806621857	0.0683527927711225	0.0477882253090421	0.161507677825587	0.129105208924122	0.371644359960812
CTNNB1	0.00512766229579929	0.0183597349310478	1	0.00866519256636305	0.0671147400426733	0.281419806593938	0.0755191868402772	0.113721772651982	0.0913918330479832	0.231159257802634	0.30251400363079	0.186190594989446	0.163263448305106	0.0368106995560306	0.00381914206556792	0.142006174297778	0.27326167117993	0.0676521967937548	0.0525006955505504	0.147762917592547	0.0343319913599824	0.0079651239233867	0.0957579542119424	0.151643193500964	0.229330949224203	0.0383893640875384	0.255324929252595	0.0179748300531889	0.111374011663409	0.116246647513415	0.134624312216723	0.334213003134718	0.00242065744512021	0.0157793656367452
DNMT3B	0.165232358468594	0.227551429032559	0.00866519256636305	1	0.0752033189826121	0.326548752595525	0.195498466777995	0.284795494169586	0.197563943061289	0.104545256041855	0.0221768225861173	0.34674865894488	0.359295772233342	0.246099250170142	0.28068391514313	0.0425819472998498	0.0135807437576115	0.322799608881763	0.139331562572779	0.495342577978697	0.243794305796233	0.425528198215534	0.482116423216398	0.164426321964063	0.104885071899207	0.332068053854617	0.456099851060439	0.206901065305934	0.0409688661603276	0.184272521436364	0.13765770903018	0.184574023636888	0.256074102169876	0.358683644077361
EGR1	0.0679348986433558	0.0560433802716623	0.0671147400426733	0.0752033189826121	1	0.18295275545543	0.0197768399002017	0.0621798089964075	0.145408797149576	0.0559813661475107	0.173764840165565	0.103153686844523	0.167010736972548	0.101682105360226	0.0374923712513034	0.0750396077038967	0.056535070346739	0.0368288176063113	0.0252662119116258	0.117838241157649	0.077550385976912	0.0260965599498901	0.0357451231308836	0.00699190377299779	0.14924884224559	0.0311990857565438	0.17177070324235	0.112475477174282	0.037127769212922	0.0122299175664518	0.0613265335998975	0.0766098814307387	0.00602253004076326	0.00783930252082953
EOMES	0.210246646553777	0.223323253903225	0.281419806593938	0.326548752595525	0.18295275545543	1	0.157890974644174	0.107948693241501	0.31732112820993	0.0831520848570399	0.309719203653639	0.538961607648221	0.68405501407746	0.00887230362737024	0.380820590074063	0.222082554017122	0.210505796591063	0.218872992106106	0.179696133384303	0.568678106925393	0.445126010820382	0.386879652475063	0.455127746784847	0.118625211862172	0.169654839553948	0.354377999122268	0.690888144857452	0.255900097588967	0.218476760352333	0.13292112846851	0.0323893418260224	0.387214331101174	0.183138385257856	0.340479312570105
EZH2	0.0739664362808853	0.18548471683902	0.0755191868402772	0.195498466777995	0.0197768399002017	0.157890974644174	1	0.155793103713145	0.0917741123047071	0.0811715218169123	0.0391698249274975	0.0773573250009076	0.123154890810834	0.061363342140079	0.137903167922173	0.102893750863113	0.092653886615565	0.0654322419157726	0.00282336937399967	0.159218284257801	0.0505938466997567	0.16973119728606	0.193761846468949	0.0472805992695299	0.144730110203933	0.182580810014837	0.116719337802714	0.098180944595996	0.0979048088645631	0.0402769796831376	0.0196950607484192	0.14063034692486	0.122789113376327	0.243334738310771
FOXH1	0.0968994298432352	0.199410963538548	0.113721772651982	0.284795494169586	0.0621798089964075	0.107948693241501	0.155793103713145	1	0.0442580235160851	0.0551663082846218	0.136920108880746	0.182905635678674	0.169782763212393	0.207137863299863	0.113289429181837	0.00889496243726493	0.15525055247448	0.274636462076203	0.0496738507305657	0.277553233712968	0.196206436855823	0.361596027163935	0.305391069071241	0.238883083834807	0.0303110918857935	0.15957996831898	0.182525700159507	0.0803573035783626	0.0855613892746432	0.202965305753191	0.195709411580133	0.0540933929050387	0.317966453581084	0.261446284439471
FOXP1	0.0886459067384416	0.0605030122166797	0.0913918330479832	0.197563943061289	0.145408797149576	0.31732112820993	0.0917741123047071	0.0442580235160851	1	0.0112454298343506	0.115929859869601	0.174272898724905	0.261465883817199	0.101198680688124	0.0714529883661056	0.0547040590185475	0.0172166040504448	0.00787189621175645	0.0317108745476297	0.218676201633761	0.159345937561882	0.108085757281717	0.147089870193928	0.00434073022751868	0.0892399529809322	0.125459476096159	0.238109878773076	0.149200581301902	0.0553604115162422	0.0524786935446676	0.030394907417139	0.173593359716879	0.0661025236227823	0.104798926508799
GATA2	0.0334900910910827	0.099707396320569	0.231159257802634	0.104545256041855	0.0559813661475107	0.0831520848570399	0.0811715218169123	0.0551663082846218	0.0112454298343506	1	0.332027804747657	0.132399783355329	0.0739476859180932	0.193957000958996	0.0419995725068009	0.198729941528474	0.402598097985407	0.0888353523192095	0.00783313644362073	0.14526931488784	0.156387085605938	0.0668296739914109	0.0849420781784575	0.112947125601412	0.33012383041162	0.100301576167269	0.195497924822659	0.0257034734984455	0.133095594527957	0.0815156606897955	0.161358813530499	0.0475495047996305	0.154659338918544	0.129192246491875
