,TF,index
0,RXRG,4
1,SOX2,5
2,ATRX,8
3,ZNF488,10
4,SP110,12
5,RUVBL2,21
6,ETV3,23
7,CUX1,27
8,SMARCD3,29
9,MCM3,40
10,NFKBIA,42
11,ZNF24,43
12,ZBTB2,49
13,DAXX,50
14,SNRPB,54
15,SMAD6,56
16,MITF,59
17,TRERF1,69
18,NAA15,71
19,PATZ1,80
20,AIRE,83
21,GATA2,88
22,HESX1,97
23,BCLAF1,101
24,LDB2,102
25,NFKBIB,103
26,FOXD3,104
27,POLR2F,105
28,AIP,110
29,ZNF398,111
30,CTNNB1,116
31,CHAF1A,119
32,TEAD1,120
33,SP100,124
34,FOXK1,131
35,GATA6,133
36,DNMT3B,134
37,GATAD2A,139
38,CSDE1,143
39,TRIP13,146
40,NONO,148
41,HMGA1,157
42,ASH2L,160
43,LHX1,161
44,KLF5,170
45,CRX,171
46,MAML3,174
47,EGF,176
48,TRIM25,178
49,SETBP1,182
50,ARID3B,183
51,XRCC6,185
52,ZKSCAN1,192
53,BCL11B,196
54,ZFPM2,198
55,YAF2,200
56,NHLH2,204
57,PRIC285,206
58,NPM1,208
59,LIMD1,212
60,E2F3,220
61,PPARGC1B,221
62,NFAT5,223
63,MLL3,224
64,GCM1,230
65,PARN,232
66,NFATC3,234
67,PLAGL2,237
68,PDGFA,239
69,PA2G4,241
70,PURA,246
71,FXR1,247
72,HNRNPAB,253
73,PARP1,255
74,TRIM22,262
75,TRPS1,263
76,SPIB,264
77,GATA4,267
78,POU5F1,272
79,GTF3C4,273
80,ZHX3,275
81,TRIM33,276
82,FOXF1,277
83,ZNF202,278
84,NKX3-1,280
85,NFATC1,284
86,SRC,285
87,SFMBT1,289
88,STAT3,290
89,RFXANK,291
90,FOXP1,294
91,MCM7,296
92,CCND1,299
93,POLR2H,303
94,DEK,305
95,PRDM1,310
96,ZFHX3,315
97,PGR,316
98,FOXJ1,317
99,MYBL2,318
100,MLLT3,330
101,ZNF764,332
102,SOX4,333
103,MXI1,334
104,CXXC1,335
105,DEDD2,338
106,ZNF107,346
107,ANKRD1,351
108,ESPL1,354
109,TLR4,359
110,SSB,360
111,SKIL,362
112,TLE1,363
113,ELK3,366
114,ZNF165,369
115,LMO2,370
116,NFYB,373
117,TGFB1,380
118,POU2F1,381
119,NFIC,383
120,SMAD2,384
121,FOXJ2,385
122,SRSF3,388
123,TRIM27,390
124,CITED2,393
125,PTMA,394
