,Gene,index
0,DKK4,0
1,PMAIP1,1
2,CREB3L2,2
3,SLC6A15,3
4,FOXJ2,4
5,MAP3K2,5
6,DEK,6
7,DEDD2,7
8,GRHL1,8
9,ETV7,9
10,PRDM1,10
11,ZNF202,11
12,KAL1,12
13,GDAP1,13
14,AGL,14
15,ANKRD50,15
16,SLC46A3,16
17,SHOX,17
18,PER3,18
19,LGR4,19
20,YBX1,20
21,FBXO34,21
22,HESX1,22
23,ERCC-00095,23
24,ERCC-00108,24
25,LRAT,25
26,ABLIM1,26
27,SRSF10,27
28,PRSS35,28
29,IL6ST,29
30,PDLIM3,30
31,CCNB2,31
32,WDR5,32
33,ZNF30,33
34,SNRPB,34
35,ANGPT2,35
36,CYP1B1,36
37,NTS,37
38,STIM2,38
39,TBC1D4,39
40,ZNF165,40
41,RFXANK,41
42,SMAD2,42
43,RIOK1,43
44,ZNF238,44
45,ESRRG,45
46,ZNF107,46
47,NR0B1,47
48,TADA1,48
49,HMGN2,49
50,S1PR3,50
51,FAM117B,51
52,ZBTB38,52
53,WDFY1,53
54,E2F4,54
55,NFYB,55
56,TCEA1,56
57,MYOF,57
58,LMO3,58
59,ERCC-00009,59
60,TRPS1,60
61,SOS2,61
62,MECOM,62
63,PHLDA1,63
64,SNAPC3,64
65,FASTKD3,65
66,TEX10,66
67,PHC1,67
68,STC1,68
69,EPHA4,69
70,LDB2,70
71,ZNF398,71
72,RAVER2,72
73,POLR1C,73
74,EMB,74
75,SAMD3,75
76,JUND,76
77,GATM,77
78,BMP2,78
79,HMGA1,79
80,SORL1,80
81,TFDP1,81
82,SRSF2,82
83,MXD4,83
84,SP100,84
85,PCDH7,85
86,RUVBL1,86
87,ERCC-00042,87
88,SP110,88
89,KIAA1804,89
90,RNF19A,90
91,AFF1,91
92,UBTF,92
93,SOX17,93
94,C12orf23,94
95,PELI2,95
96,MFAP4,96
97,FBXO28,97
98,ELK3,98
99,REV3L,99
100,TP53,100
101,SETBP1,101
102,ARHGAP29,102
103,MCM3,103
104,CRABP2,104
105,RAI1,105
106,REL,106
107,ZFHX3,107
108,CCNE2,108
109,SMG6,109
110,TFB2M,110
111,EHMT2,111
112,RBMX,112
113,CAP2,113
114,PFKFB2,114
115,AIRE,115
116,FARSB,116
117,ZBTB2,117
118,DCLK1,118
119,ELL2,119
120,TTC39B,120
121,WDHD1,121
122,DNMT3A,122
123,PRPS2,123
124,KLHL28,124
125,XRN1,125
126,HDAC9,126
127,HAND2,127
128,PPARGC1B,128
129,NEDD9,129
130,GRHL2,130
131,NR3C1,131
132,TRIM27,132
133,LPIN1,133
134,POLR2H,134
135,LRR1,135
136,PLAGL2,136
137,SIPA1L2,137
138,CDCA7L,138
139,ERCC-00145,139
140,SLC35A3,140
141,SEMA6D,141
142,PLAU,142
143,CHAF1A,143
144,NUDT11,144
145,MEPE,145
146,GCM1,146
147,TMEM38B,147
148,SLC35F1,148
149,TRAPPC8,149
150,ACOX3,150
151,RAD51,151
152,DPYSL3,152
153,ERCC-00111,153
154,NPM1,154
155,DPH2,155
156,SNAI2,156
157,LIN28A,157
158,ARL4D,158
159,FOXH1,159
160,SNX14,160
161,SOX7,161
162,COL4A1,162
163,PGM2,163
164,POLR2K,164
165,NCOA6,165
166,MPHOSPH9,166
167,PPPDE1,167
168,NOC3L,168
169,NUP54,169
170,ABCA1,170
171,EXO1,171
172,SENP7,172
173,GNG11,173
174,SEMA5A,174
175,DNMT1,175
176,SYNC,176
177,PRIC285,177
178,THAP9,178
179,SUPT7L,179
180,ALPK2,180
181,SOX5,181
182,ATG4C,182
183,SEMA3A,183
184,AES,184
185,PPARA,185
186,ETS1,186
187,GATA3,187
188,GRPR,188
189,DDX54,189
190,SFRP1,190
191,NAA15,191
192,ZFPM2,192
193,ERCC-00060,193
194,FLI1,194
195,TFE3,195
196,EEF1A1,196
197,ERBB4,197
198,GLDC,198
199,ANXA3,199
200,ERCC-00165,200
201,FEZ1,201
202,PBXIP1,202
203,SYNE2,203
204,PLCB4,204
205,TIMP3,205
206,TTC27,206
207,ZKSCAN1,207
208,GPC6,208
209,FREM1,209
210,NXT2,210
211,HAND1,211
212,EPCAM,212
213,COL5A1,213
214,NFIA,214
215,RORB,215
216,ASB9,216
217,MMP16,217
218,DMBX1,218
219,RAI14,219
220,PBX1,220
221,MTERF,221
222,RBFOX2,222
223,TIMM8A,223
224,PLOD2,224
225,PHLDB2,225
226,RBBP8,226
227,SEMA3E,227
228,NFAT5,228
229,ENC1,229
230,SATB1,230
231,ZNF512,231
232,COL1A2,232
233,SERHL2,233
234,PLP1,234
235,FAM188A,235
236,SRC,236
237,COL4A6,237
238,MAGI3,238
239,ADAMTS3,239
240,LTBP1,240
241,SOX3,241
242,PARN,242
243,POLR1B,243
244,PDE3B,244
245,SNX18,245
246,ZFP42,246
247,ZCCHC11,247
248,PPT2,248
249,DNAJB14,249
250,LECT1,250
251,DYNC1I1,251
252,ETV1,252
253,NRP1,253
254,ZNF219,254
255,GPSM2,255
256,ETV4,256
257,POU2F2,257
258,AIP,258
259,NONO,259
260,HEG1,260
261,MEF2D,261
262,RAB31,262
263,POU3F1,263
264,TTK,264
265,FUBP1,265
266,RTKN2,266
267,VPS13C,267
268,BRWD1,268
269,BCL11A,269
270,CDH11,270
271,SSB,271
272,RHOBTB3,272
273,IGDCC4,273
274,STT3B,274
275,PARP1,275
276,HOMER1,276
277,BTBD10,277
278,PENK,278
279,SLITRK2,279
280,EGR1,280
281,SFMBT1,281
282,GYPE,282
283,DYNC2LI1,283
284,RND3,284
285,ASB4,285
286,HIF1A,286
287,UNC5D,287
288,TRIM33,288
289,FBXO5,289
290,DNAJC2,290
291,SNAI1,291
292,ESPL1,292
293,MAP4K3,293
294,CCPG1,294
295,BARX2,295
296,HTRA1,296
297,PITX2,297
298,SSFA2,298
299,TCF7L1,299
300,MEX3C,300
301,CCDC80,301
302,PAWR,302
303,TLE2,303
304,SIX6,304
305,OAS1,305
306,TLR4,306
307,GABRB3,307
308,CCNA2,308
309,SALL3,309
310,OTUD6B,310
311,B4GALT4,311
312,TRIP13,312
313,C11orf46,313
314,MAPK10,314
315,RMI1,315
316,JMJD1C,316
317,ZNF8,317
318,MAFF,318
319,CDC20,319
320,ELOVL2,320
321,EZH2,321
322,ATP2B4,322
323,SOX13,323
324,NFKBIA,324
325,KAT6A,325
326,MIA3,326
327,TRIM25,327
328,PIP4K2A,328
329,CEP85L,329
330,ZEB2,330
331,PRIM1,331
332,LPGAT1,332
333,BMP4,333
334,ERCC-00136,334
335,TTN,335
336,COL5A2,336
337,APLNR,337
338,HAPLN1,338
339,ZNF280B,339
340,MCCC1,340
341,ERCC-00096,341
342,VASH2,342
343,GATAD2A,343
344,ERCC-00044,344
345,DSCC1,345
346,MRPS30,346
347,ZHX3,347
348,ZIC2,348
349,IRF1,349
350,GYPA,350
351,HOXB4,351
352,CENPK,352
353,CPE,353
354,YPEL5,354
355,TRERF1,355
356,TFAP4,356
357,ID3,357
358,SRSF1,358
