	ARID2	ATF3	BRCA1	CEBPD	CEBPZ	CREB1	ELF1	EPAS1	EZH2	FOSL2	FOXA1	FOXA2	HDAC2	HNF4A	IRF3	JUN	JUND	MAFF	MAZ	MYBL2	MYC	NR2F2	NR3C1	REST	RFX5	RUVBL1	SMARCA4	SMARCC1	SRF	TEAD4
ARID2	1	0.1124	0.02769	0.1057	0.06054	0.06962	0.08604	0.03362	0.04082	0.06792	0.1209	0.1237	0.04616	0.09936	0.08563	0.07591	0.09147	0.0785	0.0748	0.04162	0.07682	0.09559	0.06872	0.04083	0.134	0.05518	0.01923	0.04507	0.06074	0.06869
ATF3	0.06298	1	0.1542	0.3091	0.1108	0.3085	0.1002	0.157	0.1619	0.4048	0.1298	0.08457	0.04535	0.06224	0.08808	0.3849	0.3868	0.2046	0.1422	0.1173	0.2404	0.08976	0.09348	0.1384	0.1164	0.1044	0.236	0.3009	0.1113	0.181
BRCA1	0.02741	0.1071	1	0.1013	0.03263	0.07039	0.05366	0.04612	0.0354	0.06972	0.05644	0.06286	0.08303	0.05144	0.04755	0.07873	0.08157	0.1549	0.05757	0.04189	0.08426	0.05438	0.04549	0.04189	0.04796	0.05838	0.02234	0.03489	0.0548	0.05983
CEBPD	0.08387	0.3115	0.08974	1	0.08552	0.2099	0.0964	0.08129	0.07803	0.2143	0.07286	0.08595	0.0911	0.06886	0.08225	0.2223	0.2133	0.3106	0.07484	0.08311	0.1299	0.0598	0.09321	0.07198	0.1021	0.03131	0.1243	0.1274	0.07965	0.06111
CEBPZ	0.07146	0.09904	0.03217	0.1194	1	0.102	0.04561	0.0499	0.03397	0.08263	0.06655	0.05743	0.0413	0.09164	0.04375	0.1051	0.09623	0.1089	0.06641	0.03321	0.07467	0.1151	0.04401	0.03284	0.04398	0.07327	0.04219	0.05181	0.07304	0.05611
CREB1	0.06242	0.3219	0.08901	0.2288	0.08276	1	0.06294	0.09058	0.06948	0.08504	0.06796	0.06465	0.05596	0.07265	0.08766	0.1948	0.1912	0.1203	0.08558	0.06255	0.07384	0.07498	0.07045	0.07532	0.09491	0.05245	0.07373	0.06852	0.06793	0.0806
ELF1	0.04963	0.07087	0.05114	0.0787	0.05013	0.08512	1	0.07554	0.05719	0.07888	0.1252	0.1251	0.0472	0.05547	0.1474	0.06853	0.07251	0.07684	0.08608	0.05188	0.0839	0.0479	0.07388	0.05397	0.05781	0.04938	0.04588	0.04649	0.08803	0.06795
EPAS1	0.04124	0.1571	0.04635	0.06935	0.03076	0.09142	0.07472	1	0.03806	0.07857	0.07501	0.07865	0.05998	0.05892	0.05667	0.1067	0.07708	0.1549	0.07771	0.04707	0.06661	0.0524	0.03381	0.04059	0.04858	0.06379	0.04086	0.03437	0.0605	0.07514
EZH2	0.03083	0.1356	0.03476	0.08318	0.06695	0.074	0.07588	0.04154	1	0.07938	0.06941	0.06729	0.0582	0.06676	0.06506	0.07032	0.06992	0.2221	0.05178	0.0402	0.06589	0.08123	0.03702	0.05962	0.06195	0.04136	0.0565	0.044	0.06036	0.07877
FOSL2	0.07385	0.4061	0.08269	0.2136	0.07229	0.07388	0.07563	0.08248	0.06233	1	0.07107	0.07452	0.05859	0.07083	0.06525	0.2341	0.1102	0.3911	0.07238	0.06513	0.06912	0.06577	0.06836	0.07335	0.06654	0.03549	0.06322	0.1713	0.08323	0.07801
