	ARID2	ATF3	BRCA1	CEBPD	CEBPZ	CREB1	ELF1	EPAS1	EZH2	FOSL2	FOXA1	FOXA2	HDAC2	HNF4A	IRF3	JUN	JUND	MAFF	MAZ	MYBL2	MYC	NR2F2	NR3C1	REST	RFX5	RUVBL1	SMARCA4	SMARCC1	SRF	TEAD4
ARID2	1	0.135612700724162	0.103806849817175	0.16609095970748	0	0.102028865498569	0.191785320594154	0.123796892118035	0.0670652751014844	0.0983837935886564	0.159167432723187	0.123796892118035	0.105809738922621	0.162518693546366	0.14159136794715	0.132639527269323	0.148556270541641	0.175075243812963	0.139271503632789	0.099258333397093	0.143838990445615	0.0928476690885259	0.0928476690885259	0.130012741873086	0.185695338177052	0.151619608715781	0.43429280483837	0.528498197563233	0.120144259719491	0.202610224618277
ATF3	0.135612700724162	1	0.163299316185545	0.489897948556636	0.163299316185545	0.326020410674087	0.518544972870135	0.304290309725092	0.15385544379235	0.290190500044005	0.339066345122246	0.304290309725092	0.145643816250884	0.34620536683935	0.417634534792278	0.417312424765841	0.474692883171144	0.559430927785516	0.365148371670111	0.390360029179413	0.329983164553722	0.273861278752583	0.342326598440729	0.230089496654211	0.59336610396393	0.0993807989999907	0.202259958738973	0.202072594216369	0.216562288513493	0.398409536444798
BRCA1	0.103806849817175	0.163299316185545	1	0.175	0.2	0.12285902336679	0.173205080756888	0.074535599249993	0.0672977377572707	0.0740436097198865	0.111803398874989	0.149071198499986	0.127411797859406	0.195698421916033	0.153448726380857	0.223606797749979	0.178885438199983	0.131761569173682	0.167705098312484	0.119522860933439	0.144337567297406	0.149071198499986	0.167705098312484	0.12524485821703	0.139754248593737	0.167359670348801	0.178906611833034	0.194454364826301	0.0602803527713015	0.14638501094228
CEBPD	0.16609095970748	0.489897948556636	0.175	1	0.2	0.368577070100371	0.577350269189626	0.298142396999972	0.16151457061745	0.325791882767501	0.31943828249997	0.298142396999972	0.152894157431288	0.391396843832065	0.37509688670876	0.447213595499958	0.536656314599949	0.579750904364203	0.279508497187474	0.478091443733757	0.259807621135332	0.260874597374975	0.335410196624968	0.219178501879802	0.614918693812442	0.121716123890037	0.192668658897113	0.212132034355964	0.241121411085206	0.43915503282684
CEBPZ	0	0.163299316185545	0.2	0.2	1	0.12285902336679	0.23094010767585	0.074535599249993	0.0538381902058166	0.118469775551818	0.127775312999988	0.149071198499986	0.152894157431288	0.130465614610688	0.136398867894095	0.191662969499982	0.178885438199983	0.210818510677892	0.223606797749979	0.239045721866879	0.115470053837925	0.149071198499986	0.167705098312484	0.12524485821703	0.223606797749979	0.121716123890037	0.220192753025272	0.212132034355964	0.0964485644340824	0.195180014589707
CREB1	0.102028865498569	0.326020410674087	0.12285902336679	0.368577070100371	0.12285902336679	1	0.425596141279145	0.251827700572597	0.0826813433565264	0.236520064995163	0.215852314776511	0.228934273247815	0.187844268604963	0.26046926740278	0.251367475467065	0.3532128787252	0.329665353476854	0.356138149530997	0.206040845923034	0.330400394196459	0.212798070639573	0.183147418598252	0.22321091641662	0.153874609622564	0.377741550858895	0.112154430818409	0.118355416327443	0.152030284967074	0.162931675933129	0.29974532466509
ELF1	0.191785320594154	0.518544972870135	0.173205080756888	0.577350269189626	0.23094010767585	0.425596141279145	1	0.344265186329548	0.155417468040052	0.341992784028385	0.44262666813799	0.473364631203129	0.17654696590095	0.489608325150561	0.433124577026987	0.44262666813799	0.516397779494322	0.608580619450185	0.387298334620742	0.552052447473883	0.333333333333333	0.387298334620742	0.355023473402347	0.253085534121765	0.645497224367903	0.175682092231577	0.222474604157305	0.285773803324704	0.278423023194852	0.563436169819011
EPAS1	0.123796892118035	0.304290309725092	0.074535599249993	0.298142396999972	0.074535599249993	0.251827700572597	0.344265186329548	1	0.0802572353905128	0.220755392844174	0.19047619047619	0.166666666666667	0.0949671470496983	0.218797487246842	0.254164283887674	0.238095238095238	0.3	0.353553390593274	0.166666666666667	0.311804782231162	0.193649167310371	0.194444444444444	0.25	0.163366009803268	0.416666666666667	0.0907218423253029	0.123091490979333	0.131761569173682	0.161749159805158	0.327326835353989
EZH2	0.0670652751014844	0.15385544379235	0.0672977377572707	0.16151457061745	0.0538381902058166	0.0826813433565264	0.155417468040052	0.0802572353905128	1	0.111618470421486	0.137583832098022	0.100321544238141	0.192069377013354	0.158040732931403	0.128510693386956	0.120385853085769	0.144463023702923	0.17025130615175	0.150482316357211	0.128697890417557	0.124333974432042	0.140450161933397	0.150482316357211	0.151716521227252	0.180578779628654	0.0655297582910654	0.11854779319317	0.0951733734533601	0.103852323141602	0.131351734373183
FOSL2	0.0983837935886564	0.290190500044005	0.0740436097198865	0.325791882767501	0.118469775551818	0.236520064995163	0.341992784028385	0.220755392844174	0.111618470421486	1	0.245984580597794	0.176604314275339	0.12075557676046	0.231843481202375	0.201989290811694	0.208140798967364	0.29139711855431	0.312195270527231	0.16556654463313	0.247797313891676	0.188096031215612	0.154528774990922	0.198679853559757	0.148377302419909	0.364246398192887	0.07209840939145	0.0978231976089037	0.125656172487509	0.142827997260011	0.28903665650804
