	ARID2	ATF3	BRCA1	CEBPD	CEBPZ	CREB1	ELF1	EPAS1	EZH2	FOSL2	FOXA1	FOXA2	HDAC2	HNF4A	IRF3	JUN	JUND	MAFF	MAZ	MYBL2	MYC	NR2F2	NR3C1	REST	RFX5	RUVBL1	SMARCA4	SMARCC1	SRF	TEAD4
ARID2	1	0.184883964985546	0.19308554422115	0.247733403035441	0.171998491546365	0.169018636773801	0.132674959184458	0.114719178356636	0.184439401409701	0.131366524185266	0.07500505286414	0.0154807866975346	0.29418819391643	0.133996165947999	0.050436117909873	0.136717319904054	0.256148929112607	0.164830212819212	0.185665343041878	0.256124417855765	0.128722069967663	0.137707147959498	0.0723976770631528	0.139720404614841	0.0856942450128336	0.271115829623816	0.155946859770618	0.239479553951364	0.0124786844658593	0.0851185406726172
ATF3	0.184883964985546	1	0.164346907659958	0.391878205610165	0.165624324303846	0.103100871348804	0.319682312873014	0.175133977628915	0.126107786002618	0.400305175596138	0.171822537020993	0.0185822215822762	0.223058337762051	0.223942906122427	0.0445567134454588	0.460366719867575	0.510283510809197	0.422843193488836	0.00703672576776075	0.279544821981192	0.066290688568395	0.166377355370949	0.128286826014806	0.0879219894839323	0.167012468165143	0.225447704570833	0.0929453688864073	0.178472208087911	0.044321946044515	0.149196688660148
BRCA1	0.19308554422115	0.164346907659958	1	0.199585313539348	0.293686720490221	0.113473086358986	0.181312369979131	0.0704824092063681	0.346857800627032	0.179100059842895	0.189681902550657	0.0595238038874979	0.317146565457672	0.186199433921295	0.124807944495129	0.166497498562727	0.235664332085453	0.210288660412433	0.125398155442375	0.487392313170959	0.119077452535703	0.158318753900066	0.0377820933354962	0.189857411905555	0.10382781907096	0.275356655635005	0.235533862132052	0.219899063866907	0.062111245886395	0.230056269614562
CEBPD	0.247733403035441	0.391878205610165	0.199585313539348	1	0.177893115546326	0.145219164183626	0.218160681059831	0.195381888262015	0.151119718892432	0.462020226537118	0.117833537553188	0.0926231708676263	0.23711308568377	0.102118425851007	0.0687577355662578	0.329548988112177	0.408461071883165	0.528943893776921	0.0671759676934176	0.271961981584096	0.0519136898910171	0.0945468594322344	0.10857356715411	0.221916981330947	0.13314962224476	0.271498451914433	0.227120509863049	0.152294569676033	0.0161440590635847	0.150165435526677
CEBPZ	0.171998491546365	0.165624324303846	0.293686720490221	0.177893115546326	1	0.151934286430272	0.169780914936315	0.20193614998552	0.217428775224698	0.163129694476367	0.149160368374431	0.270205977113776	0.402294507393398	0.412515901726467	0.163243012091228	0.17189653453008	0.292165923987662	0.162225234332932	0.160613028484486	0.397589347219646	0.378188093100759	0.169433039543121	0.106996854728383	0.219297388548873	0.162578616196157	0.361081020759179	0.243711821161735	0.286442200759875	0.11525027126668	0.283592336669852
CREB1	0.169018636773801	0.103100871348804	0.113473086358986	0.145219164183626	0.151934286430272	1	0.206133925112781	0.0633988611252813	0.179996626830702	0.160375920070356	0.126483994744389	0.0566957956587702	0.170821686811246	0.184009948825902	0.105847934534396	0.0990874411153325	0.189927001033195	0.125298619629006	0.0921879872800417	0.244239422175868	0.126811778035012	0.0574004243780232	0.00229006323659081	0.121638310293305	0.123413425687089	0.210156712425794	0.110600104463325	0.194893257864461	0.0186582251876002	0.111098835254194
ELF1	0.132674959184458	0.319682312873014	0.181312369979131	0.218160681059831	0.169780914936315	0.206133925112781	1	0.15860921451251	0.164442760602385	0.339952554103669	0.210768577168997	0.122480604515877	0.187494993803859	0.266835231899878	0.0346225301321621	0.169148188173731	0.297913958779166	0.257523068293783	0.116903467799133	0.289116700595879	0.161232569155081	0.246160597554825	0.180482147311363	0.067033051828805	0.12833841195405	0.23450334802896	0.0977095727102688	0.0888946152645153	0.0273871948673557	0.230144829638154
EPAS1	0.114719178356636	0.175133977628915	0.0704824092063681	0.195381888262015	0.20193614998552	0.0633988611252813	0.15860921451251	1	0.126316831838544	0.319998045264149	0.246283019942146	0.130116314703666	0.222156105300268	0.243875244516034	0.0858158582050168	0.0790585088367635	0.161119695393233	0.0606056478103939	0.097728633056265	0.2832229164389	0.148984620747467	0.175342274825947	0.152327913814604	0.142180381478867	0.147501327065182	0.219808189562386	0.203493976384998	0.0696203574281956	0.13867625041477	0.212593406641854
EZH2	0.184439401409701	0.126107786002618	0.346857800627032	0.151119718892432	0.217428775224698	0.179996626830702	0.164442760602385	0.126316831838544	1	0.186753242810302	0.211700067568082	0.00652121507010411	0.323533143642027	0.221532764800378	0.152207823455312	0.107697307145136	0.188495448512177	0.162102418429037	0.227207587080532	0.367121624487819	0.213709762219167	0.130646281869158	0.0677992822755996	0.176314076698173	0.167628188199039	0.372136581910437	0.214742898498484	0.18547005498458	0.111580218279418	0.158194460868398
FOSL2	0.131366524185266	0.400305175596138	0.179100059842895	0.462020226537118	0.163129694476367	0.160375920070356	0.339952554103669	0.319998045264149	0.186753242810302	1	0.205334253036982	0.0469171103322023	0.194336568463467	0.162569497075844	0.038920931340484	0.293145551325772	0.382382327211891	0.32087002753839	0.161473719601213	0.252454191896232	0.0445806973848764	0.181073018277241	0.132400719137566	0.142108918182108	0.169631350205785	0.291595679835968	0.137802206476159	0.179998487535641	0.034092796501365	0.172762151540144
FOXA1	0.07500505286414	0.171822537020993	0.189681902550657	0.117833537553188	0.149160368374431	0.126483994744389	0.210768577168997	0.246283019942146	0.211700067568082	0.205334253036982	1	0.0706649843192204	0.112710887261329	0.262369179869047	0.0675601218605271	0.152260226491283	0.216396232700825	0.180875036429106	0.055463732933102	0.286686783085539	0.123340902291553	0.200167826004931	0.139745168590194	0.0727414148283935	0.137880678676701	0.246223070205077	0.219053858623783	0.118088554982782	0.0910909649846377	0.203768792257704
FOXA2	0.0154807866975346	0.0185822215822762	0.0595238038874979	0.0926231708676263	0.270205977113776	0.0566957956587702	0.122480604515877	0.130116314703666	0.00652121507010411	0.0469171103322023	0.0706649843192204	1	0.0927126065337182	0.441189542526758	0.164410420668242	0.0274256532917194	0.0998060275644371	0.0676566262920987	0.05753194895803	0.135220620172507	0.377324475332757	0.112920342214765	0.199509620072065	0.00739745765146458	0.145670059494535	0.149351099941992	0.0745568588959978	0.0171173929695366	0.16473775672306	0.16203338962876
HDAC2	0.29418819391643	0.223058337762051	0.317146565457672	0.23711308568377	0.402294507393398	0.170821686811246	0.187494993803859	0.222156105300268	0.323533143642027	0.194336568463467	0.112710887261329	0.0927126065337182	1	0.411040914230934	0.197576119094813	0.161426925070882	0.413023006284887	0.157662388190753	0.237548652324302	0.427923756284873	0.273980765419138	0.19654724269551	0.191673612162287	0.293162383165588	0.147975270609408	0.39883787004818	0.368979131249782	0.317532756477264	0.0853320112602995	0.272100178272351
