,TF,index
0,PDGFA,0
1,FXR1,2
2,RFXANK,4
3,RBBP7,7
4,RBPJ,8
5,PDLIM7,9
6,SMARCA5,10
7,ZIC2,11
8,AES,12
9,CDX2,18
10,PAX6,19
11,ZNF202,21
12,MAF,23
13,ZNF287,25
14,DAXX,28
15,NR2F6,33
16,KHDRBS1,35
17,SALL2,42
18,MED30,43
19,BTF3,44
20,POLR1D,46
21,FOSL2,47
22,GTF2H2,48
23,PAWR,49
24,LDB2,51
25,SMARCC1,54
26,TOP2B,58
27,ZNF208,59
28,EHMT2,60
29,RUVBL1,62
30,PREB,63
31,NFYB,64
32,TCF19,65
33,NR2F2,66
34,TP53,68
35,BIN1,75
36,TCF4,76
37,TBL1X,78
38,CRABP2,81
39,PSIP1,83
40,ZFP42,84
41,ID3,86
42,PITX1,87
43,HTATSF1,88
44,SALL4,89
45,ZNF638,91
46,ZBTB24,92
47,FOXO1,93
48,HNRNPR,95
49,SOX4,96
50,U2AF1,97
51,ADNP,98
52,EGFR,103
53,MATR3,105
54,XRCC6,106
55,THRB,108
56,RNPS1,109
57,ZNF398,110
58,TADA3,111
59,MEIS3,112
60,HDGF,114
61,HESX1,116
62,ELAVL2,117
63,BCOR,121
64,TCEB2,123
65,TTF2,125
66,BRIP1,128
67,HMGXB4,132
68,ING5,133
69,MYCN,134
70,DNMT3B,136
71,ELL2,137
72,DDX20,139
73,FHL2,143
74,NEIL2,145
75,BMPR1A,147
76,ZNF146,152
77,CNOT7,155
78,SCD5,162
79,CENPK,165
80,CSRP2,167
81,PITX2,168
82,SRSF6,170
83,NAA15,172
84,SSBP3,175
85,RFX5,176
86,PCGF6,181
87,CXXC1,185
88,SIRT2,187
89,SEC14L2,188
90,RNF2,189
91,MED20,191
92,FOXM1,193
93,EZH2,196
94,WBP11,197
95,ABT1,198
96,TRERF1,199
97,FOSL1,201
98,PWP1,203
99,MIS18BP1,204
100,HDAC1,206
101,WDR5,207
102,HNF1B,208
103,TFE3,209
104,FOXP1,214
105,CHD8,220
106,DNMT1,224
107,CNTRL,227
108,ECD,228
109,MAFF,229
110,ZNF74,231
111,ZNF101,232
112,SIRT1,233
113,JMJD1C,236
114,SRSF2,242
115,EPAS1,244
116,MEF2C,247
117,OTX2,250
118,GTF2E1,256
119,PAPOLA,257
120,MCM5,258
121,DAB2,261
122,HMGN1,268
123,ZSCAN21,269
124,RAD54B,270
125,POLR2I,272
126,NCOA6,273
127,POLR2B,274
128,SMAD3,275
129,ZFP64,277
130,RBBP4,279
131,TCEA1,281
132,E2F3,284
133,CSDE1,285
134,ZNF567,286
135,BTG1,287
136,SRF,288
137,AEBP2,291
138,EGF,296
139,POLR3D,297
140,GLIS3,301
141,POLR3E,302
142,PTRF,304
143,COPS2,306
144,TCERG1,307
145,NR3C1,308
146,ZNHIT3,312
147,MCM7,315
148,CTDSPL,317
149,CCND1,320
150,PARP1,321
151,CNBP,322
152,YEATS4,324
153,TCF3,327
154,ASXL1,331
155,ZNF581,333
156,RFC1,335
157,HINFP,336
158,ZHX1,337
159,CREG1,341
160,TCF7L1,343
161,ETV4,344
162,VEZF1,345
163,XBP1,347
164,ETV5,350
165,SOX2,353
166,SSBP2,354
167,ZBTB16,356
168,GTF2H3,358
169,ZNF354A,361
170,DDX5,364
171,SMARCD2,368
172,H1F0,369
173,BDP1,370
174,DNAJC2,372
175,PIAS3,373
176,SSB,376
177,AFF4,377
178,RNF19A,378
179,TBPL1,379
180,KAT7,380
181,NPM1,381
182,ZNF160,385
183,EYA3,389
184,PRDM14,391
185,ZRANB2,392
186,AHR,394
187,DR1,397
188,TAF9B,398
189,FOSB,399
190,EWSR1,401
191,ZNF143,402
192,HNRNPK,403
193,MYBL2,405
194,MAZ,408
195,NR1H3,409
196,POLR2D,412
197,DDB2,413
198,ARID3B,415
199,TCEB1,418
200,MCM3,420
201,TFDP2,421
202,FOXH1,422
203,REST,423
204,MYCBP,426
205,ING3,428
206,GTF3C4,429
207,ZNF227,431
208,ZNF397,432
209,MCM8,433
210,NOTCH3,435
211,MMS19,437
212,CHAF1A,438
213,ZNF644,440
214,RREB1,441
215,RNF4,442
216,UHRF1,446
217,SOX11,449
218,TAF5,450
219,TARDBP,451
220,E2F7,452
221,POLR1C,455
222,SRSF1,457
223,CDCA7L,462
224,FUBP1,463
225,EOMES,464
226,SRSF10,465
227,E2F8,466
228,HNRNPAB,467
229,ARID2,468
230,POLR1B,470
231,BMP2,471
232,MTF2,472
233,HIST1H1E,473
234,TAF7,478
235,TGIF1,479
236,PHB2,480
237,NME2,481
238,PA2G4,486
239,PLAGL2,487
240,SKIL,489
241,MCM2,497
242,MCM6,498
243,ASCC3,499
244,GLI2,502
245,NR1I3,503
246,THAP11,504
247,CTBP1,505
248,NFIB,506
249,HIPK2,507
250,XRCC5,511
251,GTF3C5,513
252,POLR2F,514
253,RFX6,516
254,AEBP1,517
255,TRIM28,518
256,CEBPZ,522
257,EED,523
258,EHMT1,524
259,BTG2,525
260,ANKRD1,526
261,RAI14,527
262,MED21,528
263,FOXA1,530
264,CEBPD,531
265,ZNF232,536
266,PIAS2,539
267,NUPR1,540
268,PLRG1,541
269,DDIT3,545
270,HMGN3,546
271,PPARA,550
272,GMEB1,551
273,ZFHX3,552
274,JARID2,557
275,MED14,558
276,NCOA1,562
277,TFDP1,564
278,TCEB3,567
279,TNFAIP3,570
280,SP4,572
281,BCL11B,576
282,KLF6,578
283,SUPT16H,579
284,ZNF107,581
285,ZNF589,582
286,TAF6,584
287,JUN,585
288,HDAC2,586
289,CREB3L4,587
290,GLI1,588
291,TAF1A,593
292,SMAD5,594
