,Gene,index
0,NUP93,0
1,SLC7A3,1
2,GATA6,2
3,MPC1,3
4,EMG1,4
5,NUP88,5
6,AMHR2,6
7,ACTC1,7
8,FMO5,8
9,CD320,9
10,THRB,10
11,MMS22L,11
12,ETV4,12
13,MLXIPL,13
14,EMP2,14
15,EPB41L2,15
16,MTTP,16
17,PRIM2,17
18,NDUFAF7,18
19,POLR2K,19
20,TCEB2,20
21,CREB1,21
22,NFATC2,22
23,ZSCAN21,23
24,IFITM3,24
25,KHDRBS1,25
26,PPP1CC,26
27,GTF3C5,27
28,CDK2AP1,28
29,ACSL5,29
30,TCF25,30
31,AAR2,31
32,ATP1B3,32
33,TSN,33
34,C4orf27,34
35,PSMB10,35
36,GEMIN8,36
37,KPNA2,37
38,DSN1,38
39,RHOBTB3,39
40,SSB,40
41,HARS,41
42,PWP1,42
43,SURF2,43
44,TAF5,44
45,LECT1,45
46,MCRS1,46
47,ALG8,47
48,NEK2,48
49,OIP5,49
50,RAD51C,50
51,TPD52L1,51
52,MAZ,52
53,EXOSC1,53
54,XPO6,54
55,BCOR,55
56,UTP18,56
57,WDYHV1,57
58,ADAM9,58
59,EXOSC3,59
60,EOMES,60
61,CCDC138,61
62,CTSV,62
63,ERAL1,63
64,TRMT1,64
65,ACTN1,65
66,ABCA5,66
67,BCL11B,67
68,PDPN,68
69,PPCDC,69
70,MAF,70
71,MDK,71
72,RNASEH2B,72
73,HAT1,73
74,SCPEP1,74
75,CREB3L2,75
76,BIN1,76
77,AATF,77
78,HDAC2,78
79,SAT1,79
80,CREB3L4,80
81,AAAS,81
82,LMO7,82
83,ATP1B1,83
84,IL6ST,84
85,POLR2B,85
86,TCF4,86
87,ARMC9,87
88,F2RL1,88
89,WRB,89
90,SMC4,90
91,APEH,91
92,POLR1C,92
93,SDAD1,93
94,PCGF6,94
95,ZNF146,95
96,PMS1,96
97,ZUFSP,97
98,PAK1IP1,98
99,PPP1R21,99
100,SALL4,100
101,CCDC88A,101
102,MYL6B,102
103,ECHDC1,103
104,IDH3B,104
105,TMEM150C,105
106,ARSE,106
107,TMEM97,107
108,TEAD4,108
109,FAM151A,109
110,PTMA,110
111,BCL11A,111
112,SIAE,112
113,ZFP62,113
114,TBRG4,114
115,ANXA4,115
116,TXNDC9,116
117,DDX5,117
118,SEC22C,118
119,POLE2,119
120,TMEM60,120
121,TNFAIP3,121
122,TUBB6,122
123,HMGCL,123
124,ASXL1,124
125,ECSIT,125
126,SMAD3,126
127,HJURP,127
128,HNRNPH3,128
129,BRIX1,129
130,NPRL2,130
131,TATDN3,131
132,LAPTM4B,132
133,TFF1,133
134,CFTR,134
135,ZFP42,135
136,SHISA2,136
137,CPSF6,137
138,TAF11,138
139,POU5F1,139
140,CUBN,140
141,CDC20,141
142,SUCLA2,142
143,SLC25A37,143
144,MRPS12,144
145,FTSJ2,145
146,APOB,146
147,SEC61A2,147
148,PDCD4,148
149,EGR1,149
150,ANKRD1,150
151,LGALS4,151
152,MGST2,152
153,TFDP2,153
154,TDP1,154
155,BRCA2,155
156,TMEM41A,156
157,XBP1,157
158,TRIT1,158
159,HIPK2,159
160,TMEM237,160
161,XRCC6,161
162,GATA5,162
163,PLAA,163
164,MED4,164
165,SULT1A2,165
166,UMPS,166
167,CASC5,167
168,USP7,168
169,NOSIP,169
170,NUDT1,170
171,CHD8,171
172,ERBB4,172
173,ZMYM6NB,173
174,AKR1C3,174
175,PDCD11,175
176,HMGN5,176
177,MIS18BP1,177
178,TP53INP2,178
179,CBX3,179
180,AAMP,180
181,ZNF253,181
182,GGPS1,182
183,NR5A2,183
184,ASF1A,184
185,RNF2,185
186,POLD3,186
187,CENPK,187
188,RNASE1,188
189,GEMIN7,189
190,COPS7B,190
191,VIL1,191
192,BPTF,192
193,COPS3,193
194,WDR54,194
195,OGFOD1,195
196,ESRG,196
197,ACN9,197
198,ELP6,198
199,LIG1,199
200,EED,200
201,MYCN,201
202,ELOVL5,202
203,SRSF2,203
204,JUN,204
205,DDAH1,205
206,DLGAP5,206
207,PYCR1,207
208,TPX2,208
209,ANLN,209
210,CNOT7,210
211,HSPA14,211
212,PAPOLA,212
213,GPN1,213
214,GLI2,214
215,USP28,215
216,HMCES,216
217,NEIL2,217
218,GPR133,218
219,ANXA3,219
220,MCM4,220
221,DDIT4,221
222,POLR1B,222
223,CDK5RAP2,223
224,AURKB,224
225,MRTO4,225
226,DERA,226
227,TAF9B,227
228,SP4,228
229,A1CF,229
230,SGK1,230
231,OCIAD2,231
232,ATIC,232
233,UCKL1,233
234,YBX1,234
235,HAVCR1,235
236,AEBP2,236
237,ACOX2,237
238,MUSTN1,238
239,TNNI3,239
240,RNASEH2A,240
241,BBS7,241
242,SSBP2,242
243,TAF1B,243
244,NFYB,244
245,IRF9,245
246,PSMG1,246
247,CENPW,247
248,HMGB2,248
249,ARL2,249
250,YWHAH,250
251,MTX2,251
252,TMEM14A,252
253,POLR3G,253
254,HMGA1,254
255,ZNF143,255
256,AURKA,256
257,SMARCD2,257
258,PTRF,258
259,ID2,259
260,AES,260
261,CHEK2,261
262,ZNF232,262
263,DPH5,263
264,UBE2T,264
265,ARL6IP6,265
266,MCM6,266
267,OTX2,267
268,WDR74,268
269,APOC4.APOC2,269
270,PCIF1,270
271,POLR3D,271
272,NSD1,272
273,MED30,273
274,SEPP1,274
275,TMEM216,275
276,ZBTB3,276
277,MRRF,277
278,TRIP13,278
279,MED21,279
280,SLC29A1,280
281,JARID2,281
282,FBL,282
283,MELK,283
284,EXOSC2,284
285,MT1E,285
286,FHL2,286
287,APOC1,287
288,RBBP7,288
289,HMMR,289
290,ANAPC7,290
291,PDGFRA,291
292,MBIP,292
293,ZIC2,293
294,ACY1,294
295,DRAP1,295
296,TFE3,296
297,SRF,297
298,MEIS3,298
299,HNRNPAB,299
300,SMARCA4,300
301,DDX54,301
302,C11orf54,302
303,SPINK1,303
304,EEF1E1,304
305,MORN2,305
306,RABGGTB,306
307,CCDC66,307
308,MLH1,308
309,ZDHHC4,309
310,CETN3,310
311,PPT1,311
312,APOO,312
313,METTL5,313
314,NUP85,314
315,RBM39,315
316,POLB,316
317,AEBP1,317
318,STAT2,318
319,E2F4,319
320,GMEB1,320
321,HNRNPH2,321
322,RAD1,322
323,MID1,323
324,RBPJ,324
325,IFRD2,325
326,DPH6,326
327,DKC1,327
328,CBR1,328
329,NUCB2,329
330,FLRT2,330
331,EIF3J,331
332,SQLE,332
333,GTF2H2,333
334,PIM2,334
335,WDR75,335
336,MTERF3,336
337,GMPR2,337
338,PLIN2,338
339,ZNF33A,339
340,HSD17B7,340
341,CENPN,341
342,TDP2,342
343,NR3C1,343
344,PDGFA,344
345,IFT52,345
346,COMMD3,346
347,TUBA1B,347
348,YEATS4,348
349,BTG1,349
350,SKIV2L2,350
351,MYC,351
352,TOPORS,352
