	AHR	ATF3	ATF4	BATF3	CTCF	EGR1	EGR2	ETS2	HIF1A	IRF1	IRF2	IRF4	JUNB	MAFF	NFKB1	RELA	RUNX1	STAT1	STAT3	SUMO1	SUMO2
AHR	1	0.181427490917145	0.197735535259156	0.161331965872997	0.0493256639894698	0.0962828498705243	0.144672907057215	0.168777826333741	0.0589205579805105	0.119451047146768	0.0148075004647521	0.128515232902126	0.113588358494923	0.0981253834301455	0.165680396504222	0.109087060974305	0.0874445609828622	0.0429773698323179	0.121706597175285	0.263109534011761	0.216845969538594
ATF3	0.181427490917145	1	0.265953288410225	0.103853650113725	0.227287357694149	0.379069868182286	0.281788366851236	0.107637982228214	0.241530702156645	0.272984446497988	0.248506071697803	0.0547803153952895	0.285683292115179	0.0361477713865722	0.169208371577623	0.0698855222427741	0.204765523395979	0.226741829160547	0.119486301877196	0.353821538907912	0.223353683805488
ATF4	0.197735535259156	0.265953288410225	1	0.133337297711575	0.151046778529053	0.229517997186069	0.196272223811541	0.24467535929546	0.238956952166022	0.245795058205368	0.125568552786742	0.0756323296019802	0.247162141905139	0.146971365366077	0.309058234263909	0.170019861860472	0.167595237863852	0.153357936225748	0.204051339572159	0.301770350501468	0.246838005012614
BATF3	0.161331965872997	0.103853650113725	0.133337297711575	1	0.0836830183375439	0.212653413429706	0.327207893268891	0.0654892260851723	0.0432699840100247	0.0451499885468506	0.0175274220296429	0.279975244182377	0.224271684057773	0.144528869384515	0.0751785672068509	0.0448302653815505	0.274462174068666	0.0883178380495504	0.0823136301096122	0.118309925356215	0.158975542632267
CTCF	0.0493256639894698	0.227287357694149	0.151046778529053	0.0836830183375439	1	0.181506746644158	0.144086628976819	0.0265227223217953	0.0711550234259681	0.129135540423869	0.102652249931863	0.1799389175964	0.184729710706295	0.0220085197327813	0.141972352848576	0.0837218370585048	0.20163014616128	0.110480448815071	0.134020378177202	0.211900260732918	0.2541928749323
EGR1	0.0962828498705243	0.379069868182286	0.229517997186069	0.212653413429706	0.181506746644158	1	0.700586379145897	0.111683473390303	0.0547746715232489	0.143688615603828	0.0738481698275615	0.116644211583464	0.645321820744987	0.0970725942212174	0.191741278142169	0.0345624238628888	0.453618467811491	0.057636179846393	0.058539622684722	0.0865090590541077	0.2076961601278
EGR2	0.144672907057215	0.281788366851236	0.196272223811541	0.327207893268891	0.144086628976819	0.700586379145897	1	0.124481450770472	0.0170725748615792	0.113286653201026	0.0311831067752143	0.147024265743088	0.603579112145554	0.129533061126176	0.209155261240566	0.0456507636558426	0.417251587498065	0.119775877908542	0.00907511147910917	0.0666029773787576	0.179605310779894
ETS2	0.168777826333741	0.107637982228214	0.24467535929546	0.0654892260851723	0.0265227223217953	0.111683473390303	0.124481450770472	1	0.211202961500137	0.105540681397451	0.0619727019678566	0.0408362483272827	0.168663313994975	0.189958674547177	0.126951987178509	0.0723124873900328	0.135145419145242	0.00632517383735871	0.0399209155595021	0.123767542972782	0.118919774483771
HIF1A	0.0589205579805105	0.241530702156645	0.238956952166022	0.0432699840100247	0.0711550234259681	0.0547746715232489	0.0170725748615792	0.211202961500137	1	0.249061033532957	0.230887208195066	0.00141634922249213	0.0631150908135063	0.0230221166297956	0.27170888329131	0.145165934092792	0.0285381239847839	0.284463339156599	0.208611493818526	0.282051726728866	0.173569184284929
IRF1	0.119451047146768	0.272984446497988	0.245795058205368	0.0451499885468506	0.129135540423869	0.143688615603828	0.113286653201026	0.105540681397451	0.249061033532957	1	0.231023425105734	0.202717229525788	0.158543813431455	0.0737859007198373	0.250318959253447	0.231745414902238	0.104621058922288	0.20711850506932	0.237590550110357	0.272976352057309	0.296189149982129
IRF2	0.0148075004647521	0.248506071697803	0.125568552786742	0.0175274220296429	0.102652249931863	0.0738481698275615	0.0311831067752143	0.0619727019678566	0.230887208195066	0.231023425105734	1	0.00975229893348794	0.0888603466561199	0.0842573726663465	0.178029823404102	0.0922114770536455	0.0783788338404557	0.357387382934059	0.176036304557937	0.28126318269155	0.174460709501721
IRF4	0.128515232902126	0.0547803153952895	0.0756323296019802	0.279975244182377	0.1799389175964	0.116644211583464	0.147024265743088	0.0408362483272827	0.00141634922249213	0.202717229525788	0.00975229893348794	1	0.10229557473966	0.148045713344448	0.0680784187034143	0.0508958610797603	0.18447198668049	0.0705915071836663	0.107510226645612	0.225399352692741	0.282838432320859
JUNB	0.113588358494923	0.285683292115179	0.247162141905139	0.224271684057773	0.184729710706295	0.645321820744987	0.603579112145554	0.168663313994975	0.0631150908135063	0.158543813431455	0.0888603466561199	0.10229557473966	1	0.171160025838021	0.147711983210208	0.0644252572484501	0.396558926319913	0.0842525197115024	0.00133063417517546	0.0790741128844883	0.174425278882079
MAFF	0.0981253834301455	0.0361477713865722	0.146971365366077	0.144528869384515	0.0220085197327813	0.0970725942212174	0.129533061126176	0.189958674547177	0.0230221166297956	0.0737859007198373	0.0842573726663465	0.148045713344448	0.171160025838021	1	0.0589090106652457	0.0715514961934493	0.128102755455457	0.147816708957433	0.0425954676120877	0.0651156750200125	0.131321623303133
NFKB1	0.165680396504222	0.169208371577623	0.309058234263909	0.0751785672068509	0.141972352848576	0.191741278142169	0.209155261240566	0.126951987178509	0.27170888329131	0.250318959253447	0.178029823404102	0.0680784187034143	0.147711983210208	0.0589090106652457	1	0.24815638931561	0.0989178899981959	0.359108354781983	0.28420803606047	0.460365473553529	0.254101621477686
RELA	0.109087060974305	0.0698855222427741	0.170019861860472	0.0448302653815505	0.0837218370585048	0.0345624238628888	0.0456507636558426	0.0723124873900328	0.145165934092792	0.231745414902238	0.0922114770536455	0.0508958610797603	0.0644252572484501	0.0715514961934493	0.24815638931561	1	0.0703182225084531	0.245653099583443	0.193768160138599	0.247160859736953	0.264545656794303
