	AHR	ATF3	ATF4	BATF3	CTCF	EGR1	ETS2	HIF1A	IRF1	IRF2	IRF4	JUNB	MAFF	NFKB1	RELA	RUNX1	STAT1	STAT3	SUMO1	SUMO2
AHR	1	0.259437260831385	0.261128746089694	0.22237479499833	0.18008604512981	0.195035597245042	0.262298998192785	0.243754888409119	0.262753983787454	0.27179141610907	0.282416272064293	0.2126309735815	0.228821776281415	0.243103757988678	0.206179827959696	0.237728655525098	0.193672810454017	0.209656967344384	0.0790174426551268	0.108266392392153
ATF3	0.259437260831385	1	0.44035242296399	0.541666666666667	0.386510341261963	0.350823207722812	0.479186357503416	0.234888087805881	0.312771621085612	0.541666666666667	0.381000381000571	0.388449298033678	0.557370401713154	0.351390964249364	0.314576434802948	0.378620092709268	0.285773803324704	0.25712973861329	0.133250447722257	0.182574185835055
ATF4	0.261128746089694	0.44035242296399	1	0.293568281975993	0.265247945883653	0.308971699105478	0.354144123487414	0.25388232199535	0.267112225317671	0.346944333244355	0.305044438043282	0.325362575999155	0.357002773647708	0.262582069722187	0.254513905190311	0.299572344757639	0.235339362165821	0.26762911716145	0.119488029849811	0.116941069240937
BATF3	0.22237479499833	0.541666666666667	0.293568281975993	1	0.368105086916155	0.292352673102343	0.638915143337888	0.234888087805881	0.243266816399921	0.555555555555556	0.465667132334032	0.438250490089278	0.571661950475029	0.312347523777212	0.220755392844174	0.296956935458249	0.2993820796735	0.235702260395516	0.14213381090374	0.121716123890037
CTCF	0.18008604512981	0.386510341261963	0.265247945883653	0.368105086916155	1	0.290564566584772	0.325644804512918	0.194542874949045	0.276318779435102	0.33129457822454	0.336595628071929	0.263981838674227	0.340899308585357	0.327683630305961	0.277913246099792	0.295140668050478	0.198367319626835	0.241359450191482	0.141264482804403	0.161295567709102
EGR1	0.195035597245042	0.350823207722812	0.308971699105478	0.292352673102343	0.290564566584772	1	0.336219390072717	0.216311005102334	0.274318858484796	0.380058475033046	0.311882143547879	0.293519754282137	0.391076944437521	0.287644245566472	0.255572179631018	0.265657430865147	0.257801354654196	0.214241814290451	0.0747957592006766	0.0960768922830523
ETS2	0.262298998192785	0.479186357503416	0.354144123487414	0.638915143337888	0.325644804512918	0.336219390072717	1	0.277058873148659	0.307437730950673	0.589767824619589	0.449403531763883	0.458189794952657	0.556293911166591	0.345398474293878	0.253879134230965	0.31524416249564	0.288926047405846	0.284337837350557	0.125738922692386	0.16151457061745
HIF1A	0.243754888409119	0.234888087805881	0.25388232199535	0.234888087805881	0.194542874949045	0.216311005102334	0.277058873148659	1	0.220398983990235	0.234888087805881	0.223731127366341	0.238633218156823	0.241697848353228	0.265954333142126	0.241115576255719	0.219717687201021	0.230142384712984	0.24913643956122	0.100156617167227	0.107211253483779
IRF1	0.262753983787454	0.312771621085612	0.267112225317671	0.243266816399921	0.276318779435102	0.274318858484796	0.307437730950673	0.220398983990235	1	0.486533632799841	0.370738998932663	0.348911350395459	0.357599269926076	0.35820928496421	0.303802497166359	0.278639106287676	0.289427220457974	0.227864841330296	0.111138556118597	0.152277397525376
IRF2	0.27179141610907	0.541666666666667	0.346944333244355	0.555555555555556	0.33129457822454	0.380058475033046	0.589767824619589	0.234888087805881	0.486533632799841	1	0.592667259334222	0.478091443733758	0.628828145522532	0.364405444406747	0.264906471413009	0.386044016095724	0.32659863237109	0.25712973861329	0.106600358177805	0.182574185835055
