,TF,index
0,MED8,2
1,NFKB1,4
2,TAX1BP3,5
3,RBL2,6
4,ATF6,7
5,GTF2I,8
6,KLF6,9
7,AIP,16
8,NFE2L2,20
9,JUN,25
10,COPS5,30
11,SRSF3,35
12,NCOR2,36
13,CHD4,37
14,GTF2F1,38
15,NR3C1,39
16,HCFC1,40
17,CREB3,41
18,CBFA2T3,43
19,MKL2,46
20,SRSF1,48
21,ZMYM2,49
22,TRERF1,50
23,NOTCH2,52
24,TAF9,54
25,TARBP2,55
26,MLL3,56
27,MYEF2,58
28,XBP1,63
29,SRSF6,64
30,PER1,66
31,PCBP2,68
32,SKIL,70
33,TGIF1,71
34,STAT1,73
35,RNPS1,74
36,NSD1,75
37,CNOT8,77
38,KDM5C,79
39,SMARCA4,81
40,SFPQ,82
41,TCEA1,83
42,CTNNB1,84
43,MLL2,89
44,RBBP4,91
45,STAT6,92
46,POLR2G,94
47,TSG101,95
48,IRF2,96
49,CREM,98
50,TRP53,101
51,HNRNPD,102
52,LMO4,104
53,HOPX,105
54,MCM3,106
55,HIF1A,109
56,CSDA,112
57,SUPT16H,114
58,BTF3,116
59,RFX7,118
60,MED27,120
61,MCM6,123
62,HDGF,127
63,EHMT1,129
64,FLI1,137
65,AFF4,139
66,HNRNPAB,140
67,TCEB3,142
68,PHB2,144
69,CIITA,148
70,ASH1L,154
71,POLR2K,160
72,WHSC1L1,163
73,HDAC1,164
74,MBD2,165
75,MCM7,166
76,AEBP2,168
77,GTF2A2,170
78,BCLAF1,171
79,TFDP1,173
80,TSC22D4,174
81,JUP,175
82,STAT3,181
83,SRSF9,190
84,SMAD2,194
85,RAD51,195
86,MCM5,197
87,BACH1,198
88,UBTF,207
89,DENND4A,210
90,SP1,215
91,EIF5B,217
92,TCEB1,219
93,POLR2D,224
94,BIN1,226
95,CENPB,228
96,SUPT5H,231
97,YBX1,235
98,TCERG1,237
99,DNMT3A,240
100,GTF2E2,242
101,FOXN2,246
102,THRAP3,256
103,POLR2B,257
104,MAFF,259
105,RELA,260
106,ETV3,261
107,CTCFL,262
108,TRIM28,264
109,SNRPD1,266
110,PA2G4,271
111,LASS2,272
112,RBM39,273
113,SRRT,275
114,MAPK14,278
115,NONO,283
116,CBFB,286
117,SIN3B,291
118,SNRPB,292
119,SSB,298
120,TNFAIP3,301
121,MATR3,310
122,FOS,311
123,SMARCE1,312
124,SUMO2,317
125,MED1,319
126,TCF12,322
127,PREB,323
128,CTBP1,326
129,HMGB2,328
130,SMARCA5,330
131,GTF2B,331
132,DOT1L,332
133,SUB1,333
134,HSBP1,345
135,TUBA1A,346
136,MYST2,347
137,EDF1,348
138,AHR,349
139,MTA2,352
140,POLR2E,353
141,AGAP3,354
142,COPS2,356
143,ARL6IP5,360
144,SMARCC2,361
145,RNF4,364
146,EGR2,372
147,ILF3,374
148,KLF10,376
149,LDB1,378
150,POLR2H,383
151,NFKBIB,384
152,MDM2,386
153,SND1,389
154,CNOT2,391
155,POLR1D,392
156,RLIM,393
157,EGR1,394
158,SSRP1,395
159,CXXC1,397
160,KDM2B,398
161,BTG2,400
162,APEX1,405
163,NFX1,408
164,KPNA2,410
165,NAP1L4,414
166,RDBP,415
167,ZEB2,419
168,MITF,421
169,BHLHE40,429
170,MED15,430
171,POLR3K,431
172,ARID1A,434
173,KLF4,436
174,DDX5,440
175,AES,441
176,DDB1,443
177,ZFX,444
178,IRF5,445
179,CIC,446
180,FXR1,447
181,BAZ1A,449
182,EZH2,450
183,BATF3,453
184,RBBP7,454
185,SRSF2,460
186,ATF2,461
187,NFKBIZ,462
188,HBP1,467
189,ELF1,468
190,CNOT6,470
191,HTATIP2,471
192,MED21,472
193,RBPJ,477
194,MAPK1,479
195,SIRT2,482
196,ELF2,483
197,FOSB,484
198,PBRM1,487
199,PCBD2,488
200,GTF2A1,490
201,TCOF1,492
202,TIAL1,493
203,ZMYND11,499
204,YEATS4,500
205,USF2,501
206,DNAJC2,505
207,POLR2J,506
208,SERTAD2,510
209,HHEX,511
210,FOXJ3,512
211,EWSR1,516
212,KDM5A,519
213,NR4A1,523
214,TAF6,525
215,UBP1,528
216,FOSL2,531
217,FUBP3,534
218,ID3,535
219,EHMT2,537
220,TOB1,538
221,ATF3,539
222,HMG20B,545
223,MEF2A,546
224,CHD7,548
225,SMARCB1,552
226,RUVBL2,553
