,Gene,index
0,RPS19,0
1,H2-DMA,1
2,MED8,2
3,COX5A,3
4,NFKB1,4
5,TAX1BP3,5
6,RBL2,6
7,ATF6,7
8,GTF2I,8
9,KLF6,9
10,ACTG1,10
11,RPLP2,11
12,PSMA5,12
13,RNH1,13
14,HEXA,14
15,PRR13,15
16,AIP,16
17,CLEC4N,17
18,IDH1,18
19,AA467197,19
20,NFE2L2,20
21,OAZ1,21
22,GSTM1,22
23,CISH,23
24,4933434E20RIK,24
25,JUN,25
26,2010107E04RIK,26
27,MCA32,27
28,RPL13,28
29,COX6A1,29
30,COPS5,30
31,CDC42,31
32,C1QB,32
33,NAAA,33
34,NAMPT,34
35,SRSF3,35
36,NCOR2,36
37,CHD4,37
38,GTF2F1,38
39,NR3C1,39
40,HCFC1,40
41,CREB3,41
42,PTP4A1,42
43,CBFA2T3,43
44,D8ERTD738E,44
45,H2-T23,45
46,MKL2,46
47,TRF,47
48,SRSF1,48
49,ZMYM2,49
50,TRERF1,50
51,NDUFB4,51
52,NOTCH2,52
53,RPS5,53
54,TAF9,54
55,TARBP2,55
56,MLL3,56
57,SGK1,57
58,MYEF2,58
59,NPM1,59
60,PSMD14,60
61,LDHA,61
62,RPS6,62
63,XBP1,63
64,SRSF6,64
65,SSR2,65
66,PER1,66
67,HPRT,67
68,PCBP2,68
69,S100A6,69
70,SKIL,70
71,TGIF1,71
72,BCL2A1B,72
73,STAT1,73
74,RNPS1,74
75,NSD1,75
76,UQCRH,76
77,CNOT8,77
78,CTSB,78
79,KDM5C,79
80,ATP5F1,80
81,SMARCA4,81
82,SFPQ,82
83,TCEA1,83
84,CTNNB1,84
85,PPIB,85
86,TRIM30A,86
87,PTGES3,87
88,GNGT2,88
89,MLL2,89
90,VPS29,90
91,RBBP4,91
92,STAT6,92
93,SNRPE,93
94,POLR2G,94
95,TSG101,95
96,IRF2,96
97,ATP6V0C,97
98,CREM,98
99,IL2RG,99
100,H2-EB1,100
101,TRP53,101
102,HNRNPD,102
103,NACA,103
104,LMO4,104
105,HOPX,105
106,MCM3,106
107,RPS13,107
108,RPL28,108
109,HIF1A,109
110,5033414D02RIK,110
111,TANK,111
112,CSDA,112
113,GM2A,113
114,SUPT16H,114
115,SNX2,115
116,BTF3,116
117,H2-AB1,117
118,RFX7,118
119,MIF,119
120,MED27,120
121,FTL1,121
122,TECR,122
123,MCM6,123
124,RPS14,124
125,DBI,125
126,ATP5G1,126
127,HDGF,127
128,RPS8,128
129,EHMT1,129
130,HSPA5,130
131,HIST1H2BC,131
132,NDUFA2,132
133,VIM,133
134,MGL2,134
135,TBCA,135
136,S100A10,136
137,FLI1,137
138,CALR,138
139,AFF4,139
140,HNRNPAB,140
141,OST4,141
142,TCEB3,142
143,H3F3A,143
