	ARID1A	BAZ1A	BTAF1	CBX7	CBX8	CHD4	CHD7	CTCF	DAXX	DDX21	DPPA2	DPPA4	DR1	E2F1	EHMT2	ELL2	ELL3	EP300	EP400	ESRRB	EZH2	GABBR1	GATA4	GLI1	GLI2	GTF3C1	HCFC1	HDAC1	HDAC2	HDAC3	HEXIM1	JARID2	JUN	KDM5B	KLF4	MAFK	MAPK8	MED12	MEN1	MPHOSPH8	MTF2	MYC	NANOG	NFYA	NFYB	NONO	NR0B1	NR4A1	NRF1	OTX2	PARP1	POU5F1	PRDM14	RARA	REST	RIF1	RNF2	RYBP	SALL4	SIN3A	SMAD2	SMAD3	SMARCA4	SMARCAD1	SMARCC1	SOX17	SOX2	SUZ12	TBX3	TCF12	TET1	TET2	TFE3	TGIF1	TRIM28	UTF1	YEATS4	ZFP281	ZFP42	ZFP57	ZIC3	CNOT3	E2F4	EED	KLF2	MYCN	NACC1	PHC1	SALL1
ARID1A	1	0.03165	0.0936	0.1072	0.08448	0.02624	0.05948	0.04739	0.07219	0.03166	0.06848	0.09126	0.1935	0.06016	0.05606	0.05415	0.07923	0.02828	0.2589	0.105	0.04081	0.06657	0.06966	0.04492	0.03536	0.02009	0.0274	0.05519	0.04118	0.05256	0.06936	0.07494	0.06276	0.06438	0.057	0.1319	0.09378	0.01898	0.1358	0.07535	0.06616	0.05894	0.09703	0.07265	0.1379	0.05394	0.1023	0.04686	0.06147	0.1025	0.05061	0.09415	0.04088	0.1018	0.03332	0.02871	0.07304	0.09151	0.0459	0.04074	0.0342	0.03608	0.033	0.05414	0.03476	0.09654	0.08831	0.06587	0.04491	0.04327	0.02179	0.03428	0.06401	0.1459	0.03426	0.1006	0.08269	0.04541	0.06709	0.05414	0.06535	0.05193	0.04952	0.05535	0.05889	0.04988	0.08399	0.04403	0.04475
BAZ1A	0.03537	1	0.027	0.1218	0.06165	0.04066	0.05323	0.06134	0.05477	0.05068	0.08863	0.08856	0.128	0.06641	0.02862	0.06463	0.09499	0.06375	0.1543	0.07836	0.06401	0.0586	0.08004	0.04089	0.02537	0.03245	0.03058	0.05658	0.05379	0.04428	0.06332	0.04379	0.07793	0.034	0.06576	0.144	0.05231	0.03319	0.06874	0.04571	0.04787	0.05943	0.1009	0.06139	0.1114	0.1251	0.08235	0.04016	0.06876	0.1112	0.03327	0.1168	0.04769	0.06005	0.02999	0.03959	0.09956	0.08833	0.04542	0.04006	0.04589	0.03769	0.06934	0.04188	0.04095	0.08421	0.08294	0.05639	0.03942	0.05382	0.02796	0.02206	0.06407	0.07385	0.1102	0.05981	0.03741	0.03658	0.09109	0.06247	0.07155	0.05668	0.0564	0.04381	0.06516	0.04977	0.06749	0.03588	0.04188
BTAF1	0.09594	0.04349	1	0.09931	0.04637	0.2246	0.4096	0.03261	0.0846	0.2913	0.06024	0.07851	0.1392	0.09536	0.05903	0.04736	0.1011	0.02238	0.1535	0.09786	0.05996	0.06454	0.0466	0.02535	0.02042	0.03051	0.01773	0.1734	0.1417	0.1986	0.0723	0.03224	0.088	0.03983	0.05431	0.1219	0.07836	0.1033	0.1008	0.06057	0.04653	0.04917	0.08452	0.09209	0.1036	0.04593	0.08796	0.07241	0.04501	0.1025	0.05233	0.09493	0.04509	0.1005	0.03069	0.141	0.07849	0.08858	0.03129	0.07045	0.04012	0.05077	0.2714	0.4276	0.03809	0.05598	0.08766	0.09289	0.04172	0.03138	0.02037	0.01908	0.06162	0.08453	0.07208	0.09939	0.07318	0.0465	0.08413	0.06043	0.0371	0.06984	0.06929	0.03836	0.05077	0.0511	0.07036	0.0434	0.02623
CBX7	0.1391	0.1602	0.08836	1	0.4045	0.2979	0.1287	0.08826	0.1104	0.1188	0.1081	0.1258	0.1272	0.1237	0.183	0.1043	0.1185	0.1395	0.1077	0.09417	0.1549	0.1523	0.08367	0.1397	0.1341	0.1385	0.1469	0.1238	0.1184	0.09653	0.1589	0.1351	0.154	0.08875	0.09945	0.1264	0.08118	0.1003	0.109	0.3839	0.09593	0.1023	0.1197	0.1376	0.08319	0.1271	0.1172	0.09712	0.09411	0.1193	0.1304	0.1513	0.08316	0.1038	0.08811	0.0822	0.1552	0.1501	0.1352	0.1135	0.09825	0.09818	0.09077	0.08843	0.162	0.09569	0.1457	0.1164	0.1252	0.1174	0.1339	0.113	0.1645	0.06869	0.1226	0.1022	0.08392	0.1631	0.1616	0.137	0.07725	0.09583	0.1209	0.106	0.1015	0.1339	0.08045	0.1471	0.1323
CBX8	0.05847	0.06559	0.07596	0.4043	1	0.06644	0.06406	0.07202	0.08796	0.06753	0.07536	0.06759	0.1255	0.06837	0.08012	0.07537	0.05617	0.0836	0.1315	0.05969	0.05695	0.08793	0.06787	0.06495	0.07367	0.06306	0.06441	0.06242	0.06582	0.01726	0.05723	0.08419	0.09589	0.06834	0.07229	0.1617	0.03538	0.09401	0.07901	0.147	0.06709	0.07021	0.08614	0.05836	0.0924	0.07716	0.06322	0.07209	0.05643	0.1035	0.07026	0.07884	0.06533	0.05216	0.07765	0.06768	0.103	0.1007	0.06996	0.06576	0.064	0.05683	0.05976	0.08271	0.07314	0.06669	0.07688	0.0556	0.09974	0.0671	0.06362	0.06389	0.07694	0.1194	0.06292	0.06391	0.1041	0.08637	0.1082	0.07271	0.08237	0.06909	0.08633	0.07354	0.07572	0.06013	0.07679	0.06885	0.0772
CHD4	0.02374	0.0298	0.2246	0.2979	0.08737	1	0.4371	0.03641	0.05285	0.3191	0.07738	0.1026	0.1633	0.0777	0.02533	0.06889	0.09418	0.04326	0.1261	0.06703	0.06582	0.09014	0.06995	0.02994	0.0245	0.03102	0.01683	0.1639	0.1575	0.1758	0.07981	0.03498	0.07515	0.04062	0.05534	0.1964	0.07238	0.02366	0.05388	0.03698	0.04299	0.06461	0.1233	0.07262	0.1218	0.08095	0.0522	0.05133	0.04781	0.1357	0.03924	0.1023	0.04632	0.04649	0.04152	0.01757	0.06944	0.09771	0.04248	0.05408	0.03875	0.06033	0.29	0.4088	0.0337	0.07676	0.09733	0.05768	0.04694	0.05022	0.02355	0.04017	0.06884	0.113	0.06769	0.09249	0.1276	0.03947	0.1099	0.04943	0.05762	0.0612	0.05726	0.04708	0.08358	0.09135	0.06713	0.04083	0.03341
CHD7	0.0421	0.0579	0.4127	0.1287	0.07742	0.4369	1	0.03916	0.07938	0.2337	0.06262	0.06707	0.129	0.06399	0.0624	0.05565	0.06882	0.05303	0.1537	0.08031	0.0686	0.1282	0.04503	0.03645	0.03922	0.07625	0.06797	0.211	0.1708	0.1941	0.07781	0.03782	0.06348	0.05884	0.02616	0.1465	0.06969	0.06296	0.07414	0.04341	0.04249	0.04428	0.1001	0.07427	0.1082	0.06168	0.04804	0.04987	0.05384	0.1193	0.06425	0.08458	0.03539	0.04662	0.05187	0.04745	0.09974	0.07081	0.0569	0.0537	0.04319	0.06281	0.437	0.4364	0.06203	0.06958	0.06768	0.0657	0.0449	0.07233	0.06247	0.05617	0.04214	0.07923	0.07311	0.06266	0.1101	0.03829	0.06411	0.05233	0.04059	0.06459	0.06852	0.0213	0.07504	0.07003	0.07782	0.05319	0.07015
CTCF	0.04004	0.04502	0.03767	0.1103	0.06391	0.04727	0.04803	1	0.04165	0.04116	0.08508	0.08063	0.127	0.06256	0.0404	0.04304	0.05824	0.05432	0.119	0.05426	0.05172	0.03723	0.08645	0.08026	0.08543	0.03228	0.04549	0.04219	0.05161	0.04091	0.07968	0.05706	0.08872	0.03421	0.1539	0.1311	0.03445	0.04064	0.03995	0.04953	0.04382	0.07596	0.09076	0.0737	0.1266	0.04897	0.06771	0.05403	0.04617	0.09992	0.04643	0.09433	0.2116	0.06056	0.1367	0.04603	0.097	0.08807	0.1044	0.05641	0.04941	0.05745	0.0518	0.04617	0.05523	0.06741	0.07453	0.04262	0.04152	0.05903	0.04319	0.04243	0.07217	0.08457	0.03717	0.06619	0.08516	0.09081	0.3684	0.1429	0.2225	0.04406	0.05313	0.05871	0.2204	0.06765	0.0466	0.04377	0.09959
DAXX	0.0415	0.05742	0.07068	0.1211	0.06693	0.03862	0.04275	0.04165	1	0.04919	0.07304	0.1033	0.2068	0.05422	0.05065	0.06029	0.04716	0.07113	0.1451	0.07774	0.06403	0.06673	0.05643	0.03928	0.05105	0.03707	0.034	0.03973	0.06368	0.05782	0.06412	0.04509	0.07401	0.04191	0.05832	0.231	0.04702	0.05326	0.03223	0.05011	0.0468	0.074	0.08448	0.06257	0.125	0.09753	0.08719	0.0579	0.03653	0.09776	0.03094	0.1301	0.04492	0.09003	0.0518	0.04292	0.1144	0.1005	0.05025	0.05097	0.04163	0.04597	0.04241	0.03458	0.06517	0.06356	0.08021	0.05369	0.03652	0.04452	0.04704	0.04172	0.09451	0.09666	0.03696	0.09693	0.1987	0.0424	0.0736	0.04727	0.07114	0.06695	0.0852	0.04668	0.08828	0.04673	0.06151	0.04783	0.05457
DDX21	0.03277	0.04118	0.2944	0.1176	0.06901	0.3187	0.2332	0.04232	0.04435	1	0.07264	0.07061	0.0885	0.05328	0.03729	0.05137	0.07717	0.04919	0.1245	0.096	0.03896	0.09142	0.05701	0.05135	0.03834	0.03658	0.04485	0.1787	0.1893	0.2049	0.07133	0.03987	0.05103	0.02897	0.04621	0.1203	0.04993	0.04458	0.03879	0.03439	0.05814	0.05874	0.1063	0.06498	0.09868	0.1157	0.05781	0.06406	0.05109	0.0841	0.06945	0.07132	0.04829	0.08448	0.03369	0.03298	0.08076	0.1368	0.03699	0.03876	0.04881	0.06095	0.2982	0.2998	0.04719	0.0696	0.06717	0.04042	0.04384	0.03821	0.03365	0.05308	0.05799	0.07839	0.03539	0.05657	0.07086	0.05122	0.09578	0.04555	0.05871	0.0533	0.06345	0.05816	0.08396	0.05393	0.08729	0.04822	0.04629
