	ARID1A	BAZ1A	BTAF1	CBX7	CBX8	CHD4	CHD7	CTCF	DAXX	DPPA2	DPPA4	DR1	E2F1	EHMT2	ELL2	ELL3	EP300	EP400	ESRRB	EZH2	GABBR1	GATA4	GLI1	GLI2	GTF3C1	HCFC1	HDAC1	HDAC2	HDAC3	HEXIM1	JARID2	JUN	KDM5B	KLF4	MAFK	MAPK8	MED12	MEN1	MPHOSPH8	MTF2	MYC	NANOG	NFYA	NFYB	NONO	NR0B1	NR4A1	NRF1	OTX2	PARP1	POU5F1	PRDM14	RARA	REST	RIF1	RNF2	RYBP	SALL4	SIN3A	SMAD2	SMAD3	SMARCA4	SMARCAD1	SMARCC1	SOX17	SOX2	SUZ12	TBX3	TCF12	TET1	TET2	TFE3	TGIF1	TRIM28	UTF1	YEATS4	ZFP281	ZFP42	ZFP57	ZIC3	CNOT3	E2F4	EED	KLF2	MYCN	NACC1	PHC1	SALL1
ARID1A	1	0.157499846191632	0.062257280636469	0.221918016436593	0.215665546406877	0.23816275411477	0.38575837490523	0.190530203291816	0.130414659218657	0.161749159805158	0.0681994339470473	0.204598301841142	0.20752426878823	0.155709418655045	0.115278083540847	0.0864585626556352	0.124931696649988	0.195076826628707	0.176090181265125	0.148867131055241	0.0222442026650065	0.133307734854378	0.134908125123986	0.107832773203438	0.152498570332605	0.173169743598353	0.189937691820242	0.143091675168501	0.132405837875069	0.133111665127944	0.21237274928076	0.129318529005249	0.191726862482672	0.151565848614557	0.275624730835355	0.0323296322513123	0.156919734289782	0.184127819942485	0.0739726721455309	0.215665546406877	0.12911272875949	0.198101453923265	0.204598301841142	0.162564022190589	0.111369209277941	0.128884815556617	0.154078908606984	0.203784786484806	0.133465215990039	0.101781177207903	0.170236077267945	0.242623739707736	0.123871070860456	0.17156089162418	0.14159136794715	0.161749159805158	0.258904352509358	0.213497998465647	0.157392812644651	0.117884548922433	0.132732968300475	0.419761188378848	0.195076826628707	0.571590609875449	0.130414659218657	0.167388927220441	0.125353052640975	0.139942285708264	0.209226312386377	0.24650596604915	0.139211511597426	0.235702260395516	0.176090181265125	0.200197823985058	0.124514561272938	0.244898999989462	0.244898999989462	0.139942285708264	0.147945344291062	0.178682605179609	0.0815139145939222	0.161749159805158	0.182998284399126	0.194896116236397	0.161749159805158	0.220112726581406	0.184931680363827	0.145266988151761
BAZ1A	0.157499846191632	1	0	0.12524485821703	0.121716123890037	0.201619459636378	0.213497998465647	0.201619459636378	0.157720074469128	0.0912870929175277	0.115470053837925	0.23094010767585	0.175682092231577	0.150648715430942	0.0975900072948533	0.0975900072948533	0.12691486339407	0.165144564768954	0.186338998124983	0.140028008402801	0.0376621788577355	0.12539246564388	0.19034674690672	0.130410132739325	0.172132593164774	0.209426954145848	0.116941069240937	0.0807572853087248	0.0960768922830523	0.112687233963802	0.179786629990198	0.136845137875993	0.278243337456101	0.11405318970244	0.266666666666667	0.109476110300795	0.0885614885540095	0.113364040253027	0.0626224291085149	0.304290309725092	0.121446541889315	0.149071198499986	0.23094010767585	0.165144564768954	0.188561808316413	0.0872871560943969	0.186338998124983	0.207019667802706	0.150648715430942	0.0984731927834662	0.12810252304407	0.182574185835055	0.131080626273269	0.193649167310371	0.0958926602970768	0.182574185835055	0.37573457465109	0.206559111797729	0.152277397525376	0.14256648712805	0.112366643743874	0.147042924418762	0.165144564768954	0.120971675781827	0.126176059575302	0.113364040253027	0.127342907993403	0.118469775551818	0.132842232831014	0.231869447880084	0.188561808316413	0.161125846658872	0.198761597999981	0.150648715430942	0.210818510677892	0.236939551103637	0.236939551103637	0.236939551103637	0.313112145542575	0.134458529090563	0.207019667802706	0.182574185835055	0.103279555898864	0.188561808316413	0.182574185835055	0.223606797749979	0.313112145542575	0.140545673785261
BTAF1	0.062257280636469	0	1	0.0990147542976674	0.0962250448649376	0.127515342612668	0.337289260048138	0.127515342612668	0.0997509336107633	0.144337567297406	0	0.0912870929175277	0.111111111111111	0.0595491334175414	0.154303349962092	0.077151674981046	0.0668900062090651	0	0.117851130197758	0.0885614885540095	0	0.0396525792859072	0.0601929265428846	0.0412393049421161	0.136082763487954	0.0662266178532522	0.0924500327042048	0.0851256530758749	0.101273936708367	0.267261241912424	0.14213381090374	0.0865484644815831	0.146647115021353	0.0901669634667432	0.105409255338946	0	0.140028008402801	0.0896221429896442	0.198029508595335	0.0962250448649376	0.0384047686321284	0.117851130197758	0.0912870929175277	0.0870388279778489	0.149071198499986	0.207019667802706	0.058925565098879	0.109108945117996	0	0.0778498944161523	0.101273936708367	0.144337567297406	0.0829026672289678	0.102062072615966	0.0758098043578904	0.0721687836487032	0.198029508595335	0.163299316185545	0.120385853085769	0.0901669634667432	0.0355334527259351	0.116247638743819	0.174077655955698	0.0637576713063338	0.0498754668053816	0.0448110714948221	0.0671156055214024	0.0468292905790847	0.140028008402801	0.0733235575106767	0.074535599249993	0.372677996249965	0.0785674201318386	0.119098266835083	0	0.0936585811581694	0.187317162316339	0	0	0.0531494003452734	0	0.0721687836487032	0.0816496580927726	0	0.0721687836487032	0.353553390593274	0.198029508595335	0.0555555555555556
CBX7	0.221918016436593	0.12524485821703	0.0990147542976674	1	0.743160535617538	0.2651439066775	0.0396994222783609	0.2651439066775	0.237043540378384	0.257247877713763	0.216930457818656	0.216930457818656	0.165024590496112	0.247642198187029	0.275009549108463	0.275009549108463	0.139085048124961	0.206835075998008	0.175035010503501	0.236760138794095	0.0353774568838612	0.141342854229464	0.178799634963038	0.146998787265008	0.161690416690889	0.23606684260939	0.24715576637149	0.202288694969669	0.240662735038475	0.211702449609985	0.295540231644524	0.179961073855171	0.261364105121419	0.160701475201674	0.25048971643406	0.0771261745093591	0.166378066161541	0.212973947226001	0.411764705882353	0.342997170285018	0.114079161899069	0.210042012604201	0.162697843363992	0.103417537999004	0.265684465662029	0.204980015422697	0.175035010503501	0.259281489420866	0.0707549137677225	0.184998916025152	0.210579893158665	0.214373231428136	0.172380331752248	0.212218671906791	0.270226409466627	0.428746462856272	0.294117647058824	0.242535625036333	0.250319488948253	0.133917896001395	0.147770115822262	0.207184164982259	0.310252613997011	0.227266205723571	0.088891327641894	0.186352203822751	0.358853500273005	0.0834622326111986	0.166378066161541	0.261364105121419	0.221403721385024	0.134044980465262	0.233380014004668	0.28301965507089	0.198029508595335	0.222565953629863	0.222565953629863	0.166924465222397	0.294117647058824	0.0947263466926009	0.129640744710433	0.214373231428136	0.388057000058133	0.177122977108019	0.128623938856882	0.210042012604201	0.352941176470588	0.165024590496112
CBX8	0.215665546406877	0.121716123890037	0.0962250448649376	0.743160535617538	1	0.257673560841309	0.133917896001395	0.257673560841309	0.201569299302317	0.25	0.210818510677892	0.210818510677892	0.160375074774896	0.240664957460385	0.17817416127495	0.17817416127495	0.135166370818148	0.201007563051842	0.136082763487954	0.255654996282457	0.0343807082086265	0.137360563948689	0.173762011714229	0.166666666666667	0.157134840263677	0.229415733870562	0.240192230707631	0.245736593591495	0.20464687117164	0.205737799949456	0.287213478951776	0.174890727432368	0.211666878333651	0.130144801573838	0.243432247780074	0.0499687792663908	0.161690416690889	0.181101789331478	0.342997170285018	0.333333333333333	0.133038021047548	0.23814483610392	0.158113883008419	0.100503781525921	0.215165741455968	0.159363814577919	0.136082763487954	0.188982236504614	0.0687614164172529	0.157313301241423	0.175411603861406	0.166666666666667	0.167523570344139	0.176776695296637	0.262612865719445	0.416666666666667	0.285830975237515	0.235702260395516	0.243266816399921	0.130144801573838	0.123091490979333	0.201346816564207	0.301511344577764	0.257673560841309	0.086386842558136	0.155230105141267	0.348742916231458	0.108147614087175	0.161690416690889	0.254000254000381	0.215165741455968	0.25897940206509	0.226804605813257	0.309426373877638	0.192450089729875	0.21629522817435	0.21629522817435	0.162221421130763	0.285830975237515	0.0920574617898323	0.125988157669742	0.208333333333333	0.329983164553722	0.172132593164774	0.125	0.272165526975909	0.342997170285018	0.160375074774896
CHD4	0.23816275411477	0.201619459636378	0.127515342612668	0.2651439066775	0.257673560841309	1	0.222350362234976	0.317073170731707	0.228955940555579	0.16564728911227	0.139686059153916	0.209529088730873	0.276283242327447	0.15946199115053	0.118056267220191	0.0885422004151433	0.204708049418698	0.366259937016615	0.202875667800172	0.220212496827421	0.0455605689001515	0.197196177091619	0.184212519623402	0.14198339066766	0.156173761888606	0.278682025565977	0.389030320629357	0.341927044738564	0.290564566584772	0.204479452977299	0.29904998630487	0.215207013468903	0.308545992399268	0.241451096014919	0.201619459636378	0.0993263139087243	0.160701475201674	0.239992163649125	0.189388504769643	0.294484069532924	0.176299100283099	0.202875667800172	0.279372118307831	0.233074505374209	0.19959308197927	0.237583654806805	0.180333926933486	0.166956774225936	0.136681706700454	0.223358759073802	0.251822624373469	0.16564728911227	0.237855645342131	0.292825803541136	0.232005916226297	0.248470933668405	0.378777009539285	0.281112771399491	0.276318779435102	0.241451096014919	0.176711355543787	0.311290507128966	0.366259937016615	0.24390243902439	0.11447797027779	0.188565271438598	0.205398466385239	0.125400513682503	0.241052212802511	0.224397085381286	0.17107978455366	0.0665190105237739	0.210389581422401	0.31892398230106	0.127515342612668	0.250801027365006	0.322458463755008	0.214972309170006	0.227266205723571	0.142324643888393	0.125217580669452	0.220863052149693	0.187408514266327	0.19959308197927	0.16564728911227	0.27050089040023	0.340899308585357	0.233778128123224
CHD7	0.377964473009227	0.133366267342316	0.229639663385923	0.108695652173913	0.188144173676719	0.086386842558136	1	0.188691270609945	0.597614304667197	0.25717224993682	0.119808459574631	0.165024590496112	0.0878749550327494	0.346410161513776	0.0720749970156447	0.245049014704902	0.164121987972444	0.237170824512628	0.0739726721455309	0.167427705632229	0.21483446221183	0.301341590593447	0.110581467116173	0.259237923682606	0.223606797749979	0.233336401550765	0.0790569415042095	0.181649753637689	0.176604314275339	0.165046932738683	0.178885438199983	0.186052101883813	0.162221421130763	0.103142124625879	0.35189428528321	0.152498570332605	0.138620656016734	0.178584083787671	0.191273013919002	0.276342224096559	0.369274472937998	0.191741247211843	0.26194175932858	0.110096376512636	0.0884099347405071	0.213000299334951	0.101015254455221	0.147441956154897	0.148453923805041	0.197142430671938	0.0924500327042048	0.294484069532924	0.271625639078637	0.0788110406239101	0.397523195999963	0.240679931170616	0.0904616275314925	0.182996877547893	0.251976315339485	0.218174963533455	0.208231682518141	0.117130321416455	0.171037222098827	0.134595475514541	0.11642257885595	0.184127819942485	0.124604030682537	0.142849706060612	0.170011924865721	0.223358759073802	0.15946199115053	0.201619459636378	0.221426335523419	0.340092120759081	0.481070235442364	0.127775312999988	0.140199927446556	0.0788110406239101	0.0717496003334175	0.521749194749951	0.106382978723404	0.0851256530758749	0.13421887304829	0.161125846658872	0.15465355809928	0.169711058325533	0.215207013468903	0.264906471413009
CTCF	0.190530203291816	0.201619459636378	0.127515342612668	0.2651439066775	0.257673560841309	0.317073170731707	0.177122977108019	1	0.190796617129649	0.220863052149693	0.139686059153916	0.244450603519352	0.318788356531669	0.205022560050682	0.118056267220191	0.147570334025239	0.179119543241361	0.199778147463608	0.338126113000287	0.254091342493178	0.0455605689001515	0.273040860588395	0.253292214482177	0.2366389844461	0.208231682518141	0.278682025565977	0.247564749491409	0.162822402256459	0.174338739950863	0.170399544147749	0.244677261522167	0.297978941726173	0.252446721053946	0.327683630305961	0.483886703127307	0.0662175426058162	0.187485054401953	0.239992163649125	0.227266205723571	0.33129457822454	0.279140242114907	0.360667853866973	0.453979692250226	0.399556294927216	0.22810637940488	0.131990919337114	0.27050089040023	0.333913548451873	0.205022560050682	0.148905839382535	0.406790393218681	0.220863052149693	0.285426774410557	0.351390964249364	0.174004437169722	0.248470933668405	0.303021607631428	0.24987801902177	0.184212519623402	0.275944109731336	0.271863623913518	0.222350362234976	0.199778147463608	0.195121951219512	0.248035602268544	0.257134461052634	0.308097699577858	0.232886668267506	0.321402950403348	0.224397085381286	0.19959308197927	0.171498585142509	0.330612199378059	0.250583128950833	0.127515342612668	0.250801027365006	0.537430772925014	0.322458463755008	0.378777009539285	0.203320919840561	0.125217580669452	0.276078815187116	0.281112771399491	0.285132974256101	0.358902459743251	0.315584372133601	0.2651439066775	0.233778128123224
DAXX	0.130414659218657	0.157720074469128	0.0997509336107633	0.237043540378384	0.201569299302317	0.228955940555579	0.125	0.190796617129649	1	0.086386842558136	0.0546358364708153	0.136589591177038	0.182876711619733	0.124741714736345	0.092351419307922	0.138527128961883	0.160136173646016	0.104186452214125	0.193970044361115	0.159013640973985	0.0356404899246699	0.154259890349918	0.108077411149503	0.111068797574746	0.0814462962375368	0.198185008822355	0.235160415402046	0.178318630739434	0.19699230987339	0.159957350392418	0.191402734526601	0.207198963230782	0.219422799520575	0.134913581799828	0.157720074469128	0.181299092826934	0.104759434273764	0.160918063837458	0.207413097831086	0.172773685116272	0.160898284098727	0.10580184237879	0.136589591177038	0.104186452214125	0.156134907860915	0.18585364625199	0.158702763568185	0.163255787112085	0.0891012248116748	0.198022791062519	0.181839055267745	0.10798355319767	0.148853132188415	0.213796527623534	0.13611777770788	0.21596710639534	0.29630442547298	0.171037222098827	0.180129018582505	0.134913581799828	0.170135764023645	0.197128778410626	0.156279678321187	0.171716955416684	0.0895522388059701	0.147508225184336	0.160676263454678	0.112110370934242	0.104759434273764	0.17553823961646	0.133829921023641	0.130321508785672	0.18809216422896	0.17820244962335	0.199501867221527	0.224220741868484	0.168165556401363	0.112110370934242	0.14815221273649	0.0954306414952784	0.130604629689668	0.129580263837204	0.171037222098827	0.0892199473490941	0.151176974476738	0.17633640396465	0.207413097831086	0.133001244814351
DPPA2	0.161749159805158	0.0912870929175277	0.144337567297406	0.257247877713763	0.25	0.16564728911227	0.336787657027282	0.220863052149693	0.086386842558136	1	0.632455532033676	0.158113883008419	0.0962250448649376	0.103142124625879	0.267261241912424	0.200445931434318	0.0868926669545238	0.150755672288882	0.153093108923949	0.115044748327106	0	0.103020422961517	0.156385810542806	0.142857142857143	0.235702260395516	0.172061800402921	0.120096115353815	0.110581467116173	0.131558702896054	0.154303349962092	0.184637236468999	0.112429753349379	0.127000127000191	0.117130321416455	0.182574185835055	0.0374765844497931	0.18190171877725	0.11642257885595	0.257247877713763	0.416666666666667	0.0665190105237739	0.204124145231931	0.158113883008419	0.150755672288882	0.193649167310371	0.119522860933439	0.102062072615966	0.188982236504614	0.0515710623129397	0.101129979369486	0.175411603861406	0.25	0.107693723792661	0.132582521472478	0.131306432859723	0.25	0.171498585142509	0.14142135623731	0.156385810542806	0.117130321416455	0.0923186182344995	0.134231211042805	0.226133508433323	0.16564728911227	0.086386842558136	0.155230105141267	0.174371458115729	0.121666065848072	0.121267812518166	0.190500190500286	0.129099444873581	0.0966485616720421	0.204124145231931	0.154713186938819	0.144337567297406	0.162221421130763	0.162221421130763	0.0811107105653813	0.171498585142509	0.138086192684749	0.0944911182523068	0.1875	0.212132034355964	0.129099444873581	0.125	0.204124145231931	0.257247877713763	0.0962250448649376
