	ARID1A	BAZ1A	BTAF1	CBX7	CBX8	CHD4	CHD7	CTCF	DAXX	DPPA2	DPPA4	DR1	E2F1	EHMT2	ELL2	ELL3	EP300	EP400	ESRRB	EZH2	GABBR1	GATA4	GLI1	GLI2	GTF3C1	HCFC1	HDAC1	HDAC2	HDAC3	HEXIM1	JARID2	JUN	KDM5B	KLF4	MAFK	MAPK8	MED12	MEN1	MPHOSPH8	MTF2	MYC	NANOG	NFYA	NFYB	NONO	NR0B1	NR4A1	NRF1	OTX2	PARP1	POU5F1	PRDM14	RARA	REST	RIF1	RNF2	RYBP	SALL4	SIN3A	SMAD2	SMAD3	SMARCA4	SMARCAD1	SMARCC1	SOX17	SOX2	SUZ12	TBX3	TCF12	TET1	TET2	TFE3	TGIF1	TRIM28	UTF1	YEATS4	ZFP281	ZFP42	ZFP57	ZIC3	CNOT3	E2F4	EED	KLF2	MYCN	NACC1	PHC1	SALL1
ARID1A	1	0.183285382952959	0.0946421943388103	0.431972807954806	0.272912590094376	0.303313283500646	0.14564043396054	0.217488344364773	0.242283816880552	0.251518040614505	0.446092107855457	0.128707174479066	0.328405865318057	0.324805390768854	0.359200114011328	0.239979099845935	0.412245536853815	0.129141249117608	0.544599134650844	0.341002682481285	0.49870776471264	0.491636808224093	0.53154832876023	0.575788958958703	0.212967021206192	0.287249498178199	0.34006949947159	0.396448918990882	0.263216911596375	0.355543401674387	0.45562377409856	0.230150039016498	0.568312935627332	0.102036217339446	0.328755885561763	0.225995375913054	0.0622511570512878	0.0608961473952145	0.116938099756299	0.430908117296777	0.119974911115818	0.570431167478537	0.142847605713013	0.260061463433376	0.162030933511711	0.483522084131851	0.393909771339772	0.120407100520717	0.320172492174844	0.451651004468253	0.388636029386185	0.501797635682697	0.364735936408638	0.543670374377538	0.522172422681624	0.31495097040962	0.199413470520354	0.117135724869133	0.382151491812615	0.403407430704738	0.0468960712968696	0.16941981788315	0.368936739488946	0.393032451463621	0.460787289314497	0.576291476259657	0.397416680768369	0.237702556453705	0.181299592033173	0.5822639600304	0.336175129122205	0.142568654446045	0.554000426261352	0.422778412060566	0.400204202205122	0.102100465516418	0.290008639990635	0.591149052514233	0.496836146290348	0.189976068820657	0.209241286461689	0.286187962887484	0.475389238865787	0.553273336774622	0.324118913060172	0.439847503937894	0.564471720570827	0.309125710703449
BAZ1A	0.183285382952959	1	0.159500793964088	0.247003275954391	0.234872222428633	0.0460623190875067	0.168133700461161	0.129037821663562	0.0825100798833952	0.123620918997338	0.333490204295327	0.0315635329121113	0.1486143787087	0.387285655852615	0.167198058443447	0.179652938688366	0.212049354912579	0.0189297039352938	0.419663861927105	0.0617423419845533	0.364317899004403	0.38272189279289	0.316860573187497	0.380766215018181	0.245668445605634	0.107285637928699	0.0218242732190971	0.159357167189194	0.056163426782771	0.332189200861627	0.345047432556704	0.0797626675965764	0.330387940770294	0.0700153712957443	0.239365651116439	0.257825472547054	0.151527779920576	0.0918276632059998	0.232733881669943	0.26263747644347	0.00919464056755741	0.333994239145962	0.223507151799101	0.201064556397033	0.00333939714979591	0.378733430755202	0.256944751432593	0.0370611148345913	0.223717117978346	0.314842621406626	0.229132825198064	0.250869799118652	0.211617844082927	0.300882620073758	0.239176095199697	0.0356632514930148	0.14851551439405	0.224199700829745	0.169406687810907	0.333148488186295	0.0663149579031627	0.0301216680299587	0.300495192170004	0.243123493564314	0.359826434331628	0.386258446665844	0.206002807960815	0.130532552818553	0.235590446397522	0.369848659049678	0.216236835935553	0.304425590463709	0.306998815464133	0.2504224141536	0.245105534873075	0.109408536528432	0.190091125460769	0.337932079440609	0.413958544201618	0.0637609802426055	0.185336778533414	0.16645962985671	0.298429210442412	0.346444210914523	0.351731382694689	0.196172234366053	0.36383007758742	0.137417720035562
BTAF1	0.0946421943388103	0.159500793964088	1	0.0784554056760249	0.171875575520044	0.38709058470034	0.309254998953869	0.477026587741948	0.273889209059675	0.425027494566699	0.397841524316275	0.486563511570111	0.0018418786789461	0.0772004520076129	0.270194173028417	0.080192789796768	0.305346868310587	0.324326343733607	0.188328399902086	0.363186186533319	0.0940499342316739	0.123623438717881	0.0111486209974836	0.000972426805079838	0.0128284722612719	0.506859242904006	0.297320667292052	0.339066043801712	0.357911545144452	0.260392784553676	0.312490679770426	0.270582244924425	0.183405964861209	0.353564318060339	0.264197411221811	0.0337544824816269	0.0285886216252174	0.0290704936050215	0.0425223653502646	0.429248898335003	0.262423865125762	0.0187004540556712	0.0345071611436594	0.178617586667935	0.396474527834256	0.138350166707333	0.0470661840133761	0.472623714335634	0.050051530876911	0.374581688114706	0.340925967951225	0.0500301436665159	0.146408892361291	0.260459574824626	0.307348439745936	0.335175007365023	0.417049721494087	0.192098058398283	0.288807573495042	0.038068388130566	0.116946463478527	0.488841437442915	0.315954628910104	0.386715893962109	0.110436023482727	0.0433117454627371	0.329654892052242	0.419955414898557	0.0110171330071266	0.188281924652025	0.323281636554894	0.189068750590992	0.154954034535791	0.501444569211178	0.321163232865293	0.177000708601999	0.290513341649537	0.150498841865117	0.172940693334522	0.374900705485243	0.340979998988813	0.524972199536622	0.321359101854005	0.030085595653085	0.110167044195031	0.233407999408693	0.000210216165593515	0.017607433674649
CBX7	0.431972807954806	0.247003275954391	0.0784554056760249	1	0.364540569378173	0.292916908027184	0.268769633545941	0.212910497560907	0.238549919167884	0.222313204304916	0.454227112660653	0.160219478203612	0.402791078808156	0.368947643644513	0.321150308953787	0.376753831311062	0.429149676678133	0.120199256914156	0.615890901082776	0.294532027733196	0.574010900736501	0.624598233806793	0.588901850120801	0.651118428834495	0.301847269696778	0.24809617211661	0.346605757125115	0.471075240437277	0.261083905105756	0.445831968411141	0.526283647395803	0.193202622113631	0.611663760352879	0.0261019012575285	0.345439953643736	0.21947755829775	0.218258648903323	0.0318060835334744	0.153092415008282	0.491105974456801	0.127910916469337	0.632457860222651	0.291947855776357	0.32060300193518	0.154572130331074	0.60675329560293	0.38140865246507	0.161241810126688	0.419505768336552	0.553104008680821	0.438405265424123	0.556782469414897	0.36664707674981	0.575369666477287	0.552762646501933	0.261216250882799	0.21557118201415	0.330820368379329	0.438345053306186	0.511336523402663	0.0582070617039462	0.198141281699844	0.383473548732282	0.420884942415675	0.609536905070546	0.668093567858267	0.477747896895238	0.233129824784819	0.323814488058215	0.6020270546707	0.292773658906198	0.2270477710547	0.557587881298682	0.471348739318432	0.486485001912489	0.159699440482059	0.255719211477013	0.657578435727001	0.503227900687804	0.219616827367923	0.287162980659365	0.371240093031364	0.553033864758474	0.653532200506176	0.380070292912714	0.482011958072491	0.652306709755664	0.294092767746198
CBX8	0.272912590094376	0.234872222428633	0.171875575520044	0.364540569378173	1	0.210038568390684	0.42227607678581	0.279591199588293	0.298722386471535	0.385956227389414	0.567821452077816	0.284631008700123	0.340504950893361	0.563026538288237	0.297266070429641	0.231194830052803	0.422299191593355	0.155360573780529	0.610519618764577	0.417886244090763	0.41307574434025	0.625993014854798	0.433806727899702	0.4906622450368	0.351912055377523	0.291963757959615	0.258154237589374	0.476450450405942	0.209973860596675	0.470952499725988	0.531356254437485	0.382575381027605	0.531604527871095	0.232536770419199	0.386448146606753	0.361963717675549	0.354091220388604	0.233326584529196	0.357572108771801	0.464354719794318	0.292568539125284	0.484165549540154	0.366876461876382	0.298635015030704	0.19086388776901	0.55298883116046	0.357090448888415	0.214408995058181	0.355873582758952	0.585973619559271	0.475836241616651	0.396030580864555	0.171516269753646	0.53389517005816	0.545978970987897	0.221925438523397	0.322852866050485	0.302540107331706	0.320277479130418	0.589553465607524	0.199003217435928	0.203580278835938	0.429595295518415	0.449089784125411	0.602612718164139	0.530491212341672	0.581698655325771	0.369046294747629	0.420626803253338	0.583179325505037	0.356284740361714	0.417862727568113	0.492254333039304	0.53688745661431	0.589525156582522	0.189023072068133	0.335917130088334	0.521488899375302	0.526233212609666	0.403281614108758	0.343215127722451	0.47638233952388	0.595307360329617	0.504122415694419	0.503893745196781	0.338407552812063	0.479639291336792	0.148996013349465
CHD4	0.303313283500646	0.0460623190875067	0.38709058470034	0.292916908027184	0.210038568390684	1	0.288200511933149	0.258133337886741	0.311205729749713	0.33245382422969	0.402469817007228	0.360302170590969	0.182638811901571	0.105930432390298	0.305428275188317	0.0753161111813851	0.351217076947572	0.289311814939203	0.304676590436363	0.427996258208474	0.153363724461039	0.291277180338508	0.250134297959659	0.240853986332045	0.102761341492235	0.403860223633838	0.445584478431383	0.345435903793872	0.38147053481674	0.270780538427193	0.355069342577916	0.319266726080654	0.38377123774386	0.188677486494985	0.333668076816663	0.0575648211962127	0.0757877499099347	0.00826130070783833	0.0320379307866168	0.467011306901414	0.220351614006464	0.259358395010057	0.110758834188092	0.199623424988253	0.306000367054594	0.283281743362676	0.202976479561553	0.399292770297951	0.167197960608452	0.438692588966641	0.405984860033571	0.204024729892848	0.143966788056791	0.402185852686777	0.377776502854603	0.332208801511493	0.290251328776203	0.0221182079418415	0.407850040406867	0.2344568849344	0.0496483157960122	0.334017877922789	0.341935320594876	0.42138648146609	0.308260569077979	0.283478673333106	0.362683519931846	0.373728845939532	0.0813462716661191	0.34363404165638	0.402241821555575	0.127178807240978	0.304448531393994	0.493385442124476	0.359546439063176	0.00701048454759666	0.283152094419237	0.354583245947489	0.239154143720822	0.283750703114399	0.320746212952935	0.463458363571813	0.397562365837356	0.252488768011563	0.175984425003743	0.38971313711259	0.276952210968857	0.114862539898544
CHD7	0.14564043396054	0.168133700461161	0.309254998953869	0.268769633545941	0.42227607678581	0.288200511933149	1	0.420188341919711	0.325628704189739	0.577723588628915	0.602409326010394	0.37868301221499	0.152183978379429	0.300985718951011	0.275775473783326	0.141992717639985	0.375260774456052	0.208558522820702	0.440387009347954	0.404622261818379	0.123041621176124	0.397061232152029	0.17032188014514	0.252865592184527	0.29295852804085	0.497489240341986	0.358309661365658	0.397435415091933	0.305110668028106	0.420945845777531	0.53173174093515	0.458207566721655	0.418345698377045	0.403472895065665	0.438185787901256	0.387304995858105	0.200612323841528	0.170002093274942	0.323594791953529	0.537457297578293	0.289023806155076	0.228830844692176	0.222366676718111	0.241796411982185	0.408811173498956	0.366710693829188	0.258482198578637	0.339820762632603	0.26309815750094	0.600878181937084	0.63943186544378	0.185502218193088	0.0257059753116726	0.396639168280078	0.438253368778195	0.161649301843581	0.398905642131536	0.0843161706733821	0.303163958992482	0.423072170734493	0.314592703683548	0.325422629122949	0.384458038040106	0.514291339675222	0.397313638103805	0.288971428622737	0.446352507147443	0.61917113324638	0.377518310617873	0.437691691721762	0.467393030630937	0.399414133592086	0.317447568908254	0.613274371830063	0.550843793071614	0.0383662623432388	0.245834645037184	0.384909425134559	0.346008439759638	0.509237950934456	0.380545110376465	0.52216478372282	0.518105071371598	0.273907873483202	0.319836445228035	0.198441090906347	0.241258452860491	0.108024893143774
CTCF	0.217488344364773	0.129037821663562	0.477026587741948	0.212910497560907	0.279591199588293	0.258133337886741	0.420188341919711	1	0.344832725877731	0.453677296604088	0.524381112926086	0.411800948997586	0.108127977224348	0.194977259734014	0.349434583086325	0.106449461347481	0.428180817156209	0.293865612946021	0.375571996064681	0.43465184514748	0.179277523588875	0.313842455142759	0.196174345349968	0.225961683216455	0.172064578887481	0.522063833838363	0.300130132274332	0.361260928239555	0.338338344404858	0.345396028134393	0.459653889378814	0.311239158700563	0.302701654682623	0.247906387823286	0.392189318236412	0.171310042302067	0.0594553655819387	0.017778874430036	0.197527051922075	0.46006434878928	0.267649282474583	0.20998096030161	0.0821435271356988	0.307400411381607	0.458953487266983	0.313748451076202	0.256814691449121	0.413818171270195	0.212304161120455	0.539907154282229	0.469416450431704	0.153850880771527	0.0261352647857932	0.402050538475033	0.426607087404774	0.266138797585305	0.44887802434418	0.101362002660285	0.377234089154184	0.202184220602736	0.139393223566138	0.543162116600339	0.454897075198186	0.519284606096089	0.273122535430459	0.272302158292683	0.471825100209154	0.486548272303994	0.131971216711013	0.373881360756504	0.40046446518846	0.260020094283686	0.320739432319322	0.593674658540457	0.421624207687387	0.235230583403864	0.259027433378854	0.341101226547753	0.365367369011855	0.394266581804302	0.399649971657887	0.517475048485975	0.432992170436842	0.201818400582458	0.225058626575656	0.24707059080911	0.220899624722286	0.117078572546356
DAXX	0.242283816880552	0.0825100798833952	0.273889209059675	0.238549919167884	0.298722386471535	0.311205729749713	0.325628704189739	0.344832725877731	1	0.291469576243026	0.398313413713322	0.369285720503001	0.192143488896042	0.289796168177615	0.313369364365354	0.110156750128047	0.324615200497796	0.23161949826348	0.348455588970333	0.391720450985223	0.246225350373625	0.410693770733632	0.243616110029811	0.298894527122787	0.203498850745332	0.314850025121145	0.312901798157407	0.373587666612904	0.307115816944457	0.385839717317869	0.399269424143012	0.213853640874216	0.410510206771951	0.19489180338996	0.301459246767243	0.213189932164401	0.117243770195999	0.0409439080614331	0.140630473290735	0.445965178726459	0.243429591723779	0.305105898218523	0.139697574888572	0.163285932941399	0.289786549965606	0.306967716671837	0.25603754735239	0.259763591709705	0.235812400661746	0.420134588162788	0.37560032279592	0.233694016324795	0.0943483321883231	0.424021312102694	0.432328975579533	0.264895397719705	0.338588121323473	0.0437268418697472	0.372183006538557	0.264412052953024	0.137435361562201	0.19908976551077	0.354275970871546	0.346204320042941	0.403572798759713	0.338428614055261	0.440344328067345	0.299339332801437	0.198166788434775	0.382870295533031	0.265938825225542	0.143341214322185	0.374449894048134	0.466238250842546	0.442134643296146	0.00510248747207631	0.414844325763464	0.376314303839374	0.354267271515314	0.287161087852172	0.331930636490846	0.465866373044124	0.453447645445956	0.286790511467341	0.231045371507691	0.327210180136651	0.286236112022562	0.110102122839245
DPPA2	0.251518040614505	0.123620918997338	0.425027494566699	0.222313204304916	0.385956227389414	0.33245382422969	0.577723588628915	0.453677296604088	0.291469576243026	1	0.742514742666385	0.487413806623162	0.231416275864706	0.26060956856805	0.458734500736212	0.124709855208068	0.49135004940883	0.351725922824689	0.51101191856733	0.522619345091609	0.0678387056050819	0.39203021363286	0.137996754131343	0.182284918507909	0.251282820323914	0.484662886272022	0.363901043823997	0.455996386550687	0.367157270941845	0.410815053405089	0.705036429759108	0.51074938377377	0.413556483461077	0.335036974713518	0.441315600630356	0.347251124270088	0.122272722119384	0.157164627174364	0.349743579116221	0.642713089070066	0.257527509904292	0.231147166303174	0.206473899147129	0.186799992249723	0.428465686195869	0.353830094960643	0.247795856021209	0.397778839190804	0.200441805591569	0.640726512869902	0.739695472363373	0.140662650567327	0.0413451674066731	0.492441301329402	0.520061789590178	0.218835708415984	0.511976138723073	0.104067449561827	0.438608378453802	0.414716357514673	0.258326674254209	0.398173096134055	0.51204000817753	0.548060397181438	0.389274528268196	0.280213235032744	0.513209407252112	0.670791070284812	0.265481613258015	0.479606020059559	0.735310180156774	0.481514475221514	0.396020581074716	0.685878668333873	0.484448884990875	0.00990395833792604	0.347573141009712	0.41362677954349	0.324916954369298	0.563567830101318	0.47746273718764	0.479874990527607	0.513458086684006	0.212201899593073	0.392702149629126	0.192591920906668	0.242734857424505	0.123009140450395
