,TF,index
0,ATM,0
1,STAT4,4
2,JMJD1C,5
3,GABPA,7
4,RBL1,16
5,TAF5,17
6,RARG,20
7,ERF,21
8,EHMT2,23
9,NFIB,25
10,MCM3,30
11,MPHOSPH8,32
12,ILK,35
13,NKRF,36
14,OTX2,41
15,SATB1,46
16,FOXO1,52
17,CUX2,53
18,MAML1,54
19,SP1,56
20,ASXL1,57
21,POLR3F,59
22,REST,60
23,NFKB2,64
24,MKX,66
25,MAZ,68
26,ATF6,71
27,IRF2,73
28,ZFP42,75
29,ZFP276,77
30,MDM2,78
31,GTF2H3,79
32,STAT5A,80
33,EBF1,83
34,ZSWIM4,84
35,HEY2,90
36,RBMX,91
37,ASH2L,95
38,NCOR1,96
39,E2F4,100
40,RUVBL2,103
41,MED12,107
42,MYCN,108
43,SMARCC1,109
44,NR2F2,111
45,ZFP446,113
46,RBPJ,114
47,ILF3,119
48,KLF2,120
49,DAXX,121
50,NFKBIA,123
51,TRIM24,124
52,APEX1,125
53,TIMELESS,126
54,NONO,128
55,GZF1,132
56,SRSF3,135
57,E2F2,137
58,PBX4,140
59,CRY1,142
60,ELF4,143
61,SP8,144
62,TCF7,145
63,THRAP3,148
64,L3MBTL2,151
65,NFIA,152
66,KAT2B,153
67,ID2,158
68,SRSF1,160
69,HCFC1,168
70,TCEA1,170
71,TADA3,173
72,TGFB1,174
73,TCEA3,175
74,HES1,176
75,TRIM32,177
76,CTBP1,178
77,NFX1,179
78,DEK,180
79,EPAS1,183
80,RLIM,186
81,MAPK8,187
82,POLR1A,188
83,CTNNB1,189
84,TBX18,198
85,AES,202
86,NCOA3,204
87,FOXQ1,205
88,ZBTB7A,206
89,PIAS1,207
90,FOSL2,210
91,TOP2B,211
92,CELF3,213
93,HDGF,215
94,PMS1,217
95,SIN3A,221
96,PURA,225
97,RAPGEF3,227
98,RBM14,229
99,LMO4,233
100,KLF15,234
101,MEN1,237
102,TFAP4,240
103,RFX7,241
104,MCM6,246
105,HDAC7,249
106,IRF3,252
107,SUZ12,253
108,NRF1,254
109,GATA6,257
110,BTF3,258
111,EOMES,259
112,SRSF6,262
113,CNOT6L,264
114,TGIF1,268
115,RAI14,270
116,TMF1,271
117,CREB5,274
118,PSIP1,275
119,SMARCC2,276
120,POLR1C,278
121,POLR3B,280
122,UBTF,282
