,Gene,index
0,ATM,0
1,GRAMD1A,1
2,ERLIN1,2
3,IGFBP2,3
4,STAT4,4
5,JMJD1C,5
6,TMSB4X,6
7,GABPA,7
8,MKRN1,8
9,TINAGL1,9
10,LRRK1,10
11,GM22678,11
12,LAMP1,12
13,RPN1,13
14,GM26917,14
15,SNORA3,15
16,RBL1,16
17,TAF5,17
18,QDPR,18
19,GM23988,19
20,RARG,20
21,ERF,21
22,TPD52,22
23,EHMT2,23
24,ANXA5,24
25,NFIB,25
26,IDI1,26
27,SRI,27
28,CTNNAL1,28
29,SLC6A8,29
30,MCM3,30
31,GDPD5,31
32,MPHOSPH8,32
33,ZFP991,33
34,VCAN,34
35,ILK,35
36,NKRF,36
37,SLC20A1,37
38,GM25057,38
39,GM12112,39
40,GM49347,40
41,OTX2,41
42,ECT2,42
43,BEX1,43
44,LDLRAP1,44
45,PPP2R5A,45
46,SATB1,46
47,SETX,47
48,NEDD4,48
49,MIR3070B,49
50,GM27624,50
51,CHN2,51
52,FOXO1,52
53,CUX2,53
54,MAML1,54
55,MDN1,55
56,SP1,56
57,ASXL1,57
58,LAMB2,58
59,POLR3F,59
60,REST,60
61,IER2,61
62,BMPER,62
63,GJB3,63
64,NFKB2,64
65,COL18A1,65
66,MKX,66
67,ZYX,67
68,MAZ,68
69,SNORD43,69
70,PDIA4,70
71,ATF6,71
72,RETREG1,72
73,IRF2,73
74,CSRP1,74
75,ZFP42,75
76,GM24507,76
77,ZFP276,77
78,MDM2,78
79,GTF2H3,79
80,STAT5A,80
81,CLCN5,81
82,PRXL2A,82
83,EBF1,83
84,ZSWIM4,84
85,RPS6KA6,85
86,SELENOW,86
87,GM8741,87
88,PLK2,88
89,FABP3,89
90,HEY2,90
91,RBMX,91
92,GM15421,92
93,NCAPD2,93
94,TSPAN4,94
95,ASH2L,95
96,NCOR1,96
97,HABP2,97
98,PFAS,98
99,GGA2,99
100,E2F4,100
101,APOE,101
102,SNORA62,102
103,RUVBL2,103
104,CALR,104
105,TFRC,105
106,GM26060,106
107,MED12,107
108,MYCN,108
109,SMARCC1,109
110,GM3470,110
111,NR2F2,111
112,RIAN,112
113,ZFP446,113
114,RBPJ,114
115,NOP56,115
116,HELLS,116
117,PHLDA3,117
118,SQSTM1,118
119,ILF3,119
120,KLF2,120
121,DAXX,121
122,ASS1,122
123,NFKBIA,123
124,TRIM24,124
125,APEX1,125
126,TIMELESS,126
127,GM26092,127
128,NONO,128
129,SLC38A2,129
130,GLIPR2,130
131,PDCD6IP,131
132,GZF1,132
133,KLB,133
134,AF357399,134
135,SRSF3,135
136,SOD1,136
137,E2F2,137
138,GM22094,138
139,COL27A1,139
140,PBX4,140
141,NEU1,141
142,CRY1,142
143,ELF4,143
144,SP8,144
145,TCF7,145
146,ATP6V0E,146
147,SELENOK,147
148,THRAP3,148
149,CD9,149
150,SENP3,150
151,L3MBTL2,151
152,NFIA,152
153,KAT2B,153
154,GM44170,154
155,GM10135,155
156,EHD1,156
157,BEX4,157
158,ID2,158
159,RTN1,159
160,SRSF1,160
161,SAT1,161
162,KRT17,162
163,GM22620,163
164,KRTCAP2,164
165,ELOVL6,165
166,SNORD83B,166
167,ATP13A3,167
168,HCFC1,168
169,NUP210,169
170,TCEA1,170
171,AMPD2,171
172,PODXL,172
173,TADA3,173
174,TGFB1,174
175,TCEA3,175
176,HES1,176
177,TRIM32,177
178,CTBP1,178
179,NFX1,179
180,DEK,180
181,GM10182,181
182,CAMSAP3,182
183,EPAS1,183
184,MFGE8,184
