	APBB1	BMI1	E2F4	EGR1	EPAS1	EPOR	ESR1	ETS1	FOS	FOXO1	GATA1	GATA2	GFI1	GFI1B	HCFC1	HDAC2	HMGB2	HNF4A	HOXA9	ID2	IKZF1	IRF1	IRF8	JARID2	JUN	KLF6	MAPK1	MEF2C	MYB	MYC	MYCN	NCOA6	NDN	NFATC2	NFE2	NFE2L2	NOTCH1	NR2C1	NR3C2	NRF1	NUPR1	PGR	PLAG1	PPARGC1A	PWP1	RARB	RB1	REL	RELB	RUNX1T1	RUNX2	SATB1	SMAD2	SMARCA2	SP4	SPI1	STAT3	TCF12	TCF19	TRPS1	VDR	YBX1	ABL1	AHCTF1	AHR	BLZF1	BTG2	CBFB	CENPK	CITED4	CNOT7	CREB5	CTR9	DCP1A	DDX20	E2F6	ERCC8	GTF2E1	GTF2F1	GTF2H1	GTF3C3	H1F0	HCLS1	HDAC10	HDAC11	HDAC7	HDAC9	HDGF	HIST1H1C	HLF	IRF5	IRF6	KLF1	LZTS1	MAPK9	MCM2	MCM3	MCM4	MCM5	MCM6	MCM7	MECOM	MED16	MEIS1	MIS18BP1	NFAT5	NFATC1	NFKBIA	NR4A1	ORC2	PA2G4	PBX1	PHB2	PHF10	PML	POLR1B	POLR2B	POLR3F	PRDM16	RAI14	RNF4	RORC	RUVBL2	SNAPC3	SNRPB	SPO11	SRSF1	TAF1	TEAD3	THRB	TOPORS	TOX4	TRIB3	VHL	XAB2	XPC	XRCC5	XRCC6	ZBTB43	ZDHHC6	ZEB2	ZFP143	ZFP275	ZFP36	ZFP592	ZKSCAN17	ZSCAN21
APBB1	1	0.115132824764626	0.144337567297406	0.101273936708367	0.134715062810913	0.0993807989999907	0.18957037486389	0.142002144538376	0.184637236468999	0.203703703703704	0.115517213347279	0.134433214484466	0.074535599249993	0.128300059819917	0.286982010697426	0.17025130615175	0.180246023478625	0.126554399433667	0.0993807989999907	0.0924500327042048	0.176776695296637	0.160514470781026	0.178974948057073	0.14213381090374	0.18752167304343	0.0936585811581694	0.117309283050866	0.154564881251391	0.123091490979333	0.153619074528514	0.120281306081172	0.140028008402801	0.244411858368922	0.205152484965555	0.104756560175785	0.165024590496112	0.148148148148148	0.1187827741833	0.184637236468999	0.109108945117996	0.102576242482777	0.155523158271948	0.0936585811581694	0.150755672288882	0.0410304969931109	0.186771841909407	0.132067635948844	0.174077655955698	0.15876322406928	0.145478593490662	0.159272827522499	0.157134840263677	0.165306099689029	0.152443186793341	0.0392837100659193	0	0.136082763487954	0.140028008402801	0.0680413817439772	0.141876088459791	0.120013716637183	0.133630620956212	0.130327042490215	0.0567504353839166	0.11412279800291	0.157134840263677	0.17025130615175	0.152145154862546	0.129099444873581	0.222222222222222	0.110377696422087	0.140545673785261	0.138888888888889	0.121716123890037	0.144337567297406	0.0936585811581694	0.17025130615175	0.0410304969931109	0.1187827741833	0.145478593490662	0	0.0296956935458249	0.168393828513641	0.151619608715781	0.246182981958665	0.171088300858246	0.132453235706504	0.141876088459791	0.128300059819917	0.105409255338946	0.157134840263677	0.149071198499986	0.163299316185545	0.26403934479378	0.126172216435038	0.116642368703961	0.0833333333333333	0.0567504353839166	0.0580258853185659	0.0567504353839166	0.0785674201318386	0.127515342612668	0.0820609939862218	0.151619608715781	0.102868899974728	0.173916398249984	0.184256932797522	0.174963553055941	0.157134840263677	0.123091490979333	0.11322770341446	0.134715062810913	0.148148148148148	0.0800640769025436	0.125656172487509	0.0593913870916499	0.0702728368926307	0.0430331482911935	0.125988157669742	0.0820609939862218	0.134231211042805	0.103762134394115	0.171448166624547	0.0392837100659193	0.0721687836487032	0.051434449987364	0.074535599249993	0.0447437370142683	0.109108945117996	0.123091490979333	0.0947558739358269	0.051434449987364	0.126349673929817	0.226455406828919	0.0624390541054463	0.171088300858246	0.156812512046795	0.162221421130763	0.0481125224324688	0.109108945117996	0.0577350269189626	0.145478593490662	0.0680413817439772	0.083753151271601	0.0962250448649376	0.181443684650606	0.136082763487954
BMI1	0.315063018906302	1	0.120482899335375	0.217786202592188	0.242964765374931	0.105409255338946	0.125436301501064	0.231531111953414	0.114208048144032	0.114707866935281	0.184102734977912	0.1	0.064018439966448	0.110512418425634	0.106600358177805	0.0288195208852117	0.200111203789521	0.157134840263677	0.0742269619025206	0.169449763238576	0.166831275760287	0.178061142448941	0.173421993904824	0.204825432704685	0.0815308455141576	0.116642368703961	0.132614902110761	0.147575690382985	0.297422865946171	0.333333333333333	0.131812432549124	0.389691549988233	0.166019415030584	0.127453185483645	0.123091490979333	0.129881083366533	0.138013111868471	0.143606739475888	0.125738922692386	0.138865930150177	0.0693375245281536	0.117953564923918	0.202030508910442	0.207322107215682	0.147441956154897	0.0653565301425449	0.207019667802706	0.143090951758036	0.0893633203101749	0.141195623681226	0.107137391088871	0.29277002188456	0.0824786098842323	0.079757903402837	0.106373950081828	0.0851256530758749	0.188982236504614	0.150755672288882	0.154604136504785	0.111803398874989	0	0.223322129527944	0.0870388279778489	0.208741430361716	0.127920429813366	0.125	0.0701862406343596	0.132906068602517	0.300266282089482	0.368932393686311	0.098058067569092	0.148087219439773	0.166399480724414	0.312195270527231	0.0608580619450185	0.062347968638855	0.123920399274152	0.0816496580927726	0.122498989387506	0.122474487139159	0.165024590496112	0.0392837100659193	0.0700140042014005	0.227272727272727	0.090075469822209	0.138122776654839	0.121599417765367	0.107375295819872	0.169127522872935	0.055048188256318	0.0707106781186548	0.108073514993798	0.0657951694959769	0.171397792547765	0.0944911182523068	0.0723995900585929	0.170940864689457	0.163118174348111	0.154303349962092	0.201773308922127	0.39167472590032	0.119762626191326	0	0.344123600805843	0.142695448246348	0.132453235706504	0.0682788741998919	0.176998081351197	0.22979399584857	0.125	0.0605782532815383	0.0487950036474267	0.0685591170191061	0.0628694613461932	0.338917194702282	0.129299134776185	0.0629940788348712	0.213808993529939	0.110473635333221	0.0646095738380922	0.313206159099878	0.322748612183951	0.0755928946018454	0.458831467741123	0.355409326655455	0.261116483933547	0.0978231976089037	0.120495046625756	0.227272727272727	0.0833680772720258	0.180578779628654	0.122296268271236	0.283296349835037	0.0914300641764989	0.233582864989514	0.0870388279778489	0.134839972492648	0.163961900490569	0.0855725099681116	0.0915497214246348	0.125988157669742	0.0761386987626881	0.111340442853781	0.116051770637132	0.140372481268719	0.0439374775163747	0.290695279147
E2F4	0.144337567297406	0.0695234661988982	1	0.30697030675746	0.325	0.0322748612183951	0.281439017892117	0.368932393686311	0.426401432711221	0.336787657027282	0.30012252399939	0.291056447139875	0.258198889747161	0.375	0.258092700604382	0.184302445193621	0.210731807605881	0.328797974610715	0.419573195839137	0.100080096128179	0.331701736001889	0.338835922842746	0.348742916231458	0.215410109213832	0.337289260048138	0.446108908109597	0.101592819221789	0.216230722125325	0.293150984988964	0.216186784202265	0.40625	0.18190171877725	0.254000254000381	0.426401432711221	0.408248290463863	0.342997170285018	0.108253175473055	0.308606699924184	0.293150984988964	0.519701150387687	0.159900537266708	0.252538136138053	0.324442842261525	0.19583736295016	0.0533001790889026	0.269581933008596	0.190623212915756	0.376889180722205	0.353553390593274	0.188982236504614	0.351732502656006	0.340206908719886	0.273304083305061	0.222783197169752	0.35721725415588	0.127972674222248	0.289270955939951	0.485071250072666	0.0883883476483184	0.331744401348519	0.267261241912424	0.112193638801015	0.126974845796198	0.221162934232346	0.259437260831385	0.153093108923949	0.110581467116173	0.237170824512628	0.167705098312484	0.21650635094611	0.114707866935281	0.410791918128875	0.180421959121758	0.118585412256314	0.1875	0.527219618674978	0.0737209780774486	0.106600358177805	0.270030862433661	0.14173667737846	0.0721687836487032	0.154303349962092	0.15625	0.131306432859723	0.159900537266708	0.127000127000191	0.114707866935281	0.25802342327107	0.166666666666667	0.547722557505166	0.408248290463863	0.387298334620742	0.459619407771256	0.0857492925712544	0.070243935868627	0.108875889077336	0.180421959121758	0.184302445193621	0.188444590361102	0.184302445193621	0.170103454359943	0.276078815187116	0.106600358177805	0.426745906794098	0.267261241912424	0.451848057057532	0.348155311911396	0.126269068069026	0.382732772309872	0.161888931703271	0.098058067569092	0.425	0.0721687836487032	0.208012573584461	0.126958343769252	0.154303349962092	0.182574185835055	0.0559016994374947	0.245495126515491	0.159900537266708	0.174371458115729	0.269581933008596	0.200445931434318	0.204124145231931	0.125	0.133630620956212	0.129099444873581	0.232495277487639	0.425210032135381	0.319801074533416	0.153864363724166	0.267261241912424	0.0984798246447919	0.122572584461365	0.0811107105653813	0.158750158750238	0.113169682553148	0.163902517026796	0.375	0.0472455591261534	0.225	0.472455591261534	0.265165042944955	0.108798534972311	0.1875	0.412478955692153	0.353553390593274
EGR1	0.101273936708367	0.0962250448649376	0.30697030675746	1	0.245576245405968	0	0.209812595449949	0.351310124275978	0.355279856203214	0.270063831222311	0.270745576918284	0.245062455393638	0.226455406828919	0.263117405792109	0.181089818231745	0.155178180033562	0.197145623236058	0.302793645382448	0.249100947511811	0.140441681411581	0.304348821466759	0.274318858484796	0.30586777135732	0.107958379271883	0.262953111423425	0.369921755595907	0.0712822374419838	0.22757626663268	0.261785157202368	0.245032332788227	0.285043856274785	0.0850871259623034	0.178218367741645	0.336580916403045	0.238704958013144	0.240662735038475	0.101273936708367	0.297732579078422	0.261785157202368	0.298347094859308	0.112193638801015	0.248069469178417	0.284555196612236	0.183211444965738	0.0373978796003383	0.245896556053699	0.120375084638761	0.29088723694137	0.268741924943285	0.132598708826359	0.261309017312794	0.286445949615773	0.219157520431598	0.156315031715672	0.322251693317745	0.106407066344844	0.214241814290451	0.319076722358638	0.0620173672946042	0.310356360067123	0.218776707771298	0.027524094128159	0.0989904948940698	0.129315150027968	0.195035597245042	0.0716114874039433	0.103452120022374	0.19414506867883	0.0784464540552736	0.202547873416733	0.0804843636585534	0.320256307610174	0.126592420885458	0.0832050294337844	0.109632252413379	0.31301071627346	0.0258630300055936	0.112193638801015	0.135332990490192	0.0994490316197694	0.0506369683541833	0.135332990490192	0.0877058019307029	0.138196031911464	0.0747957592006766	0.0891091838708226	0.060363272743915	0.181041210039155	0.146176336551172	0.448358830654244	0.310316445417088	0.317037569560487	0.372104203767625	0.0300828418798093	0.0985728116180288	0.333848930444794	0.101273936708367	0.0775890900167808	0.105777177069589	0.0775890900167808	0.0716114874039433	0.213080682162166	0.112193638801015	0.230326719852439	0.0937614461876991	0.294392028877595	0.274817167448607	0.0885962389922918	0.358057437019716	0.0691163516376137	0.0688020916153781	0.263117405792109	0.0337579789027889	0.145951276623156	0.127256952595156	0.108266392392153	0.12810252304407	0.0784464540552736	0.229667700705286	0.112193638801015	0.183520662814392	0.302641915143014	0.171895984677448	0.143222974807887	0.0657793514480272	0.0937614461876991	0.0679366220486757	0.122347108542928	0.265197417652718	0.243086217402199	0.107958379271883	0.187522892375398	0.0690980159557318	0.103203137423067	0.0569110393224472	0.111386479838528	0.11116714294075	0.147859217427043	0.30697030675746	0	0.192952764247546	0.298347094859308	0.248069469178417	0.0916057224828689	0.131558702896054	0.330759292237889	0.310086836473021
EPAS1	0.134715062810913	0.186096842079694	0.325	0.245576245405968	1	0.0774596669241483	0.225151214313693	0.337309617084627	0.319801074533416	0.3079201435678	0.325847311770767	0.294937199768406	0.180739222823013	0.333333333333333	0.160591013709393	0.117953564923918	0.168585446084705	0.263038379688572	0.309838667696593	0.144115338424578	0.32659863237109	0.291920179679905	0.278994332985166	0.172328087371066	0.254840774258593	0.291998558035373	0.0406371276887158	0.271832907814695	0.234520787991171	0.212860833676077	0.3	0.0727606875108999	0.177800177800267	0.362441217804538	0.2993820796735	0.274397736228014	0.134715062810913	0.277746029931765	0.21320071635561	0.41576092031015	0.0852802865422442	0.262639661583575	0.25955427380922	0.174077655955698	0.0426401432711221	0.237232101047565	0.167748427365865	0.33166247903554	0.235702260395516	0.113389341902768	0.264833884352758	0.272165526975909	0.218643266644048	0.118817705157201	0.285773803324704	0.291920179679905	0.244273251682626	0.412310562561766	0.0707106781186548	0.265395521078815	0.249443825784929	0.516397779494322	0.05643326479831	0.147441956154897	0.281674740331218	0.0816496580927726	0.117953564923918	0.221359436211787	0.134164078649987	0.173205080756888	0.114707866935281	0.292118697336089	0.144337567297406	0.126491106406735	0.125	0.38933141071383	0.0884651736929383	0.0852802865422442	0.123442679969674	0.0755928946018454	0	0.0617213399848368	0.2	0.105045146287778	0.127920429813366	0.101600101600152	0.137649440322337	0.206418738616856	0.166666666666667	0.365148371670111	0.32659863237109	0.335658556671309	0.311126983722081	0.0342997170285018	0.0749268649265355	0.114707866935281	0.0866025403784439	0.0884651736929383	0.0904534033733291	0.0884651736929383	0.0816496580927726	0.287121967794601	0.0852802865422442	0.367658012007223	0.160356745147455	0.309838667696593	0.348155311911396	0.0808122035641769	0.306186217847897	0.0741249316661101	0.0784464540552736	0.32	0.0962250448649376	0.110940039245046	0.116076200017602	0.0925820099772552	0.109544511501033	0.0447213595499958	0.261861468283191	0.127920429813366	0.139497166492583	0.28036521032894	0.124721912892465	0.122474487139159	0.075	0.0801783725737273	0.103279555898864	0.162746694241347	0.377964473009227	0.277160931262294	0.0984731927834662	0.160356745147455	0.0787838597158335	0.137281294596729	0.0324442842261525	0.127000127000191	0.0724285968340148	0.112390297389803	0.25	0.0377964473009227	0.16	0.340168025708305	0.282842712474619	0.121854359168988	0.15	0.329983164553722	0.353553390593274
EPOR	0.0993807989999907	0.180421959121758	0.0322748612183951	0	0.0774596669241483	1	0.127167673414733	0.0816496580927726	0.055048188256318	0.0248451997499977	0.0442807442770048	0.0400802408028101	0.0333333333333333	0.086066296582387	0.0592348877759092	0.038069349381344	0.0483650833406674	0.0212238179989004	0.0333333333333333	0.0620173672946042	0.0790569415042095	0.0269190951029083	0.0300150112593832	0.0317820863081864	0.096764124964523	0.0418853908291695	0.1049246125174	0.0638063227222696	0.027524094128159	0.0343502693286363	0.0322748612183951	0.0939336436627724	0.0327912917891977	0.027524094128159	0.0702728368926307	0.0664211164155071	0.149071198499986	0.0398409536444798	0.110096376512636	0.0487950036474267	0.027524094128159	0.10432810619146	0.0418853908291695	0.0449466574975495	0	0.0278423023194852	0.0393749615479079	0.0389249472080761	0.0608580619450185	0.0975900072948533	0.0641060764756032	0	0.0604858378909134	0.0511309992564914	0.052704627669473	0.223883367797248	0.0995859195463938	0.0626224291085149	0	0.038069349381344	0.0230021853114118	0.133498247846995	0.0437130189471936	0.038069349381344	0.0382779501175476	0.105409255338946	0.0761386987626881	0.0408248290463863	0.0577350269189626	0	0.0888523316638639	0.0471404520791032	0.0372677996249965	0.0408248290463863	0.0322748612183951	0	0.038069349381344	0	0.0398409536444798	0	0	0	0.0968245836551854	0	0.110096376512636	0.0327912917891977	0.0592348877759092	0.114208048144032	0.0430331482911935	0	0.105409255338946	0.0333333333333333	0.0365148371670111	0.0885614885540095	0.0725476250110012	0.169711058325533	0	0.038069349381344	0	0.0761386987626881	0.0351364184463153	0.0570265948512201	0	0.135612700724162	0.0690065559342354	0	0.0449466574975495	0.0782460796435952	0.052704627669473	0.112350882940971	0	0.0516397779494322	0.149071198499986	0.0358057437019716	0.0561951486949016	0.0796819072889596	0	0	0.0281718084909506	0	0.0600300225187664	0.0556846046389705	0.0690065559342354	0	0.0322748612183951	0.0345032779671177	0.0666666666666667	0.0300150112593832	0	0.082572282384477	0.0635641726163728	0	0.0339031751810405	0.0506369683541833	0	0.0655825835783953	0.0467524582212184	0.0241825416703337	0	0.0975900072948533	0	0.0487950036474267	0	0.0224733287487747	0.0645497224367903	0.0608580619450185	0
ESR1	0.18957037486389	0.318511028635303	0.281439017892117	0.209812595449949	0.225151214313693	0.127167673414733	1	0.252163357044325	0.285014251068839	0.216651856987303	0.265465163548174	0.240282945860364	0.18166810487819	0.257985766401107	0.177557981781208	0.176357657179389	0.197693843237432	0.26604266479565	0.254335346829466	0.123932353445399	0.22979399584857	0.205394321680007	0.196299727682028	0.138570993328399	0.274231701159019	0.228277187220526	0.123899460822244	0.147792565034562	0.150007500562547	0.215292017419113	0.228669202037345	0.153582723256672	0.178713955075539	0.300015001125094	0.191494996540475	0.217198770175779	0.121866669555358	0.260561899624768	0.345017251293858	0.239341387684114	0.135006750506292	0.398014876083996	0.182621749776421	0.195968978116534	0.0600030002250188	0.227612623402193	0.12875714359308	0.254571170103892	0.215591391212164	0.132967437602285	0.209628529640985	0.191494996540475	0.186801908207398	0.139333076031824	0.22979399584857	0.0502518907629606	0.199007438041998	0.221841711370748	0.0497518595104995	0.248975516017961	0.22565322433338	0.0680413817439772	0.103236397038334	0.0829918386726536	0.198185655709588	0.143621247405357	0.103739798340817	0.177997663795994	0.0943975163291329	0.203111115925597	0.0968498082442952	0.256917497769354	0.121866669555358	0.133498247846995	0.0879496930912865	0.205449468498474	0.103739798340817	0.0900045003375281	0.130280949812384	0.106373950081828	0	0.108567458176987	0.175899386182573	0.110864260520872	0.120006000450038	0.142971164060431	0.0807081735369127	0.186731637013471	0.140719508946058	0.256917497769354	0.268092995156666	0.236168536341647	0.238808925650397	0.0723995900585929	0.0922571268441351	0.3	0.0812444463702388	0.0622438790044902	0.063642792525973	0.0829918386726536	0.0574484989621426	0.170938571335579	0.120006000450038	0.203251144288266	0.11282661216669	0.236168536341647	0.25720928377795	0.142148170029998	0.287242494810713	0.0381801774160606	0.0551947324660882	0.225151214313693	0.162488892740478	0.117085708837645	0.102088661667509	0.0868539665415895	0.128458748884677	0.0314658387763776	0.184245086143522	0.0600030002250188	0.196299727682028	0.227612623402193	0.18804435361115	0.0861727484432139	0.0527698158547719	0.0752177414444602	0.054500431463457	0.147224795761521	0.212747900163657	0.270013501012584	0.0866068708302494	0.15043548288892	0.0923868837673937	0.13798683116522	0.0228277187220526	0.125099768552877	0.0891810200761778	0.118616305942459	0.211079263419088	0.0797804625613713	0.126647558051453	0.265934875204571	0.0995037190209989	0.134728672455117	0.140719508946058	0.265343250722664	0.223883367797248
ETS1	0.142002144538376	0.166525123824432	0.368932393686311	0.351310124275978	0.337309617084627	0.0816496580927726	0.252163357044325	1	0.471939903724269	0.324576330373432	0.343473224879539	0.359979175360798	0.244948974278318	0.351364184463153	0.266007958373671	0.186500961648063	0.256684513695607	0.363912671437025	0.353815185068681	0.15191090506255	0.344265186329548	0.351669585811086	0.367607311046904	0.12974982402692	0.331831824197984	0.376192062431223	0.0856705873756239	0.247463810635445	0.269679944985297	0.266445335877392	0.368932393686311	0.17895849739772	0.187417843410583	0.42699324622672	0.344265186329548	0.361550763031094	0.142002144538376	0.325300024316178	0.292153273734072	0.438250490089278	0.134839972492648	0.31943828249997	0.307793505625546	0.220192753025272	0.0449466574975495	0.272797735788189	0.225046650346192	0.381385035698237	0.298142396999972	0.239045721866879	0.348949281726809	0.286887655274623	0.296318878994877	0.208741430361716	0.387298334620742	0.12636013414399	0.379453959818146	0.460178993308422	0.074535599249993	0.248667948864084	0.244155673588238	0.126349673929817	0.0951774146997666	0.124333974432042	0.296911246261047	0.129099444873581	0.0932504808240314	0.233333333333333	0.14142135623731	0.243432247780074	0.169277791692336	0.423390197405726	0.152145154862546	0.166666666666667	0.184466196843155	0.341992784028385	0.0621669872160209	0.134839972492648	0.162650012158089	0.159363814577919	0.0608580619450185	0.0975900072948533	0.184466196843155	0.110727306471653	0.179786629990198	0.107095910520333	0.145095250022002	0.248667948864084	0.140545673785261	0.461880215351701	0.459020248439397	0.462681395859045	0.447213595499958	0.0361550763031094	0.0987248129598487	0.080582296402538	0.121716123890037	0.124333974432042	0.127128345232746	0.155417468040052	0.114755062109849	0.256091108448845	0.179786629990198	0.359863746032873	0.169030850945703	0.408248290463863	0.385337317794226	0.149071198499986	0.408814908766338	0.0592348877759092	0.124034734589208	0.400555170287995	0.0811440825933579	0.146176336551172	0.137649440322337	0.130120009726471	0.1539600717839	0.0942809041582063	0.322030594359765	0.179786629990198	0.196057232558349	0.295530880437205	0.206593262266971	0.172132593164774	0.105409255338946	0.112687233963802	0.136082763487954	0.171550078488555	0.398409536444798	0.292153273734072	0.12974982402692	0.169030850945703	0.08304547985374	0.124034734589208	0.0683985568056769	0.187417843410583	0.133606278006569	0.197449625919697	0.316227766016838	0.0398409536444798	0.168654808542314	0.358568582800318	0.223606797749979	0.110096376512636	0.158113883008419	0.397523195999963	0.372677996249965
FOS	0.184637236468999	0.159363814577919	0.426401432711221	0.355279856203214	0.319801074533416	0.055048188256318	0.285014251068839	0.471939903724269	1	0.287213478951776	0.383918022666744	0.330951696160748	0.247716847153431	0.355334527259351	0.244557994022259	0.157173653365483	0.199680765957718	0.38554980047803	0.385337317794226	0.102418311299838	0.348155311911396	0.35564337957951	0.346977117967627	0.157459164324443	0.527342286982989	0.415028678319645	0.129957971008029	0.263431684886916	0.318181818181818	0.2836380138987	0.346451164077867	0.206835075998008	0.189535626375859	0.5	0.435194139889245	0.365636212063565	0.143606739475888	0.296078262731896	0.340909090909091	0.443202630213959	0.181818181818182	0.279974819965066	0.27668578554643	0.185567404756301	0.0454545454545455	0.275880293923022	0.178820424409648	0.385694607919935	0.301511344577764	0.201455741006345	0.335247719789278	0.29012942659283	0.332963579106013	0.232210182006412	0.39167472590032	0.145679136687016	0.301511344577764	0.439524536495766	0.150755672288882	0.251477845384773	0.227921152919276	0.235969951862135	0.0721896748877133	0.125738922692386	0.300266282089482	0.130558241966773	0.125738922692386	0.235969951862135	0.143019388386839	0.246182981958666	0.0978231976089037	0.428174419288838	0.153864363724166	0.202259958738973	0.133250447722257	0.380442955126341	0.0943041920192897	0.136363636363636	0.164487923739942	0.201455741006345	0.0615457454896664	0.131590338991954	0.186550626811159	0.111978502191171	0.136363636363636	0.135382590268471	0.146734796413356	0.220043114711676	0.177667263629675	0.544949260913066	0.435194139889245	0.412861411922385	0.391964747951093	0.0365636212063565	0.139776536170403	0.209624975741642	0.123091490979333	0.125738922692386	0.128564869306645	0.157173653365483	0.116051770637132	0.235440804674006	0.181818181818182	0.363930132121305	0.170940864689457	0.385337317794226	0.389691549988233	0.193828721514277	0.435194139889245	0.29277002188456	0.0836242010007091	0.383761289440099	0.0820609939862218	0.177393718796725	0.154672056222437	0.131590338991954	0.194624736040381	0.0953462589245592	0.279145263119541	0.136363636363636	0.198272638838644	0.275880293923022	0.208927723509336	0.174077655955698	0.106600358177805	0.113960576459638	0.110096376512636	0.198272638838644	0.40291148201269	0.318181818181818	0.131215970270369	0.170940864689457	0.0839838766433782	0.167248402001418	0.0691714463866075	0.216612144429553	0.173720573208491	0.239616919149262	0.319801074533416	0.080582296402538	0.191880644720049	0.40291148201269	0.226133508433323	0.111340442853781	0.159900537266708	0.402015126103685	0.339200262649984
FOXO1	0.203703703703704	0.294883912309794	0.336787657027282	0.270063831222311	0.3079201435678	0.0248451997499977	0.216651856987303	0.324576330373432	0.287213478951776	1	0.26403934479378	0.209118333642503	0.198761597999981	0.224525104684854	0.198679853559757	0.156063697305771	0.162221421130763	0.268928098796541	0.273297197249974	0.0924500327042048	0.255344115428476	0.300964632714423	0.335578027607012	0.165822779387697	0.288494881605277	0.312195270527231	0.104274918267437	0.202123306251819	0.22566773346211	0.204825432704685	0.288675134594813	0.116690007002334	0.195529486695138	0.369274472937998	0.288080540483408	0.280541803843391	0.138888888888889	0.296956935458249	0.246182981958665	0.363696483726654	0.123091490979333	0.291605921759902	0.249756216421785	0.234508823560483	0.0410304969931109	0.269781549424699	0.146741817720937	0.348155311911396	0.249485066394583	0.181848241863327	0.254836524035998	0.261891400439462	0.210389581422401	0.152443186793341	0.314269680527354	0.0415945165403851	0.235052046024648	0.326732019606536	0.0680413817439772	0.255376959227625	0.205737799949456	0.193046835626336	0.108605868741846	0.113500870767833	0.185449546754729	0.157134840263677	0.141876088459791	0.213003216807565	0.129099444873581	0.222222222222222	0.110377696422087	0.316227766016838	0.138888888888889	0.121716123890037	0.168393828513641	0.312195270527231	0.0851256530758749	0.0820609939862218	0.17817416127495	0.145478593490662	0.0555555555555556	0.1187827741833	0.0962250448649376	0.151619608715781	0.123091490979333	0.0733235575106767	0.0883021571376696	0.227001741535666	0.160375074774896	0.386500602909469	0.340458820571301	0.347832796499967	0.32659863237109	0.0330049180992225	0.0901230117393125	0.157485197087178	0.111111111111111	0.113500870767833	0.116051770637132	0.113500870767833	0.130945700219731	0.255030685225335	0.123091490979333	0.277969282645598	0.154303349962092	0.32298759674997	0.318261974832084	0.136082763487954	0.314269680527354	0.120006000450038	0.188712839024099	0.288675134594813	0.0740740740740741	0.133440128170906	0.111694375544452	0.1187827741833	0.105409255338946	0.0430331482911935	0.251976315339485	0.164121987972444	0.178974948057073	0.290533976303522	0.222882616611911	0.157134840263677	0.0962250448649376	0.102868899974728	0.124225998749988	0.111859342535671	0.290957186981323	0.246182981958665	0.165822779387697	0.205737799949456	0.202159478287708	0.0943564195120496	0.0936585811581694	0.171088300858246	0.121965287147507	0.1441968187829	0.240562612162344	0.0363696483726654	0.173205080756888	0.290957186981323	0.204124145231932	0.083753151271601	0.144337567297406	0.362887369301212	0.340206908719886
