	APBB1	BMI1	E2F4	EGR1	EPAS1	EPOR	ESR1	ETS1	FOS	FOXO1	GATA1	GATA2	GFI1	GFI1B	HCFC1	HDAC2	HMGB2	HNF4A	HOXA9	ID2	IKZF1	IRF1	IRF8	JARID2	JUN	KLF6	MAPK1	MEF2C	MYB	MYC	MYCN	NCOA6	NDN	NFATC2	NFE2	NFE2L2	NOTCH1	NR2C1	NR3C2	NRF1	NUPR1	PGR	PLAG1	PPARGC1A	PWP1	RARB	RB1	REL	RELB	RUNX1T1	RUNX2	SATB1	SMAD2	SMARCA2	SP4	SPI1	STAT3	TCF12	TCF19	TRPS1	VDR	YBX1	ABL1	AHCTF1	AHR	BLZF1	BTG2	CBFB	CENPK	CITED4	CNOT7	CREB5	CTR9	DCP1A	DDX20	E2F6	ERCC8	GTF2E1	GTF2F1	GTF2H1	GTF3C3	H1F0	HCLS1	HDAC10	HDAC11	HDAC7	HDAC9	HDGF	HIST1H1C	HLF	IRF5	IRF6	KLF1	LZTS1	MAPK9	MCM2	MCM3	MCM4	MCM5	MCM6	MCM7	MECOM	MED16	MEIS1	MIS18BP1	NFAT5	NFATC1	NFKBIA	NR4A1	ORC2	PA2G4	PBX1	PHB2	PHF10	PML	POLR1B	POLR2B	POLR3F	PRDM16	RAI14	RNF4	RORC	RUVBL2	SNAPC3	SNRPB	SPO11	SRSF1	TAF1	TEAD3	THRB	TOPORS	TOX4	TRIB3	VHL	XAB2	XPC	XRCC5	XRCC6	ZBTB43	ZDHHC6	ZEB2	ZFP143	ZFP275	ZFP36	ZFP592	ZKSCAN17	ZSCAN21
APBB1	1	0.0723202134253468	0.0876343860932339	0.108513156319005	0.0594263873137818	0.174956392989597	0.0911931566890794	0.121462434069299	0.122191105779711	0.0347700979849166	0.209267070494447	0.00281776343609926	0.0511740860939105	0.173948708322649	0.136285503234591	0.0856491931816982	0.197991193026138	0.023381574251475	0.0912776843663336	0.00533831056090493	0.138921012030957	0.0975514656672353	0.03302822127392	0.104675852792399	0.161645047893747	0.13104008636292	0.100092829471392	0.166008077421428	0.139799400270926	0.156341916752799	0.145562981859679	0.0346136491111156	0.157076026908019	0.0719850021240064	0.0398931368656473	0.127187286163973	0.118025806657255	0.0423092586419496	0.127242122002013	0.0586441688468633	0.0369426654936925	0.026547673547077	0.0804882167684353	0.0622432945555354	0.050601779936891	0.0575273094849866	0.0945247642993975	0.108273860590714	0.0946318552290537	0.166529441231591	0.126163372855148	0.0424351957929518	0.0247680624989295	0.0985940734790928	0.0357127174002131	0.108862110047673	0.0576981997266497	0.0631625051664666	0.106652365819347	0.0404720797705469	0.0292245352455322	0.195034932285379	0.0292871264994467	0.113270614391161	0.014069748897191	0.0065723051575369	0.0679177600253037	0.0335978496353216	0.142174207913991	0.13128543526744	0.029978204169505	0.0725213562272574	0.0964757993864722	0.0325526763676679	0.114647338561055	0.0703256247522993	0.107276149790722	0.0366500333055345	0.107286388748519	0.086210873211062	0.00504276835857002	0.0746995351851311	0.0670195113620467	0.0129254767016541	0.0935138658631404	0.141972214897673	0.0521373791923864	0.17128520043331	0.00139894706616476	0.205783604601417	0.101956727814305	0.137318471987178	0.211138444957084	0.114172056171004	0.0982675710287688	0.124520950784641	0.0934867625234342	0.105781852252855	0.121847608309596	0.142600679704238	0.160943484536654	0.199332106682344	0.0637649190442355	0.156692168962267	0.128091637263476	0.0981701978662291	0.0151087817603667	0.0581711816551227	0.0672449966537304	0.0773484842668532	0.115068970688744	0.0943505282175129	0.175846489721387	0.12508627816448	0.0117966262861033	0.0643892841658342	0.0641141974164455	0.0315069301076385	0.0981615277622227	0.0256062754702565	0.109651131953427	0.0765972993152538	0.0690299030535469	0.0229097110683358	0.0974959070580516	0.0734591372930112	0.0916254651627414	0.120746028137723	0.00630454961752867	0.0523578838021185	0.0485781844868323	0.013125843175093	0.105825475573079	0.0489550674730263	0.0773698979955176	0.0300010008729258	0.0763216873028577	0.11167902709714	0.0728471595916121	0.106826950036649	0.0944620711655442	0.0662778764323714	0.0396336638167348	0.154929688461963	0.0391544098655126	0.0651480783816617	0.0560320546099449
BMI1	0.0723202134253468	1	0.151414690540885	0.00478254239688834	0.0540946072205232	0.180433924191303	0.022568436414447	0.0236850063046024	0.0463859753232345	0.0344497325997258	0.142162439411962	0.092163352232643	0.0172522054733489	0.166344429217887	0.145948411500201	0.0825603508527493	0.167134464396518	0.062356022698021	0.0401815567865724	0.0124913776629076	0.130805577861592	0.0282943807216167	0.0273341830475432	0.015792910615182	0.0759690892804119	0.0121376613029327	0.099366872022918	0.125058119522052	0.0247448332900247	0.0582560250321043	0.0746815207906326	0.0447504451519053	0.054691687032768	0.0232973116985437	0.0635540645555086	0.113909067101618	0.0336830082962521	0.0059842087005048	0.0228225735553186	0.0790779806594655	0.0301395975205077	0.0204866740107048	0.041106079695616	0.0400052264783624	0.107921370512566	0.0177586604333155	0.0972762495415011	0.0627161532824533	0.0364773638085499	0.0120327134107927	0.0566375219385147	0.0149660036267979	0.0482532869044716	0.0542377089909527	0.0992409679905632	0.103980174340281	0.0729865912345537	0.021762922447003	0.144770526995566	0.0820698612152445	0.00569916168557295	0.184867734756772	0.0624902920830232	0.138279413696933	0.0337320732077275	0.0630856200093051	0.0294577541961081	0.0401664308601018	0.174078193911698	0.159298910955914	0.0537613804943547	0.0109955358645947	0.0357902505682511	0.0537374388046893	0.127629428037448	0.10554905460676	0.0737528732403992	0.0495903368555449	0.116547632286564	0.143000148351603	0.109614756060962	0.0174463219226418	0.0190027432823526	0.00667387045463155	0.0228722390211435	0.100500580207761	0.019683873068471	0.137483484940445	0.0418115734178358	0.0970606815289773	0.00919290210087993	0.0451253484130704	0.148178769619698	0.0349971214143627	0.105529989025066	0.160435671024363	0.161882711846128	0.162530896373569	0.1760253975381	0.177205906409434	0.171298242236187	0.0760090273287095	0.0569233032167394	0.137307397864034	0.170412307971187	0.0450518269332085	0.0380618710225275	0.00554125391340517	0.0411285613278431	0.157820557655982	0.154778178982885	0.069629767015887	0.156829756570604	0.187335143053675	0.132084829946658	0.069989514635813	0.123171456898833	0.037899100222635	0.00943586542492951	0.0141009632024615	0.0968559992249739	0.0113192666653966	0.131020171658795	0.096683123348504	0.172582213925295	0.0443982718964999	0.11467496422082	0.0785149574365923	0.0165505605771344	0.0118355009600492	0.0566425247747504	0.0410629282098686	0.0353927081894535	0.0559489976105694	0.0498464736783409	0.0257324921641088	0.119627303641456	0.142687839514416	0.0449705254882774	0.162835048093965	0.00189669280506771	0.168008280005906	0.000832155144438979	0.0909132781026801	0.0645940715674043	0.0272444433558849	0.0662557124121714
E2F4	0.0876343860932339	0.151414690540885	1	0.10673964421042	0.0578657578653422	0.509215518756346	0.113856628868266	0.135655524512214	0.178503559221346	0.0865302138595695	0.489675338262817	0.171889538267429	0.117181556771098	0.433326020156948	0.3545837227942	0.341898750406623	0.478555040977965	0.0383645604841743	0.252784682485625	0.0619903689693446	0.308858118706243	0.201587468171576	0.116767637242147	0.169848689206968	0.247798863683135	0.211930853758425	0.269108011225051	0.311779065465407	0.13185853104592	0.285039419924253	0.267084177575503	0.196173398457135	0.227613841578578	0.157428575499403	0.0921474868683981	0.278615982835301	0.17565410778788	0.13683950390441	0.105804801484148	0.287896991248628	0.0937600145341798	0.0953820932389059	0.0715871595463786	0.0954881263436523	0.255770752402727	0.0282144762970973	0.281264911190284	0.142623768705142	0.115203630966299	0.16056774489235	0.248731979028919	0.162608925813371	0.136580908836351	0.210814871036966	0.192741305725289	0.309082147538878	0.20109235885913	0.204481897490201	0.337112623088449	0.173251360311953	0.115833404046342	0.526949482436656	0.081267188472754	0.39086506839037	0.0493074557584182	0.214011241937847	0.137897703633452	0.152278591016725	0.504925706231525	0.545169858053126	0.16656279256589	0.120287710561259	0.229439195890541	0.131148369584163	0.342550699387249	0.32570154963777	0.285389056406256	0.21557808890875	0.393801915466888	0.351190006373649	0.21816635428304	0.10904766483331	0.161293670774426	0.143027313029178	0.127254966868152	0.251540159527313	0.114124712655948	0.429025957616252	0.130419160455415	0.391600838446561	0.176938196111082	0.149130803774791	0.503542858894866	0.10370231236588	0.313141604916032	0.466301442432889	0.427688452544862	0.454968487746356	0.493723759217275	0.334324177609063	0.467513478118901	0.306601342610274	0.211478327661556	0.416502238287672	0.36417158570131	0.133034394519778	0.14665370652704	0.112722276279609	0.108539427030263	0.438245722805318	0.430165581672335	0.237526356286027	0.454315177991122	0.463468896924286	0.220357073502086	0.363080902886541	0.31163574743221	0.142519622032061	0.11542987972334	0.108530616861866	0.285823983630812	0.114192016008425	0.425958695157976	0.161747316184459	0.429603428135482	0.107416819133313	0.358709058326538	0.221594712250058	0.112232712537733	0.108519202405499	0.170297594419338	0.118190083159233	0.145115144095731	0.128490726436312	0.137888049765661	0.0976244790727324	0.322239493057294	0.375263423920675	0.15140972782103	0.421759066070016	0.179781559307813	0.172602676760122	0.119008309474455	0.319401180844529	0.189333750093945	0.139647417546699	0.185802761041348
EGR1	0.108513156319005	0.00478254239688834	0.10673964421042	1	0.0204139768133128	0.131808217060839	0.0400180080120546	0.0680501918650624	0.491482723380633	0.0738814515449954	0.164952965881802	0.161635843826311	0.0137589733401139	0.115655458852124	0.184404082353479	0.113941729370987	0.1291721649435	0.0230587754457263	0.1123584239569	0.104145892297237	0.0936762651484422	0.0470281342377938	0.0880343858276196	0.0183198754290988	0.432830671592324	0.268437131831289	0.130292843360113	0.0927715812852432	0.0222573247622338	0.0869802096448489	0.131172141730963	0.0568587589462617	0.117757241349528	0.0530962245016239	0.056769062586789	0.0752701537680085	0.119621282830412	0.00430314000759557	0.06129972332485	0.079683643426	0.0633721700743971	0.000320750233220382	0.0486139187938513	0.0366189185813547	0.133851015939023	0.062467304214371	0.0555722458593105	0.095456740851565	0.072116288350935	0.127668750925104	0.0286948590344138	0.0241486763815423	0.00782375418830838	0.122204883526326	0.0464777231329753	0.107999393832032	0.0524292123063867	0.0687159999321455	0.0393009205475941	0.0618843697895653	0.10997116525576	0.135102769920773	0.00488305874499034	0.140714761016639	0.00836791545944188	0.10150258136029	0.24870537057941	0.0695072525846779	0.156384633032858	0.156313198557232	0.107509166329348	0.0373915703840318	0.0256804691754216	0.0469267688150705	0.101321476050419	0.0426239428773001	0.104815483135334	0.0827117901533288	0.102251804851859	0.110077097729429	0.00318942205754213	0.0555074429436391	0.0441231211375408	0.0243680648224196	0.0929059877131183	0.0101118563050528	0.0308810767782762	0.11143850748544	0.107092105354533	0.147578436495638	0.0291163577700176	0.0366588148955324	0.136422789132827	0.0267875082311471	0.0833296521723966	0.123614110910512	0.1056681286169	0.128809119872071	0.101877490932471	0.117293344232705	0.0990597176420133	0.140598965367779	0.0337906964804556	0.215302513383926	0.103489268897096	0.0477598151104227	0.0772575725327991	0.111331224420477	0.131559706524203	0.148507567952149	0.150190330274962	0.118596607034413	0.145961615591712	0.135768785024084	0.0553686616880225	0.127472488421632	0.107654354798228	0.0285669317905547	0.150093607127039	0.0988249367457031	0.133690239915059	0.121433146404033	0.130790648652529	0.0209624063774202	0.15066422652306	0.0724784150503449	0.0772423708451725	0.103746029208665	0.0919482058002401	0.00558687170835596	0.0606382791611018	0.0404306777077236	0.0875046133692937	0.0526397335690616	0.0555894574262721	0.00260957330187519	0.000505409673271123	0.116188251312454	0.0278788860144833	0.104217170512804	0.00934268158207326	0.0741691813806675	0.0614868029551887	0.329332604990037	0.0215773802064647	0.0647492990448972	0.043869692077595
EPAS1	0.0594263873137818	0.0540946072205232	0.0578657578653422	0.0204139768133128	1	0.0751492267718411	0.000984621897072131	0.020925709543422	0.0323047493280302	0.00218983403930336	0.0872000281745428	0.01282251184262	0.0781323589104804	0.0470272192166511	0.0419639162513048	0.0543839114749856	0.118649377926991	0.0184018450758067	0.0428730263302627	0.0240442362916994	0.0520211273080723	0.060473470720956	0.0105035837158691	0.0390379478051672	0.0271369264608567	0.0492248674035238	0.0430577279345507	0.0420385777063558	0.130304267451663	0.0973206666459913	0.0783066872766808	0.0256879092301924	0.110829826854472	0.00543733221697404	0.0268388347774232	0.0911725757814092	0.0667346834799888	0.0163603426976606	0.124417307439301	0.00923050578742662	0.0785524098523765	0.0571707838350439	0.00511185399564805	0.1080619468521	0.0450778445692695	0.139690338254105	0.0568113864065466	0.0339209189607462	0.0420222528027666	0.119552827372484	0.0207834077674211	0.0193598045003954	0.000406841630389538	0.0921031266503286	0.00254546611769467	0.0739323177570782	0.0680488314993706	0.0177125138507887	0.0506132619583525	0.0275162619600064	0.0113911804593728	0.0905548855359376	0.0233652839183826	0.00296940170065055	0.059130983533446	0.0353011139747112	0.00816009293961285	0.0346872562878172	0.0902175302029573	0.061970139751172	0.0325774350933183	0.0615149416837743	0.0491047818662024	0.000378949333282826	0.0367564218901682	0.0029361304633037	0.0457827818091873	0.00856205678289011	0.061797242228147	0.0419955601380236	0.022188912341003	0.0484259574071452	0.0151449238267744	0.00806771062012122	0.068372740783847	0.0694633787655527	0.0420621166008422	0.08253081391705	0.0368714009016809	0.110249622665486	0.0211359820461394	0.126894661340654	0.0888547081485377	0.0621059234031437	0.0841551434401308	0.123698641296679	0.129569935836754	0.0599690554954891	0.103026080714541	0.086631595671846	0.121152597946276	0.123505167296463	0.040340188139301	0.0612428077722425	0.0652783500841728	0.0625712560339897	0.0193156439243711	0.0367432010666363	0.0459625515831086	0.044818691055007	0.0780118287008097	0.058758790035812	0.0990572820318362	0.0386033873300017	0.0281801521154731	0.115557086018777	0.0273820972336869	0.0286168508645437	0.0464087141715996	0.030356941730434	0.0554334350892562	0.0546177430888658	0.0712839675058339	0.0235416771255611	0.065726443455	0.00829128138677668	0.088857298535534	0.00221121064548509	0.00435072862215558	0.05247387836504	0.0186788729922831	0.0134589009743626	0.0528156004265444	0.0990861516773249	0.0563927357471869	0.00945803692147198	0.0638153480328501	0.082108489303298	0.0287883394566941	0.0157323481987158	0.0419973074432425	0.0201239803573843	0.0297549075923458	0.101052044152362	0.00285702266215733	0.0573806380227875	0.0436982894813212
EPOR	0.174956392989597	0.180433924191303	0.509215518756346	0.131808217060839	0.0751492267718411	1	0.266935259420316	0.22486602823298	0.289432938311263	0.139860120414931	0.738362294732543	0.152012083177523	0.188390200659911	0.632991411676526	0.475313801896605	0.306868997368124	0.613941092039873	0.177776037696978	0.428929928882298	0.1551893612616	0.397928864608068	0.377633795491943	0.19181230366246	0.24123533332419	0.396628582884297	0.348450268873673	0.336106480512463	0.409461381085757	0.240143981233085	0.331729152043577	0.388759656838458	0.24939322432068	0.313340725471555	0.245339807661161	0.203949204470206	0.389544808650581	0.288779161934173	0.146945984189686	0.104788912478516	0.319201246726699	0.0649863287705525	0.175213130265392	0.0800490513868408	0.129394811737069	0.315636191532015	0.066277549951661	0.340885310811159	0.256435640311597	0.0900028777534246	0.199615840100259	0.419750663391332	0.34677195675916	0.18016314990667	0.344487327167292	0.26703690127475	0.555085926791667	0.35679289409912	0.290581738499519	0.380858411309141	0.249789507343592	0.160217922618527	0.651437736873182	0.125624898953313	0.520605790129702	0.104494164951976	0.196454376432037	0.199715052346228	0.232473174748464	0.57586378103579	0.711359082942796	0.215835776184094	0.16363679919768	0.248538429642934	0.141279155034983	0.402664300325849	0.333698436709078	0.34896908958638	0.271610201527222	0.479097386798081	0.440918359215816	0.200357771512693	0.168464172648917	0.254415075476957	0.193767420357067	0.167545937330859	0.426040754765805	0.152990157233182	0.553468089342506	0.172080731441899	0.627871002154445	0.253971238731911	0.180873048114967	0.811175934569693	0.182769972675142	0.432906193312473	0.529407240210217	0.428809884863295	0.477502144043728	0.531355630050397	0.397167224159622	0.523587471139532	0.465514560684164	0.216696564710802	0.638253725557233	0.431808650316295	0.228259471687089	0.266862830064211	0.180582055543608	0.174430605795323	0.506641247875352	0.500131505162869	0.347177252155907	0.567053647302493	0.597856315022249	0.31319799034047	0.431571879214138	0.344634736055634	0.204189844635899	0.185499542256138	0.189747951620444	0.27703411185513	0.089838317699304	0.470430556521772	0.225318018585603	0.462419318373763	0.169103982918285	0.437911792072944	0.241073337174378	0.128363383366541	0.0718110437070439	0.248225789334029	0.141168369992628	0.194412300790978	0.132650669059047	0.184502027065852	0.201562934417019	0.382676963726555	0.386914211232025	0.183032878461201	0.454116477546682	0.254745004921408	0.187993201294844	0.194177284825253	0.491659282176926	0.189694606369355	0.139680379425836	0.18961418092085
ESR1	0.0911931566890794	0.022568436414447	0.113856628868266	0.0400180080120546	0.000984621897072131	0.266935259420316	1	0.0431647199070628	0.186145564897959	0.00167691645344859	0.318332687434464	0.0381355257212783	0.13863046257096	0.237106282266578	0.129340047234953	0.0798435991902769	0.217057922105964	0.155721852382749	0.199862814098597	0.0309823491731018	0.103994427944875	0.188880325548527	0.143539771577556	0.0230868467864517	0.165729611737041	0.154692968779246	0.124576154845777	0.157470471900726	0.0555343381044167	0.0453935574449242	0.118472930870629	0.0838243527874695	0.132159918586913	0.111707064045776	0.0525405097691577	0.158902737478849	0.152163894700337	0.0145306313599758	0.0469904615911147	0.132519729031388	0.0103389275431746	0.088106973981491	0.0395384286570305	0.103665846018657	0.0799781207830128	0.0268803406544332	0.100313855186301	0.153946779685574	0.0588986155857801	0.0869348513102932	0.249061410674138	0.218094514039823	0.017112518825885	0.171239598024336	0.102447983221916	0.250984064827633	0.171002390203578	0.0708751301180499	0.131953322275622	0.117255810376848	0.0365408931243664	0.229696987835348	0.0239317386259156	0.171986272069524	0.0789283099660678	0.118362748554279	0.0754652614836747	0.0610776814223513	0.185642520828982	0.21914016350746	0.0299110821476788	0.0890609008689069	0.052431977456918	0.00112179861454771	0.0985694039720495	0.132546829783359	0.0955881307399531	0.0736722142216042	0.193853580137115	0.101533039559976	0.0849638956533018	0.0834010916822149	0.145349259996161	0.0520396875810421	0.13596153153784	0.167389274908845	0.0928559115120842	0.218389656960703	0.0509146650149298	0.305168453072784	0.120543421817725	0.0735867016342997	0.312522626526907	0.0527208425262732	0.130623988856762	0.20744319147661	0.199516153907579	0.176427996280212	0.200862521575657	0.165007426901894	0.17174486512358	0.169599725562536	0.0264467638800336	0.249098963046218	0.119808493697641	0.11662144997163	0.0832628855684906	0.0916961393543817	0.00195249923091171	0.153566069838969	0.182296192543744	0.0931805036799253	0.210712403318669	0.193943752638662	0.152795664506515	0.103736856450074	0.095298526495769	0.027107098933943	0.116647069545864	0.136265650431028	0.0679089006974755	0.0102166791383169	0.17886495812778	0.0251987841057364	0.167311755267028	0.0710728863915545	0.185552753178658	0.0521509365018189	0.0475532152950055	0.0109596230289877	0.0564041172610237	0.0230708889600254	0.0406143099545815	0.0806820235763643	0.0669078367317558	0.123020866560213	0.0943470681201049	0.0740409797889676	0.0180030203589569	0.136618460203714	0.129269443706436	0.0529030377690431	0.0829924451480277	0.240423643069036	0.0589267243601044	0.0408522012602822	0.0387964245876328
ETS1	0.121462434069299	0.0236850063046024	0.135655524512214	0.0680501918650624	0.020925709543422	0.22486602823298	0.0431647199070628	1	0.151282986351219	0.108361519353764	0.204470546310102	0.0270630563345479	0.0981369596354047	0.142764343526169	0.132635715378199	0.0580455192931279	0.15815241715323	0.0661817078270041	0.113934113532949	0.112260645925588	0.0709846240691379	0.1587084154043	0.144723608290282	0.0603035539643239	0.141782798336822	0.179165979373573	0.147835187232155	0.080063692472053	0.106957984484782	0.181511839064874	0.0488773123979534	0.0841843028476223	0.182584873567802	0.0573796277963943	0.101836638980695	0.151457080985161	0.154331569625368	0.00368210360584972	0.106392393207705	0.0276708803957649	0.0248224398115285	0.0946465041199207	0.00593690040111603	0.04616686528985	0.0735144532214268	0.0398653931816864	0.0771795646343454	0.0823639242370331	0.0785997101230229	0.134239263694646	0.105096847491355	0.156906955263842	0.056300551732344	0.0771766919027483	0.0758150669055648	0.13043476372919	0.0731042137575361	0.0559159922286556	0.0666878543502067	0.081448531724833	0.161480868660399	0.223325408231311	0.0536342675672713	0.16636359304462	0.0877394036908539	0.0417946795552471	0.104530668000654	0.0671301828738058	0.148742636052277	0.165678172387812	0.0998688660705648	0.00889249507817627	0.118366692505043	0.0252668705176868	0.12335857020083	0.0725816187792201	0.0518648619634044	0.0218452169474067	0.0834126593243672	0.113385851641352	0.100226173697554	0.0493138681688083	0.106324083217012	0.0610651614556737	0.0679352259232283	0.116177607293829	0.0699630941963179	0.170124326645288	0.0432306293407418	0.149010813272399	0.100589066729881	0.0749898537804712	0.233002993147784	0.103449535033057	0.126967495015216	0.145847321599801	0.105404623648331	0.132639324390171	0.132377558433739	0.119668798260828	0.14321463697566	0.119101404909386	0.0705222268252573	0.149464463112886	0.111776254794505	0.0788053714831246	0.113527473311392	0.0275783233728483	0.143398545504871	0.150776508870052	0.142442803555669	0.0812380834633581	0.152753868114078	0.130421467137869	0.0388692703149552	0.112240457963721	0.0980920824539725	0.0150300212960877	0.0751373610449078	0.0523895830755139	0.0693821137266886	0.142634171359421	0.164934847447962	0.0577707544196116	0.119883590426552	0.0797207754053464	0.111108210737932	0.0648214465900075	0.0121678189190029	0.0262763212384326	0.00102101491246167	0.0368645879829956	0.180233274186708	0.0143809546726684	0.0475460111562882	0.0708522263658466	0.0923082227304406	0.132924028365858	0.00314521148011681	0.113706021837664	0.0226606273463469	0.0213759017321139	0.162591033253668	0.203785491229377	0.0230590008051621	0.0482824151015705	0.0251880035750187
FOS	0.122191105779711	0.0463859753232345	0.178503559221346	0.491482723380633	0.0323047493280302	0.289432938311263	0.186145564897959	0.151282986351219	1	0.12597057615076	0.28796274764755	0.117824207731157	0.130035573070997	0.242979754538248	0.197813974832557	0.181967515200679	0.267314294175348	0.0819139766556641	0.187775237722895	0.0522260954630013	0.139024002575446	0.175399723303349	0.178645700813698	0.0578529515580433	0.654741893540422	0.429312867161472	0.173802884663157	0.234906797770595	0.049110972813452	0.110692996438809	0.172694702679134	0.0860358902767723	0.108099417882255	0.0925933570662032	0.0540820849319864	0.135775859802637	0.165125584056673	0.0774421893786946	0.0137368567356639	0.148073941596108	0.0307221778339834	0.0393004705503761	0.053402660949008	0.136108618792857	0.202215506512326	0.0648355557716141	0.0979275668990608	0.187578412359801	0.090536406677191	0.0965719040269515	0.128337330503473	0.194410258958153	0.0133541545758828	0.198581087847038	0.0812697902683048	0.202838216355883	0.142993669877634	0.162029534201262	0.123848123105921	0.175777216706305	0.0985399149035864	0.288226181356517	0.0435726111411603	0.275522271391244	0.0553839046061609	0.123721423950916	0.344930753013562	0.145715346245486	0.281536882138837	0.28603511318682	0.141521736433028	0.111400138515053	0.110714476901634	0.0884407459962753	0.232997295608743	0.160630457284638	0.128593109869495	0.153457124576558	0.183859021955327	0.200920259385645	0.0917297312225955	0.106131034765861	0.124031428792479	0.0568881042381502	0.135334721537723	0.0637626286228889	0.0225416375759768	0.202499856599686	0.146233774276301	0.216949168267571	0.11741844326424	0.0662685962549553	0.283119504906711	0.0987287545680086	0.190513446905602	0.218294202031313	0.210873380919012	0.20343971807734	0.239659492386711	0.197269875337396	0.213903777966429	0.188895525589823	0.0645618994326276	0.273067289164827	0.187077123128079	0.0669729958894456	0.129393123683623	0.111958228115575	0.107946057616143	0.251554258905813	0.240190700579987	0.146815057817246	0.272908220546107	0.277152145332466	0.116630901652864	0.16812723124861	0.218611578007983	0.0336057497604262	0.10267349178017	0.159853534656465	0.132536973968898	0.0618792462831669	0.212501547810265	0.0787711169470559	0.261164546516524	0.0518747584968844	0.228649937786887	0.171358400960125	0.0790908460523953	0.0385503214136434	0.0697517640085764	0.0804315489563332	0.146517911974811	0.100352433674683	0.118067377965174	0.10605831836927	0.11283988059811	0.153761785406382	0.0814497015683722	0.208570948823578	0.0418822906066885	0.072277816811978	0.0727317268117533	0.530907504463761	0.082851705356963	0.0528163791305051	0.114568205375872
FOXO1	0.0347700979849166	0.0344497325997258	0.0865302138595695	0.0738814515449954	0.00218983403930336	0.139860120414931	0.00167691645344859	0.108361519353764	0.12597057615076	1	0.168752216422178	0.010632115478086	0.0846318856532469	0.159043318993085	0.162195378765291	0.125689348382234	0.192944549765816	0.0412979459675429	0.0877386362298928	0.0864935241763738	0.0812567102858385	0.0717704105875816	0.0986689266128285	0.0180912164097985	0.150369164363995	0.135620453695344	0.0921741819797292	0.0866480596322279	0.0818610606218871	0.172039943248201	0.112169562529983	0.0338997323152522	0.0893854937892263	0.122649865421175	0.00272480430268174	0.0573807829481799	0.0696670115200413	0.0359298629257652	0.0516003517199524	0.0262789187653365	0.0813139861913171	0.0533441664131273	0.0429068798918354	0.0849435922207769	0.0996720782330446	0.0801183900829825	0.057061384203242	0.0662585657846946	0.066581857711575	0.101997059189679	0.0841578656956843	0.0743219951435878	0.00751708525107885	0.12523408529567	0.0411836090215402	0.101280448324457	0.127881775654859	0.0797057701014774	0.0977473892585266	0.0864208160629722	0.0962433419633482	0.20562609032834	0.0213269050451897	0.106863867658941	0.0473246099944198	0.090794252493485	0.0222112540944573	0.0063462476053109	0.145163762971682	0.118685264248782	0.0403705557944231	0.0866960590721032	0.0510243415347601	0.0481179706236011	0.121263124433547	0.0578788976588062	0.124153823404552	0.126549893010144	0.103183900424554	0.101108859536127	0.0200352569273366	0.0301390236468593	0.0635519840303753	0.0141730923173515	0.145716324445421	0.0726158364730303	0.0502206925788516	0.181811955005662	0.00908237757121878	0.190232601490397	0.0674726472704877	0.128072233888002	0.164368771962856	0.108571233975883	0.0770515437272929	0.188758566609922	0.119785848129626	0.129003099083769	0.185120472661011	0.154898231230162	0.173634409125195	0.190191779926108	0.0365319782949782	0.129828179994375	0.121643167421755	0.054924959571424	0.0630392445656447	0.158933844922457	0.0684101760008972	0.136302110936521	0.16908190223518	0.13573756582788	0.154024122669829	0.142915029328515	0.0894078171199974	0.103317725661012	0.0874970940205691	0.0295478149212765	0.0958925389373876	0.0989505480436939	0.140124326765937	0.0541876631581054	0.119437189310067	0.0733486149658179	0.198695316171685	0.102237256442689	0.120504288653558	0.0517932921747917	0.0964888946917079	0.00554653979494316	0.039487150363665	0.00579492881117064	0.153279236766185	0.0347470262228985	0.018008858279028	0.0559780159833264	0.0282502164553096	0.181398428427777	0.0314333008803623	0.131055891842888	0.046801097025574	0.0752389811584578	0.0400873044924872	0.172828439497374	0.0655306890160183	0.0212745413145732	0.00553448912371062
