	BMI1	CBFB	CBX7	EBF1	ELF4	ESR1	ETS1	FOS	FOXO1	GATA2	GFI1	GFI1B	HCFC1	HDAC2	IKZF1	IRF1	IRF8	JUN	MEF2C	MEIS1	MYC	NFAT5	NOTCH1	NR4A1	RAD51	SATB1	SPI1	STAT3	WDR5
BMI1	1	0.1164	0.08328	0.06385	0.09049	0.06005	0.0892	0.09432	0.08274	0.06746	0.07048	0.06402	0.07005	0.08394	0.08522	0.08513	0.06325	0.06677	0.0781	0.09132	0.09597	0.07183	0.05975	0.06978	0.06636	0.1612	0.06091	0.04769	0.05367
CBFB	0.07032	1	0.1278	0.1641	0.07182	0.06706	0.07256	0.2145	0.1201	0.07263	0.06654	0.1001	0.1292	0.08135	0.06224	0.08303	0.08431	0.233	0.1046	0.1399	0.1992	0.0825	0.1027	0.07413	0.127	0.1079	0.05984	0.1174	0.1222
CBX7	0.0866	0.08785	1	0.1268	0.07502	0.09145	0.1054	0.1265	0.1072	0.149	0.09106	0.102	0.1469	0.1184	0.08348	0.1031	0.1259	0.154	0.1084	0.1533	0.1023	0.1168	0.09261	0.09712	0.1224	0.1129	0.1252	0.09958	0.09666
EBF1	0.07869	0.1301	0.1045	1	0.0378	0.05594	0.06425	0.05879	0.05089	0.0521	0.06067	0.06641	0.06107	0.04601	0.06226	0.09408	0.09376	0.07413	0.07659	0.07087	0.06663	0.1528	0.03679	0.04767	0.05433	0.08182	0.08164	0.1148	0.07103
ELF4	0.07479	0.08713	0.1114	0.04413	1	0.05224	0.1889	0.08175	0.08309	0.05152	0.0524	0.06431	0.0713	0.05552	0.06785	0.1983	0.1536	0.08278	0.07608	0.07298	0.06317	0.0509	0.04233	0.06248	0.06755	0.0466	0.2995	0.03327	0.05029
ESR1	0.06005	0.1591	0.12	0.04691	0.04536	1	0.07876	0.07579	0.04529	0.06868	0.06514	0.07038	0.06272	0.04636	0.05384	0.09335	0.06547	0.0925	0.05991	0.08085	0.0709	0.05394	0.03356	0.4353	0.07314	0.07449	0.1171	0.08534	0.05853
ETS1	0.08934	0.1198	0.1519	0.06621	0.1944	0.07879	1	0.08405	0.08182	0.06312	0.05905	0.06896	0.05549	0.05652	0.06957	0.08984	0.09469	0.07518	0.06183	0.08496	0.07078	0.04928	0.04929	0.05178	0.08075	0.06903	0.2957	0.06659	0.06441
FOS	0.09432	0.1528	0.1146	0.06243	0.08175	0.05521	0.07416	1	0.06929	0.09332	0.07048	0.07316	0.07287	0.06899	0.08569	0.08727	0.04629	0.2086	0.0954	0.06166	0.07404	0.05879	0.05568	0.06456	0.02996	0.07024	0.08268	0.05318	0.041
FOXO1	0.05944	0.06784	0.09365	0.05088	0.08462	0.06539	0.07106	0.08765	1	0.05018	0.05948	0.08637	0.04586	0.0585	0.06147	0.1359	0.1413	0.08251	0.0641	0.09076	0.05129	0.05301	0.0392	0.05399	0.08167	0.03782	0.07285	0.03731	0.05502
GATA2	0.06023	0.05306	0.1172	0.05443	0.05338	0.07324	0.06017	0.07227	0.06796	1	0.06997	0.07094	0.05647	0.04248	0.06521	0.06968	0.05105	0.06645	0.06626	0.05197	0.0796	0.06455	0.05143	0.07162	0.04318	0.04584	0.08423	0.05532	0.05463
GFI1	0.07483	0.06322	0.09915	0.08601	0.0524	0.06887	0.05777	0.05904	0.06135	0.09509	1	0.5407	0.07454	0.06107	0.2165	0.0724	0.05316	0.08564	0.05917	0.06605	0.04523	0.06492	0.0637	0.07807	0.08166	0.05065	0.08569	0.04859	0.0523
GFI1B	0.06687	0.1113	0.09279	0.06846	0.05719	0.06927	0.1006	0.07153	0.07737	0.1141	0.5185	1	0.07537	0.06469	0.2544	0.07256	0.05764	0.07237	0.07813	0.07603	0.07875	0.06585	0.07118	0.09031	0.06286	0.06109	0.1143	0.06078	0.0552
HCFC1	0.05973	0.1239	0.128	0.06107	0.04072	0.0624	0.05775	0.07282	0.05612	0.06573	0.05926	0.07847	1	0.04616	0.04917	0.08516	0.07186	0.09081	0.06091	0.05748	0.06099	0.0401	0.02037	0.04178	0.09342	0.04324	0.09402	0.05613	0.4757
HDAC2	0.06209	0.11	0.1228	0.05253	0.06096	0.04877	0.05777	0.0652	0.07249	0.04281	0.07056	0.06992	0.0463	1	0.05825	0.09134	0.04536	0.09363	0.04424	0.05034	0.05257	0.0592	0.0604	0.06136	0.1788	0.07945	0.08077	0.04747	0.05363
IKZF1	0.0877	0.1372	0.1334	0.0795	0.06491	0.058	0.05183	0.06997	0.06402	0.06089	0.2169	0.2486	0.06422	0.04568	1	0.05628	0.05739	0.07673	0.06322	0.09483	0.06369	0.05296	0.06393	0.04633	0.0488	0.06329	0.09077	0.0439	0.06154
IRF1	0.09665	0.1385	0.08217	0.08438	0.209	0.08788	0.0602	0.07115	0.1228	0.07409	0.08409	0.09843	0.06079	0.06257	0.08006	1	0.3145	0.07971	0.0948	0.104	0.0833	0.09237	0.06624	0.1058	0.05125	0.07984	0.07673	0.06205	0.07546
IRF8	0.07041	0.1407	0.1018	0.0528	0.1505	0.05003	0.04831	0.06598	0.1464	0.0947	0.06667	0.05718	0.06594	0.05102	0.06829	0.3166	1	0.07718	0.06442	0.07428	0.05063	0.06489	0.03805	0.07714	0.06413	0.06954	0.2454	0.03386	0.06099
JUN	0.08023	0.1261	0.1248	0.07481	0.09365	0.06987	0.08898	0.2107	0.06672	0.0628	0.07963	0.06555	0.05861	0.07126	0.07747	0.07308	0.08215	1	0.06257	0.07153	0.14	0.07973	0.07631	0.06799	0.03169	0.0701	0.1012	0.05025	0.05273
MEF2C	0.08135	0.1502	0.1511	0.07517	0.07764	0.05089	0.07358	0.09448	0.08695	0.06899	0.05962	0.0872	0.05719	0.05343	0.06314	0.07491	0.06611	0.07597	1	0.06238	0.07242	0.06756	0.05908	0.04714	0.06178	0.05793	0.06911	0.04759	0.03507
MEIS1	0.08413	0.1399	0.1179	0.07171	0.06629	0.06195	0.0856	0.07923	0.07939	0.05549	0.06382	0.06102	0.06569	0.05842	0.06859	0.07314	0.04871	0.08976	0.05149	1	0.1044	0.06688	0.04485	0.07762	0.095	0.1205	0.1177	0.09725	0.04951
MYC	0.1054	0.1105	0.0953	0.06769	0.05369	0.0709	0.08557	0.0666	0.06824	0.05552	0.04923	0.07013	0.05556	0.05534	0.06457	0.09667	0.05536	0.1427	0.05729	0.07148	1	0.0694	0.06348	0.07722	0.07317	0.07335	0.07495	0.04054	0.05478
NFAT5	0.07369	0.0825	0.1041	0.1532	0.04961	0.05319	0.05584	0.07071	0.04923	0.06141	0.08005	0.05914	0.03072	0.07359	0.07373	0.1011	0.05344	0.07669	0.06217	0.06174	0.05565	1	0.02192	0.05108	0.04988	0.04207	0.07203	0.1181	0.08464
NOTCH1	0.05811	0.1021	0.1155	0.03357	0.05042	0.03907	0.07882	0.05658	0.0694	0.04889	0.0616	0.07681	0.02039	0.054	0.09154	0.04994	0.04503	0.06971	0.06168	0.09009	0.05713	0.03016	1	0.03401	0.07461	0.052	0.0784	0.04424	0.04853
NR4A1	0.1001	0.1346	0.1369	0.04645	0.05451	0.435	0.06321	0.06791	0.05114	0.07016	0.07777	0.08581	0.04594	0.06136	0.06786	0.1097	0.05355	0.06667	0.04832	0.07371	0.0568	0.05108	0.0495	1	0.06854	0.05643	0.09433	0.07661	0.06695
RAD51	0.05361	0.127	0.08908	0.05433	0.04355	0.07357	0.08173	0.04804	0.08142	0.04057	0.03601	0.06286	0.06159	0.1788	0.0488	0.04149	0.06451	0.05835	0.06178	0.095	0.07638	0.0712	0.03592	0.08875	1	0.06577	0.1002	0.08189	0.04953
SATB1	0.1657	0.1031	0.1013	0.05205	0.05444	0.06371	0.07351	0.07243	0.05178	0.06387	0.04628	0.06865	0.04626	0.04618	0.07676	0.05506	0.05364	0.07655	0.07305	0.1335	0.05793	0.03645	0.02193	0.0615	0.06364	1	0.07484	0.07306	0.04476
SPI1	0.06884	0.06172	0.1137	0.08196	0.2807	0.071	0.2957	0.08654	0.07183	0.07828	0.0766	0.09664	0.09131	0.06095	0.09623	0.07642	0.2406	0.07428	0.06911	0.1343	0.09863	0.07272	0.06949	0.09433	0.09359	0.1024	1	0.09146	0.07128
STAT3	0.04955	0.1174	0.09787	0.1086	0.04387	0.07033	0.04675	0.0459	0.03511	0.03179	0.04749	0.0425	0.02619	0.03034	0.03391	0.07392	0.04229	0.04606	0.0373	0.07202	0.04556	0.1292	0.03312	0.08522	0.05596	0.02806	0.09273	1	0.05851
WDR5	0.05181	0.1222	0.09495	0.08626	0.05314	0.04883	0.05469	0.05979	0.05093	0.06828	0.0568	0.05584	0.4773	0.06942	0.05857	0.07847	0.06164	0.06688	0.07023	0.06098	0.05727	0.07975	0.03801	0.06164	0.04861	0.04476	0.07761	0.064	1
