	BMI1	CBFB	CBX7	EBF1	ELF4	ESR1	ETS1	FOS	FOXO1	GATA2	GFI1	GFI1B	HCFC1	HDAC2	IKZF1	IRF1	IRF8	JUN	MEF2C	MEIS1	MYC	NFAT5	NOTCH1	NR4A1	RAD51	SATB1	SPI1	STAT3	WDR5
BMI1	1	0.184253567835046	0.173096928963166	0.145749708500875	0.348024598442583	0.224525104684854	0.430331482911935	0.418762843194785	0.240021336178199	0.198679853559757	0.301019018999127	0.286887655274623	0.125159744474127	0.210866331595072	0.33218191941496	0.346410161513775	0.180150939644418	0.197814142018736	0.143606739475888	0.201049625529064	0.178061142448941	0.428174419288838	0.230828314802267	0.547722557505166	0.244948974278318	0.314269680527354	0.0916619901538117	0.209624975741642	0.385337317794226
CBFB	0.102272727272727	1	0.216930457818656	0.346410161513775	0.286038776773678	0.177997663795994	0.233333333333333	0.235969951862135	0.213003216807565	0.245440346836908	0.244948974278318	0.316227766016838	0.253916687538504	0.139875721236047	0.322748612183951	0.197814142018736	0.294085848837523	0.21332045841299	0.175829549662027	0.33218191941496	0.189316422860252	0.204124145231931	0.106501608403782	0.225924028528766	0.139754248593737	0.258198889747161	0.225924028528766	0.162623125636348	0.191741247211843
CBX7	0.156063697305771	0.216930457818656	1	0.187867287325545	0.103417537999004	0.120665983430988	0.108465228909328	0.146254484825426	0.0990147542976674	0.133108717016251	0.177122977108019	0.228664780190012	0.23606684260939	0.202288694969669	0.245049014704902	0.107279780977823	0.15949044456578	0.179961073855171	0.127142615687439	0.180150939644418	0.114079161899069	0.221403721385024	0.0990147542976674	0.175035010503501	0.212218671906791	0.326732019606536	0.209118333642503	0.110243465925606	0.249567099242311
EBF1	0.221403721385024	0.346410161513775	0.187867287325545	1	0.605530070819498	0.282609247546289	0.461880215351701	0.467099366496914	0.421637021355784	0.368433130822338	0.377123616632825	0.547722557505166	0.293197735804187	0.16151457061745	0.447213595499958	0.418762843194785	0.46692399597581	0.328428330902384	0.270707300876965	0.527409631633923	0.291471700534356	0.471404520791032	0.158113883008419	0.484481395124954	0.129099444873581	0.397523195999963	0.146254484825426	0.281671516087812	0.265684465662029
ELF4	0.232365558525642	0.286038776773678	0.103417537999004	0.605530070819498	1	0.233356905928568	0.476731294622796	0.417835825246596	0.377168254570679	0.280821826320545	0.311399577664609	0.351763235340724	0.207514339159822	0.111138556118597	0.307728727448332	0.345782037404062	0.38554980047803	0.29378999955862	0.242156629991817	0.395903791232448	0.280787308242077	0.428174419288838	0.10154529930749	0.400047345682831	0.106600358177805	0.45133546692422	0.10154529930749	0.271346366270777	0.182818106031783
ESR1	0.348155311911396	0.177997663795994	0.120665983430988	0.282609247546289	0.233356905928568	1	0.252163357044325	0.285014251068839	0.216651856987303	0.240282945860364	0.18166810487819	0.257985766401107	0.177557981781208	0.176357657179389	0.22979399584857	0.205394321680007	0.196299727682028	0.274231701159019	0.147792565034562	0.203251144288266	0.215292017419113	0.236168536341647	0.121866669555358	0.287242494810713	0.124379648776249	0.191494996540475	0.397523195999963	0.199007438041998	0.102388482171114
ETS1	0.310460210282533	0.233333333333333	0.108465228909328	0.461880215351701	0.476731294622796	0.252163357044325	1	0.471939903724269	0.324576330373432	0.359979175360798	0.244948974278318	0.351364184463153	0.266007958373671	0.186500961648063	0.344265186329548	0.351669585811086	0.367607311046904	0.331831824197984	0.247463810635445	0.359863746032873	0.266445335877392	0.408248290463863	0.142002144538376	0.408814908766338	0.111803398874989	0.286887655274623	0.127500009430474	0.379453959818146	0.153392997769474
FOS	0.189316422860252	0.235969951862135	0.146254484825426	0.467099366496914	0.417835825246596	0.285014251068839	0.471939903724269	1	0.287213478951776	0.330951696160748	0.247716847153431	0.355334527259351	0.244557994022259	0.157173653365483	0.348155311911396	0.35564337957951	0.346977117967627	0.527342286982989	0.263431684886916	0.363930132121305	0.2836380138987	0.385337317794226	0.143606739475888	0.435194139889245	0.150755672288882	0.29012942659283	0.199007438041998	0.301511344577764	0.155126306998506
FOXO1	0.372934926991446	0.213003216807565	0.0990147542976674	0.421637021355784	0.377168254570679	0.216651856987303	0.324576330373432	0.287213478951776	1	0.209118333642503	0.198761597999981	0.224525104684854	0.198679853559757	0.156063697305771	0.255344115428476	0.300964632714423	0.335578027607012	0.288494881605277	0.202123306251819	0.277969282645598	0.204825432704685	0.32298759674997	0.138888888888889	0.314269680527354	0.102062072615966	0.261891400439462	0.175829549662027	0.235052046024648	0.163366009803268
GATA2	0.196299727682028	0.245440346836908	0.133108717016251	0.368433130822338	0.280821826320545	0.240282945860364	0.359979175360798	0.330951696160748	0.209118333642503	1	0.240481444816861	0.310460210282533	0.178061142448941	0.125880866958873	0.237646593946679	0.21039014371407	0.270676997769406	0.232699765779077	0.210983254304656	0.32612338205663	0.185863553954972	0.300601806021076	0.134433214484466	0.301019018999127	0.0823231949922678	0.232365558525642	0.143491005348713	0.219528519979381	0.112946491724678
