	BMI1	CBFB	CBX7	EBF1	ELF4	ESR1	ETS1	FOS	FOXO1	GATA2	GFI1	GFI1B	HCFC1	HDAC2	IKZF1	IRF1	IRF8	JUN	MEF2C	MEIS1	MYC	NFAT5	NOTCH1	NR4A1	RAD51	SATB1	SPI1	STAT3	WDR5
BMI1	1	0.0401664308601018	0.0238288428325706	0.0635280086150556	0.00534544975698044	0.022568436414447	0.0236850063046024	0.0463859753232345	0.0344497325997258	0.092163352232643	0.0172522054733489	0.166344429217887	0.145948411500201	0.0825603508527493	0.130805577861592	0.0282943807216167	0.0273341830475432	0.0759690892804119	0.125058119522052	0.137307397864034	0.0582560250321043	0.0450518269332085	0.0336830082962521	0.0411285613278431	0.223976373929113	0.0149660036267979	0.103980174340281	0.0729865912345537	0.132620809852792
CBFB	0.0401664308601018	1	0.0413661329964336	0.0533848558257965	0.0974406450564443	0.0610776814223513	0.0671301828738058	0.145715346245486	0.0063462476053109	0.173211362725779	0.0493132386548341	0.203025009726446	0.0858412886810599	0.0738131921031792	0.0878677092004706	0.116446478564528	0.0908574736065496	0.124236369204398	0.240668184924576	0.230975638012813	0.0299510688493941	0.0109752104994626	0.0392140381962791	0.0111611658610236	0.126915493673323	0.150925938264548	0.20558476359238	0.124378989761044	0.0641469239632791
CBX7	0.0238288428325706	0.0413661329964336	1	0.104034850706029	0.0236495192798987	0.0697706663445873	0.0579466073139756	0.0982065959458392	0.0255591645237152	0.00795486969068668	0.154775692864002	0.11720435460905	0.110346610889278	0.0547449295622175	0.0773776261277485	0.187811667113311	0.0341992127741233	0.116062811060088	0.0473225130529749	0.146344778950217	0.118668476657609	0.0993332738530387	0.113337271937512	0.0966188085709419	0.098962179438949	0.0642072729965358	0.103823926246081	0.0664439817297102	0.0327144784764869
EBF1	0.0635280086150556	0.0533848558257965	0.104034850706029	1	0.0537267958616049	0.12832306412663	0.215004851472869	0.168485010661396	0.176090522911981	0.00853748354572768	0.0970100822573501	0.249276404006839	0.181507774671266	0.190198613012195	0.139966979742777	0.145004819657679	0.200409862875906	0.133915766084565	0.143593748529309	0.177275274445649	0.267602054120905	0.085907686186386	0.105796795451181	0.103163577719249	0.239531904874272	0.112766450526788	0.15427644177075	0.0471364456298133	0.189039681467855
ELF4	0.00534544975698044	0.0974406450564443	0.0236495192798987	0.0537267958616049	1	0.0608692275580545	0.00885289603215883	0.0816960013081139	0.0375359777232721	0.0392157570563329	0.0265358740115258	0.153454313867494	0.0939275221884275	0.0407804744372422	0.067622597588643	0.0755370699309321	0.074493402096292	0.0803418207195623	0.143878794492221	0.168489146853698	0.0339202375291499	0.0409727990932029	0.0576823483147014	0.04320420595271	0.154549821507374	0.108211219631589	0.177148006501513	0.0989722780438431	0.0930475031014633
ESR1	0.022568436414447	0.0610776814223513	0.0697706663445873	0.12832306412663	0.0608692275580545	1	0.0431647199070628	0.186145564897959	0.00167691645344859	0.0381355257212783	0.13863046257096	0.237106282266578	0.129340047234953	0.0798435991902769	0.103994427944875	0.188880325548527	0.143539771577556	0.165729611737041	0.157470471900726	0.249098963046218	0.0453935574449242	0.11662144997163	0.152163894700337	0.00195249923091171	0.174210352612981	0.218094514039823	0.250984064827633	0.171002390203578	0.0672613561838668
ETS1	0.0236850063046024	0.0671301828738058	0.0579466073139756	0.215004851472869	0.00885289603215883	0.0431647199070628	1	0.151282986351219	0.108361519353764	0.0270630563345479	0.0981369596354047	0.142764343526169	0.132635715378199	0.0580455192931279	0.0709846240691379	0.1587084154043	0.144723608290282	0.141782798336822	0.080063692472053	0.149464463112886	0.181511839064874	0.0788053714831246	0.154331569625368	0.143398545504871	0.119796914412299	0.156906955263842	0.13043476372919	0.0731042137575361	0.0704489162660473
FOS	0.0463859753232345	0.145715346245486	0.0982065959458392	0.168485010661396	0.0816960013081139	0.186145564897959	0.151282986351219	1	0.12597057615076	0.117824207731157	0.130035573070997	0.242979754538248	0.197813974832557	0.181967515200679	0.139024002575446	0.175399723303349	0.178645700813698	0.654741893540422	0.234906797770595	0.273067289164827	0.110692996438809	0.0669729958894456	0.165125584056673	0.107946057616143	0.278474415296488	0.194410258958153	0.202838216355883	0.142993669877634	0.177184295587667
FOXO1	0.0344497325997258	0.0063462476053109	0.0255591645237152	0.176090522911981	0.0375359777232721	0.00167691645344859	0.108361519353764	0.12597057615076	1	0.010632115478086	0.0846318856532469	0.159043318993085	0.162195378765291	0.125689348382234	0.0812567102858385	0.0717704105875816	0.0986689266128285	0.150369164363995	0.0866480596322279	0.129828179994375	0.172039943248201	0.054924959571424	0.0696670115200413	0.0684101760008972	0.126055430844151	0.0743219951435878	0.101280448324457	0.127881775654859	0.103680348366203
GATA2	0.092163352232643	0.173211362725779	0.00795486969068668	0.00853748354572768	0.0392157570563329	0.0381355257212783	0.0270630563345479	0.117824207731157	0.010632115478086	1	0.0685331080667054	0.0190647862691356	0.161632108118658	0.151894802364478	0.159422168829535	0.031746592106612	0.017863862823986	0.182701944091409	0.151264450829042	0.21692527748477	0.0386585212066592	0.0554755712299723	0.0516300422620645	0.0190864598419085	0.240341520618785	0.0506809767442433	0.110013487625089	0.083992156640118	0.13259321111178
GFI1	0.0172522054733489	0.0493132386548341	0.154775692864002	0.0970100822573501	0.0265358740115258	0.13863046257096	0.0981369596354047	0.130035573070997	0.0846318856532469	0.0685331080667054	1	0.174561622645804	0.085752750560784	0.0993589852768782	0.073872361474867	0.167756314628983	0.0594850655159889	0.134515190207857	0.104572064143677	0.159462337269025	0.139027547567088	0.0742968047512821	0.194635592018794	0.0516587326331422	0.111354310792203	0.159257234131487	0.147606902481833	0.110806496191057	0.118240682115675
