	MAPK1	MCM6	MCM3	ORC2	MCM5	MCM4	MCM2	MCM7	RAD51	KLF6	JUN	BTG2	POLR2B	PA2G4	XRCC3	XRCC6	ERCC8	GTF2H1	E2F6	XAB2	EPOR	STAT3	TCF19	ELL2	ZFP143	GTF2E1	GTF2F1	SNAPC3	AFF4	SNRPB	YBX1	PWP1	POLR1B	REXO4	SPI1	GATA2	EBF1	GATA1	IKZF1	TLR4	ID2	MYB	GFI1	NFATC1	IRF8	RUNX1T1	PML	ESR1	CTR9	TAF12	TAF1	PLAG1	PHB2	MAPK9	MYCN	XRCC5	XPC	CENPK	AHCTF1	MEF2C	RNF4	RNF19A	HMGB2	BUB3	VHL	MIS18BP1	TCF12	TTF1	DDX20	NOTCH1	E2F4	RB1	SMAD2	MYC	CBFB	KLF1	GFI1B	FEM1B	MED16	PPARGC1A	ABL1	HNF4A	FOXO1	ETS1	RARB	HDAC2	HDAC9	SMARCA2	HDAC10	JARID2	CBX7	MECOM	BMI1	HDAC7	HDAC11	H1F0	TOPORS	POLR3F	FOS	PGR	CNOT7	EGR1	ZFP36	NR4A1	RUVBL2	E2F8	HCFC1	DDX58	NFKBIA	REL	RELB	MAPK12	CREB5	SPO11	DEK	EPAS1	THRB	DCP1A	ELP3	ELP2	HIST1H1C	RUNX2	TOX4	SALL2	VDR	HCLS1	PHF10	TSC22D3	RORA	IFI204	BLZF1	ZEB2	MEIS1	GTF3C3	RORC	ZZZ3	PRDM16	NCOA6	PBX1	IRF1	TRIB3	PRDM5	ABTB1	NFE2	NFE2L2	BTAF1	NDN	BATF2	HOXA9	NR3C2	EYA2	EYA1	AHR	TLE2	APBB1	NFATC2	NRF1	HNRNPAB	LZTS1	TRPS1	CSRP3
MAPK1	1	0.298820934462801	0.289339650164671	0.263226552412522	0.327145154427035	0.304094121344723	0.280787423611452	0.289260748011688	0.281184046401214	0.156626084749144	0.167405783645282	0.0793039108146285	0.178037797475366	0.309799497149181	0.241444704382984	0.272872133595489	0.20090248537209	0.209675721290675	0.212746322327194	0.202102149824594	0.336106480512463	0.173189636091336	0.219409322361459	0.244014207249232	0.119653038752608	0.158054153264367	0.29054640635937	0.140389648332481	0.027843483019269	0.262761423013066	0.349647892854256	0.224552839736494	0.210556515343611	0.135507418194872	0.191213331042365	0.116574276246431	0.157244417659745	0.306061403416232	0.197327593790155	0.0540120749372785	0.163888766226916	0.109059669420647	0.112202979349858	0.137206530205665	0.0448543591635469	0.121030824190732	0.160349769748771	0.124576154845777	0.170297079608376	0.276747603586206	0.148385048250789	0.0193599109373646	0.319448975463885	0.237386934766959	0.222483115544535	0.177447127789982	0.0130036921475537	0.304851227802775	0.241640131021326	0.192777305953462	0.215645204136447	0.0981157852406397	0.328334338426457	0.155455155043979	0.0718841837673998	0.222208307335997	0.162484522805648	0.101098343026508	0.188287339294601	0.141738872763352	0.269108011225051	0.180000841433526	0.133837521492985	0.23168183405495	0.10680700463383	0.310386924867033	0.30109088402671	0.222984884476263	0.136984477174693	0.0355941924341762	0.057510285584847	0.0646439791469234	0.0921741819797292	0.147835187232155	0.0304404361205696	0.241085049137552	0.0436657603956545	0.141313133861157	0.140665309124266	0.0786727084404157	0.0308721096546308	0.204944282282037	0.099366872022918	0.132964506895338	0.160800001215077	0.0062039089008327	0.14625401058072	0.100950628922904	0.173802884663157	0.1020513946222	0.190800858455814	0.130292843360113	0.233394512251454	0.107409294136334	0.297952872344271	0.281708710111215	0.28241908312031	0.0921627401359482	0.0561391255894538	0.0871238933779359	0.0211712286568333	0.0601732514050208	0.0585706765467608	0.0625260585799305	0.282582350043741	0.0430577279345507	0.100691328908387	0.0825199155911852	0.137248039711866	0.16261441978629	0.0739898985314304	0.126760435766795	0.0965804656463925	0.0723263435135334	0.104929909094528	0.0493485571324112	0.240860913294949	0.166126385647141	0.159364121962131	0.0882509658116549	0.16709384462891	0.119084182144918	0.267552644682601	0.085585982001433	0.0408182239716914	0.140201655698089	0.0454296969385053	0.143725522333338	0.122839667898128	0.0985289204150102	0.0719406827583095	0.0529121689168105	0.0753538545740432	0.0239050705286283	0.21778618984494	0.232251162072421	0.120767616107306	0.00210320372684662	0.185265454773816	0.0495900849602235	0.122764668267083	0.129999836675197	0.0485065031675576	0.119470023139917	0.100092829471392	0.0756898688523746	0.138475317278941	0.343761706149606	0.0339303576486079	0.0840815010993421	0.0142176033734375
MCM6	0.298820934462801	1	0.551992575592461	0.370538953342597	0.58285900833733	0.557840247510289	0.611441948223239	0.572274183907164	0.484105556837284	0.261365332906774	0.251722815273658	0.12571414531401	0.273774866974966	0.480347583937457	0.272133226304538	0.350427826376196	0.20564559636101	0.256876947626407	0.287562740310864	0.176628712812246	0.397167224159622	0.19268878456184	0.357151577546155	0.313200106730577	0.158970854163438	0.190628807338766	0.396264427250397	0.144322044991597	0.0629045642889733	0.429882397065746	0.519699379355394	0.269012004511828	0.314505637686277	0.267987252060275	0.233911505926681	0.141468265911772	0.251778281813383	0.424300603955757	0.263032512085201	0.148844413149533	0.192474279288838	0.1745201987917	0.122869019719091	0.157980327997271	0.0633427531173423	0.165844982167331	0.206102923252353	0.165007426901894	0.187384084515099	0.352049179209271	0.218983643543474	0.114397228535327	0.456154539109046	0.290106221288443	0.243239996268738	0.238886313410213	0.109692586512233	0.485938326064397	0.30503605876441	0.247401202914783	0.26807109766664	0.166893695931147	0.431962753550372	0.198592778150365	0.0590522341683321	0.274015758837308	0.214915096864808	0.0906433450860025	0.26179730072779	0.176008448332443	0.334324177609063	0.261967488035769	0.132195798559381	0.340076938164119	0.0103448964558563	0.423190394362989	0.347450955774834	0.252483266155333	0.127543400684512	0.096471744092016	0.107456692121313	0.0242232753241761	0.154898231230162	0.119668798260828	0.108604435143239	0.309693690507168	0.041980884334437	0.217424992903919	0.137471337783378	0.0654767006247141	0.130362858940535	0.303624367264689	0.177205906409434	0.216147807333317	0.152085377209198	0.146764705375458	0.133642052125231	0.0877175792969626	0.197269875337396	0.118679843208554	0.146790933989519	0.117293344232705	0.30803907313121	0.0980041189246174	0.387922351563273	0.406974720459208	0.291289392219339	0.148092987628209	0.143102421350272	0.167206016276678	0.122886301644274	0.0946400771815906	0.135600780204234	0.0940869494495634	0.427625187843915	0.086631595671846	0.0670944577305261	0.139767783909154	0.161620383030463	0.275417753716123	0.00581410120536584	0.18529540231184	0.143602919905796	0.0958925398971538	0.115588964541705	0.110457820058541	0.384435873319575	0.21663124003512	0.222194174876881	0.103756187513269	0.14917797805291	0.158874622340003	0.32226207214705	0.160470587026373	0.0705389819662728	0.157005126343489	0.159996383006005	0.160159432811441	0.23064617623052	0.197398336021767	0.135860061395885	0.118177354702883	0.13775730448276	0.10328546810165	0.244513102699055	0.297242154015899	0.172679334225335	0.137913918798469	0.188367817560233	0.0718687797032062	0.182541459594393	0.179981331847902	0.0483079415987276	0.180651402003624	0.142600679704238	0.108158436023141	0.151311700192127	0.47934246734791	0.158098043837963	0.133429561372059	0.078947859380992
MCM3	0.289339650164671	0.551992575592461	1	0.399859220877718	0.661940790562111	0.586207083633583	0.65448419175494	0.608046098299348	0.545314006558771	0.261081298424574	0.263525444877288	0.11377206671599	0.287020191963097	0.487269057090152	0.287093001062289	0.378907211498242	0.205684457099107	0.28985340476445	0.314150394441299	0.14714725625051	0.428809884863295	0.209299523927988	0.415886736657867	0.296702675374852	0.152893788111439	0.195397369615783	0.415141022829924	0.168177348566061	0.0740020261853018	0.462928318694245	0.517864816998395	0.246996558170657	0.293833107035579	0.274727184703312	0.272858325674211	0.170901324241752	0.271503165427547	0.43647511434358	0.281741681768303	0.0524732489592407	0.154845543864534	0.142772236259272	0.12687118818713	0.110094837543852	0.050666570840787	0.182403699182983	0.240524719958474	0.199516153907579	0.178720438029411	0.383983304181936	0.204396658209693	0.111523702320544	0.43836900145674	0.314023482247629	0.238445816675315	0.259821354707384	0.110428333267529	0.555785816879571	0.355328445312288	0.220086912130346	0.26147636293631	0.189700997937213	0.481892522120068	0.226330724126794	0.114971941758452	0.325078727337291	0.20914243602822	0.0839927003943406	0.31241538908933	0.15952248642633	0.427688452544862	0.240593622315346	0.155733150101073	0.320370144085655	0.026582480406897	0.428147769936687	0.33310859429977	0.235589704491321	0.171201567920069	0.0852976843909738	0.124284237999516	0.0263560736114565	0.119785848129626	0.105404623648331	0.0723077925495169	0.347462964169264	0.0414513460468201	0.225717910441757	0.134901810559886	0.103125659947661	0.0828645150061355	0.337608244130103	0.161882711846128	0.234585832724285	0.138398882813882	0.120725789253544	0.161627972996053	0.122686604788796	0.210873380919012	0.0983052967282535	0.167165037099609	0.1056681286169	0.362657917221277	0.112133732151388	0.390487932296386	0.407804110219715	0.339182616761198	0.194924037359136	0.109690851055208	0.112131101997855	0.0373743835427115	0.116175144451342	0.143563738363726	0.104903368196829	0.495731490556805	0.129569935836754	0.071718041490046	0.0863639585120771	0.143962319874475	0.268110143446461	0.0409915260538345	0.25807358492406	0.148768902412069	0.06706260637951	0.125357975176822	0.136361734764193	0.436507385216506	0.223733128341674	0.174218805504537	0.169709084268635	0.146318692799728	0.176161613940695	0.36579252913978	0.174453633415503	0.0228188733866191	0.181247136604557	0.127833538042206	0.209427469416226	0.241951971592615	0.200239722519538	0.160738970400988	0.0665840761188829	0.120130863544106	0.161193357858122	0.225954682754693	0.300020343907378	0.183675239962379	0.167797067385583	0.26180354504784	0.143477245764444	0.195544045905856	0.223887752002593	0.0329260299097283	0.208241429455802	0.0934867625234342	0.172700338692817	0.199922938495255	0.478334783094054	0.117992571882007	0.124837325371088	0.0176818339847711
ORC2	0.263226552412522	0.370538953342597	0.399859220877718	1	0.48437655650656	0.463060167219053	0.462367770227135	0.452993844068923	0.484345168576956	0.231083351663916	0.284784683212189	0.121834011436858	0.283083025646757	0.404474992595395	0.294503593095917	0.353645965661724	0.228373232768128	0.345318371600668	0.308394378933044	0.13324706662028	0.506641247875352	0.249504942139741	0.323017110335657	0.402398814804129	0.168002716106175	0.227060361324581	0.394549498764828	0.166909071376216	0.0691411452190533	0.414802876232532	0.480673869664938	0.283124151160681	0.371010583472985	0.283594594635009	0.376422616539534	0.224665663075092	0.213747630002926	0.480655714733068	0.306241915281249	0.0760630554168944	0.0795910710314145	0.140353789155483	0.114882434354306	0.166978442844162	0.0861230895331608	0.136410421675175	0.207884507486404	0.153566069838969	0.226559328268765	0.41201148432618	0.226389410020716	0.0880574583870486	0.414277595550744	0.332199888023785	0.285805718920614	0.316737669085255	0.119579178954569	0.465442868265202	0.388290665047866	0.311379950394555	0.288814939725985	0.159395486776172	0.453520199446291	0.214768410009639	0.088161583888855	0.33504832280265	0.211981528944638	0.134088495495597	0.345682863307124	0.197729972750934	0.438245722805318	0.280825985529425	0.131546695931803	0.228499139768444	0.184601721541533	0.517641590000288	0.436318910654759	0.287493867661675	0.209767344585883	0.0986776560837161	0.118487224074185	0.0978442785697989	0.136302110936521	0.150776508870052	0.0195362314064533	0.294920176779079	0.102229647674914	0.213731165635394	0.107340022246066	0.166991487945074	0.104257305693906	0.293720300772688	0.157820557655982	0.247020986207658	0.132526691458024	0.104882406280056	0.17680294588535	0.20181097571462	0.251554258905813	0.0837170595023198	0.174417046637762	0.148507567952149	0.330971958612507	0.143228119864172	0.353488441540238	0.397415758643685	0.400039397501308	0.142851929164254	0.156464257978379	0.148427150588662	0.0872364919057453	0.0606349519450957	0.100447769376143	0.130074435618181	0.39066562920923	0.044818691055007	0.131823710079071	0.141293339352126	0.213357965593795	0.263251635772715	0.0802067822592508	0.249361922442278	0.185021649599355	0.101318850691529	0.109849167055076	0.171033385601133	0.463301790752726	0.272416412512477	0.159741881029076	0.116574235714935	0.180686779231607	0.121259026458591	0.454255302978804	0.132459639000501	0.0773805109534686	0.216114247336132	0.155464104224869	0.179871358344601	0.298204412782073	0.254793324796563	0.124235996258822	0.151489025709093	0.148844738570642	0.171621590051413	0.283091308384592	0.348138255280327	0.234840804894112	0.132662755341672	0.236990422108689	0.0538414879670425	0.169316766004421	0.192351481674437	0.100913642204533	0.189389504801046	0.0773484842668532	0.167779218719405	0.243878491889702	0.445861269248448	0.091864557286214	0.12892929618509	0.0303202796548452
MCM5	0.327145154427035	0.58285900833733	0.661940790562111	0.48437655650656	1	0.675265438836504	0.712600916061196	0.665855829174076	0.641339851333224	0.302734025037784	0.308356923927764	0.0938969392255359	0.315287288998687	0.53539876536544	0.334835248134505	0.439990779046683	0.29700324018948	0.324743653772956	0.337114907206154	0.115273482027861	0.531355630050397	0.26269734175216	0.487053932848319	0.373292003692374	0.14936044464276	0.240545287884051	0.460584385228215	0.179317661945637	0.057527268768842	0.508490953726567	0.640100867617675	0.303809458253307	0.369011242023511	0.336361614014106	0.34013963458689	0.210421043804649	0.244439272260576	0.555660317217414	0.316025056221082	0.130018645695241	0.107384405383106	0.182434559291646	0.157750449882315	0.160477159022608	0.0511463177496876	0.213471627598105	0.266872718780375	0.200862521575657	0.261515010788612	0.449837466370267	0.226120691886151	0.0986592092070859	0.499843006544866	0.393432571675009	0.311057427964717	0.293502541102211	0.118227897450358	0.654617690983975	0.415761939157713	0.263345551771518	0.278264194772833	0.199394160317915	0.584477015437764	0.295300629303303	0.10807379141502	0.418218462654626	0.23880173778342	0.107908193381489	0.378611620713364	0.230989889142745	0.493723759217275	0.328804624386176	0.157454199326358	0.348062167980136	0.0471188353156313	0.549220424318485	0.418721900410887	0.267482942421494	0.165234937812066	0.112604078725683	0.0998928839923032	0.0678174077099838	0.185120472661011	0.132377558433739	0.0790640536117734	0.365029417523575	0.113939694613373	0.232954806078306	0.128936353644116	0.111131504213488	0.0802904185696487	0.419869144586114	0.1760253975381	0.321646133845993	0.211750694486627	0.152283488634497	0.177003562133591	0.138474450915715	0.239659492386711	0.126986798146022	0.18237834013899	0.101877490932471	0.430930439075815	0.105215726129106	0.448222212277801	0.540861464177844	0.39734708532801	0.256950524099878	0.165340262404139	0.174307866017812	0.123149765613421	0.0868976781208784	0.12363979539723	0.177597238013281	0.541081359968189	0.103026080714541	0.104066801432408	0.168843014002377	0.210292843172618	0.298592332204077	0.0588095662787814	0.317088764191895	0.128848895456871	0.110736623916723	0.137405817187765	0.187575139172393	0.530420096246575	0.316729694937338	0.205135726342936	0.139379617905766	0.218437302012413	0.191060697076348	0.443696387671836	0.195720213504506	0.0948367627098913	0.219452532672897	0.141211011397327	0.207311723926978	0.244215928054922	0.257812817750181	0.205237658381021	0.175943977810016	0.163684479636374	0.165960709951869	0.250640930873019	0.367147055436099	0.274006509861451	0.195414960599418	0.334200121656367	0.143561839647696	0.241816541564905	0.278368751285752	0.0719494493481949	0.26773734490996	0.121847608309596	0.210074270349187	0.220728969894967	0.531717484979945	0.160070204368152	0.167863351847686	0.0608968535185252
MCM4	0.304094121344723	0.557840247510289	0.586207083633583	0.463060167219053	0.675265438836504	1	0.658413088924549	0.596091884358069	0.556025106541845	0.260607673639589	0.263595803106165	0.0935975246142832	0.298578125774912	0.471893358581282	0.315781101000546	0.420325920501136	0.290352002547351	0.320535002486857	0.307660992032103	0.152439041631993	0.477502144043728	0.256930354753118	0.432800948380646	0.356018692389228	0.167809000125218	0.234799441230981	0.412289132804238	0.141888289563831	0.0297131204139876	0.445338035625229	0.57711393089092	0.293983692686434	0.354178146159564	0.265566877527688	0.254079051194318	0.16847349240769	0.253927297542996	0.510141099855493	0.317892088297482	0.149066597857404	0.162819586320184	0.168571892355987	0.104215541579068	0.165030624813465	0.0585079250628988	0.179676151301372	0.272692979439801	0.176427996280212	0.21930597274083	0.409732841039795	0.206658078131566	0.0807165476425046	0.473769985854533	0.313161772352229	0.292381870754691	0.299547601667469	0.0993752120989584	0.579192479365997	0.391245216446728	0.23339621676223	0.235765934054565	0.190955097542608	0.532129575421541	0.272934256385608	0.101723240154542	0.32368417766995	0.215351946786093	0.0868185269039246	0.32933442236731	0.1814944487592	0.454968487746356	0.2650267571543	0.163734546618469	0.307241276949302	0.0336788389350854	0.5146523181474	0.393653292879592	0.255252393029719	0.19992600003834	0.112096876906163	0.116189471900974	0.0779213292348149	0.129003099083769	0.132639324390171	0.0829542172087466	0.352500636165479	0.103199172051027	0.230329277702327	0.124068139575795	0.138069925680827	0.124619973707503	0.327854859983465	0.162530896373569	0.251406947829035	0.193658589257497	0.142654855515434	0.133425585022502	0.127410553837322	0.20343971807734	0.108320895602986	0.177575643228384	0.128809119872071	0.352084741361701	0.0868496920518117	0.408454800142856	0.477936670757915	0.395223547110362	0.215396373470785	0.161672667008116	0.157190519548076	0.127520437705329	0.0568527717376656	0.144288743519826	0.187826018926809	0.516454599307667	0.0599690554954891	0.1160053306967	0.118917213412376	0.208108475969715	0.220282108937012	0.0585023362436887	0.249174115375035	0.173830759290011	0.0468837507546006	0.114809862094488	0.14329979843444	0.462082966903312	0.333015192472359	0.232214138605744	0.135211470643487	0.187005156299457	0.195068453449538	0.39126901986133	0.164950520497218	0.0677115712111035	0.2857224527102	0.149592109970166	0.153605580012494	0.257867606970447	0.211623148002848	0.183338558472511	0.149783539919853	0.117265786728472	0.130642648826044	0.266163632496163	0.313624273185013	0.202697448722147	0.163712679522128	0.270859682286587	0.0765263345770769	0.244287143189144	0.214537485912058	0.0599348489091046	0.210205143265736	0.105781852252855	0.189211338737287	0.215084941336467	0.502221811194026	0.0973827375023477	0.133937594896163	0.0834933245613314
MCM2	0.280787423611452	0.611441948223239	0.65448419175494	0.462367770227135	0.712600916061196	0.658413088924549	1	0.663394114939094	0.590646036169173	0.272222456946252	0.272491770385435	0.105550021053645	0.319570465972662	0.544654557784455	0.323803224840193	0.411862493019577	0.269382612556016	0.334942351403994	0.304433291024473	0.162621182422606	0.529407240210217	0.247749784234529	0.45345300339614	0.336392932650672	0.168487152027299	0.240368376306986	0.456948117446557	0.195820745520737	0.0956864976137485	0.539280777786446	0.587988815749306	0.286324911204284	0.366158627793601	0.308694826561706	0.345673425583424	0.144203964137459	0.287617794844399	0.540129161276213	0.323618691482628	0.115791586330335	0.125856121243986	0.165323746237926	0.161094054870722	0.161191545224359	0.0687817331093267	0.153873156757304	0.291086759062133	0.20744319147661	0.24557852091993	0.446935540155176	0.229170388026749	0.112432347318926	0.515169564640614	0.343128112307269	0.263160606713184	0.300089970074167	0.140886063694221	0.588245864370941	0.405749288618689	0.27027034908963	0.286620798762484	0.196809877765631	0.562626877198919	0.268737659389974	0.124238885191326	0.368221826365094	0.246111618033834	0.0797684062086712	0.336583187367919	0.216871078505582	0.466301442432889	0.299153194695169	0.14435037162476	0.338852629089789	0.0297586115796085	0.539965125262742	0.438991101599212	0.267778497873864	0.147993449001466	0.144066238621966	0.0976136265220626	0.0912105212486588	0.188758566609922	0.145847321599801	0.0826121000693063	0.353908239769589	0.109087161406362	0.270198209100674	0.152352925275348	0.129804299715852	0.16726530412172	0.378567415121701	0.160435671024363	0.269949548328394	0.201205784174679	0.131550462402894	0.161616962854491	0.128328965329906	0.218294202031313	0.177500532495325	0.186270786713153	0.123614110910512	0.390302493655565	0.101171413797573	0.43727588478149	0.490020211415878	0.372637115773954	0.225163586699533	0.172044468440089	0.212642024075159	0.117183097910045	0.108200912632885	0.118785150103476	0.167730429011236	0.526693393050971	0.123698641296679	0.0954975067112352	0.140470968957083	0.212448787494918	0.311924900704644	0.0579320060376724	0.313848938875972	0.188492937451676	0.0911888538537422	0.0916979343389512	0.172991255184298	0.496105460605206	0.306913259565789	0.189904521855624	0.142820310629093	0.184351896833049	0.17072599514072	0.418463708320764	0.214113782861919	0.0795982474102849	0.224465372930506	0.153395281206637	0.185531119372608	0.218070826577705	0.246339735195709	0.187290253536401	0.142751020975977	0.192152247398495	0.16217560684115	0.295016509828262	0.34696860124947	0.216915872523018	0.18974932864994	0.33005740072083	0.149920882514899	0.233155239975721	0.252165797824168	0.0701303623337353	0.215742211123723	0.124520950784641	0.200294528206716	0.230805329359965	0.518383105891638	0.160434124638992	0.153452582484788	0.0849959482439854
MCM7	0.289260748011688	0.572274183907164	0.608046098299348	0.452993844068923	0.665855829174076	0.596091884358069	0.663394114939094	1	0.573950496347932	0.300049151613777	0.295551165832522	0.0747458089665366	0.295096013579926	0.481225513803002	0.299101536519365	0.416041466099112	0.267763059283382	0.324466204361776	0.342762088166683	0.124593773187633	0.523587471139532	0.241810695319991	0.45028074996468	0.333153154365716	0.173411053933403	0.25270569531063	0.426841167422863	0.194849316665757	0.0839102328853825	0.453507373356343	0.639629984657037	0.280611908608531	0.34776751797946	0.3229588461305	0.353234173713464	0.120635416167357	0.283012834925149	0.550469439321836	0.307560586662874	0.133651376466146	0.161996989102518	0.235142177149232	0.154584841049665	0.179864234794712	0.0746038119898444	0.232244896851182	0.236824631113217	0.17174486512358	0.263273533172199	0.41598664619897	0.212684799860753	0.0901556229055036	0.496015020154078	0.362115324434291	0.293219083196626	0.265151396751068	0.124950080648614	0.588363085246392	0.424608129849038	0.307642698282684	0.290160453694433	0.189450445012083	0.595514464718522	0.220683597551067	0.132206311905307	0.393378014031367	0.225120025501818	0.0822301457841119	0.306445468906486	0.212954260047677	0.467513478118901	0.316308953975179	0.139494211737161	0.34099572902617	0.0811752313052707	0.555140740734219	0.4346473173635	0.259641921106116	0.166917326037603	0.11796117149714	0.0927669004423381	0.103796258937243	0.173634409125195	0.14321463697566	0.107127959187182	0.3783787151217	0.094111590573897	0.281141525384053	0.164704875119351	0.12817627509652	0.138547656726457	0.397675747324595	0.171298242236187	0.313405220143469	0.176741311837288	0.127099896433525	0.154714015018916	0.144954149975634	0.213903777966429	0.149518298400719	0.208882071281393	0.0990597176420133	0.399897444426424	0.095022745970436	0.403761161280556	0.520257389054397	0.409873151059923	0.199364460209493	0.169391164655632	0.178223661705746	0.139649810775826	0.11235156347408	0.101317858564564	0.151114753780108	0.518075176911419	0.121152597946276	0.102071771552657	0.118145658578176	0.182629374988709	0.258879515351408	0.0857190310896318	0.281985379180931	0.170809197183315	0.117404473872514	0.181736391028352	0.182538831418563	0.483804625908668	0.327364500818865	0.221804873672935	0.124706136123196	0.166094919556004	0.223008934642805	0.428149930207413	0.165408511996917	0.0942853640671164	0.232438066030673	0.148324502255344	0.203590075176392	0.240192805813908	0.304034708589327	0.19659183507948	0.189799413658003	0.166198641213546	0.132492210560131	0.275539799491218	0.349548931575851	0.259248636191031	0.182137957348125	0.305357290361186	0.149750200935082	0.248295197381654	0.230282198870913	0.0707826301576778	0.224013491995911	0.160943484536654	0.17904288905947	0.190470448220605	0.571802351593937	0.178807873026971	0.152248567644037	0.116776104738198
RAD51	0.281184046401214	0.484105556837284	0.545314006558771	0.484345168576956	0.641339851333224	0.556025106541845	0.590646036169173	0.573950496347932	1	0.26258278584904	0.340377455740337	0.110257654176627	0.380564708407845	0.485443833235658	0.348416465235902	0.391778572412959	0.30736606025448	0.363981245197778	0.327458963658037	0.186198745306408	0.545548317331211	0.294848230883321	0.534673275587241	0.40577656501866	0.225673681808834	0.240503050534585	0.411117269108542	0.231714763967366	0.0775636923059795	0.451548680448267	0.576588703342123	0.287455553354347	0.35940836597422	0.357142963306285	0.381488802055335	0.240341520618785	0.239531904874272	0.521028294358853	0.340543384181588	0.0960514947719405	0.088957205145179	0.120663631016578	0.111354310792203	0.174201364398017	0.100478971247431	0.191441242567803	0.282450121319167	0.174210352612981	0.238345760124748	0.463970016029672	0.267851799991814	0.0753777123850496	0.486921631366828	0.357020436635379	0.29405732686305	0.363767934911863	0.150290070286693	0.667114495650533	0.433541512805797	0.3279938674423	0.286533979091739	0.223038231219639	0.586513914127587	0.270739410305936	0.138020143059643	0.477060998472898	0.255417025008278	0.111340284881951	0.385480611543248	0.204192581648034	0.470346133426483	0.348637323328764	0.138750391893735	0.250742688839126	0.126915493673323	0.536885597842275	0.446064984515669	0.307772905639358	0.211055843020138	0.109673967215298	0.145927416560843	0.0577095363988029	0.126055430844151	0.119796914412299	0.0500324152440304	0.347507747559116	0.10520122216247	0.249236286003775	0.161106186912633	0.141087449165346	0.098962179438949	0.327972883814554	0.223976373929113	0.267754556794244	0.156968615118806	0.142742921174319	0.201381790825407	0.181379558010425	0.278474415296488	0.151773741732484	0.166453332710221	0.132084158071032	0.371941195827322	0.136694723230674	0.435989430115858	0.547005704190488	0.422507636611023	0.200046486902581	0.140456610045684	0.200081673878703	0.125562379588751	0.0714117421711239	0.153471585113964	0.126475053066643	0.518473856183279	0.100938417475806	0.09931921156274	0.168284007088213	0.211140668225482	0.307857293906584	0.10864305835822	0.282255889777679	0.164116233422938	0.107971460694507	0.112476562429201	0.201207115431916	0.53792890036152	0.337428033011898	0.172657366641252	0.178186097304521	0.217422009404259	0.136770917100085	0.466163229129568	0.220637559664704	0.0846207212432281	0.22927690839713	0.0999492414175335	0.222603287804715	0.244725664439871	0.220194742398892	0.167640904072771	0.170721953224558	0.192944595348946	0.177964033113657	0.271308149546268	0.428523051940124	0.200407249873131	0.181663919909147	0.282980690242031	0.11096064135192	0.237354761793233	0.227170640539072	0.0438221967845493	0.227566895243057	0.169023805082402	0.170928201218239	0.250952179787095	0.516702677473849	0.143683845459604	0.167073744178509	0.0128800013165821
KLF6	0.156626084749144	0.261365332906774	0.261081298424574	0.231083351663916	0.302734025037784	0.260607673639589	0.272222456946252	0.300049151613777	0.26258278584904	1	0.394613683492691	0.19833982230635	0.109819696601111	0.276653716140478	0.137249169495654	0.219033070933944	0.161935823581887	0.224412580617775	0.161955138076503	0.0758038110615174	0.348450268873673	0.152578188913799	0.17283853774791	0.231210989912857	0.00137094850641755	0.125786489980672	0.226073428841697	0.0745843500656631	0.035114520851946	0.228612505265256	0.368487573918767	0.125583863437137	0.178986506357718	0.150931086540996	0.213538220125255	0.134497177036684	0.130518996715051	0.366791107801408	0.19198214749991	0.122745967745048	0.0926347571940221	0.160102638781612	0.134307332770598	0.15278889235557	0.177030696401696	0.184362342597556	0.110366997979754	0.154692968779246	0.12322178125686	0.248188376807411	0.0677664954096847	0.0484125474088014	0.275800959989658	0.219738617890039	0.262431580660417	0.148618179802594	0.0805741490111898	0.312164934258795	0.237262647294316	0.223743389642715	0.13391956279261	0.0782246330353204	0.32522134607675	0.0782956140343388	0.0632771214044294	0.156082294411154	0.130356814679043	0.057814555797586	0.162279439322017	0.168579949481385	0.211930853758425	0.111597127034824	0.0335999919488478	0.197844612576485	0.0849801473395698	0.371731670947661	0.294815228416901	0.189285514721708	0.0773254639539704	0.0712730653398626	0.0473505708946542	0.0740944835642617	0.135620453695344	0.179165979373573	0.100170785571181	0.235640078005225	0.0422896864979213	0.203849486926343	0.11321861819891	0.121328961785299	0.101786828018037	0.278509354381003	0.0121376613029327	0.181564755443723	0.179657145271903	0.209104244591432	0.0773273052268732	0.0107609362471469	0.429312867161472	0.134540349054099	0.14732946587101	0.268437131831289	0.434050918947052	0.100806118103178	0.219020902508294	0.275663646693522	0.224310375612726	0.185708363591781	0.209140337914896	0.145424727340437	0.150884993828145	0.0770609238523514	0.132538739070506	0.0829887732658363	0.214655430938541	0.0492248674035238	0.0518890674542013	0.0528972308689507	0.0758210506125926	0.129637712675637	0.0786970538775982	0.223063123943747	0.0193972815081446	0.0774769187876456	0.164069239411257	0.140063761325892	0.323820981049245	0.277910762664635	0.164409559513755	0.101855126322273	0.095988524074367	0.0633919973757431	0.361775320009948	0.0851345363783157	0.155056439605331	0.0929885004356629	0.138791867814801	0.123877017662606	0.224832610660161	0.213432887775345	0.150760422682997	0.177833921689019	0.0691830817413216	0.12477614503506	0.183566107274605	0.220242023570534	0.228594298966465	0.115293092613814	0.20450936179123	0.0780859363399143	0.189440698365257	0.162619881766939	0.0742402061509837	0.165464704142296	0.13104008636292	0.140693020770121	0.0877419495209801	0.277287234184109	0.165983143558944	0.137625999347061	0.0887818935352441
