	MCM6	MCM3	ORC2	MCM5	MCM4	MCM2	MCM7	RAD51	KLF6	JUN	BTG2	POLR2B	TCF19	ELL2	ZFP143	GTF2E1	GTF2F1	SNAPC3	AFF4	SNRPB	YBX1	XAB2	PWP1	PA2G4	POLR1B	REXO4	SPI1	GATA2	EBF1	GATA1	IKZF1	TLR4	ID2	MYB	GFI1	STAT3	NFATC1	IRF8	RUNX1T1	PML	ESR1	CTR9	TAF12	GTF2H1	TAF1	PHB2	MAPK9	XRCC5	XRCC3	XRCC6	ERCC8	XPC	EPOR	CENPK	AHCTF1	MEF2C	RNF4	RNF19A	HMGB2	BUB3	VHL	MIS18BP1	TCF12	TTF1	NOTCH1	E2F4	RB1	SMAD2	MYC	CBFB	KLF1	GFI1B	FEM1B	HNF4A	PPARGC1A	FOXO1	MAPK1	ETS1	RARB	HDAC2	HDAC9	SMARCA2	HDAC10	JARID2	CBX7	MECOM	BMI1	HDAC7	HDAC11	DDX20	POLR3F	FOS	PGR	CNOT7	EGR1	ZFP36	NR4A1	E2F6	RUVBL2	E2F8	HCFC1	DDX58	MYCN	NFKBIA	REL	RELB	MAPK12	CREB5	SPO11	DEK	THRB	DCP1A	ELP3	ELP2	ABL1	H1F0	HIST1H1C	RUNX2	TOX4	SALL2	MED16	VDR	HCLS1	PHF10	EPAS1	TSC22D3	RORA	BLZF1	ZEB2	MEIS1	GTF3C3	IFI204	RORC	ZZZ3	PRDM16	NCOA6	PBX1	IRF1	TRIB3	PRDM5	NFE2	NFE2L2	NDN	BATF2	TOPORS	HOXA9	NR3C2	EYA2	EYA1	AHR	APBB1	NFATC2	BTAF1	NRF1	HNRNPAB	TRPS1
MCM6	1	0.766130877682874	0.128564869306645	0.800197604053897	0.869565217391304	0.105409255338946	0.802572353905128	0.260643017571343	0.143509461970482	0.110512418425634	0.0869565217391304	0.16151457061745	0.104257207028537	0.15762208124782	0.167183463772606	0.125738922692386	0.182006302077316	0.180578779628654	0.208514414057075	0.110581467116173	0.369274472937998	0.095672974646988	0.125738922692386	0.057831493196624	0.227507877596645	0.215352760823266	0.12267912301643	0.0915497214246348	0.215352760823266	0.101144347484835	0.180578779628654	0.036025803716501	0.0472192164649886	0.125738922692386	0.152277397525376	0.0947792791168522	0.102665400467869	0.137118234038212	0.222911285030141	0.10696563746014	0.0829918386726536	0.127688479613812	0.130434782608696	0.111455642515071	0.239956909566871	0.0851256530758749	0.110473635333221	0.266975349969038	0.204465205027383	0.276184088333054	0.0869565217391304	0.224701765881942	0.0761386987626881	0.197814142018736	0.217391304347826	0.0728719557735862	0.171397792547765	0.0491473187182991	0.138092044166527	0.208514414057075	0.0867472397949361	0.39405520311955	0.14303970797043	0.240771706171538	0.0567504353839166	0.184302445193621	0.134908125123986	0.115132824764626	0.0784615442649073	0.186500961648063	0.16681153124566	0.196589274873196	0.147441956154897	0.0969572331127439	0.102665400467869	0.113500870767833	0.139804410641947	0.155417468040052	0.127192600149779	0.0869565217391304	0.101476513723761	0.233582864989514	0.116160463899355	0.145190801728126	0.202288694969669	0.0976934413538754	0.190515868883136	0.112350882940971	0.188608384038579	0.294883912309794	0.0659380473395787	0.157173653365483	0.1191510937469	0.101476513723761	0.0775890900167808	0.0769990503509018	0.150482316357212	0.191345949293976	0.23643312187173	0.193600773165592	0.169127522872935	0.200491602544172	0.147441956154897	0.0893633203101749	0.133366267342316	0.173762011714229	0.227507877596645	0.16151457061745	0.275838642183685	0.156385810542806	0.125738922692386	0.139875721236047	0.0425628265379374	0.125738922692386	0.0998475714488415	0.182006302077316	0.196589274873196	0.122023831140845	0.15762208124782	0.111455642515071	0.125738922692386	0.105081387498547	0.0737209780774486	0.12267912301643	0.0884651736929383	0.186500961648063	0.116791432494757	0.180578779628654	0.117953564923918	0.154880618532473	0.0851256530758749	0.197027601559775	0.127192600149779	0.151716521227252	0.128697890417557	0.107279780977823	0.117953564923918	0.0922313192852019	0.154880618532473	0.130434782608696	0.200643088476282	0.101144347484835	0.149801177254628	0.125738922692386	0.145190801728126	0.152277397525376	0.157173653365483	0.133366267342316	0.107676380411633	0.109291249246994	0.0567504353839166	0.125738922692386	0.0851256530758749	0.222911285030141	0.16681153124566	0.173913043478261
MCM3	0.766130877682874	1	0.190947284185638	0.870388279778489	0.893819357296686	0.0778498944161523	0.785674201318386	0.280670699693906	0.187317162316339	0.0649113483611873	0.0851256530758749	0.158113883008419	0.102062072615966	0.154303349962092	0.109108945117996	0.123091490979333	0.133630620956212	0.176776695296637	0.136082763487954	0.108253175473055	0.115727512471569	0.0936585811581694	0.123091490979333	0.11322770341446	0.17817416127495	0.210818510677892	0.108253175473055	0.0896221429896442	0.158113883008419	0.0742610657232506	0.147313912747197	0.0352672807929299	0.0462250163521024	0.0923186182344996	0.111803398874989	0.0742269619025206	0.125629726907402	0.134231211042805	0.109108945117996	0.0837707816583391	0.0812444463702388	0.0833333333333333	0.0851256530758749	0.109108945117996	0.201346816564207	0.0555555555555556	0.108147614087175	0.235218768070193	0.280224269158903	0.243332131696144	0.0425628265379374	0.21997067253203	0	0.129099444873581	0.255376959227625	0.0713376375006422	0.134231211042805	0.0481125224324688	0.162221421130763	0.204124145231932	0.0849207775608447	0.308606699924184	0.140028008402801	0.176776695296637	0.0416666666666667	0.180421959121758	0.0880450906325624	0.0901669634667432	0.0768095372642569	0.136930639376292	0.122474487139159	0.144337567297406	0.144337567297406	0.0949157995752499	0.0753778361444409	0.111111111111111	0.117309283050866	0.121716123890037	0.124514561272938	0.0851256530758749	0.0993399267798783	0.20008168266626	0.151619608715781	0.106600358177805	0.148522131446501	0.0956365069595008	0.130744090092123	0.109985336266015	0.184637236468999	0.288675134594813	0.0645497224367903	0.123091490979333	0.0874817765279707	0.0993399267798783	0.101273936708367	0.0753778361444409	0.117851130197758	0.187317162316339	0.205737799949456	0.151619608715781	0.132453235706504	0.168231646227613	0.108253175473055	0.0583211843519804	0.130558241966773	0.170103454359943	0.267261241912424	0.105409255338946	0.231455024943138	0.153093108923949	0.0615457454896664	0.136930639376292	0.0833333333333333	0.184637236468999	0.114036162178938	0.17817416127495	0.144337567297406	0.119454620641874	0.154303349962092	0.109108945117996	0.123091490979333	0.12858612496841	0.0721687836487032	0.0800640769025436	0.0866025403784439	0.0912870929175277	0.0857492925712544	0.117851130197758	0.115470053837925	0.113714706536836	0.0833333333333333	0.154303349962092	0.0933859209547035	0.148522131446501	0.125988157669742	0.0700140042014005	0.115470053837925	0.0902893898143269	0.113714706536836	0.127688479613812	0.157134840263677	0.123768442872084	0.183308893776692	0.123091490979333	0.106600358177805	0.111803398874989	0.123091490979333	0.130558241966773	0.105409255338946	0.0855920985021826	0.0833333333333333	0.123091490979333	0.0833333333333333	0.163663417676994	0.163299316185545	0.127688479613812
ORC2	0.0949514487031079	0.0772091436482183	1	0.13201967239689	0.229415733870562	0.12354155277685	0.117851130197758	0.136319635318199	0.0408248290463863	0.130066495428618	0.0700140042014005	0.281671516087812	0.297775000191279	0.110216678544351	0.139875721236047	0.126886480331344	0.250580720875367	0.188982236504614	0.192847303959967	0.117201807734624	0.6	0.151947435279517	0.128965176043832	0.0583957162473784	0.205195670417031	0.152640627718166	0.0757614408414158	0.0816496580927726	0.220485603079037	0.267651689515655	0.153392997769474	0.193952455150571	0.108108108108108	0.148034227053235	0.091003151038658	0.226455406828919	0.155699788832305	0.148453923805041	0.120096115353815	0.0984798246447919	0.086747239794936	0.127515342612668	0.0209518868547528	0.174077655955698	0.0782460796435952	0.0341394370999459	0	0.0209518868547528	0.186500961648063	0.25486446230487	0.17895849739772	0.0954427144463667	0.152943822580374	0.152277397525376	0.206559111797729	0.227921152919276	0.138675049056307	0.186801908207398	0.177161578607248	0.229415733870562	0.228416096288064	0.150075056296916	0.236778532022108	0.125988157669742	0.150755672288882	0.139740771160021	0.800197604053897	0.111803398874989	0.0122169444356305	0.150755672288882	0.0639202772100593	0.143838990445615	0.0956365069595008	0.151522881682832	0.186550626811159	0.185239643408737	0.0810440898473108	0.0408248290463863	0.320844473959874	0.0914300641764989	0.195976600339204	0.154530634442275	0.110940039245046	0.221728521041745	0.134715062810913	0.131351734373183	0.28368325730679	0.125656172487509	0.259281489420866	0.110940039245046	0.0941763218696022	0.238808925650397	0.187683374126956	0.225151214313693	0.121267812518166	0.328719129325713	0.0917662935482247	0.177084400830287	0.108875889077336	0.105962588565203	0.0589767824619589	0.193649167310371	0.136363636363636	0.0700140042014005	0.0512989176042577	0.0912870929175277	0.142168918675278	0.142948337978373	0.0494770695995293	0.218643266644048	0.0801283080215004	0.0594480312505351	0.180578779628654	0.144337567297406	0.158311896715326	0.29277002188456	0.113960576459638	0.40291148201269	0.0690065559342354	0.169585076499937	0.347594473212995	0.101144347484835	0.120482899335375	0.152720709664243	0.100020006002001	0.165144564768954	0.120385853085769	0.176998081351197	0.0873704056661038	0.102597835208515	0.0352892336620293	0.0721687836487032	0.108465228909328	0.0984798246447919	0.188982236504614	0.148087219439773	0.201007563051842	0.245921131522617	0.265465163548174	0.201736646196482	0.150187852296528	0.363636363636364	0.102028865498569	0.129099444873581	0.297408958257966	0.0665006224071755	0.129011711635535	0.361550763031094	0.198029508595335	0.0976934413538754	0.0774258005430618	0.115278083540847	0.37573457465109	0.174077655955698	0.15927956196057	0.174574312188794
MCM5	0.800197604053897	0.870388279778489	0.232621052599618	1	0.844653026501335	0.0792428851750327	0.779579442869107	0.266500895444513	0.195646395217807	0.0677976922058353	0.0889108448948774	0.165144564768954	0.106600358177805	0.161164592805076	0.113960576459638	0.128564869306645	0.139572631559771	0.184637236468999	0.14213381090374	0.113066754216661	0.0711455503796044	0.0978231976089037	0.128564869306645	0.118262479197817	0.186096842079694	0.220192753025272	0	0.0936072754401818	0.165144564768954	0.0775631534992529	0.153864363724166	0.0184177367170939	0.0482804549585267	0.0964236519799837	0.116774841624228	0.077527533220222	0.104972776216296	0.140199927446556	0.113960576459638	0.0874957278519614	0.063642792525973	0.0870388279778489	0.0889108448948774	0.113960576459638	0.210299891169834	0.0580258853185659	0.112956498944981	0.245677990694676	0.250872603002127	0.254152122626207	0.0444554224474387	0.229751874320245	0	0.134839972492648	0.266732534684632	0.0745097323051745	0.140199927446556	0.0502518907629606	0.141195623681226	0.21320071635561	0.0886968593983624	0.322329185610152	0.146254484825426	0.184637236468999	0.0435194139889245	0.188444590361102	0.0919600979743406	0.0941763218696022	0.0601687089090165	0.143019388386839	0.127920429813366	0.150755672288882	0.150755672288882	0.0991363194193219	0.0787295821622217	0.116051770637132	0.12252555009203	0.127128345232746	0.130051217752471	0.0889108448948774	0.103757169579911	0.208978501909286	0.158361516492979	0.111340442853781	0.155126306998506	0.099889073731804	0.152462394654161	0.114875937160123	0.192847303959967	0.301511344577764	0.0674199862463242	0.128564869306645	0.0913717355809759	0.103757169579911	0.105777177069589	0.0787295821622217	0.123091490979333	0.195646395217807	0.188025358272589	0.158361516492979	0.138342892773215	0.175712223797227	0.113066754216661	0.0609144903873173	0.136363636363636	0.14213381090374	0.279145263119541	0.110096376512636	0.241746889207614	0.159900537266708	0.0642824346533225	0.143019388386839	0.0870388279778489	0.192847303959967	0.102091617289509	0.186096842079694	0.150755672288882	0.124766282126487	0.161164592805076	0.113960576459638	0.128564869306645	0.107443061870051	0.0753778361444409	0.0836242010007091	0.0904534033733291	0.0953462589245592	0.0895622151039798	0.123091490979333	0.120604537831105	0.118771137369734	0.0870388279778489	0.161164592805076	0.0975384133143533	0.155126306998506	0.131590338991954	0.0731272424127131	0.120604537831105	0.0943041920192897	0.118771137369734	0.133366267342316	0.164121987972444	0.103417537999004	0.153167916213497	0.128564869306645	0.111340442853781	0.116774841624228	0.128564869306645	0.136363636363636	0.110096376512636	0.0893980312535348	0.0580258853185659	0.128564869306645	0.0870388279778489	0.170940864689457	0.170560573084488	0.133366267342316
MCM4	0.869565217391304	0.893819357296686	0.120281306081172	0.844653026501335	1	0.167010664280671	0.882829589295641	0.260643017571343	0.143509461970482	0.0884099347405071	0.0869565217391304	0.16151457061745	0.104257207028537	0.15762208124782	0.167183463772606	0.125738922692386	0.182006302077316	0.180578779628654	0.208514414057075	0.110581467116173	0.156838750231877	0.095672974646988	0.125738922692386	0.057831493196624	0.227507877596645	0.215352760823266	0.0180129018582505	0.0915497214246348	0.215352760823266	0.101144347484835	0.150482316357212	0.0180129018582505	0.0472192164649886	0.125738922692386	0.152277397525376	0.0758234232934817	0.102665400467869	0.137118234038212	0.167183463772606	0.0855725099681116	0.0622438790044902	0.127688479613812	0.130434782608696	0.111455642515071	0.239956909566871	0.0567504353839166	0.110473635333221	0.266975349969038	0.204465205027383	0.276184088333054	0.0869565217391304	0.224701765881942	0.038069349381344	0.197814142018736	0.217391304347826	0.0728719557735862	0.137118234038212	0.0491473187182991	0.138092044166527	0.208514414057075	0.0867472397949361	0.39405520311955	0.14303970797043	0.240771706171538	0.0425628265379374	0.184302445193621	0.112423437603322	0.0921062598117008	0.0784615442649073	0.186500961648063	0.16681153124566	0.196589274873196	0.147441956154897	0.0969572331127439	0.102665400467869	0.113500870767833	0.119832351978812	0.124333974432042	0.127192600149779	0.0869565217391304	0.101476513723761	0.233582864989514	0.116160463899355	0.145190801728126	0.202288694969669	0.0976934413538754	0.176998081351197	0.112350882940971	0.188608384038579	0.294883912309794	0.0659380473395787	0.125738922692386	0.0893633203101749	0.101476513723761	0.0775890900167808	0.0769990503509018	0.120385853085769	0.191345949293976	0.210162774997094	0.154880618532473	0.135302018298348	0.171849945037861	0.147441956154897	0.0595755468734499	0.133366267342316	0.139009609371383	0.227507877596645	0.107676380411633	0.275838642183685	0.156385810542806	0.0943041920192897	0.0932504808240314	0.0425628265379374	0.125738922692386	0.0998475714488415	0.182006302077316	0.196589274873196	0.122023831140845	0.15762208124782	0.111455642515071	0.125738922692386	0.105081387498547	0.0737209780774486	0.12267912301643	0.0884651736929383	0.186500961648063	0.116791432494757	0.180578779628654	0.117953564923918	0.154880618532473	0.0851256530758749	0.15762208124782	0.127192600149779	0.151716521227252	0.128697890417557	0.0715198539852152	0.117953564923918	0.0922313192852019	0.154880618532473	0.130434782608696	0.160514470781026	0.101144347484835	0.149801177254628	0.125738922692386	0.145190801728126	0.152277397525376	0.125738922692386	0.133366267342316	0.107676380411633	0.0874329993975949	0.0567504353839166	0.125738922692386	0.0851256530758749	0.222911285030141	0.16681153124566	0.173913043478261
MCM2	0.267261241912424	0.0710669054518702	0.102749367065848	0.268089960930525	0.142695448246348	1	0.135302018298348	0.193649167310371	0.25492496425523	0.0721687836487032	0.147087101353638	0.192747769860971	0.204825432704685	0.225374467927604	0.0365148371670111	0.151947435279517	0.104186452214125	0.123091490979333	0.139776536170403	0.184637236468999	0.121599417765367	0.130120009726471	0.0778498944161523	0.119522860933439	0.291547594742265	0.138675049056307	0.15625	0.0673435029701474	0.152943822580375	0.214285714285714	0.17860862707794	0.262431940540739	0.133111665127944	0.080582296402538	0.180578779628654	0.116488833356982	0.0599042297873154	0.0561951486949016	0.174077655955698	0.133440128170906	0.189814150591324	0.154303349962092	0.080582296402538	0	0.145478593490662	0.238808925650397	0.100055601894761	0.139973127738964	0.117851130197758	0.132005000120825	0.0390699195802967	0.168585446084705	0.117851130197758	0.107159943955364	0.177882024398214	0.119522860933439	0.0249377334026908	0.14213381090374	0.0833333333333333	0.202288694969669	0.0381107966983353	0.0886968593983624	0.131590338991954	0.0993807989999907	0.0785901636321361	0.132842232831014	0.483493778415228	0.086747239794936	0.177667263629675	0.167038276195265	0.311187957132071	0.189937691820242	0.180020574955774	0.309993703316851	0.136797113611354	0	0.160356745147455	0.159744612766174	0.145064713296415	0.0960768922830523	0.270970103051919	0.200804832225625	0.104381375587932	0.0869565217391304	0.222783197169752	0.291471700534356	0.0425628265379374	0.133630620956212	0.213686921585344	0.175749910065499	0.140487871737254	0.131590338991954	0.110883190643186	0.0741929050244247	0.216930457818656	0.127000127000191	0.184302445193621	0.348436573822283	0.0610562510872664	0.173205080756888	0.311271508739734	0.14451832825402	0.150061261999695	0.345032779671177	0.188982236504614	0.102062072615966	0.336106998496762	0.126554399433667	0.144672846651124	0.105409255338946	0.177002608098461	0.230265649529252	0.132842232831014	0.175749910065499	0.168505092748454	0.182574185835055	0.0719194952228076	0.0731272424127131	0.0256917497769354	0.0909090909090909	0.051434449987364	0.119522860933439	0.147242034766462	0.180820560556338	0.0465466048463804	0.50395263067897	0.0356915305124125	0.199204768222399	0.116247638743819	0.0936585811581694	0.127256952595156	0.6	0.132453235706504	0.107989849431208	0.161917350720729	0.204385006865824	0.124878108210893	0.260132990857236	0.103172617494136	0.134687005940295	0.0300150112593832	0.144337567297406	0.060363272743915	0.0953116064578779	0.0326860225230307	0.0725476250110012	0.174963553055941	0.145671408145846	0.0556846046389705	0.0367607311046904	0.129099444873581	0.108465228909328	0.265908011739155	0.21523650802307	0.178061142448941	0.0657951694959769
MCM7	0.802572353905128	0.785674201318386	0.103774904332554	0.779579442869107	0.882829589295641	0.0784464540552736	1	0.288675134594813	0.176604314275339	0.122398012272421	0.120385853085769	0.149071198499986	0.0962250448649376	0.145478593490662	0.154303349962092	0.174077655955698	0.167984210226323	0.166666666666667	0.192450089729875	0.136082763487954	0.133500313152469	0.132453235706504	0.116051770637132	0.0533760512683624	0.251976315339485	0.198761597999981	0.0411868042143477	0.084496566736597	0.198761597999981	0.116690007002334	0.166666666666667	0.0166251556017939	0.0653720450460613	0.145064713296415	0.140545673785261	0.104972776216296	0.0947558739358269	0.126554399433667	0.154303349962092	0.0987248129598487	0.0574484989621426	0.117851130197758	0.120385853085769	0.154303349962092	0.221470199008916	0.0523782800878924	0.127453185483645	0.27104779935001	0.264197974633739	0.28039700806402	0.120385853085769	0.276520451928113	0.0351364184463153	0.182574185835055	0.200643088476282	0.100886654461064	0.126554399433667	0.0453609211626514	0.127453185483645	0.192450089729875	0.0800640769025436	0.363696483726654	0.13201967239689	0.222222222222222	0.0654728501098655	0.170103454359943	0.145266988151761	0.0850102284084451	0.126729270871833	0.172132593164774	0.1539600717839	0.181443684650606	0.181443684650606	0.111859342535671	0.118444842419784	0.130945700219731	0.147467003629155	0.114755062109849	0.146741817720937	0.0802572353905128	0.0936585811581694	0.242535625036333	0.178685422472966	0.167506302543202	0.233380014004668	0.0901669634667432	0.107417231105915	0.138260225964057	0.174077655955698	0.306186217847897	0.0608580619450184	0.116051770637132	0.0824786098842323	0.0936585811581694	0.0716114874039433	0.0947558739358269	0.138888888888889	0.176604314275339	0.242464322484436	0.178685422472966	0.124878108210893	0.1850453700009	0.170103454359943	0.0824786098842323	0.123091490979333	0.160375074774896	0.209980262782904	0.0993807989999907	0.254587538608658	0.144337567297406	0.0870388279778489	0.086066296582387	0.0785674201318386	0.174077655955698	0.122873514022424	0.167984210226323	0.181443684650606	0.15767205495988	0.145478593490662	0.102868899974728	0.116051770637132	0.121232161242218	0.102062072615966	0.11322770341446	0.0816496580927726	0.172132593164774	0.107793611127259	0.166666666666667	0.136082763487954	0.142948337978373	0.0785674201318386	0.181848241863327	0.11739345417675	0.140028008402801	0.148478467729125	0.13201967239689	0.136082763487954	0.0851256530758748	0.142948337978373	0.120385853085769	0.185185185185185	0.140028008402801	0.172825282455071	0.116051770637132	0.167506302543202	0.140545673785261	0.116051770637132	0.205152484965555	0.124225998749988	0.1008712554448	0.0785674201318386	0.174077655955698	0.0785674201318386	0.25717224993682	0.1539600717839	0.160514470781026
RAD51	0.260643017571343	0.280670699693906	0.126269068069026	0.266500895444513	0.260643017571343	0.101600101600152	0.288675134594813	1	0.200738767136742	0.145749708500875	0.104257207028537	0.161374306091976	0.0625	0.0944911182523068	0.133630620956212	0.113066754216661	0.136386181397495	0.144337567297406	0.125	0.110485434560398	0.134839972492648	0.114707866935281	0.113066754216661	0.10400628679223	0.190940653956493	0.193649167310371	0.155178180033562	0.0823231949922678	0.129099444873581	0.0757923828238541	0.144337567297406	0.043193421279068	0.0849207775608447	0.0942222951805511	0.0912870929175277	0.102272727272727	0.123091490979333	0.102749367065848	0.133630620956212	0.128247294010644	0.124379648776249	0.0765465544619743	0.078192905271403	0.167038276195265	0.164398987305357	0.102062072615966	0.115896581243191	0.256073759865792	0.392232270276368	0.248349816949696	0.130321508785672	0.269407953040162	0.0456435464587638	0.118585412256314	0.156385810542806	0.0873704056661038	0.164398987305357	0.0883883476483184	0.21523650802307	0.125	0.10400628679223	0.188982236504614	0.128623938856882	0.21650635094611	0.0680413817439772	0.154679608384557	0.107832773203438	0.138039407593558	0.11759010854795	0.139754248593737	0.125	0.117851130197758	0.176776695296637	0.116247638743819	0.107705054606916	0.102062072615966	0.155646771348437	0.111803398874989	0.0953116064578779	0.117289357907105	0.0811107105653813	0.157531509453151	0.185695338177052	0.152317948961236	0.212218671906791	0.078086880944303	0.151522881682832	0.112253313766734	0.113066754216661	0.176776695296637	0.0790569415042095	0.150755672288882	0.107142857142857	0.060833032924036	0.0930260509419063	0.0923186182344995	0.180421959121758	0.0860309002014606	0.188982236504614	0.139271503632789	0.162221421130763	0.154530634442275	0.110485434560398	0.125	0.106600358177805	0.208333333333333	0.163663417676994	0.0968245836551854	0.28347335475692	0.125	0.131911213252772	0.0838525491562421	0.102062072615966	0.150755672288882	0.149641290837679	0.163663417676994	0.147313912747197	0.146301433995163	0.188982236504614	0.0668153104781061	0.0753778361444409	0.110239637961025	0.110485434560398	0.098058067569092	0.0707106781186548	0.111803398874989	0.0875175052517506	0.144337567297406	0.123743686707646	0.116059586360657	0.0510310363079829	0.236227795630767	0.0762492851663023	0.121267812518166	0.115727512471569	0.171498585142509	0.0883883476483184	0.0921512225968107	0.116059586360657	0.104257207028537	0.144337567297406	0.106109335953396	0.157154639273428	0.0753778361444409	0.130558241966773	0.11410886614691	0.131911213252772	0.159900537266708	0.112962014264383	0.0917249232131679	0.11907241805196	0.169600131324992	0.102062072615966	0.167038276195265	0.125	0.156385810542806
KLF6	0.143509461970482	0.187317162316339	0.0892288262810312	0.195646395217807	0.143509461970482	0.188154452251595	0.176604314275339	0.200738767136742	1	0.291816229851478	0.095672974646988	0.236939551103637	0.114707866935281	0.173421993904824	0.490511471587973	0.27668578554643	0.250313087160879	0.331133089266261	0.229415733870562	0.162221421130763	0.161591432649355	0.157894736842105	0.138342892773215	0.190885428892733	0.350438322025231	0.236939551103637	0	0.302179779099527	0.592348877759092	0.306028186241061	0.331133089266261	0.0396370017644709	0.0779286500199197	0.311271508739734	0.335083126633356	0.250271709676976	0.310630372098698	0.377157143202357	0.18394180184549	0.164762903605248	0.228277187220526	0.140487871737254	0.191345949293976	0.122627867896993	0.150862857280943	0.0624390541054463	0.0911605688194146	0.176242048633814	0.224960635332924	0.212707993911967	0.047836487323494	0.288429975200615	0.0418853908291695	0.145095250022002	0.191345949293976	0.240529748813495	0.226294285921414	0.108147614087175	0.243094850185106	0.114707866935281	0.127256952595156	0.173421993904824	0.47213368521878	0.331133089266261	0.109268344684531	0.446108908109597	0.123692673998823	0.278682025565977	0.237397785226333	0.256494588021288	0.458831467741123	0.4325904563487	0.21629522817435	0.346697485590732	0.141195623681226	0.312195270527231	0.109870210072262	0.376192062431223	0.314870142843594	0.119591218308735	0.0744322927564787	0.192747769860971	0.255608593705383	0.119808459574631	0.166924465222397	0.322458463755008	0.183339699405642	0.164817128686066	0.138342892773215	0.202776776413453	0.145095250022002	0.415028678319645	0.294963086405008	0.148864585512957	0.369921755595907	0.169434748417471	0.463586324972765	0.368421052631579	0.202325659555628	0.468615755126535	0.186080731891197	0.189076047498976	0.446108908109597	0.131094705068892	0.391292790435615	0.382359556450936	0.200250469728704	0.473879102207274	0.173421993904824	0.286769667338202	0.311271508739734	0.102597835208515	0.280975743474508	0.27668578554643	0.146474950634088	0.200250469728704	0.21629522817435	0.322212968124633	0.260132990857236	0.490511471587973	0.138342892773215	0.28903665650804	0.162221421130763	0.224960635332924	0.291998558035373	0.205195670417031	0.321246283101618	0.132453235706504	0.356887126487678	0.340811458273844	0.187317162316339	0.390199486285854	0.314870142843594	0.333848930444794	0.318596546432155	0.196722368841158	0.356887126487678	0.304429541171282	0.085202864568461	0.430528385911446	0.397359707119513	0.306028186241061	0.247225693029099	0.415028678319645	0.159744612766174	0.418853908291695	0.345857231933037	0.195646395217807	0.148087219439773	0.216443731609747	0.0936585811581694	0.415028678319645	0.187317162316339	0.613139339484966	0.229415733870562	0.287018923940964
JUN	0.110512418425634	0.0649113483611873	0.167541563316678	0.0677976922058353	0.0884099347405071	0.217597069944622	0.122398012272421	0.145749708500875	0.291816229851478	1	0.132614902110761	0.164214165451192	0.052999894000318	0.0801283080215004	0.31162598481854	0.127840554420119	0.138786300617768	0.122398012272421	0.141333050667515	0.0749531688995861	0.0936585811581694	0.0729540574628696	0.0319601386050297	0.117596206407571	0.138786300617768	0.082107082725596	0.198272638838644	0.232699765779077	0.328428330902384	0.308504698037437	0.290695279147	0.0640989089804472	0.156027463250511	0.287641247445267	0.25158672490776	0.279453986547131	0.300096454815304	0.278820124830194	0.198307444884526	0.163130231721402	0.274231701159019	0.15145981284277	0.154717385795887	0.169977809901022	0.139410062415097	0.100973208561847	0.12636013414399	0.135718821291499	0.0831530749926064	0.168480178858653	0.0884099347405071	0.152304991509027	0.096764124964523	0.100560228473099	0.0884099347405071	0.231531111953414	0.139410062415097	0.0249843896331954	0.210600223573316	0.052999894000318	0.117596206407571	0.120192462032251	0.327218646015269	0.152997515340526	0.173096928963166	0.337289260048138	0.217174770882618	0.280937240460491	0.279205395326019	0.21332045841299	0.317999364001908	0.274828285965149	0.124921948165977	0.295733401498065	0.221810423124355	0.288494881605277	0.121835259809855	0.331831824197984	0.242472241884843	0.209973595008704	0.103172617494136	0.222644088072723	0.137785665356317	0.221426335523419	0.179961073855171	0.198652627817449	0.298347094859308	0.11422874363177	0.0639202772100593	0.187382922248965	0.0670401523153991	0.527342286982989	0.227142402858506	0.103172617494136	0.262953111423425	0.104381375587932	0.35189428528321	0.316134249005768	0.160256616043001	0.314938663671583	0.206345234988273	0.101921334607462	0.262336091148551	0.181713922286805	0.248591538088063	0.282666101335029	0.0462621002059225	0.328428330902384	0.0801283080215004	0.105999788000636	0.287641247445267	0.142213638941993	0.0649113483611873	0.095880415815089	0.118435856783518	0.161917350720729	0.174890727432368	0.310158419753527	0.160256616043001	0.283296349835037	0.127840554420119	0.213675488057334	0.168644630024069	0.145517881237061	0.254840774258593	0.142213638941993	0.192958209663026	0.152997515340526	0.194878239138924	0.295254997192109	0.0432742322407915	0.240384924064501	0.226307425759186	0.154252349018718	0.261697958140315	0.18178813667515	0.26983140803851	0.296947505801545	0.157469331835791	0.265229804221521	0.285595361968982	0.269941610782757	0.171343115447655	0.255681108840237	0.11071316776171	0.290292374893569	0.223720970235208	0.0677976922058353	0.0957915965131953	0.24445953500497	0.18752167304343	0.415481801865386	0.0865484644815831	0.339955619802044	0.190799618401145	0.287332287906648
