,TF,index
0,JUN,1
1,THRB,8
2,TSHZ3,17
3,E2F8,35
4,GFI1B,43
5,XRCC5,48
6,FOXO1,51
7,ZBTB43,56
8,SALL2,57
9,ZBTB20,60
10,ZDHHC6,64
11,NDN,74
12,DDX58,82
13,MCM2,83
14,ZSCAN21,85
15,SNRPB,90
16,VDR,99
17,SATB1,100
18,STAT3,107
19,BLZF1,111
20,MYB,120
21,ZFP30,123
22,IKZF2,131
23,DEK,134
24,VHL,136
25,GATA1,145
26,CREB5,146
27,MAPK12,161
28,WDR5,162
29,XRCC6,169
30,PHF10,171
31,RAI14,181
32,PGR,185
33,GFI1,189
34,ABL1,202
35,MEF2C,208
36,ZFP110,216
37,HIST1H1C,222
38,POLR3F,243
39,RB1,253
40,TAF12,259
41,MYCN,260
42,ZFP467,267
43,KLF3,269
44,TRIB3,272
45,TLE2,276
46,EGR1,284
47,SOX6,292
48,ZFP275,297
49,HMGB2,298
50,RNF4,302
51,HCLS1,304
52,IRF8,308
53,HLF,312
54,CBX7,313
55,CITED4,317
56,EPAS1,327
57,AHCTF1,333
58,CBFB,335
59,RAD21,340
60,KLF6,341
61,KLF1,347
62,IKZF1,350
63,HDAC7,358
64,NFE2L2,370
65,XPC,385
66,AHR,399
67,POLR1B,400
68,HDAC2,403
69,NFIA,405
70,HDAC10,406
71,EBF1,407
72,NFXL1,415
73,GTF2E1,418
74,PHB2,422
75,PBX1,424
76,CNOT7,427
77,ZKSCAN6,438
78,ABTB1,445
79,ZEB2,474
80,XRCC3,479
81,PA2G4,484
82,SPO11,486
83,FOS,488
84,HNRNPAB,494
85,APBB1,496
86,RUNX2,504
87,XAB2,512
88,TOPORS,516
89,ELP2,538
90,TTF1,540
91,SNAPC3,545
92,NFATC2,549
93,RELB,550
94,MCM3,551
95,PRDM4,553
96,RAD51,557
97,NCOA6,574
98,ELL2,575
99,FEM1B,582
100,ERCC8,585
101,HOXA9,588
102,MAPK1,599
103,DDX20,603
104,ZFP143,619
105,ETS1,620
106,SPI1,630
107,TAF1,634
108,CSRP3,647
109,AFF4,648
110,E2F4,653
111,NUPR1,660
112,RARB,667
113,ZZZ3,669
114,HCFC1,676
115,ZBTB10,680
116,LMO4,681
117,ELF4,683
118,NR2C1,686
119,ARID3B,689
120,MYNN,691
121,MED16,707
122,TLR4,713
123,BUB3,715
124,TCF12,719
125,PLAG1,723
126,RPA1,742
127,GATA2,743
128,BATF2,745
129,BTAF1,750
130,RUVBL2,755
131,MXD3,760
132,EYA1,764
133,ZKSCAN17,766
134,MCM6,769
135,REXO4,770
136,NFE2,782
137,BTG2,788
138,GTF2F1,798
139,RORC,819
140,TOX4,820
141,ESR1,825
142,RORA,826
143,IRF5,829
144,PPARGC1A,833
145,CENPK,835
146,MIS18BP1,837
147,SOX18,845
148,SMARCA2,849
149,TSC22D3,863
150,MYC,864
151,PRDM16,869
152,ID2,870
153,SLA2,879
154,BMI1,886
155,HNF4A,894
156,HDGF,895
157,GTF2H1,896
158,TTF2,897
159,NR4A1,898
160,YBX1,910
161,MCM5,912
162,GTF3C3,930
163,NR3C2,941
164,ZFP36,949
165,HDAC9,958
166,MCM7,960
167,NRF1,972
168,RUNX1T1,978
169,JARID2,984
170,MEIS1,988
171,RNF19A,991
172,IFI204,1002
173,RPA2,1017
174,PRDM5,1021
175,ZFP592,1022
176,GLIS2,1025
177,KDM6A,1027
178,SRSF1,1028
179,REL,1042
180,TRPS1,1044
181,ZDHHC13,1046
182,TCF19,1051
183,CTR9,1053
184,NFATC1,1054
185,IRF1,1059
186,MCM4,1062
187,NFKBIA,1069
188,EPOR,1071
189,IRF6,1077
190,MECOM,1081
191,DCP1A,1086
192,ELP3,1099
193,TEAD2,1115
194,POLR2B,1118
195,SP4,1119
196,E2F6,1134
197,PML,1137
198,MAPK9,1141
199,NFAT5,1153
200,SMAD2,1159
201,ORC2,1162
202,EYA2,1163
203,HDAC11,1170
204,LZTS1,1179
205,H1F0,1180
206,PWP1,1190
207,TEAD3,1193
208,NOTCH1,1195
