,Gene,index
0,PJA2,0
1,JUN,1
2,NPTN,2
3,SNCA,3
4,CYTIP,4
5,RPRD1B,5
6,PLPPR3,6
7,KPNA3,7
8,THRB,8
9,RCC1,9
10,ST6GALNAC4,10
11,NAA35,11
12,FAM168B,12
13,DLST,13
14,HSPH1,14
15,PITPNB,15
16,KLHL6,16
17,TSHZ3,17
18,CKAP5,18
19,CDT1,19
20,SLC44A2,20
21,THUMPD1,21
22,MBOAT2,22
23,ISYNA1,23
24,DNPEP,24
25,SLC35A1,25
26,CISH,26
27,L2HGDH,27
28,D230025D16RIK,28
29,UBAC1,29
30,AURKB,30
31,KRT18,31
32,PHACTR2,32
33,NUP85,33
34,SLC19A1,34
35,E2F8,35
36,UBAP1,36
37,ANXA5,37
38,CTTN,38
39,USP4,39
40,STX12,40
41,MTO1,41
42,PGM1,42
43,GFI1B,43
44,ODC1,44
45,CASP3,45
46,NUF2,46
47,STAP1,47
48,XRCC5,48
49,PIK3IP1,49
50,PBK,50
51,FOXO1,51
52,CASP1,52
53,SERPINB9,53
54,ZKSCAN3,54
55,RFESD,55
56,ZBTB43,56
57,SALL2,57
58,TCP11L2,58
59,SIGIRR,59
60,ZBTB20,60
61,PRPF4,61
62,SPC24,62
63,CHORDC1,63
64,ZDHHC6,64
65,RHAG,65
66,ABITRAM,66
67,GEMIN5,67
68,USP10,68
69,WLS,69
70,HEXA,70
71,RHD,71
72,TBC1D20,72
73,MTAP,73
74,NDN,74
75,DOK2,75
76,C1QTNF12,76
77,PLCB2,77
78,MKI67,78
79,ACSS1,79
80,RNASE6,80
81,PSTPIP1,81
82,DDX58,82
83,MCM2,83
84,KLHL22,84
85,ZSCAN21,85
86,CHUK,86
87,TMEM164,87
88,PMPCA,88
89,USF3,89
90,SNRPB,90
91,ADK,91
92,XPR1,92
93,WDR6,93
94,NGLY1,94
95,ZFP961,95
96,GSKIP,96
97,PIP4K2A,97
98,NASP,98
99,VDR,99
100,SATB1,100
101,PIGQ,101
102,AAR2,102
103,VPS41,103
104,WDR4,104
105,HSD3B7,105
106,SCARF1,106
107,STAT3,107
108,VAMP3,108
109,TES,109
110,STK25,110
111,BLZF1,111
112,TMUB2,112
113,RNF139,113
114,CPQ,114
115,TMEM168,115
116,FPGS,116
117,MAN2A2,117
118,EXOC2,118
119,ZFP672,119
120,MYB,120
121,9430015G10RIK,121
122,INCENP,122
123,ZFP30,123
124,MFSD1,124
125,MAN1A,125
126,ERMAP,126
127,SLC20A1,127
128,F11R,128
129,UAP1L1,129
130,CD1D1,130
131,IKZF2,131
132,ATP7B,132
133,SNRNP200,133
134,DEK,134
135,NPLOC4,135
136,VHL,136
137,CTLA2A,137
138,LRRC8C,138
139,AMPD3,139
140,NET1,140
141,BTK,141
142,CKAP2L,142
143,UMPS,143
144,LCP2,144
145,GATA1,145
146,CREB5,146
147,PRKAR2B,147
148,ATP1B2,148
149,KIF11,149
150,MINPP1,150
151,GUSB,151
152,ARHGEF6,152
153,JPT2,153
154,ALKBH8,154
155,LDAH,155
156,PRC1,156
157,UHRF1,157
158,GPKOW,158
159,IGHM,159
160,SLC43A1,160
161,MAPK12,161
162,WDR5,162
163,LPIN2,163
164,MARS,164
165,PTGS1,165
166,HNRNPLL,166
167,CCNF,167
168,TSPAN33,168
169,XRCC6,169
170,INTS8,170
171,PHF10,171
172,RRM2,172
173,RGS2,173
174,WDR75,174
175,MCTP1,175
176,LDHB,176
177,BYSL,177
178,SPC25,178
179,DUS1L,179
180,GOLT1B,180
181,RAI14,181
182,RARS,182
183,RTP4,183
184,CUL4A,184
185,PGR,185
186,PDZK1IP1,186
187,RAB31,187
188,ZFP945,188
189,GFI1,189
190,SERPINA3G,190
191,PRKAA1,191
192,RHOT1,192
193,ZFP266,193
194,SLC25A46,194
195,SGTA,195
196,SUN1,196
197,SEPT8,197
198,ZFP451,198
199,ZFP930,199
200,9030619P08RIK,200
201,H2-DMB1,201
202,ABL1,202
203,COLGALT1,203
204,PSMD6,204
205,ELAC2,205
206,CHAMP1,206
207,CDC45,207
208,MEF2C,208
209,SKAP2,209
210,WDR73,210
211,ADAMTS10,211
212,WDSUB1,212
213,TMX3,213
214,PPOX,214
215,PIDD1,215
216,ZFP110,216
217,GLIPR2,217
218,PEAR1,218
219,CAD,219
220,TIFA,220
221,PPM1H,221
222,HIST1H1C,222
223,TASP1,223
224,TUBGCP5,224
225,ST3GAL6,225
226,UBA7,226
227,PDCL,227
228,LRRC14,228
229,HEATR5A,229
230,CLCN4,230
231,FASTKD2,231
232,VIM,232
233,IGKC,233
234,POLA2,234
235,AQP9,235
236,SLC40A1,236
237,GMFB,237
238,TPP1,238
239,CCNG1,239
240,CARHSP1,240
241,RAB32,241
242,LAP3,242
243,POLR3F,243
244,NAPSA,244
245,GNPDA1,245
246,TFR2,246
247,CCNB1,247
248,STARD7,248
249,IFITM1,249
250,PLIN3,250
251,GM28875,251
252,C330018D20RIK,252
253,RB1,253
254,CCNA2,254
255,KLHL23,255
256,FTSJ3,256
257,GM19590,257
258,PRKCQ,258
259,TAF12,259
260,MYCN,260
261,NCAPG2,261
262,TBCD,262
263,CD74,263
264,STXBP4,264
265,TMEM97,265
266,CYTH3,266
267,ZFP467,267
268,NUP155,268
269,KLF3,269
270,NEURL3,270
271,PRIM1,271
272,TRIB3,272
273,SACM1L,273
274,SLC31A1,274
275,CSGALNACT2,275
276,TLE2,276
277,UBASH3A,277
278,CPT1A,278
279,TOM1L1,279
280,LZTR1,280
281,GIMAP5,281
282,TRPV2,282
283,ATG16L1,283
284,EGR1,284
285,ANAPC2,285
286,ST3GAL5,286
287,CRBN,287
288,DPP8,288
289,NOLC1,289
290,YBX3,290
291,CYP20A1,291
292,SOX6,292
293,LLGL1,293
294,PLIN2,294
295,H2-OB,295
296,IDH3A,296
297,ZFP275,297
298,HMGB2,298
299,IFRD2,299
300,ZYX,300
301,PACS1,301
302,RNF4,302
303,FOXRED1,303
304,HCLS1,304
305,ZMYM3,305
306,DPH2,306
307,BAG2,307
308,IRF8,308
309,CD63,309
310,PUS7,310
311,LANCL2,311
312,HLF,312
313,CBX7,313
314,SLC43A3,314
315,TSPAN3,315
316,SSX2IP,316
317,CITED4,317
318,CKS1B,318
319,LSP1,319
320,AQP1,320
321,EFTUD2,321
322,PLXNC1,322
323,PTDSS1,323
324,RDH11,324
325,CD48,325
326,UBE2C,326
327,EPAS1,327
328,CENPO,328
329,IPO9,329
330,ALG11,330
331,SGPL1,331
332,PRKAB1,332
333,AHCTF1,333
334,PCCA,334
335,CBFB,335
336,INKA1,336
337,EZR,337
338,UGCG,338
339,NECAP2,339
340,RAD21,340
341,KLF6,341
342,TMC6,342
343,NAMPT,343
344,D10WSU102E,344
345,LYRM4,345
346,RABIF,346
347,KLF1,347
348,MSH6,348
349,RAD51AP1,349
350,IKZF1,350
351,CAPN7,351
352,GPR180,352
353,SQOR,353
354,BIRC5,354
355,TBL3,355
356,GM8995,356
357,STEAP3,357
358,HDAC7,358
359,SLC39A9,359
360,SLC22A3,360
361,ICE1,361
362,ZFP367,362
363,PTPN12,363
364,RCSD1,364
365,LTB,365
366,PSMF1,366
367,SELENBP1,367
368,NUSAP1,368
369,FAAP100,369
370,NFE2L2,370
371,LMNA,371
372,STT3B,372
373,LONP1,373
374,GFM1,374
375,1700006J14RIK,375
376,SPTBN1,376
377,MRPL37,377
378,ZFP655,378
379,STXBP1,379
380,ITFG1,380
381,SPNS2,381
382,IFI203,382
383,HERC4,383
384,AP1B1,384
385,XPC,385
386,CD34,386
387,MIOS,387
388,SHCBP1,388
389,YPEL3,389
390,COQ8A,390
391,UROD,391
392,CRYZL2,392
393,TMEM129,393
394,P2RY14,394
395,PNO1,395
396,BUB1B,396
397,HARS,397
398,ANK,398
399,AHR,399
400,POLR1B,400
401,URB2,401
402,ITSN1,402
403,HDAC2,403
404,DUSP2,404
405,NFIA,405
406,HDAC10,406
407,EBF1,407
408,ACAP1,408
409,TMEM177,409
410,RANGAP1,410
411,NDRG1,411
412,NDC1,412
413,PQLC3,413
414,GIMAP6,414
415,NFXL1,415
416,NUP88,416
417,ARMT1,417
418,GTF2E1,418
419,NUP107,419
420,AK3,420
421,GCNT2,421
422,PHB2,422
423,GALK2,423
424,PBX1,424
425,LEPROT,425
426,TFRC,426
427,CNOT7,427
428,SEH1L,428
429,PLA2G12A,429
430,PFKM,430
431,ESYT2,431
432,CLDN13,432
433,LIMD2,433
434,KLHL24,434
435,ELOVL1,435
436,MED22,436
437,AFG3L2,437
438,ZKSCAN6,438
439,ANKRD27,439
440,MFSD14B,440
441,MAPKAPK3,441
442,METAP1D,442
443,MNS1,443
444,NSDHL,444
445,ABTB1,445
446,PLEK,446
447,GNA13,447
448,METTL7A1,448
449,PLAA,449
450,ATP6AP2,450
451,PDE4B,451
452,TUBGCP3,452
453,PSEN2,453
454,LRRFIP1,454
455,PCYT1A,455
456,TMEM206,456
457,AP1G2,457
458,CACFD1,458
459,PTCD3,459
460,DCK,460
461,RNF115,461
462,MARCH8,462
463,VPS11,463
464,SELENOP,464
465,ENDOD1,465
466,GCLC,466
467,METAP1,467
468,TAPT1,468
469,ALDH1A1,469
470,PLBD2,470
471,SPPL2A,471
472,POLD1,472
473,ALDH9A1,473
474,ZEB2,474
475,TCIRG1,475
476,CTSC,476
477,MEMO1,477
478,FADS1,478
479,XRCC3,479
480,TMEM186,480
481,GIMAP1,481
482,IFI30,482
483,NSMAF,483
484,PA2G4,484
485,EMILIN2,485
486,SPO11,486
487,SLC25A45,487
488,FOS,488
489,PGLYRP2,489
490,SDHAF2,490
491,EIF4ENIF1,491
492,SVIP,492
493,TENT5A,493
494,HNRNPAB,494
495,ABCD3,495
496,APBB1,496
497,B3GALNT2,497
498,TIE1,498
499,CSAD,499
500,INPP1,500
501,MTMR6,501
502,MGST3,502
503,SLC11A2,503
504,RUNX2,504
505,INPP5B,505
506,DRAM2,506
507,WARS,507
508,UROS,508
509,MCM10,509
510,NCAPD2,510
511,TIPIN,511
512,XAB2,512
513,ASB8,513
514,MYCT1,514
515,NCLN,515
516,TOPORS,516
517,RNF213,517
518,ERLIN2,518
519,TAB1,519
520,CLN5,520
521,CAST,521
522,FTSJ1,522
523,MNDAL,523
524,ATP11C,524
525,SLC41A3,525
526,TSPO2,526
527,TK1,527
528,TRMT6,528
529,MARCH6,529
530,CTSE,530
531,COPS8,531
532,CLIC4,532
533,NXPE2,533
534,PREP,534
535,CLPTM1L,535
536,BCLAF3,536
537,TMEM68,537
538,ELP2,538
539,USP25,539
540,TTF1,540
541,TMX1,541
542,SMIM1,542
543,UBA3,543
544,ALG9,544
545,SNAPC3,545
546,SCFD1,546
547,CAR1,547
548,PLAC8,548
549,NFATC2,549
550,RELB,550
551,MCM3,551
552,NOP2,552
553,PRDM4,553
554,ZFP397,554
555,CYB5R3,555
556,COPG1,556
557,RAD51,557
558,TLK1,558
559,CPT2,559
560,GNB4,560
561,TGM2,561
562,RASSF5,562
563,EIF2B1,563
564,UNC93B1,564
565,ADD2,565
566,TRIM30A,566
567,GATM,567
568,PQLC1,568
569,GM15915,569
570,SLC16A1,570
571,GPSM2,571
572,ATP13A1,572
