	E2F4	EGR1	ELF1	EPAS1	EYA2	FOXO1	GATA2	GFI1B	HCFC1	HDAC2	IKZF1	IRF8	IRF9	JUN	KLF6	MAPK1	MEIS1	MYB	MYC	MYCN	NDN	NFAT5	NFATC2	NFE2	NR3C2	NUPR1	PLAG1	RARB	RB1	REL	RELB	RUNX1T1	SALL2	SATB1	SLA2	SMARCA2	SPI1	STAT2	YBX1	ZBTB16	ABL1	BTG2	CBFB	CENPK	CREB5	CTR9	DDX20	ERCC8	GTF2F1	GTF2H1	H1F0	HDAC11	HDAC7	HLF	HMGB2	IRF6	IRF7	JARID2	MAML3	MAPK12	MCM2	MCM3	MCM4	MCM5	MCM6	MCM7	MECOM	MIS18BP1	NFKBIA	ORC2	PA2G4	PBX1	PHF10	POLR1B	POLR2B	RNF4	RORC	RUVBL2	SNRPB	SPO11	SRSF1	TOPORS	TRPS1	VDR	XPC	XRCC6	ZDHHC6	ZFP36
E2F4	1	0.06736	0.1276	0.07093	0.05917	0.108	0.07343	0.06729	0.06536	0.0608	0.0605	0.04519	0.08083	0.0767	0.07961	0.04875	0.06588	0.07121	0.08727	0.06668	0.06622	0.05838	0.05976	0.07351	0.07201	0.1895	0.05652	0.06064	0.04553	0.08202	0.07446	0.05367	0.0677	0.09324	0.08325	0.06533	0.1499	0.06635	0.06106	0.07607	0.0618	0.1518	0.229	0.1426	0.06733	0.09915	0.07114	0.02743	0.05646	0.04054	0.2743	0.05698	0.06431	0.07989	0.1181	0.06168	0.06234	0.05878	0.104	0.05436	0.06349	0.1343	0.1402	0.1343	0.1151	0.1385	0.05078	0.07646	0.0835	0.05192	0.07729	0.06533	0.08466	0.06645	0.0503	0.1025	0.06799	0.03981	0.1029	0.05493	0.06827	0.04894	0.05607	0.04174	0.06528	0.08169	0.05274	0.05908
EGR1	0.09421	1	0.05443	0.06587	0.07091	0.05798	0.091	0.2556	0.06862	0.07641	0.123	0.08821	0.05703	0.07669	0.2887	0.0265	0.09518	0.06067	0.075	0.0722	0.08569	0.07352	0.0587	0.08959	0.06623	0.1685	0.09518	0.051	0.04749	0.05128	0.06625	0.0686	0.1382	0.04367	0.08676	0.05621	0.1195	0.05525	0.07667	0.1619	0.0773	0.08225	0.09122	0.08135	0.08679	0.06256	0.0633	0.06921	0.08974	0.04078	0.1569	0.0333	0.061	0.08175	0.1129	0.04534	0.06223	0.06014	0.06861	0.03654	0.0451	0.06153	0.06302	0.05081	0.05735	0.04803	0.1488	0.07691	0.0635	0.05875	0.04613	0.06336	0.07574	0.03226	0.05379	0.1696	0.05564	0.04341	0.08691	0.03754	0.0681	0.07262	0.06648	0.09588	0.04375	0.04664	0.04065	0.08672
ELF1	0.06487	0.06533	1	0.04305	0.06087	0.09286	0.04546	0.08083	0.04503	0.07092	0.05642	0.1502	0.16	0.07856	0.08384	0.04589	0.07261	0.0581	0.06345	0.052	0.092	0.04899	0.04633	0.08171	0.05506	0.08374	0.08886	0.05548	0.03527	0.06418	0.04147	0.07075	0.07217	0.06071	0.05732	0.05053	0.3068	0.05809	0.06934	0.05741	0.05966	0.1126	0.08716	0.1117	0.07661	0.06652	0.05444	0.05302	0.05578	0.04999	0.239	0.04961	0.06324	0.08703	0.1085	0.1538	0.1354	0.05521	0.0515	0.05203	0.04248	0.0852	0.04374	0.07813	0.07671	0.09045	0.04801	0.05557	0.06758	0.06332	0.06128	0.04952	0.09262	0.03085	0.04426	0.09823	0.04849	0.04934	0.09546	0.04186	0.08513	0.0511	0.04859	0.04036	0.05989	0.03489	0.03239	0.08444
EPAS1	0.055	0.05847	0.05359	1	0.05726	0.04946	0.06267	0.1068	0.04477	0.051	0.06937	0.09367	0.08664	0.09317	0.08927	0.0758	0.07415	0.05276	0.06447	0.06647	0.06202	0.03816	0.04721	0.0852	0.03592	0.1799	0.08471	0.04792	0.03195	0.06058	0.06497	0.05265	0.05026	0.04268	0.1188	0.03095	0.08381	0.05758	0.1249	0.04478	0.04898	0.1541	0.1483	0.1016	0.06912	0.05056	0.04314	0.0517	0.06908	0.06418	0.123	0.04695	0.04656	0.07296	0.1119	0.08885	0.05804	0.04371	0.04549	0.06131	0.03201	0.04866	0.02563	0.03658	0.04432	0.06519	0.04179	0.04684	0.0888	0.04661	0.05663	0.05866	0.05984	0.04219	0.03962	0.106	0.06746	0.07057	0.1404	0.05315	0.08567	0.03671	0.04024	0.0635	0.04033	0.0742	0.05895	0.08316
EYA2	0.08218	0.07118	0.05619	0.05602	1	0.06226	0.06265	0.07715	0.0558	0.05642	0.04707	0.0347	0.07121	0.08169	0.07956	0.06458	0.06554	0.04606	0.1011	0.06268	0.09675	0.05707	0.0491	0.06582	0.05397	0.2467	0.05728	0.05539	0.04565	0.07093	0.06097	0.06588	0.04479	0.04108	0.06323	0.05247	0.1118	0.05217	0.07368	0.05522	0.07502	0.1717	0.07679	0.07406	0.0574	0.06786	0.06185	0.02641	0.06739	0.06048	0.1004	0.09357	0.1189	0.1001	0.08306	0.04791	0.0563	0.05681	0.07431	0.0368	0.04244	0.0463	0.05919	0.0588	0.04162	0.05573	0.05098	0.08375	0.04644	0.06466	0.04469	0.05394	0.05378	0.06596	0.06876	0.1012	0.08893	0.06468	0.0866	0.1014	0.06762	0.05216	0.05205	0.0873	0.04368	0.03987	0.08131	0.08875
FOXO1	0.07068	0.07656	0.1003	0.04754	0.05985	1	0.05018	0.08637	0.04586	0.0585	0.06147	0.1413	0.1275	0.08251	0.1174	0.03692	0.09076	0.08488	0.05129	0.06695	0.1302	0.05301	0.04587	0.07101	0.0502	0.2322	0.0643	0.06586	0.04856	0.04304	0.0595	0.04746	0.04969	0.03782	0.065	0.04636	0.07285	0.04508	0.08412	0.04538	0.0463	0.1638	0.06784	0.1278	0.06734	0.05249	0.05052	0.05893	0.06404	0.05538	0.3198	0.04584	0.05208	0.08016	0.1025	0.09647	0.1337	0.05724	0.0519	0.04087	0.044	0.0778	0.0435	0.07792	0.1003	0.08321	0.05701	0.05803	0.07105	0.05332	0.05226	0.06024	0.07666	0.04018	0.03186	0.09985	0.04073	0.06709	0.08861	0.04636	0.07598	0.06021	0.05714	0.08142	0.04537	0.03504	0.04495	0.07622
GATA2	0.06157	0.05818	0.05846	0.06547	0.06338	0.06796	1	0.07094	0.05647	0.04248	0.06521	0.05105	0.0584	0.06645	0.08027	0.04333	0.05197	0.05003	0.0796	0.05583	0.07814	0.06455	0.06721	0.06012	0.06749	0.1386	0.05731	0.0774	0.0553	0.05077	0.0523	0.04857	0.0683	0.04584	0.08284	0.06814	0.08423	0.04831	0.06549	0.06378	0.06061	0.08656	0.05306	0.05095	0.06177	0.04613	0.05462	0.05163	0.05194	0.04949	0.09857	0.03368	0.06357	0.07723	0.07138	0.04583	0.05067	0.06307	0.0656	0.037	0.05562	0.06872	0.04485	0.02711	0.04514	0.03467	0.07037	0.05904	0.05469	0.05625	0.04853	0.04778	0.05203	0.04443	0.03772	0.106	0.04896	0.03273	0.08144	0.02525	0.1017	0.06517	0.09244	0.0821	0.05337	0.0434	0.03977	0.0692
GFI1B	0.1133	0.2528	0.08556	0.08535	0.09749	0.07737	0.1141	1	0.07537	0.06469	0.2544	0.05764	0.0602	0.07237	0.2815	0.02769	0.07603	0.0735	0.07875	0.09574	0.06455	0.06585	0.05609	0.07398	0.05753	0.1375	0.3257	0.07479	0.06443	0.07967	0.06416	0.09937	0.1807	0.06109	0.08526	0.08941	0.1143	0.06535	0.07892	0.4057	0.056	0.06373	0.1113	0.09376	0.08233	0.06567	0.08218	0.04586	0.07308	0.08742	0.1265	0.0531	0.07787	0.1104	0.08128	0.06384	0.07841	0.0659	0.07322	0.06017	0.1002	0.06966	0.08676	0.07939	0.05508	0.07834	0.426	0.06696	0.1055	0.08027	0.05732	0.06921	0.06855	0.04763	0.0675	0.1122	0.0677	0.07225	0.074	0.0435	0.06871	0.07947	0.1271	0.06201	0.05832	0.06161	0.05328	0.08333
HCFC1	0.0606	0.06812	0.05007	0.04087	0.05537	0.05612	0.06573	0.07847	1	0.04616	0.04917	0.07186	0.09327	0.09081	0.1083	0.04866	0.05748	0.05453	0.06099	0.07399	0.05313	0.0401	0.1053	0.08012	0.04795	0.1142	0.05599	0.0513	0.0329	0.04154	0.1193	0.04493	0.0386	0.04324	0.1291	0.02226	0.09402	0.03279	0.07553	0.0402	0.03753	0.07447	0.1239	0.1209	0.07225	0.02942	0.04279	0.3591	0.05895	0.07152	0.08709	0.02819	0.03588	0.07473	0.09765	0.04512	0.07961	0.02801	0.03178	0.05544	0.03553	0.03206	0.03271	0.03101	0.02682	0.04181	0.03457	0.04067	0.07406	0.04455	0.07373	0.05696	0.04333	0.02721	0.02577	0.1256	0.06762	0.04827	0.07701	0.03108	0.08508	0.04235	0.03327	0.04634	0.03731	0.05248	0.05051	0.09139
HDAC2	0.06703	0.08488	0.07158	0.06342	0.1349	0.07249	0.04281	0.06992	0.0463	1	0.05825	0.04536	0.0629	0.09363	0.0785	0.06198	0.05034	0.07409	0.05257	0.04486	0.06935	0.0592	0.0407	0.05434	0.04862	0.1967	0.0689	0.06913	0.05876	0.05653	0.0617	0.04455	0.046	0.07945	0.1002	0.1815	0.08077	0.04701	0.0546	0.04803	0.05243	0.1199	0.11	0.06198	0.06154	0.06686	0.163	0.03971	0.05282	0.0478	0.1145	0.729	0.6133	0.05066	0.09083	0.04225	0.07031	0.03538	0.06144	0.06898	0.05847	0.1279	0.09924	0.1079	0.09951	0.1151	0.05764	0.06093	0.09093	0.133	0.06237	0.06607	0.05147	0.03735	0.03881	0.0954	0.05889	0.05323	0.1151	0.1272	0.07816	0.04715	0.04904	0.05342	0.0576	0.1559	0.05682	0.07266
