	E2F4	EGR1	ELF1	EPAS1	EYA2	FOXO1	GATA2	GFI1B	HCFC1	HDAC2	IKZF1	IRF8	IRF9	JUN	KLF6	MAPK1	MEIS1	MYB	MYC	MYCN	NDN	NFAT5	NFATC2	NFE2	NR3C2	NUPR1	PLAG1	RARB	RB1	REL	RELB	RUNX1T1	SALL2	SATB1	SLA2	SMARCA2	SPI1	STAT2	YBX1	ZBTB16	ABL1	BTG2	CBFB	CENPK	CREB5	CTR9	DDX20	ERCC8	GTF2F1	GTF2H1	H1F0	HDAC11	HDAC7	HLF	HMGB2	IRF6	IRF7	JARID2	MAML3	MAPK12	MCM2	MCM3	MCM4	MCM5	MCM6	MCM7	MECOM	MIS18BP1	NFKBIA	ORC2	PA2G4	PBX1	PHF10	POLR1B	POLR2B	RNF4	RORC	RUVBL2	SNRPB	SPO11	SRSF1	TOPORS	TRPS1	VDR	XPC	XRCC6	ZDHHC6	ZFP36
E2F4	1	0.30697030675746	0.456435464587638	0.325	0.113066754216661	0.336787657027282	0.291056447139875	0.375	0.258092700604382	0.184302445193621	0.331701736001889	0.348742916231458	0.456435464587638	0.337289260048138	0.446108908109597	0.101592819221789	0.426745906794098	0.293150984988964	0.216186784202265	0.40625	0.254000254000381	0.451848057057532	0.426401432711221	0.408248290463863	0.293150984988964	0.159900537266708	0.324442842261525	0.269581933008596	0.190623212915756	0.376889180722205	0.353553390593274	0.188982236504614	0.330718913883074	0.340206908719886	0.115727512471569	0.222783197169752	0.119808459574631	0.388908729652601	0.201007563051842	0.229639663385923	0.126974845796198	0.110581467116173	0.237170824512628	0.167705098312484	0.410791918128875	0.180421959121758	0.1875	0.0737209780774486	0.270030862433661	0.14173667737846	0.154303349962092	0.159900537266708	0.127000127000191	0.547722557505166	0.210731807605881	0.387298334620742	0.400047345682831	0.215410109213832	0.200445931434318	0.154303349962092	0.157459164324443	0.180421959121758	0.184302445193621	0.188444590361102	0.184302445193621	0.170103454359943	0.276078815187116	0.267261241912424	0.126269068069026	0.154303349962092	0.098058067569092	0.425	0.208012573584461	0.154303349962092	0.182574185835055	0.174371458115729	0.269581933008596	0.200445931434318	0.125	0.133630620956212	0.129099444873581	0.153864363724166	0.331744401348519	0.267261241912424	0.158750158750238	0.163902517026796	0.0472455591261534	0.108798534972311
EGR1	0.30697030675746	1	0.384307569132209	0.245576245405968	0.0793328828021918	0.270063831222311	0.245062455393638	0.263117405792109	0.181089818231745	0.155178180033562	0.304348821466759	0.30586777135732	0.320256307610174	0.262953111423425	0.369921755595907	0.0712822374419838	0.230326719852439	0.261785157202368	0.245032332788227	0.285043856274785	0.178218367741645	0.294392028877595	0.336580916403045	0.238704958013144	0.261785157202368	0.112193638801015	0.284555196612236	0.245896556053699	0.120375084638761	0.29088723694137	0.268741924943285	0.132598708826359	0.331496772065898	0.286445949615773	0.081199794294115	0.156315031715672	0.118107719071499	0.223262522260575	0.125738922692386	0.179028718509858	0.0989904948940698	0.103452120022374	0.19414506867883	0.0784464540552736	0.320256307610174	0.126592420885458	0.109632252413379	0.0258630300055936	0.135332990490192	0.0994490316197694	0.135332990490192	0.0747957592006766	0.0891091838708226	0.448358830654244	0.197145623236058	0.317037569560487	0.302283461961271	0.107958379271883	0.140642169281549	0.108266392392153	0.135332990490192	0.101273936708367	0.0775890900167808	0.105777177069589	0.0775890900167808	0.0716114874039433	0.213080682162166	0.0937614461876991	0.0885962389922918	0.0930484210398471	0.0688020916153781	0.263117405792109	0.145951276623156	0.108266392392153	0.12810252304407	0.183520662814392	0.302641915143014	0.171895984677448	0.0657793514480272	0.0937614461876991	0.0679366220486757	0.107958379271883	0.310356360067123	0.218776707771298	0.111386479838528	0.147859217427043	0	0.0916057224828689
ELF1	0.456435464587638	0.384307569132209	1	0.401663208837122	0.110096376512636	0.421637021355784	0.311751110695825	0.365148371670111	0.209426954145848	0.107676380411633	0.335410196624968	0.424476359978009	0.6	0.328428330902384	0.533113989983183	0.0494619366829498	0.431516971336846	0.350324524872685	0.267182392156493	0.502079011046402	0.185495558304067	0.471404520791032	0.467099366496914	0.397523195999963	0.311399577664609	0.0778498944161523	0.414644214431365	0.354374653931171	0.139211511597426	0.55048188256318	0.344265186329548	0.138013111868471	0.483045891539648	0.397523195999963	0.0563436169819011	0.216930457818656	0.174077655955698	0.413118223595458	0.0747957592006766	0.298142396999972	0.0618195442473933	0.0538381902058166	0.288675134594813	0.163299316185545	0.666666666666667	0.158113883008419	0.0912870929175277	0.0538381902058166	0.169030850945703	0.138013111868471	0.112687233963802	0.0778498944161523	0.0463738895760168	0.733333333333333	0.170996392014192	0.612825877028341	0.449466574975495	0.134839972492648	0.195180014589707	0.0563436169819011	0.0816496580927726	0.105409255338946	0.107676380411633	0.110096376512636	0.107676380411633	0.0993807989999907	0.36291502734548	0.195180014589707	0.110656667034498	0.265693713776819	0.0716114874039433	0.438178046004133	0.15191090506255	0.112687233963802	0.133333333333333	0.169790543991204	0.433124577026987	0.195180014589707	0.0456435464587638	0.0975900072948533	0.0471404520791032	0.134839972492648	0.323029141234899	0.29277002188456	0.13912166872805	0.136797113611354	0	0.0953462589245592
EPAS1	0.325	0.245576245405968	0.401663208837122	1	0.150755672288882	0.3079201435678	0.294937199768406	0.333333333333333	0.160591013709393	0.117953564923918	0.32659863237109	0.278994332985166	0.3286335345031	0.254840774258593	0.291998558035373	0.0406371276887158	0.367658012007223	0.234520787991171	0.212860833676077	0.3	0.177800177800267	0.309838667696593	0.362441217804538	0.2993820796735	0.21320071635561	0.0852802865422442	0.25955427380922	0.237232101047565	0.167748427365865	0.33166247903554	0.235702260395516	0.113389341902768	0.340168025708305	0.272165526975909	0.0925820099772552	0.118817705157201	0.118771137369734	0.282842712474619	0.200250469728704	0.224536559755125	0.05643326479831	0.117953564923918	0.221359436211787	0.134164078649987	0.292118697336089	0.144337567297406	0.125	0.0884651736929383	0.123442679969674	0.0755928946018454	0.0617213399848368	0.127920429813366	0.101600101600152	0.365148371670111	0.168585446084705	0.335658556671309	0.270801280154532	0.172328087371066	0.160356745147455	0.0617213399848368	0.0255989842524569	0.0866025403784439	0.0884651736929383	0.0904534033733291	0.0884651736929383	0.0816496580927726	0.287121967794601	0.160356745147455	0.0808122035641769	0.125738922692386	0.0784464540552736	0.32	0.110940039245046	0.0925820099772552	0.109544511501033	0.139497166492583	0.28036521032894	0.124721912892465	0.075	0.0801783725737273	0.103279555898864	0.0984731927834662	0.265395521078815	0.249443825784929	0.127000127000191	0.112390297389803	0.0377964473009227	0.121854359168988
EYA2	0.113066754216661	0.0793328828021918	0.110096376512636	0.150755672288882	1	0.145064713296415	0.0936072754401818	0.201007563051842	0.138342892773215	0.111138556118597	0.215410109213832	0.105149945584917	0.165144564768954	0.0677976922058353	0.195646395217807	0.102104625076691	0.118771137369734	0.0964236519799837	0.0601687089090165	0.0753778361444409	0.153167916213497	0.155699788832305	0.160706086633306	0.123091490979333	0.128564869306645	0.0964236519799837	0.146734796413356	0.162564022190589	0.0919600979743406	0.136363636363636	0.14213381090374	0.170940864689457	0.113960576459638	0.0820609939862218	0.0930484210398471	0.119416286805306	0.149071198499986	0.170560573084488	0.138342892773215	0.0615457454896664	0.136122156386011	0.177821689789755	0.0953462589245592	0.134839972492648	0.055048188256318	0.0870388279778489	0.188444590361102	0.222277112237194	0.0930484210398471	0.170940864689457	0.0465242105199235	0.321412173266612	0.268043853373619	0.055048188256318	0.0847173742087357	0.155699788832305	0.148453923805041	0.185567404756301	0.080582296402538	0.186096842079694	0.182574185835055	0.130558241966773	0.133366267342316	0.136363636363636	0.133366267342316	0.205152484965555	0.199778147463608	0.161164592805076	0.121828980774635	0.164957219768465	0.118262479197817	0.150755672288882	0.125436301501064	0.186096842079694	0.110096376512636	0.140199927446556	0.162564022190589	0.241746889207614	0.150755672288882	0.161164592805076	0.116774841624228	0.148453923805041	0.133366267342316	0.188025358272589	0.229751874320245	0.169434748417471	0.056980288229819	0.157459164324443
FOXO1	0.336787657027282	0.270063831222311	0.421637021355784	0.3079201435678	0.145064713296415	1	0.209118333642503	0.224525104684854	0.198679853559757	0.156063697305771	0.255344115428476	0.335578027607012	0.316227766016838	0.288494881605277	0.312195270527231	0.104274918267437	0.277969282645598	0.22566773346211	0.204825432704685	0.288675134594813	0.195529486695138	0.32298759674997	0.369274472937998	0.288080540483408	0.246182981958665	0.123091490979333	0.249756216421785	0.269781549424699	0.146741817720937	0.348155311911396	0.249485066394583	0.181848241863327	0.254587538608658	0.261891400439462	0.0890870806374748	0.152443186793341	0.363696483726654	0.2993820796735	0.15762208124782	0.216060405362556	0.108605868741846	0.141876088459791	0.213003216807565	0.129099444873581	0.316227766016838	0.138888888888889	0.168393828513641	0.0851256530758749	0.17817416127495	0.145478593490662	0.1187827741833	0.123091490979333	0.0733235575106767	0.386500602909469	0.162221421130763	0.347832796499967	0.284267621807481	0.165822779387697	0.154303349962092	0.0890870806374748	0.138013111868471	0.111111111111111	0.113500870767833	0.116051770637132	0.113500870767833	0.130945700219731	0.255030685225335	0.154303349962092	0.136082763487954	0.288080540483408	0.188712839024099	0.288675134594813	0.133440128170906	0.1187827741833	0.105409255338946	0.178974948057073	0.290533976303522	0.222882616611911	0.0962250448649376	0.102868899974728	0.124225998749988	0.165822779387697	0.255376959227625	0.205737799949456	0.171088300858246	0.1441968187829	0.0363696483726654	0.083753151271601
GATA2	0.291056447139875	0.245062455393638	0.311751110695825	0.294937199768406	0.0936072754401818	0.209118333642503	1	0.310460210282533	0.178061142448941	0.125880866958873	0.237646593946679	0.270676997769406	0.283410100632568	0.232699765779077	0.302179779099527	0.0420540373583895	0.32612338205663	0.231666187312523	0.185863553954972	0.271652683997216	0.197142430671938	0.300601806021076	0.31440411135271	0.232365558525642	0.231666187312523	0.0992855088482243	0.276998130841233	0.251083390830662	0.15387039919305	0.280821826320545	0.201234476647766	0.176014394654657	0.264021591981986	0.232365558525642	0.0958101009530607	0.138330636481472	0.133366267342316	0.219528519979381	0.137464349807054	0.158431062631119	0.105121699537279	0.205986873205428	0.245440346836908	0.104131520175093	0.283410100632568	0.156838750231877	0.11642257885595	0.0457748607123174	0.119762626191326	0.117342929769771	0.0718575757147955	0.0992855088482243	0.137999701470356	0.340092120759081	0.174463576806774	0.260521565218266	0.229290061040605	0.114645030520303	0.124460972046753	0.0958101009530607	0.277160931262294	0.0896221429896442	0.0915497214246348	0.0936072754401818	0.0915497214246348	0.084496566736597	0.171422974035089	0.124460972046753	0.0940836514197346	0.045501575519329	0.0608862565547983	0.263891178740153	0.129159254672885	0.119762626191326	0.170046060379541	0.144361065477016	0.251083390830662	0.11063197515267	0.0776150525706333	0.103717476705628	0.0801604816056202	0.0955375254335854	0.251761733917746	0.207434953411256	0.118285458403163	0.101770419803951	0.0293357324424429	0.121599417765367
GFI1B	0.375	0.263117405792109	0.365148371670111	0.333333333333333	0.201007563051842	0.224525104684854	0.310460210282533	1	0.191179778225468	0.172015615514047	0.340206908719886	0.309993703316851	0.365148371670111	0.274828285965149	0.4325904563487	0.0903047281971462	0.393919298579168	0.248734169081546	0.177384028063397	0.333333333333333	0.211666878333651	0.344265186329548	0.355334527259351	0.31752644813856	0.248734169081546	0.14213381090374	0.324442842261525	0.287554061875836	0.20333142711014	0.251259453814803	0.235702260395516	0.314970394174356	0.440958551844098	0.31752644813856	0.205737799949456	0.165024590496112	0.116247638743819	0.282842712474619	0.0986927542439654	0.204124145231932	0.11286652959662	0.147441956154897	0.316227766016838	0.149071198499986	0.304290309725092	0.192450089729875	0.208333333333333	0.147441956154897	0.205737799949456	0.125988157669742	0.154303349962092	0.21320071635561	0.169333502666921	0.426006433615129	0.187317162316339	0.301232038038355	0.287213478951776	0.246182981958665	0.17817416127495	0.154303349962092	0.287554061875836	0.144337567297406	0.196589274873196	0.150755672288882	0.196589274873196	0.181443684650606	0.294484069532924	0.267261241912424	0.101015254455221	0.139572631559771	0.0653720450460614	0.333333333333333	0.277350098112615	0.25717224993682	0.243432247780074	0.193746064573032	0.359442577344795	0.148478467729125	0.125	0.222717701593687	0.129099444873581	0.205152484965555	0.344031231028093	0.296956935458249	0.254000254000381	0.156097635263616	0.0629940788348712	0.203090598614981
HCFC1	0.258092700604382	0.181089818231745	0.209426954145848	0.160591013709393	0.138342892773215	0.198679853559757	0.178061142448941	0.191179778225468	1	0.236778532022108	0.327805034053593	0.240021336178199	0.209426954145848	0.206345234988273	0.186080731891197	0.139841947066477	0.210866331595072	0.195646395217807	0.198386599003518	0.229415733870562	0.233086618699226	0.236939551103637	0.269013793424485	0.218536689369062	0.171190595815581	0.146734796413356	0.223296878269436	0.197908278398117	0.157435071421797	0.242100062353126	0.243332131696144	0.260132990857236	0.173421993904824	0.280975743474508	0.176998081351197	0.227155425212127	0.091003151038658	0.227109989583068	0.335410196624968	0.187317162316339	0.0906267520089123	0.135302018298348	0.253916687538504	0.153896752812773	0.209426954145848	0.231793162486383	0.200738767136742	0.101476513723761	0.176998081351197	0.173421993904824	0.106198848810718	0.244557994022259	0.203950791361823	0.209426954145848	0.236354273426447	0.207322107215682	0.225912997889962	0.225912997889962	0.245255735793986	0.141598465080958	0.123091490979333	0.132453235706504	0.135302018298348	0.138342892773215	0.169127522872935	0.124878108210893	0.152008377581442	0.18394180184549	0.162221421130763	0.397523195999963	0.0899842541331695	0.183532587096449	0.159071190743944	0.106198848810718	0.125656172487509	0.186683261471933	0.173169743598353	0.265693713776819	0.114707866935281	0.122627867896993	0.118469775551818	0.112956498944981	0.202953027447522	0.18394180184549	0.17481496402442	0.150407264907739	0.043355498476206	0.0798723063830872
HDAC2	0.184302445193621	0.155178180033562	0.107676380411633	0.117953564923918	0.111138556118597	0.156063697305771	0.125880866958873	0.172015615514047	0.236778532022108	1	0.180578779628654	0.137118234038212	0.107676380411633	0.209973595008704	0.119591218308735	0.0599161759894059	0.154880618532473	0.125738922692386	0.127500009430474	0.129011711635535	0.187251471568285	0.133242722834704	0.172891018702031	0.100321544238141	0.0785868266827414	0.110021557355838	0.095672974646988	0.111293525131056	0.157392812644651	0.133366267342316	0.208514414057075	0.139319553143838	0.139319553143838	0.200643088476282	0.091003151038658	0.204385006865824	0.414644214431365	0.104257207028537	0.0639893075690503	0.150482316357212	0.0582444166784909	0.130434782608696	0.139875721236047	0.098907071009368	0.0807572853087248	0.106407066344844	0.202732689712984	0.0652173913043478	0.136504726557987	0.111455642515071	0.136504726557987	0.282912576057869	0.262152060195598	0.134595475514541	0.15190124858318	0.114208048144032	0.145190801728126	0.217786202592188	0.118216560935865	0.0682523632789935	0.414039335605413	0.0851256530758749	0.0869565217391304	0.0889108448948774	0.0869565217391304	0.0802572353905128	0.130257921805167	0.0788110406239101	0.134044980465262	0.144337567297406	0.115662986393248	0.147441956154897	0.163572164021906	0.0682523632789935	0.107676380411633	0.102838675528659	0.127192600149779	0.15762208124782	0.0737209780774486	0.0985138007798876	0.0761386987626881	0.0725954008640628	0.152173913043478	0.118216560935865	0.112350882940971	0.138092044166527	0.0278639106287676	0.0769990503509018
