	E2F4	EGR1	ELF1	EPAS1	FOXO1	GATA2	GFI1B	HCFC1	HDAC2	IKZF1	IRF8	IRF9	JUN	MAPK1	MEIS1	MYB	MYC	MYCN	NDN	NFAT5	NFATC2	NFE2	NR3C2	NUPR1	PLAG1	RARB	RB1	REL	RELB	RUNX1T1	SATB1	SPI1	STAT2	YBX1	ABL1	BTG2	CBFB	CENPK	CREB5	CTR9	DDX20	ERCC8	GTF2F1	GTF2H1	HDAC11	HDAC7	HLF	HMGB2	IRF6	IRF7	JARID2	MAML3	MAPK12	MCM2	MCM3	MCM4	MCM5	MCM6	MCM7	MECOM	MIS18BP1	NFKBIA	ORC2	PA2G4	PBX1	PHF10	POLR1B	POLR2B	RNF4	RORC	RUVBL2	SMARCA2	SNRPB	SPO11	SRSF1	TRPS1	VDR	XPC	XRCC6	ZBTB16	ZDHHC6	ZFP36
E2F4	1	0.000435203502428032	0.0637664510668525	0.0523221905240692	0.0487864280988615	0.0244192391325179	0.021739933530773	0.120771510601334	0.184397011906121	0.0986946340375252	0.135158393941039	0.0300877062924882	0.00279991703598269	0.102119248311526	0.110579533467198	0.155950817925833	0.210593671311774	0.108185781932487	0.111891665083493	0.0605956801573195	0.0768182354012256	0.0432562985696977	0.0733977179992992	0.0546682496934339	0.0225190934236129	0.0320615428410127	0.0738870112513584	0.0369194878322074	0.0662623281709166	0.0827347149635122	0.0761799675521707	0.117084458509647	0.0157050218968903	0.268031147469484	0.0237338293480027	0.0482923961717555	0.145501923776626	0.213229491803926	0.0694565145813214	0.093027309366692	0.116585152015614	0.077901769377267	0.144482840721467	0.089119956807614	0.0801948770209586	0.099023216776197	0.165164474683143	0.216555732217489	0.0912243331973303	0.0717609598920187	0.08410603379149	0.0346293018341677	0.00277293936298851	0.221925258073311	0.252971863527788	0.223289145119496	0.268832936612901	0.170967115289259	0.24515851319304	0.137623879030279	0.18721077784966	0.023285071222627	0.141996670360498	0.219554197727683	0.0279050731031657	0.135437428374838	0.195361659095263	0.0937369945377429	0.124564313992225	0.0920919409180058	0.191217351436731	0.0131196597460886	0.164733357945403	0.0622175607368538	0.131790521280252	0.0175868689109094	0.0493345413221562	0.0691335790929156	0.173781440001247	0.00842834498123535	0.182533500604717	0.107107221132381
EGR1	0.000435203502428032	1	0.0370441028733628	0.0367198688611699	0.0884783349695521	0.14371800385639	0.0664608967879412	0.113039010460505	0.0410084366028827	0.0421874345526264	0.0558047232388881	0.064399394072566	0.41415803631376	0.0891149895864973	0.20770051360076	0.0664394186533026	0.0635762914330205	0.139670592499113	0.122064117267832	0.0388376259335218	0.0594170003187921	0.0876160131703532	0.0677021133184813	0.080184970659708	0.0324659807118521	0.0725938313554217	0.00212420971299156	0.0143612963693217	0.0471535795556424	0.122022647687638	0.0665287157947191	0.0692894128296687	0.000544627914010846	0.104433542584908	0.0113833905134771	0.182224204114511	0.0370489450775896	0.10351926235019	0.0418406974640509	0.0218825077348223	0.0354765676937715	0.0832185419188115	0.0270665516960707	0.0075885575014132	0.0986359556394723	0.0346126676304964	0.13517749520969	0.114638579341304	0.0320474777078913	0.0368294776349178	0.00589728337356516	0.0302418870848658	0.0842047689311869	0.102830027657432	0.0720839935103109	0.0906232275028675	0.0724273161311214	0.0730701973961303	0.0819477186153648	0.146583299631128	0.0587287778828891	0.0431011936424793	0.0604865811372742	0.073323579952261	0.125089192823403	0.0415566926251368	0.101759721530275	0.044026844583892	0.137438679854818	0.106385992761475	0.0776010751431535	0.0743128470677759	0.0751293563244924	0.0722819675522534	0.0361040700817933	0.0273575584576317	0.0915740229901712	0.059500010759749	0.0610821938814211	0.0330526486617786	0.0236905564724458	0.343887307816865
ELF1	0.0637664510668525	0.0370441028733628	1	0.00923890738296203	0.0983922926519439	0.100710903118114	0.0414049835189288	0.132234151748353	0.0955248582555269	0.106540548791748	0.15505760232994	0.0185581588675035	0.0502445978975593	0.0896880463142292	0.0842172535124288	0.0884818198265062	0.174845918492285	0.0790490207513761	0.166795594891714	0.0721330798524226	0.0910175046829219	0.0617057763809439	0.127916240769547	0.0525551474721997	0.0891309118157429	0.018928602719832	0.0266469222873139	0.0231156344259359	0.0309247383303102	0.0685116030867861	0.17784616854597	0.118266612774681	0.0176715091922242	0.190824221196014	0.103341244244872	0.10774107277346	0.182055528509394	0.126810457571595	0.0545420022900001	0.0970637749412019	0.0932188607487244	0.0190891620183686	0.124314467479297	0.00641553445391508	0.110973352473967	0.0625499465401214	0.176776827632932	0.235196772486127	0.101590259695343	0.0108006484655733	0.0255600062290157	0.166993503893084	0.0234069704194229	0.184904705495743	0.166748562192422	0.130937907589151	0.189223873568594	0.102457560302028	0.192819758465009	0.189679640926495	0.129180529229342	0.102559489133049	0.0922029837245496	0.143970414234282	0.0257150925801718	0.112646039296505	0.0824017006714129	0.0906681032536217	0.100926225865437	0.029371825592681	0.128235591286933	0.0680568610543965	0.17930282061971	0.102361393416084	0.14166085189221	0.112510491255341	0.0911544105408941	0.144756259330297	0.173079783225541	0.0127814457871402	0.0693183155499152	0.077560842476161
EPAS1	0.0523221905240692	0.0367198688611699	0.00923890738296203	1	0.00751076427115817	0.00355107332204191	0.0259456708886051	0.0234738110487439	0.0285577279779643	0.0255474454952823	0.0601641870142137	0.0690888698606109	0.0192068415802813	0.0378805832512194	0.0324433955996154	0.139989880401823	0.0970372841748317	0.0803503910944601	0.0960547544146291	0.0668907524837988	0.0137056518670794	0.0241324517661129	0.135877541977416	0.105209232598917	0.00538212370256086	0.144429649817056	0.0303167242595927	0.0618976641985301	0.0385297127106836	0.112309179762376	0.026416378615571	1.61940104736851e-05	0.0193932840163022	0.0852213575321882	0.0351173546311612	0.0305812729004552	0.0975131719691074	0.0693164839607614	0.053739546287445	0.0468549401756984	0.0105671304444825	0.0361557149217126	0.0262116967901569	0.0103310890159179	0.0571374172188385	0.00409057624957528	0.078200113308154	0.103304709010371	0.1197814435312	0.0497130426165736	0.0419214341901777	0.0626110272104314	0.0385154614410855	0.112407840148353	0.134746197795066	0.0439991070350708	0.100308259745751	0.0857552255511109	0.124962394868157	0.117243100645553	0.0710070661307062	0.0265929968368312	0.0195228255035776	0.0776608295018643	0.0312480462904333	0.00751748697283919	0.10197594268355	0.0141056760611849	0.0643861249658653	0.0445167203968907	0.0550052428397047	0.0769730372757276	0.0607218353326273	0.0171005468153188	0.0912160324386875	0.0259669847877982	0.00823507146909971	0.0341616985456359	0.0852360947624313	0.0183106882775728	0.0117519228987884	0.0810454413996855
FOXO1	0.0487864280988615	0.0884783349695521	0.0983922926519439	0.00751076427115817	1	0.0597845879738832	0.00737637106144976	0.120736779865244	0.0539203909168421	0.0479646215280015	0.0807287686293794	0.0581731635634152	0.139633009048266	0.0703377336387379	0.0763080999571639	0.136913756967837	0.177336099513678	0.131828569025001	0.0826894115835427	0.0622748735297376	0.112632723661362	0.038254482582356	0.0634922351761076	0.101523361066159	0.0550301624031255	0.101194826923685	0.00913242205016665	0.0399468015189059	0.0718330604726058	0.0900078818016688	0.0929680446685133	0.139060344015934	0.0320447653734292	0.179975460408461	0.0281245383510887	0.0257967332389597	0.120520250195823	0.0795287905695296	0.0858853867232036	0.0751272982141119	0.0857973446320381	0.0835804667192564	0.019277143001098	0.0555835885501616	0.123470998321243	0.0106537190090049	0.137678035164982	0.139089925514896	0.118566400283544	0.0774062611668964	0.0286498913681111	0.057515112126964	0.0856064684459594	0.133061873208048	0.104114813811807	0.108858559381781	0.125035199598653	0.106107084643751	0.137893114919577	0.178183425111204	0.025990471695772	0.0873577635079257	0.0770279802386404	0.144240121773199	0.134182555274964	0.0588047531678607	0.0963609358234018	0.0657482267568497	0.132098265912892	0.0357898026355221	0.0708583149840654	0.0718291349921002	0.164798992677844	0.0785313052856134	0.0735512364771069	0.00716610228299319	0.0939976775536475	0.0773366907414099	0.0896588623817117	0.00467322551044237	0.074839916575138	0.1238352504426
GATA2	0.0244192391325179	0.14371800385639	0.100710903118114	0.00355107332204191	0.0597845879738832	1	0.269098436424925	0.108761903814663	0.0633893487067571	0.140495449377156	0.301204699450132	0.0834547719922594	0.126105815555546	0.0472471198961451	0.237154641040758	0.0321868870407433	0.0858559971447782	0.155310552837556	0.207613808701804	0.13706088320378	0.0566875348772135	0.23650802024535	0.0117977462085978	0.124121167225554	0.0467954696731474	0.0627971929206779	0.0453416361434734	0.0877177073810351	0.0371449188173002	0.173663965640291	0.215721437596065	0.11116933965599	0.0795530742693275	0.201696676011492	0.0452622209389904	0.120894398028718	0.121603146830698	0.193608334948038	0.0325990007491255	0.0727447265028371	0.0366464439014131	0.00358600080872584	0.0620007659297972	0.059164724115169	0.104995919818118	0.0518101318465083	0.234385275735438	0.174188814523704	0.107998486940596	0.135298296741349	0.0702618240124825	0.0253573818466396	0.0971552149988884	0.155655479279797	0.159589361912338	0.168885110630131	0.241485625096176	0.1269745870285	0.159257625777513	0.233569342939498	0.115158198917439	0.0996873422663294	0.0795434039498614	0.133841886837557	0.229802535723849	0.0605969627272779	0.0861120222294197	0.079065521567118	0.0773312797997624	0.0850751097253271	0.0667471635810712	0.0940275365328117	0.0581185675041106	0.103213550515945	0.0456778066103914	0.120549877131233	0.110786113789223	0.0866440012914598	0.0786938936718174	0.0475729740376505	0.0804857960727685	0.0537465071832032
GFI1B	0.021739933530773	0.0664608967879412	0.0414049835189288	0.0259456708886051	0.00737637106144976	0.269098436424925	1	0.0854134058461685	0.0420141596523003	0.045123433825359	0.127294240710405	0.110514967092849	0.106542917255006	0.054051656005982	0.153874733656418	0.0208106066401126	0.0297486305423652	0.129774647642878	0.0314108416291196	0.0962804631876752	0.0149221856477944	0.0945118096719322	0.0162352619976893	0.133769055258286	0.0536553812068632	0.0347543486115221	0.0823813386591194	0.0812729490812089	0.00584939808431503	0.0636417553698318	0.10949755052633	0.0427882372435619	0.00142236457373382	0.0781484806674785	0.00666936030429926	0.0252996080677174	0.0244817919204094	0.0408474650283195	0.00577801684070245	0.0803727493654159	0.0197051502669801	0.0337624185779916	0.0387499547658453	0.0270048952978355	0.0233832265218503	0.0312363369176466	0.106244539094249	0.0209476202493601	0.116994633915422	0.117569000351783	0.0130211396997945	0.0172503628693562	0.0335770811664973	0.00941493632850333	0.0728497374247822	0.0232961251826003	0.0777550780183138	0.0209014262242603	0.0368314554169408	0.121207023235811	0.0310376148738628	0.0182221038252881	0.0310907774539343	0.00130538065382101	0.141392111499638	0.00944163907012939	0.0405381403247125	0.0223858551890547	0.0157797210082592	0.00318909968320904	0.00879087725155143	0.10880685823296	0.0162445544352511	0.0281328325519356	0.0530433780013016	0.0380250415239101	0.0562258331101875	0.0256899390446133	0.0401509823446141	0.0345591394134213	0.0234438483354249	0.00888792206548082
HCFC1	0.120771510601334	0.113039010460505	0.132234151748353	0.0234738110487439	0.120736779865244	0.108761903814663	0.0854134058461685	1	0.0863214934153641	0.140054358729388	0.181110291080627	0.0354749675601095	0.07049862566907	0.127078906504547	0.144639622204011	0.203361133845584	0.0687977301499597	0.172493828819387	0.157785871100623	0.110582284432097	0.107512074611041	0.0883939232655809	0.0655794701968091	0.078721495886761	0.100542495854423	0.0566051759550999	0.0292212208924836	0.106380080660827	0.0639974280600446	0.127976116860095	0.1293398933945	0.11493487578374	0.0131157100167241	0.271046922808563	0.0861912437675692	0.110857203696101	0.172510295652004	0.273435060334291	0.0993013180247516	0.150925604202695	0.208058821129134	0.0857993362769441	0.122447525279344	0.130056626034596	0.128982054736704	0.0764346712066995	0.277134275051332	0.329612960755326	0.148564563409517	0.0910915789099163	0.0855014099068228	0.100128278780616	0.0764001578716608	0.198362152958766	0.224768498785755	0.218905546579346	0.254623211646988	0.152586749188292	0.26401801757764	0.184615867072943	0.251351620882648	0.0597663640172884	0.144327368877345	0.161985798466275	0.0799022722744358	0.0997123543828325	0.0581418781038271	0.116086612423635	0.0756763457366612	0.117778317828088	0.145203941057911	0.0458441199762464	0.0554046250882343	0.102163155051643	0.133833661071488	0.13745564194144	0.0661743935926948	0.0713234167220557	0.135037350994234	0.0583986046489589	0.144268119447322	0.14322625883587
HDAC2	0.184397011906121	0.0410084366028827	0.0955248582555269	0.0285577279779643	0.0539203909168421	0.0633893487067571	0.0420141596523003	0.0863214934153641	1	0.140265757411272	0.147453896209746	0.0357951791787315	0.0775188806697661	0.127624754173275	0.132950547625506	0.177938271654786	0.183676450502545	0.0895515963185066	0.0785074477482068	0.0408039553643475	0.0760209097045028	0.0155441629352041	0.0515341121300848	0.00480374644200509	0.0222998259064447	0.0344025842262679	0.0533384436680809	0.00350528984518696	0.0416669825820496	0.104198952758577	0.0959864603855828	0.163865393120297	0.0037234748233219	0.255525505573807	0.0461611627555928	0.04202252163237	0.139498237123919	0.182750455034633	0.107510657488437	0.0948172016718002	0.138683351868749	0.0569196103595495	0.188147725619231	0.104872251307179	0.00151865814320757	0.0377756723593596	0.128547310040795	0.239781116242858	0.0003997100454717	0.0655051570172244	0.0796858846972585	0.00516916475900516	0.0469705276414968	0.24421049164342	0.252137088729351	0.245903060221817	0.252590172791656	0.239936194171138	0.261282016121332	0.109995488953584	0.148973480749849	0.0116061318302211	0.090405963761422	0.203233045850294	0.0818251474839494	0.120808832678328	0.120655828486067	0.120659374488524	0.109318766177577	0.09057243710671	0.232306365237109	0.0115916030107857	0.151814307258332	0.0457146934863432	0.14811122593698	0.0505883773462197	0.0582300775956161	0.06858710780427	0.117593565728854	0.0486235668287138	0.161261160222332	0.061486414067925
IKZF1	0.0986946340375252	0.0421874345526264	0.106540548791748	0.0255474454952823	0.0479646215280015	0.140495449377156	0.045123433825359	0.140054358729388	0.140265757411272	1	0.180821105252146	0.0459768691306254	0.0539727837451141	0.0720922024752946	0.137335471907333	0.113066510658839	0.0916319498519832	0.125610424185017	0.109903504521406	0.0224551049179256	0.0323977875034987	0.140731032759339	0.0126469271140689	0.0675745069963289	0.038159039830107	0.0833094342285685	0.0718263059905353	0.05505558813983	0.0610132971006353	0.12119483631952	0.208354060162495	0.134369840376565	0.0435688996229956	0.134347454212805	0.0840416978984776	0.124997536619119	0.144525715174432	0.222551128021868	0.0211202083925532	0.0795809585167232	0.0708858495576133	0.0723920713298834	0.0962114973595041	0.096658387209411	0.0720827311995687	0.152387472877423	0.196417269931099	0.260275184719651	0.107757001292028	0.0457819484359751	0.0784578986013905	0.0904616346194353	0.0111233125494816	0.197849569634514	0.175045341860354	0.197339074892971	0.191657094520617	0.152218448139771	0.179231644432661	0.152359091353627	0.208551360877556	0.0206526766987799	0.104411276267945	0.127347320525547	0.113731015087676	0.0849154759227754	0.000819139537389815	0.117010189096266	0.127803130958015	0.0780640732358692	0.128108406692281	0.0247387134934816	0.0859332224949714	0.0655410702899666	0.167927975455655	0.0976563189181822	0.0459141533962378	0.0584332863017796	0.0856950718134897	0.0243972539234063	0.059743629682011	0.0985738488016046
