	CBFB	CBX7	EBF1	ELF1	FOXO1	GATA2	GFI1B	HCFC1	HDAC2	IKZF1	IRF8	JUN	MEIS1	MYC	NFAT5	RAD21	RAD51	RPA1	RPA2	SATB1	SPI1	STAT2	WDR5
CBFB	1	0.1278	0.1641	0.07726	0.1201	0.07263	0.1001	0.1292	0.08135	0.06224	0.08431	0.233	0.1399	0.1992	0.0825	0.1119	0.127	0.08915	0.1344	0.1079	0.05984	0.1001	0.1222
CBX7	0.08785	1	0.1268	0.1225	0.1072	0.149	0.102	0.1469	0.1184	0.08348	0.1259	0.154	0.1533	0.1023	0.1168	0.1067	0.1224	0.09971	0.2198	0.1129	0.1252	0.1066	0.09666
EBF1	0.1301	0.1045	1	0.04864	0.05089	0.0521	0.06641	0.06107	0.04601	0.06226	0.09376	0.07413	0.07087	0.06663	0.1528	0.04298	0.05433	0.06293	0.1233	0.08182	0.08164	0.1177	0.07103
ELF1	0.08716	0.1211	0.0424	1	0.09286	0.04546	0.08083	0.04503	0.07092	0.05642	0.1502	0.07856	0.07261	0.06345	0.04899	0.0515	0.05739	0.05398	0.1855	0.06071	0.3068	0.05809	0.058
FOXO1	0.06784	0.09365	0.05088	0.1003	1	0.05018	0.08637	0.04586	0.0585	0.06147	0.1413	0.08251	0.09076	0.05129	0.05301	0.04733	0.08167	0.04479	0.2076	0.03782	0.07285	0.04508	0.05502
GATA2	0.05306	0.1172	0.05443	0.05846	0.06796	1	0.07094	0.05647	0.04248	0.06521	0.05105	0.06645	0.05197	0.0796	0.06455	0.05867	0.04318	0.05375	0.07219	0.04584	0.08423	0.04831	0.05463
GFI1B	0.1113	0.09279	0.06846	0.08556	0.07737	0.1141	1	0.07537	0.06469	0.2544	0.05764	0.07237	0.07603	0.07875	0.06585	0.09749	0.06286	0.0691	0.07963	0.06109	0.1143	0.06535	0.0552
HCFC1	0.1239	0.128	0.06107	0.05007	0.05612	0.06573	0.07847	1	0.04616	0.04917	0.07186	0.09081	0.05748	0.06099	0.0401	0.05711	0.09342	0.05528	0.09225	0.04324	0.09402	0.03279	0.4757
HDAC2	0.11	0.1228	0.05253	0.07158	0.07249	0.04281	0.06992	0.0463	1	0.05825	0.04536	0.09363	0.05034	0.05257	0.0592	0.05605	0.1788	0.05213	0.0913	0.07945	0.08077	0.04701	0.05363
IKZF1	0.1372	0.1334	0.0795	0.04477	0.06402	0.06089	0.2486	0.06422	0.04568	1	0.05739	0.07673	0.09483	0.06369	0.05296	0.06635	0.0488	0.04917	0.1067	0.06329	0.09077	0.04657	0.06154
IRF8	0.1407	0.1018	0.0528	0.1542	0.1464	0.0947	0.05718	0.06594	0.05102	0.06829	1	0.07718	0.07428	0.05063	0.06489	0.05532	0.06413	0.06295	0.1041	0.06954	0.2454	0.04644	0.06099
JUN	0.1261	0.1248	0.07481	0.07641	0.06672	0.0628	0.06555	0.05861	0.07126	0.07747	0.08215	1	0.07153	0.14	0.07973	0.09407	0.03169	0.05308	0.1007	0.0701	0.1012	0.06887	0.05273
MEIS1	0.1399	0.1179	0.07171	0.08422	0.07939	0.05549	0.06102	0.06569	0.05842	0.06859	0.04871	0.08976	1	0.1044	0.06688	0.09291	0.095	0.06454	0.06678	0.1205	0.1177	0.1268	0.04951
MYC	0.1105	0.0953	0.06769	0.05809	0.06824	0.05552	0.07013	0.05556	0.05534	0.06457	0.05536	0.1427	0.07148	1	0.0694	0.06072	0.07317	0.04119	0.07941	0.07335	0.07495	0.06052	0.05478
NFAT5	0.0825	0.1041	0.1532	0.05964	0.04923	0.06141	0.05914	0.03072	0.07359	0.07373	0.05344	0.07669	0.06174	0.05565	1	0.04508	0.04988	0.06402	0.07581	0.04207	0.07203	0.1204	0.08464
RAD21	0.1626	0.1102	0.044	0.05293	0.05689	0.06994	0.06903	0.05093	0.06407	0.0576	0.07099	0.1036	0.06478	0.06405	0.04466	1	0.08005	0.04136	0.129	0.03976	0.1592	0.04942	0.057
RAD51	0.127	0.08908	0.05433	0.05964	0.08142	0.04057	0.06286	0.06159	0.1788	0.0488	0.06451	0.05835	0.095	0.07638	0.0712	0.06497	1	0.05814	0.09483	0.06577	0.1002	0.06569	0.04953
RPA1	0.08915	0.1117	0.06338	0.03973	0.04497	0.04041	0.06436	0.0471	0.05518	0.04857	0.05057	0.07418	0.04856	0.06107	0.06402	0.04138	0.05814	1	0.2385	0.04013	0.06536	0.05171	0.07775
RPA2	0.1344	0.2157	0.09451	0.1843	0.07438	0.07494	0.09163	0.09656	0.06483	0.1067	0.1055	0.1007	0.1088	0.09315	0.0744	0.1685	0.09483	0.2663	1	0.1089	0.1329	0.1067	0.1015
SATB1	0.1031	0.1013	0.05205	0.06821	0.05178	0.06387	0.06865	0.04626	0.04618	0.07676	0.05364	0.07655	0.1335	0.05793	0.03645	0.04625	0.06364	0.0421	0.1033	1	0.07484	0.0651	0.04476
SPI1	0.06172	0.1137	0.08196	0.3067	0.07183	0.07828	0.09664	0.09131	0.06095	0.09623	0.2406	0.07428	0.1343	0.09863	0.07272	0.1106	0.09359	0.05622	0.1425	0.1024	1	0.07126	0.07128
STAT2	0.09801	0.09733	0.1072	0.04386	0.05622	0.05111	0.0541	0.03647	0.04477	0.04592	0.06331	0.08312	0.08831	0.06052	0.1236	0.04517	0.07524	0.05823	0.1105	0.04362	0.08229	1	0.05196
WDR5	0.1222	0.09495	0.08626	0.06274	0.05093	0.06828	0.05584	0.4773	0.06942	0.05857	0.06164	0.06688	0.06098	0.05727	0.07975	0.04591	0.04861	0.06506	0.0633	0.04476	0.07761	0.05196	1
