	CBFB	CBX7	EBF1	ELF1	FOXO1	GATA2	GFI1B	HCFC1	HDAC2	IKZF1	IRF8	JUN	MEIS1	MYC	NFAT5	RAD21	RAD51	RPA1	RPA2	SATB1	SPI1	STAT2	WDR5
CBFB	1	0.216930457818656	0.346410161513775	0.288675134594813	0.213003216807565	0.245440346836908	0.316227766016838	0.253916687538504	0.139875721236047	0.322748612183951	0.294085848837523	0.21332045841299	0.33218191941496	0.189316422860252	0.204124145231931	0.147042924418762	0.139754248593737	0.115044748327106	0.163299316185545	0.258198889747161	0.46475800154489	0.223606797749979	0.191741247211843
CBX7	0.216930457818656	1	0.187867287325545	0.0626224291085149	0.0990147542976674	0.133108717016251	0.228664780190012	0.23606684260939	0.202288694969669	0.245049014704902	0.15949044456578	0.179961073855171	0.180150939644418	0.114079161899069	0.221403721385024	0.23923566684867	0.212218671906791	0.124783549621155	0.177122977108019	0.326732019606536	0.11277677488692	0.1455213750218	0.249567099242311
EBF1	0.346410161513775	0.187867287325545	1	0.666666666666667	0.421637021355784	0.368433130822338	0.547722557505166	0.293197735804187	0.16151457061745	0.447213595499958	0.46692399597581	0.328428330902384	0.527409631633923	0.291471700534356	0.471404520791032	0.212238179989004	0.129099444873581	0.177122977108019	0.188561808316413	0.397523195999963	0.258198889747161	0.46475800154489	0.265684465662029
ELF1	0.288675134594813	0.0626224291085149	0.666666666666667	1	0.421637021355784	0.311751110695825	0.365148371670111	0.209426954145848	0.107676380411633	0.335410196624968	0.424476359978009	0.328428330902384	0.431516971336846	0.267182392156493	0.471404520791032	0.0848952719956018	0.0645497224367903	0.0885614885540095	0.0942809041582063	0.397523195999963	0.163299316185545	0.413118223595458	0.177122977108019
FOXO1	0.213003216807565	0.0990147542976674	0.421637021355784	0.421637021355784	1	0.209118333642503	0.224525104684854	0.198679853559757	0.156063697305771	0.255344115428476	0.335578027607012	0.288494881605277	0.277969282645598	0.204825432704685	0.32298759674997	0.156603079549939	0.102062072615966	0.116690007002334	0.149071198499986	0.261891400439462	0.107676380411633	0.2993820796735	0.163366009803268
GATA2	0.245440346836908	0.133108717016251	0.368433130822338	0.311751110695825	0.209118333642503	1	0.310460210282533	0.178061142448941	0.125880866958873	0.237646593946679	0.270676997769406	0.232699765779077	0.32612338205663	0.185863553954972	0.300601806021076	0.144361065477016	0.0823231949922678	0.112946491724678	0.0801604816056202	0.232365558525642	0.270676997769406	0.219528519979381	0.112946491724678
GFI1B	0.316227766016838	0.228664780190012	0.547722557505166	0.365148371670111	0.224525104684854	0.310460210282533	1	0.191179778225468	0.172015615514047	0.340206908719886	0.309993703316851	0.274828285965149	0.393919298579168	0.177384028063397	0.344265186329548	0.232495277487639	0.117851130197758	0.161690416690889	0.172132593164774	0.31752644813856	0.309993703316851	0.282842712474619	0.202113020863611
HCFC1	0.253916687538504	0.23606684260939	0.293197735804187	0.209426954145848	0.198679853559757	0.178061142448941	0.191179778225468	1	0.236778532022108	0.327805034053593	0.240021336178199	0.206345234988273	0.210866331595072	0.198386599003518	0.236939551103637	0.213352298825066	0.162221421130763	0.0834622326111986	0.0888523316638639	0.280975743474508	0.212218671906791	0.227109989583068	0.417311163055993
HDAC2	0.139875721236047	0.202288694969669	0.16151457061745	0.107676380411633	0.156063697305771	0.125880866958873	0.172015615514047	0.236778532022108	1	0.180578779628654	0.137118234038212	0.209973595008704	0.154880618532473	0.127500009430474	0.133242722834704	0.119978454783436	0.117289357907105	0.0715198539852152	0.114208048144032	0.200643088476282	0.204825432704685	0.104257207028537	0.125159744474127
IKZF1	0.322748612183951	0.245049014704902	0.447213595499958	0.335410196624968	0.255344115428476	0.237646593946679	0.340206908719886	0.327805034053593	0.180578779628654	1	0.355934248407187	0.290695279147	0.321633760451339	0.203672042472588	0.316227766016838	0.1898315991505	0.144337567297406	0.123768442872084	0.105409255338946	0.333333333333333	0.0834622326111986	0.317542648054294	0.198029508595335
IRF8	0.294085848837523	0.15949044456578	0.46692399597581	0.424476359978009	0.335578027607012	0.270676997769406	0.309993703316851	0.240021336178199	0.137118234038212	0.355934248407187	1	0.278820124830194	0.274753129892699	0.201049625529064	0.330165123853215	0.135135135135135	0.102749367065848	0.0845825811651901	0.120060045037533	0.348024598442583	0.368433130822338	0.328797974610715	0.19735935605211
JUN	0.21332045841299	0.179961073855171	0.328428330902384	0.328428330902384	0.288494881605277	0.232699765779077	0.274828285965149	0.206345234988273	0.209973595008704	0.290695279147	0.278820124830194	1	0.295254997192109	0.279205395326019	0.309645199886473	0.139410062415097	0.145749708500875	0.0908940683375748	0.135469774950332	0.265195693256912	0.117851130197758	0.275599448801654	0.14543050934012
MEIS1	0.33218191941496	0.180150939644418	0.527409631633923	0.431516971336846	0.277969282645598	0.32612338205663	0.393919298579168	0.210866331595072	0.154880618532473	0.321633760451339	0.274753129892699	0.295254997192109	1	0.209624975741642	0.372934926991446	0.183168753261799	0.116059586360657	0.191078926589545	0.135612700724162	0.321633760451338	0.191741247211843	0.297112541083283	0.15923243882462
MYC	0.189316422860252	0.114079161899069	0.291471700534356	0.267182392156493	0.204825432704685	0.185863553954972	0.177384028063397	0.198386599003518	0.127500009430474	0.203672042472588	0.201049625529064	0.279205395326019	0.209624975741642	1	0.223276750636136	0.139188202289352	0.11759010854795	0.0967993787650915	0.137401077314545	0.271562723296784	0.204825432704685	0.169329756309047	0.112932608559273
NFAT5	0.204124145231931	0.221403721385024	0.471404520791032	0.471404520791032	0.32298759674997	0.300601806021076	0.344265186329548	0.236939551103637	0.133242722834704	0.316227766016838	0.330165123853215	0.309645199886473	0.372934926991446	0.223276750636136	1	0.240120090075066	0.182574185835055	0.156556072771287	0.133333333333333	0.316227766016838	0.317542648054294	0.365148371670111	0.12524485821703
RAD21	0.147042924418762	0.23923566684867	0.212238179989004	0.0848952719956018	0.156603079549939	0.144361065477016	0.232495277487639	0.213352298825066	0.119978454783436	0.1898315991505	0.135135135135135	0.139410062415097	0.183168753261799	0.139188202289352	0.240120090075066	1	0.226048607544866	0.16916516233038	0.180090067556299	0.221470199008916	0.365148371670111	0.131519189844286	0.11277677488692
RAD51	0.139754248593737	0.212218671906791	0.129099444873581	0.0645497224367903	0.102062072615966	0.0823231949922678	0.117851130197758	0.162221421130763	0.117289357907105	0.144337567297406	0.102749367065848	0.145749708500875	0.116059586360657	0.11759010854795	0.182574185835055	0.226048607544866	1	0.321559847142204	0.365148371670111	0.144337567297406	0.300601806021076	0.175	0.0643119694284408
RPA1	0.115044748327106	0.124783549621155	0.177122977108019	0.0885614885540095	0.116690007002334	0.112946491724678	0.161690416690889	0.0834622326111986	0.0715198539852152	0.123768442872084	0.0845825811651901	0.0908940683375748	0.191078926589545	0.0967993787650915	0.156556072771287	0.16916516233038	0.321559847142204	1	0.563601861976635	0.165024590496112	0.180090067556299	0.0685994340570035	0.0588235294117647
RPA2	0.163299316185545	0.177122977108019	0.188561808316413	0.0942809041582063	0.149071198499986	0.0801604816056202	0.172132593164774	0.0888523316638639	0.114208048144032	0.105409255338946	0.120060045037533	0.135469774950332	0.135612700724162	0.137401077314545	0.133333333333333	0.180090067556299	0.365148371670111	0.563601861976635	1	0.210818510677892	0.236939551103637	0.109544511501033	0.0939336436627724
SATB1	0.258198889747161	0.326732019606536	0.397523195999963	0.397523195999963	0.261891400439462	0.232365558525642	0.31752644813856	0.280975743474508	0.200643088476282	0.333333333333333	0.348024598442583	0.265195693256912	0.321633760451338	0.271562723296784	0.316227766016838	0.221470199008916	0.144337567297406	0.165024590496112	0.210818510677892	1	0.333333333333333	0.269430125621825	0.198029508595335
