	CBFB	CBX7	EBF1	ELF1	FOXO1	GATA2	GFI1B	HCFC1	HDAC2	IKZF1	IRF8	JUN	MEIS1	MYC	NFAT5	RAD21	RAD51	RPA1	RPA2	SATB1	SPI1	STAT2	WDR5
CBFB	1	0.0226957172755645	0.0857285292979798	0.182055528509394	0.120520250195823	0.121603146830698	0.0244817919204094	0.172510295652004	0.139498237123919	0.144525715174432	0.184779122355015	0.0659866172312794	0.12319585476639	0.177067690735056	0.0772922401195707	0.126953311011198	0.233577741322066	0.177649012767514	0.229769852915519	0.176792689090996	0.100781906501827	0.00406807089539743	0.12592037431472
CBX7	0.0226957172755645	1	0.0766056568629703	0.0408692150216593	0.0246857629597777	0.119056090951403	0.0638265559915176	0.0760821640935099	0.0182671338452712	0.062081352053538	0.125558375322436	0.0790831485498131	0.174524474915299	0.0896630949494859	0.0947032990522586	0.0786850491297912	0.126257680030283	0.0534756567194167	0.128323596041985	0.0808808768305993	0.0883387569283825	0.0403340920021796	0.0210677311345504
EBF1	0.0857285292979798	0.0766056568629703	1	0.133243563854242	0.168431813829013	0.0336378041152615	0.0512477244843961	0.059642269941326	0.0455973892889925	0.0532709031299528	0.106772518546523	0.0201585218881611	0.00646113939935483	0.258007292065528	0.0549191823794191	0.0267847074634289	0.08381893145675	0.102663416597851	0.141241143926192	0.0596941638878898	0.188304689724778	0.0240069118110437	0.153420586763766
ELF1	0.182055528509394	0.0408692150216593	0.133243563854242	1	0.0983922926519439	0.100710903118114	0.0414049835189288	0.132234151748353	0.0955248582555269	0.106540548791748	0.15505760232994	0.0502445978975593	0.0842172535124288	0.174845918492285	0.0721330798524226	0.113023519495005	0.123839357132273	0.110433707645626	0.169450995151369	0.17784616854597	0.118266612774681	0.0176715091922242	0.0876708666882992
FOXO1	0.120520250195823	0.0246857629597777	0.168431813829013	0.0983922926519439	1	0.0597845879738832	0.00737637106144976	0.120736779865244	0.0539203909168421	0.0479646215280015	0.0807287686293794	0.139633009048266	0.0763080999571639	0.177336099513678	0.0622748735297376	0.0454198001249866	0.0576901846564868	0.0653673654434753	0.0866079660746662	0.0929680446685133	0.139060344015934	0.0320447653734292	0.0875625401483335
GATA2	0.121603146830698	0.119056090951403	0.0336378041152615	0.100710903118114	0.0597845879738832	1	0.269098436424925	0.108761903814663	0.0633893487067571	0.140495449377156	0.301204699450132	0.126105815555546	0.237154641040758	0.0858559971447782	0.13706088320378	0.0571206607496157	0.188501959618353	0.135155399058142	0.15114181587219	0.215721437596065	0.11116933965599	0.0795530742693275	0.0457028543914911
GFI1B	0.0244817919204094	0.0638265559915176	0.0512477244843961	0.0414049835189288	0.00737637106144976	0.269098436424925	1	0.0854134058461685	0.0420141596523003	0.045123433825359	0.127294240710405	0.106542917255006	0.153874733656418	0.0297486305423652	0.0962804631876752	0.0273040390667977	0.00388234981469683	0.00116802762533413	0.0146506686017669	0.10949755052633	0.0427882372435619	0.00142236457373382	0.0654870883490184
HCFC1	0.172510295652004	0.0760821640935099	0.059642269941326	0.132234151748353	0.120736779865244	0.108761903814663	0.0854134058461685	1	0.0863214934153641	0.140054358729388	0.181110291080627	0.07049862566907	0.144639622204011	0.0687977301499597	0.110582284432097	0.187620869900157	0.284402018322246	0.220263197963386	0.173476486556047	0.1293398933945	0.11493487578374	0.0131157100167241	0.115387417602229
HDAC2	0.139498237123919	0.0182671338452712	0.0455973892889925	0.0955248582555269	0.0539203909168421	0.0633893487067571	0.0420141596523003	0.0863214934153641	1	0.140265757411272	0.147453896209746	0.0775188806697661	0.132950547625506	0.183676450502545	0.0408039553643475	0.0989666873104085	0.202691043022742	0.197045923929946	0.248304377096321	0.0959864603855828	0.163865393120297	0.0037234748233219	0.114050339939074
IKZF1	0.144525715174432	0.062081352053538	0.0532709031299528	0.106540548791748	0.0479646215280015	0.140495449377156	0.045123433825359	0.140054358729388	0.140265757411272	1	0.180821105252146	0.0539727837451141	0.137335471907333	0.0916319498519832	0.0224551049179256	0.11447313417914	0.225124219367594	0.178059442443578	0.163377883232254	0.208354060162495	0.134369840376565	0.0435688996229956	0.0580437641302947
IRF8	0.184779122355015	0.125558375322436	0.106772518546523	0.15505760232994	0.0807287686293794	0.301204699450132	0.127294240710405	0.181110291080627	0.147453896209746	0.180821105252146	1	0.0544224619958236	0.394398978938543	0.193026965736762	0.162984161197207	0.131350997720476	0.321556644009469	0.243871762900476	0.288449557212968	0.305121709575671	0.262772859968066	0.0689031112407066	0.122335850468644
JUN	0.0659866172312794	0.0790831485498131	0.0201585218881611	0.0502445978975593	0.139633009048266	0.126105815555546	0.106542917255006	0.07049862566907	0.0775188806697661	0.0539727837451141	0.0544224619958236	1	0.222140857786483	0.119702149069517	0.0425008894396618	0.140454798468174	0.0906036351731727	0.068072609027708	0.0910882558788979	0.070645792104433	0.0908837510991712	0.00695122188358468	0.0838819672855272
MEIS1	0.12319585476639	0.174524474915299	0.00646113939935483	0.0842172535124288	0.0763080999571639	0.237154641040758	0.153874733656418	0.144639622204011	0.132950547625506	0.137335471907333	0.394398978938543	0.222140857786483	1	0.0790313793190389	0.214149402698592	0.187933048339091	0.257957103455255	0.16071817743918	0.211026113362938	0.140372257649237	0.205049930603782	0.0940294241024911	0.125018557715009
MYC	0.177067690735056	0.0896630949494859	0.258007292065528	0.174845918492285	0.177336099513678	0.0858559971447782	0.0297486305423652	0.0687977301499597	0.183676450502545	0.0916319498519832	0.193026965736762	0.119702149069517	0.0790313793190389	1	0.0526813053415087	0.0599621976276138	0.183832410739456	0.182589381769698	0.254657517289416	0.198873942866283	0.234939571814731	0.0443172455191105	0.195860730260246
NFAT5	0.0772922401195707	0.0947032990522586	0.0549191823794191	0.0721330798524226	0.0622748735297376	0.13706088320378	0.0962804631876752	0.110582284432097	0.0408039553643475	0.0224551049179256	0.162984161197207	0.0425008894396618	0.214149402698592	0.0526813053415087	1	0.0428865726731389	0.148015915928258	0.0539363165301849	0.123889895412828	0.0610707628369871	0.103453637864079	0.065483196577921	0.0782528975528721
RAD21	0.126953311011198	0.0786850491297912	0.0267847074634289	0.113023519495005	0.0454198001249866	0.0571206607496157	0.0273040390667977	0.187620869900157	0.0989666873104085	0.11447313417914	0.131350997720476	0.140454798468174	0.187933048339091	0.0599621976276138	0.0428865726731389	1	0.211462140803015	0.171791552300814	0.149998533703356	0.11089774348395	0.078252282812762	0.0108738990547797	0.0899643783058216
RAD51	0.233577741322066	0.126257680030283	0.08381893145675	0.123839357132273	0.0576901846564868	0.188501959618353	0.00388234981469683	0.284402018322246	0.202691043022742	0.225124219367594	0.321556644009469	0.0906036351731727	0.257957103455255	0.183832410739456	0.148015915928258	0.211462140803015	1	0.336713089603485	0.429017783763753	0.16353819505905	0.115709596529948	0.116637306175243	0.175214394623395
RPA1	0.177649012767514	0.0534756567194167	0.102663416597851	0.110433707645626	0.0653673654434753	0.135155399058142	0.00116802762533413	0.220263197963386	0.197045923929946	0.178059442443578	0.243871762900476	0.068072609027708	0.16071817743918	0.182589381769698	0.0539363165301849	0.171791552300814	0.336713089603485	1	0.330589755872539	0.121122575653466	0.118878180876569	0.00966440861963723	0.104152911967291
RPA2	0.229769852915519	0.128323596041985	0.141241143926192	0.169450995151369	0.0866079660746662	0.15114181587219	0.0146506686017669	0.173476486556047	0.248304377096321	0.163377883232254	0.288449557212968	0.0910882558788979	0.211026113362938	0.254657517289416	0.123889895412828	0.149998533703356	0.429017783763753	0.330589755872539	1	0.182442953257752	0.11718358648675	0.0351873170932004	0.118496502108846
SATB1	0.176792689090996	0.0808808768305993	0.0596941638878898	0.17784616854597	0.0929680446685133	0.215721437596065	0.10949755052633	0.1293398933945	0.0959864603855828	0.208354060162495	0.305121709575671	0.070645792104433	0.140372257649237	0.198873942866283	0.0610707628369871	0.11089774348395	0.16353819505905	0.121122575653466	0.182442953257752	1	0.145223952951094	0.0494516386363984	0.077839850039544
