	MCM6	MCM3	ORC2	MCM5	MCM4	MCM2	MCM7	RAD51	KLF6	JUN	BTG2	POLR2B	XRCC3	XRCC6	ERCC8	GTF2H1	TCF19	SPI1	GATA2	EBF1	IKZF1	TLR4	MYB	IRF8	RUNX1T1	GTF2F1	CTR9	SNRPB	TAF12	YBX1	MLLT3	RORC	PLAG1	PHB2	MYC	MYCN	XPC	CENPK	RNF4	HMGB2	ZBTB16	MIS18BP1	POLR1B	E2F4	RB1	HCFC1	PA2G4	MAPK1	CBFB	GFI1B	MAPK12	FEM1B	REXO4	RARB	EPAS1	REL	RELB	NFKBIA	HIF3A	HDAC2	SMARCA2	JARID2	CBX7	MECOM	HDAC7	HDAC11	DDX20	H1F0	FOXO1	TOPORS	EGR1	ZFP36	SPO11	DEK	ABL1	MED16	PHF10	TSC22D3	ELP2	NR3C2	STAT2	IRF7	DDX58	IRF9	MEIS1	E2F8	RORA	RUVBL2	PBX1	APBB1	CSRP3	CREB5	ATF7	RPS6KA5	BTAF1	NDN	ELF1	EYA2	NFATC2	LZTS1
MCM6	1	0.489175260567902	0.202356375371093	0.525023478677598	0.462351847755344	0.550135157528061	0.509073670977134	0.396696718027034	0.13130048361036	0.0814458987822379	0.0210567526485159	0.160438892132719	0.165210137326746	0.231083135199796	0.0879139868155478	0.0905130598067277	0.291888136963082	0.224950743479768	0.1269745870285	0.192275483182302	0.152218448139771	0.0865825569323092	0.188504923687151	0.260413838439399	0.126895835816205	0.246009107403568	0.153511125865591	0.313100481580201	0.173718140582084	0.425298844368238	0.276290654049427	0.0654595712790032	0.0888632277185486	0.334171384670408	0.317760630912927	0.20622087450769	0.07568617167727	0.375635594173648	0.210910110955324	0.317084742168718	0.0182489822059415	0.19887198647926	0.199353095758264	0.170967115289259	0.121737401765259	0.152586749188292	0.401425957319582	0.210576286414974	0.223419405708876	0.0209014262242603	0.0747243988168509	0.119436297516826	0.114556819271451	0.11045478858108	0.0857552255511109	0.00359701029735616	0.106471751978485	0.0631927943175472	0.115911933346548	0.239936194171138	0.0852890520007879	0.0459022320227647	0.143469213453392	0.216529457267446	0.0817733616317053	0.107672542159789	0.152197603813641	0.15332571514866	0.106107084643751	0.0779461934269252	0.0730701973961303	0.122081439252314	0.0575187119923163	0.35329172122104	0.130628911286672	0.0913314324029936	0.185435645396815	0.115654778974688	0.214890280889916	0.0419397617241799	0.144188977517797	0.120145584110963	0.0884428800345404	0.103966586415506	0.141009343884126	0.247126362782894	0.15888681233745	0.292160803847279	0.136161007113582	0.105009531776738	0.052394175998514	0.13150920703267	0.00214662108519999	0.121982814806208	0.145164406208096	0.119068144215001	0.102457560302028	0.13150300655852	0.0761897789338278	0.143122456100504
MCM3	0.489175260567902	1	0.2359075815965	0.606299727750916	0.495712799082385	0.576835891101455	0.541748657229225	0.429803613887109	0.15945715578836	0.128253630038556	0.0425604971225531	0.162285298147636	0.196692809307174	0.277744717001611	0.0766153285751914	0.13421785722082	0.351283779765355	0.189996421723785	0.159589361912338	0.178788248390345	0.175045341860354	0.0217520986869787	0.172687384314708	0.31171592640504	0.161242499148485	0.272231427560717	0.130264328037244	0.330656886427413	0.176839188001526	0.418512379078299	0.262353496020359	0.00789866022254982	0.093727452383167	0.290905669296565	0.316732697085405	0.182793701737805	0.103300875206399	0.412375323453826	0.17041597528319	0.363564326835359	0.0415190344766358	0.242890315616631	0.171099340680178	0.252971863527788	0.088198892901428	0.224768498785755	0.378207512194987	0.183974350616684	0.239197871840648	0.0728497374247822	0.117411865967257	0.101697911730131	0.144986908940882	0.0759397592024279	0.134746197795066	0.0797320835960877	0.00431310159508012	0.0278574511012619	0.0959825841124662	0.252137088729351	0.120096858176044	0.0755144139714843	0.102370312792184	0.286863367389437	0.0821361446769561	0.107489530469393	0.213063489117407	0.13140796609602	0.104114813811807	0.0997646623400355	0.0720839935103109	0.172841908859829	0.0822034769628849	0.405113645705212	0.116578873477371	0.121220398465131	0.217648527396837	0.119931085228793	0.172598134754255	0.122880541673705	0.102144974745507	0.148864310710583	0.153455835725084	0.137564533975167	0.210908415684247	0.279421664491505	0.120146064368004	0.328695297129801	0.157128489822619	0.0655991361721345	0.0344192212217247	0.150459806455592	0.0410421041316331	0.10592402733246	0.129155990887386	0.136908508657982	0.166748562192422	0.136882488196329	0.152244574747894	0.105162066248896
ORC2	0.202356375371093	0.2359075815965	1	0.284252378879965	0.238522898182032	0.256522119482998	0.260996570260901	0.209143050944311	0.0394925498298907	0.0602927497841429	0.0285877604765003	0.0761111528531899	0.159538278931115	0.109828598250289	0.0587206921743086	0.079082276437743	0.164816537033934	0.064239278086521	0.0795434039498614	0.0692527026572337	0.104411276267945	0.00729278996543607	0.140785168592556	0.196338913541259	0.0796561776138839	0.135713133407723	0.0629649145209066	0.145745166203079	0.0819677657592201	0.202767991175168	0.10433903292991	0.0430597845998676	0.0223374906677863	0.113373526098621	0.115347430394959	0.124425014625803	0.0636108794388506	0.188405213123105	0.160868962077484	0.177227173119213	0.0352760565219426	0.145584383326642	0.0905163167185875	0.141996670360498	0.0822884391480344	0.144327368877345	0.180702835506837	0.0426416299900311	0.134129188346256	0.0310907774539343	0.0303953756323053	0.0943119697642239	0.061425637606914	0.00554964874813304	0.0195228255035776	0.0692529096215227	0.00931276786741568	0.0516577573155257	0.0605516636216079	0.090405963761422	0.0397302687598356	0.0702839545592319	0.0868686226704136	0.139103158802283	0.0513254385095888	0.0649217024122403	0.118242614804435	0.0232539582146045	0.0770279802386404	0.0719493552966292	0.0604865811372742	0.0551012815907196	0.0668425770869852	0.201450519872755	0.0802230172399013	0.0865702185729318	0.0683354111414598	0.0526067228590219	0.122435795155437	0.0200610154152021	0.00394671226608031	0.0565896038196033	0.0220619176275487	0.0168685633584767	0.144824215620124	0.146981879041502	0.0330972064661207	0.148451286398041	0.0814503778961611	0.0252917436478595	0.0266097633541733	0.042482926510657	0.0843240654528309	0.0723728248904933	0.0883691354311665	0.133586122968873	0.0922029837245496	0.0379642355279029	0.088225664735428	0.0201269167936068
MCM5	0.525023478677598	0.606299727750916	0.284252378879965	1	0.606176514678414	0.652178859402315	0.618895830802939	0.564640031351156	0.19403907372157	0.130680206480267	0.0971406293830453	0.186000191029742	0.22895016922945	0.284461435965511	0.138611092044255	0.121762420047038	0.425372875345994	0.238203664069556	0.241485625096176	0.154188099036394	0.191657094520617	0.0282876438063432	0.225224027405123	0.41061897960669	0.171562818514562	0.297656403046946	0.206675349171795	0.316694396557292	0.207675723963745	0.549355038907299	0.362704588536117	0.0929799489519852	0.0782082163600301	0.318454507469299	0.335441943977392	0.280711671980543	0.118218841080934	0.518131387097675	0.178698406122469	0.467535912496703	0.068085404906476	0.355932993846983	0.220007523533935	0.268832936612901	0.167542601865488	0.254623211646988	0.399592204265114	0.193718327717104	0.298383197286903	0.0777550780183138	0.0738842555987544	0.102554345003647	0.186190162703165	0.108765676844652	0.100308259745751	0.0602971513299426	0.0999750199785257	0.0990831416611745	0.0802482458030344	0.252590172791656	0.112681634603076	0.0820102058348013	0.107182209435826	0.353209229501835	0.146844447120358	0.18629259613595	0.240592187405878	0.185053828107734	0.125035199598653	0.110911550790501	0.0724273161311214	0.233003690178237	0.1553532740097	0.450750086699793	0.118844090719824	0.125817252272012	0.254361028649691	0.240079539834539	0.18280282789721	0.124244828854647	0.163951631951737	0.205955580222077	0.21172216047171	0.13251681069766	0.301503250434048	0.398179747412232	0.124626660309537	0.344768990887471	0.174947301779667	0.0890039370313334	0.0367713530868865	0.128730694826833	0.106860911706498	0.157095271579408	0.166029674529165	0.234737045062328	0.189223873568594	0.203906493694597	0.172717130563848	0.139708162204608
MCM4	0.462351847755344	0.495712799082385	0.238522898182032	0.606176514678414	1	0.574230610144531	0.508081937253835	0.440975489908079	0.13356131998088	0.0893835424087599	0.0982354321332945	0.162832785979834	0.205507460707494	0.277771358273712	0.112240569651839	0.111131687937694	0.337469427506316	0.233646788579663	0.168885110630131	0.146682846585976	0.197339074892971	0.0615889666171267	0.199652820140861	0.304622089241222	0.120519256699936	0.196923068714685	0.169404280289056	0.27944001558759	0.162263239224893	0.447930352487972	0.293985728103674	0.0527543678375242	0.0577957031084245	0.285837465106804	0.275859050262487	0.245251356957863	0.102193767608042	0.411807278214041	0.103353631874052	0.397095480781346	0.0558884627254105	0.250613398501742	0.192156199501472	0.223289145119496	0.146793663709442	0.218905546579346	0.315352713292842	0.182948528309812	0.251824530712904	0.0232961251826003	0.0483627188722562	0.0998381176167361	0.122753706790129	0.0982355978699525	0.0439991070350708	0.0583507947625815	0.0820777605927258	0.0899163540226002	0.138425293864367	0.245903060221817	0.0753018895703449	0.109896900616329	0.123297534384173	0.242090736200511	0.0834225917687393	0.156679629657635	0.198997998243184	0.144968945376246	0.108858559381781	0.0466271379342623	0.0906232275028675	0.139749418741529	0.16241229520672	0.393886934931	0.095423033157226	0.133321795141143	0.203212559450951	0.226402812191635	0.0967620570206774	0.060604095717629	0.0562315645522132	0.161586077425071	0.156243737162141	0.0978637548872393	0.188731028360936	0.318046821726785	0.1500313754665	0.290903074430931	0.184052544125059	0.0697799751737424	0.016426695574	0.146112980796974	0.0688696704051848	0.131699243703517	0.134515203016782	0.139553148971767	0.130937907589151	0.189168004807482	0.152402967942609	0.0636344330216373
MCM2	0.550135157528061	0.576835891101455	0.256522119482998	0.652178859402315	0.574230610144531	1	0.579152953538087	0.466496473665132	0.185233352989758	0.104385262221528	0.051787998253657	0.157151821082167	0.18852233716363	0.292831507309545	0.116135191444931	0.152334404429228	0.355618418739415	0.2048873949377	0.155655479279797	0.180242658971767	0.197849569634514	0.0398941391839389	0.212584393131218	0.355911469591251	0.107663274405351	0.252083977862999	0.175305681513259	0.359668013370082	0.193779262035202	0.463173076864301	0.323206319965367	0.0625863636949487	0.09453391635232	0.344968251881169	0.333380799550586	0.205914837796416	0.0777094025412488	0.424169962062495	0.154758504366176	0.403356526003444	0.0653462595365821	0.255850861465519	0.230401844862665	0.221925258073311	0.149630395035144	0.198362152958766	0.416212913577362	0.162969213159498	0.262228741121134	0.00941493632850333	0.0878153942034302	0.12801034038655	0.162792942086299	0.0909442442070463	0.112407840148353	0.0282459293402147	0.0825018660082262	0.073436792444033	0.104175708505204	0.24421049164342	0.130553474761587	0.0846795242652952	0.160101335080548	0.288865720464679	0.103193019966735	0.162695969842414	0.200432836750654	0.164156544570835	0.133061873208048	0.0870680761390812	0.102830027657432	0.17506794754178	0.135367642736781	0.406385652313399	0.107963982748986	0.107771632842364	0.270513873442561	0.185332186063076	0.208011179112659	0.127373885493834	0.13549837516812	0.192729767720199	0.159314337813767	0.134741650432369	0.240710946570497	0.312242484959717	0.122999864990093	0.329734436460666	0.165123331247043	0.0797346135549003	0.050921589853848	0.0959716202292973	0.049442740022877	0.101872706239684	0.130508938402185	0.154124660360698	0.184904705495743	0.175242374523408	0.153457034392656	0.133689724470639
MCM7	0.509073670977134	0.541748657229225	0.260996570260901	0.618895830802939	0.508081937253835	0.579152953538087	1	0.467845968995259	0.177924967571006	0.147771463566997	0.109501163809251	0.165516628738304	0.179895527799584	0.298705515857368	0.115995666944056	0.120595609810774	0.364749648308471	0.186250822167244	0.159257625777513	0.194496608216691	0.179231644432661	0.0710134149050728	0.265098018938247	0.36292505823028	0.207085573998972	0.236493042819509	0.227088258446324	0.271305035720699	0.21016650101215	0.543869735847487	0.356782652707592	0.0861848257619262	0.0704634773451393	0.323069280698047	0.323625025227768	0.24832964327526	0.128112894638733	0.447697316505215	0.203074382614782	0.483164794399309	0.0556074287914237	0.32959898087424	0.18815648626572	0.24515851319304	0.169400400523726	0.26401801757764	0.358034781233595	0.144900300807217	0.218240551705673	0.0368314554169408	0.0873843856336559	0.0946314682717705	0.177182015717299	0.121035945638295	0.124962394868157	0.0487520565074531	0.125276846115152	0.0831371877652752	0.0912765274907255	0.261282016121332	0.139219751760797	0.0849787792814337	0.134960606354181	0.323643662825245	0.111758274097365	0.135976183482705	0.152817205980788	0.14226851183588	0.137893114919577	0.106275834577526	0.0819477186153648	0.160305366018189	0.129264699280531	0.411286148058914	0.111860271303709	0.0928171299380723	0.247265221000573	0.206679401559435	0.167172337465585	0.139908960117148	0.0879989674705175	0.177771445504044	0.117592964524617	0.106721357301895	0.257293233696524	0.382158820386693	0.138382056345397	0.294943831808273	0.147863190044604	0.130653137879349	0.0427994966584137	0.086601636148243	0.0951345018500037	0.126608993927156	0.152827587913447	0.192069315565087	0.192819758465009	0.183644278578882	0.0986772492439838	0.153608892849182
RAD51	0.396696718027034	0.429803613887109	0.209143050944311	0.564640031351156	0.440975489908079	0.466496473665132	0.467845968995259	1	0.11515705605322	0.0906036351731727	0.105813113899997	0.208023536975089	0.224571129164452	0.219170800211149	0.0811257913339915	0.12975905943935	0.537569199541146	0.115709596529948	0.188501959618353	0.08381893145675	0.225124219367594	0.0165793376984766	0.158548367611121	0.321556644009469	0.149241718602268	0.202152283562885	0.181787628858558	0.210775430676349	0.173897012682524	0.410680424526021	0.253671459387376	0.0725565055336748	0.0732382225171625	0.233788010933534	0.183832410739456	0.194904520965039	0.059476018098858	0.555128069288613	0.174153107588162	0.436050063940155	0.0123937220159156	0.469770837286716	0.168777958539871	0.218313329034742	0.170409788833471	0.284402018322246	0.316356283871532	0.119779601300491	0.233577741322066	0.00388234981469683	0.0307595099854139	0.0887703109210243	0.164457827592924	0.0762151800942677	0.0796457255101217	0.00963226492897849	0.0975261657230346	0.0595798847119532	0.107462157359056	0.202691043022742	0.127273397367236	0.0855505308053647	0.126257680030283	0.236411042446454	0.170708989016208	0.126098799169031	0.203219972881435	0.146671095665431	0.0576901846564868	0.118367294335558	0.0690361753518546	0.126063153001679	0.0806936017277193	0.391842464666851	0.128554671820014	0.106438399782427	0.220331972722621	0.196098728368484	0.165093148845312	0.0898458469269151	0.116637306175243	0.136088959635682	0.134452616235437	0.0822551504714	0.257957103455255	0.469659890304467	0.106341397845864	0.267955343020987	0.136255802800062	0.140825690376633	0.00380822114353714	0.143979085323236	0.0803721803100504	0.11982839349175	0.158706205761972	0.139759745438285	0.123839357132273	0.125882018475945	0.139688369606892	0.117419391116143
KLF6	0.13130048361036	0.15945715578836	0.0394925498298907	0.19403907372157	0.13356131998088	0.185233352989758	0.177924967571006	0.11515705605322	1	0.321717303573763	0.115511097698976	0.0261876076398146	0.041183356908511	0.0876099111908627	0.0805745314665098	0.0432635415569035	0.107100832824693	0.144727058797108	0.148896247172555	0.0478301480311307	0.0786480703203422	0.0679135932280953	0.157833061469415	0.0917782434591121	0.140616928311204	0.0777862247582344	0.102281132555824	0.0895742558264651	0.0606204455097313	0.254042442297621	0.205712463534176	0.129606381162615	0.0236787489403584	0.166281780661637	0.178962312112793	0.203355161721423	0.0396410295392381	0.160723849447781	0.0974374243454389	0.189414232915472	0.054229610490696	0.0595257266153563	0.0665243729458621	0.0630337354442526	0.0630402461432781	0.0597599034144404	0.159150604836849	0.0208477738638941	0.0793478773149743	0.0330654742699335	0.0585708129059122	0.0782239500613562	0.0446786453837825	0.0858203360395159	0.0457926456308028	0.00138695948068072	0.14413960062742	0.115136746116841	0.0303067156425831	0.130632551338288	0.0399155781526418	0.0746396264497626	0.0780948985856917	0.180113052145194	0.00836831135878161	0.11362405578053	0.0398042765417758	0.199069210849409	0.0971433818327899	0.00368223028196853	0.271492022118588	0.319368682109943	0.0451690909428987	0.102477919079703	0.0326437127553306	0.0146252067801282	0.113823541605812	0.138430464215027	0.022137669663848	0.0665012299500721	0.0850253988092103	0.0964910468727711	0.0919893866548611	0.0774866555420189	0.208557064153772	0.106214875707474	0.0887312949547587	0.109891107500949	0.138524642143584	0.0915188712792029	0.0212795171815737	0.0969736214983666	0.0141770959983919	0.0454585816829097	0.0658927578824563	0.163250127191544	0.0815586466248321	0.126350114954068	0.0908651100290578	0.120947316952843
JUN	0.0814458987822379	0.128253630038556	0.0602927497841429	0.130680206480267	0.0893835424087599	0.104385262221528	0.147771463566997	0.0906036351731727	0.321717303573763	1	0.209113892555551	0.104132155301451	0.0395768722427639	0.0105227629260994	0.111914579538474	0.0790392980595078	0.0935371796353719	0.0908837510991712	0.126105815555546	0.0201585218881611	0.0539727837451141	0.0583782370412579	0.0849004283951516	0.0544224619958236	0.0957657826079687	0.0524214556164543	0.0593856096703618	0.0687111837047166	0.0476010509578014	0.193559979144504	0.183228733070307	0.077910822434122	0.0014965781160194	0.103388401656588	0.119702149069517	0.153820438620142	0.0153493020319435	0.152658710096278	0.0519403225192242	0.159818492364853	0.0333138228685138	0.11420804096193	0.0994394010989067	0.00279991703598269	0.0531826293939379	0.07049862566907	0.0829571933422703	0.0292904686988602	0.0659866172312794	0.106542917255006	0.0929072269264781	0.0580807301218762	0.0321346774897061	0.0661953787153161	0.0192068415802813	0.0132376748607305	0.0848282520333089	0.0505357751979078	0.107487629671692	0.0775188806697661	0.083679357945586	0.0314867553817544	0.0790831485498131	0.205511420743348	0.0491696960496079	0.135585520952074	0.0892150962543223	0.118530128956324	0.139633009048266	0.0001131340979673	0.41415803631376	0.447432420076108	0.05690681501882	0.112007611969726	0.0132608207315833	0.0513956655501441	0.0820308794565409	0.124189128391523	0.0397840255148285	0.0539291530868206	0.00695122188358468	0.0290989420121765	0.0191448729736967	0.0874471195415296	0.222140857786483	0.112931918570167	0.0900521194328953	0.0413820249216282	0.115675850494935	0.124965511377188	0.0171125114898618	0.0975293222258384	0.0178814916345195	0.0278317955009286	0.0174740192264405	0.132894818650565	0.0502445978975593	0.128650203629495	0.0746876598000196	0.138992409912469
