	MCM6	MCM3	ORC2	MCM5	MCM4	MCM2	MCM7	RAD51	KLF6	JUN	BTG2	POLR2B	XRCC3	XRCC6	ERCC8	GTF2H1	TCF19	SPI1	GATA2	EBF1	IKZF1	TLR4	MYB	IRF8	RUNX1T1	GTF2F1	CTR9	SNRPB	TAF12	YBX1	MLLT3	PHB2	MYCN	XPC	POLR1B	E2F4	RB1	MYC	CBFB	GFI1B	PA2G4	MAPK1	MAPK12	REXO4	RARB	HDAC2	SMARCA2	JARID2	CBX7	MECOM	HDAC7	HDAC11	DDX20	EGR1	ZFP36	HMGB2	MIS18BP1	CENPK	NFKBIA	REL	RELB	SPO11	DEK	ABL1	H1F0	MED16	FOXO1	PHF10	EPAS1	HIF3A	TSC22D3	IRF7	DDX58	STAT2	IRF9	MEIS1	RORC	RORA	RUVBL2	PBX1	HCFC1	APBB1	FEM1B	ZBTB16	RNF4	CREB5	ATF7	RPS6KA5	NDN	ELF1	E2F8	NFATC2
MCM6	1	0.667	0.1697	0.6416	0.6495	0.6613	0.7449	0.2491	0.07474	0.06299	0.143	0.04971	0.2212	0.04925	0.05834	0.07157	0.07361	0.06948	0.04529	0.04713	0.04033	0.04919	0.05885	0.1344	0.1128	0.08732	0.03895	0.0973	0.1323	0.0646	0.03254	0.07174	0.03653	0.05067	0.02826	0.07032	0.03315	0.05623	0.1103	0.06523	0.07283	0.0297	0.06774	0.05508	0.08867	0.1172	0.08419	0.04742	0.07854	0.02422	0.03128	0.131	0.1014	0.03974	0.06379	0.1347	0.03809	0.09234	0.09194	0.04025	0.0415	0.1083	0.07567	0.03419	0.2365	0.04074	0.09672	0.0503	0.02204	0.0274	0.1454	0.07016	0.06528	0.05464	0.03413	0.06673	0.06422	0.04474	0.1358	0.07503	0.0464	0.03872	0.043	0.04341	0.07549	0.06922	0.05164	0.03605	0.1036	0.06745	0.05228	0.03128
MCM3	0.6694	1	0.1563	0.6152	0.6504	0.6565	0.7285	0.2603	0.09417	0.08199	0.1886	0.02597	0.2425	0.06401	0.04327	0.05404	0.0735	0.1713	0.06872	0.04453	0.06997	0.05639	0.04958	0.05179	0.07997	0.08644	0.03684	0.08082	0.1791	0.08024	0.07793	0.05381	0.05602	0.03602	0.03291	0.1359	0.04104	0.06036	0.1267	0.0793	0.06982	0.02896	0.07814	0.06864	0.06965	0.1177	0.05462	0.03	0.07688	0.04855	0.0362	0.1251	0.1032	0.07053	0.08905	0.1396	0.05263	0.1289	0.07458	0.04047	0.04529	0.07645	0.1085	0.03923	0.1266	0.0455	0.07435	0.06116	0.04985	0.03369	0.1519	0.04675	0.07842	0.0417	0.07876	0.09621	0.05313	0.04794	0.1452	0.08443	0.03633	0.03212	0.04526	0.04848	0.1036	0.0642	0.06509	0.04263	0.1507	0.08533	0.06106	0.03599
ORC2	0.1697	0.169	1	0.1473	0.04489	0.1465	0.1505	0.2167	0.09017	0.09468	0.2062	0.02234	0.1905	0.06913	0.03791	0.05498	0.0851	0.0973	0.06166	0.0488	0.04608	0.09021	0.05657	0.04884	0.05274	0.05682	0.04772	0.08058	0.1999	0.06963	0.03869	0.08055	0.0634	0.06209	0.02849	0.04892	0.04687	0.06691	0.1107	0.08208	0.06803	0.03504	0.04229	0.08446	0.04673	0.1227	0.04631	0.05294	0.119	0.04966	0.08571	0.2566	0.08022	0.06299	0.07659	0.1491	0.04329	0.08577	0.07229	0.04821	0.04623	0.1129	0.06388	0.04137	0.1106	0.03652	0.04114	0.03892	0.04857	0.03979	0.121	0.06297	0.1418	0.05028	0.05298	0.07212	0.07239	0.0523	0.1296	0.05119	0.03717	0.04678	0.05345	0.07561	0.0893	0.08383	0.07283	0.04428	0.06929	0.05924	0.04413	0.0491
MCM5	0.6422	0.6156	0.1648	1	0.5733	0.5998	0.6675	0.2578	0.08351	0.08902	0.1635	0.05489	0.1139	0.0483	0.05722	0.06053	0.07871	0.1482	0.03168	0.03855	0.05743	0.03448	0.0705	0.07169	0.09036	0.08828	0.06502	0.0646	0.1933	0.0679	0.04907	0.06851	0.06867	0.03624	0.02459	0.1343	0.05712	0.04691	0.1116	0.08878	0.08004	0.04008	0.01951	0.05237	0.06631	0.1127	0.1075	0.02557	0.07872	0.03815	0.07899	0.06599	0.08757	0.05081	0.04558	0.1515	0.02841	0.117	0.07129	0.04332	0.05413	0.1056	0.06183	0.04844	0.2193	0.04065	0.05417	0.07265	0.03658	0.04894	0.181	0.04728	0.1018	0.05357	0.07721	0.09198	0.08577	0.06282	0.1333	0.1083	0.04932	0.02662	0.05643	0.05579	0.1407	0.0758	0.04728	0.02141	0.06745	0.06043	0.08077	0.03914
MCM4	0.6497	0.6493	0.1752	0.5733	1	0.644	0.7087	0.254	0.1034	0.06302	0.08618	0.04586	0.2173	0.06212	0.06002	0.08346	0.07075	0.07186	0.04964	0.05133	0.06502	0.0466	0.03522	0.07272	0.08998	0.05019	0.03246	0.07777	0.1367	0.06341	0.05368	0.09012	0.05436	0.0404	0.03987	0.0627	0.03884	0.05873	0.1016	0.06485	0.05713	0.08976	0.06044	0.06635	0.05527	0.09767	0.1048	0.0473	0.1067	0.04272	0.0727	0.07755	0.04427	0.05393	0.08205	0.1544	0.0336	0.1522	0.05328	0.05665	0.04981	0.1028	0.09943	0.047	0.07318	0.0419	0.05341	0.09742	0.0346	0.03912	0.1467	0.05401	0.1036	0.0273	0.04875	0.05817	0.08273	0.08105	0.1378	0.097	0.04316	0.04336	0.06441	0.0419	0.1082	0.07168	0.0921	0.02615	0.08539	0.06297	0.03823	0.04107
MCM2	0.6671	0.6558	0.1455	0.6132	0.6408	1	0.7128	0.2479	0.06531	0.06481	0.1807	0.02957	0.226	0.04688	0.0592	0.06935	0.07916	0.0777	0.03586	0.04774	0.05121	0.0517	0.038	0.04455	0.05239	0.05518	0.0328	0.07385	0.1943	0.06053	0.05356	0.05854	0.06116	0.05956	0.0423	0.05384	0.05589	0.05291	0.1112	0.06564	0.0573	0.08847	0.09675	0.0655	0.04286	0.05847	0.09653	0.02751	0.1351	0.03698	0.03185	0.07639	0.03572	0.05011	0.06816	0.1045	0.03664	0.08479	0.07051	0.04386	0.04635	0.1132	0.06931	0.04084	0.1107	0.03989	0.04261	0.07436	0.03845	0.04232	0.1487	0.04996	0.0939	0.04231	0.04764	0.05123	0.05294	0.06581	0.129	0.07629	0.03878	0.05183	0.09161	0.04348	0.08657	0.06052	0.06713	0.03317	0.1386	0.04129	0.05035	0.03321
MCM7	0.7489	0.7294	0.1704	0.679	0.7108	0.7099	1	0.2256	0.0898	0.05907	0.08708	0.0442	0.2317	0.04964	0.04972	0.06246	0.06772	0.1811	0.04061	0.05056	0.04623	0.04725	0.04125	0.04866	0.06964	0.04145	0.03581	0.09559	0.1889	0.05036	0.04456	0.05759	0.03535	0.06342	0.03144	0.1394	0.05762	0.06405	0.1054	0.07862	0.06327	0.06939	0.06488	0.04914	0.1084	0.1144	0.1202	0.04406	0.09368	0.044	0.08413	0.08281	0.107	0.03239	0.06211	0.141	0.04889	0.1492	0.0923	0.05785	0.05237	0.09108	0.06417	0.0297	0.281	0.05113	0.08321	0.05334	0.06611	0.02874	0.1289	0.05001	0.12	0.06157	0.05147	0.0842	0.05269	0.09434	0.1311	0.1008	0.03285	0.0394	0.05598	0.05647	0.05771	0.07356	0.05214	0.03306	0.08129	0.05531	0.07725	0.043
RAD51	0.2526	0.2511	0.229	0.26	0.2518	0.2479	0.2366	1	0.06204	0.05835	0.1145	0.04755	0.7617	0.1781	0.05957	0.06988	0.08987	0.1002	0.04057	0.05433	0.0488	0.1124	0.09198	0.06451	0.0852	0.09364	0.08219	0.07813	0.1907	0.03263	0.07241	0.07351	0.08152	0.06054	0.0692	0.1008	0.09514	0.07638	0.127	0.06286	0.08153	0.07867	0.09056	0.08428	0.1164	0.1788	0.2263	0.05413	0.08908	0.05974	0.1918	0.2182	0.2861	0.05404	0.05036	0.09648	0.09688	0.08938	0.08668	0.05777	0.05763	0.146	0.09354	0.07811	0.1352	0.09427	0.08142	0.07587	0.04858	0.05244	0.1398	0.07809	0.2564	0.06569	0.06161	0.095	0.09044	0.09177	0.0791	0.08191	0.06159	0.05918	0.09265	0.09053	0.04895	0.05441	0.06914	0.04674	0.1051	0.05964	0.1492	0.06937
KLF6	0.06501	0.115	0.09763	0.07631	0.09476	0.1004	0.09086	0.04961	1	0.12	0.06167	0.03583	0.06298	0.07502	0.05591	0.06897	0.07872	0.09263	0.07737	0.1417	0.2479	0.05744	0.1037	0.09335	0.084	0.1021	0.07918	0.0893	0.1525	0.1108	0.08362	0.08176	0.08974	0.1006	0.07661	0.08866	0.08947	0.1073	0.1098	0.2547	0.0524	0.03869	0.06184	0.1065	0.08742	0.07704	0.0891	0.09863	0.1186	0.263	0.0986	0.05956	0.102	0.2849	0.07523	0.1173	0.09943	0.09021	0.06656	0.07806	0.07376	0.08898	0.07808	0.07946	0.1218	0.0345	0.1174	0.1051	0.0892	0.08	0.1795	0.09852	0.1117	0.09352	0.1032	0.1213	0.1176	0.128	0.0497	0.09223	0.1014	0.07817	0.0733	0.2493	0.108	0.09597	0.09425	0.09665	0.08595	0.08336	0.08665	0.09487
JUN	0.06278	0.07714	0.09687	0.06953	0.08199	0.07023	0.05907	0.03169	0.1079	1	0.07507	0.07056	0.06734	0.05919	0.05261	0.06316	0.09223	0.1012	0.0628	0.07481	0.07747	0.07813	0.08914	0.08215	0.1214	0.07503	0.06909	0.1066	0.1212	0.07819	0.08168	0.1705	0.08773	0.0539	0.05131	0.07792	0.06083	0.14	0.1261	0.06555	0.07549	0.04156	0.0441	0.1081	0.0507	0.07126	0.09184	0.08927	0.1248	0.05984	0.0931	0.07079	0.09418	0.07669	0.08296	0.09599	0.07982	0.234	0.06783	0.08186	0.06953	0.09002	0.08307	0.06936	0.09278	0.04248	0.06672	0.05981	0.07537	0.07711	0.08141	0.1094	0.06609	0.06887	0.06308	0.07153	0.08192	0.08675	0.04087	0.07528	0.05861	0.06637	0.04502	0.06547	0.1076	0.1967	0.2013	0.06141	0.07134	0.07641	0.08055	0.06628
