	MCM6	MCM3	ORC2	MCM5	MCM4	MCM2	MCM7	RAD51	KLF6	JUN	BTG2	POLR2B	XRCC3	XRCC6	ERCC8	GTF2H1	TCF19	SPI1	GATA2	EBF1	IKZF1	TLR4	MYB	IRF8	RUNX1T1	GTF2F1	CTR9	SNRPB	TAF12	YBX1	MLLT3	PHB2	MYCN	XPC	POLR1B	E2F4	RB1	MYC	CBFB	GFI1B	PA2G4	MAPK1	MAPK12	REXO4	RARB	HDAC2	SMARCA2	JARID2	CBX7	MECOM	HDAC7	HDAC11	DDX20	EGR1	ZFP36	HMGB2	MIS18BP1	CENPK	NFKBIA	REL	RELB	SPO11	DEK	ABL1	H1F0	MED16	FOXO1	PHF10	EPAS1	HIF3A	TSC22D3	IRF7	DDX58	STAT2	IRF9	MEIS1	RORC	RORA	RUVBL2	PBX1	HCFC1	APBB1	FEM1B	ZBTB16	RNF4	CREB5	ATF7	RPS6KA5	NDN	ELF1	E2F8	NFATC2
MCM6	1	0.766130877682874	0.12267912301643	0.800197604053897	0.869565217391304	0.141186241600503	0.802572353905128	0.260643017571343	0.143509461970482	0.110512418425634	0.0869565217391304	0.16151457061745	0.204465205027383	0.276184088333054	0.0869565217391304	0.111455642515071	0.104257207028537	0.383570641188307	0.0915497214246348	0.215352760823266	0.180578779628654	0.036025803716501	0.125738922692386	0.137118234038212	0.222911285030141	0.182006302077316	0.127688479613812	0.110581467116173	0.130434782608696	0.0928476690885259	0.222277112237194	0.0851256530758749	0.147441956154897	0.224701765881942	0.227507877596645	0.184302445193621	0.134908125123986	0.0784615442649073	0.186500961648063	0.196589274873196	0.057831493196624	0.139804410641947	0.227507877596645	0.215352760823266	0.127192600149779	0.0869565217391304	0.233582864989514	0.145190801728126	0.202288694969669	0.0976934413538754	0.112350882940971	0.188608384038579	0.294883912309794	0.0775890900167808	0.0769990503509018	0.138092044166527	0.39405520311955	0.197814142018736	0.0893633203101749	0.133366267342316	0.173762011714229	0.275838642183685	0.156385810542806	0.0998475714488415	0.182006302077316	0.125738922692386	0.113500870767833	0.12267912301643	0.0884651736929383	0.17025130615175	0.186500961648063	0.145190801728126	0.200491602544172	0.16681153124566	0.16151457061745	0.154880618532473	0.127192600149779	0.116791432494757	0.23643312187173	0.117953564923918	0.169127522872935	0.0567504353839166	0.147441956154897	0.120385853085769	0.171397792547765	0.16151457061745	0.143222974807887	0.200643088476282	0.149801177254628	0.107676380411633	0.193600773165592	0.125738922692386
MCM3	0.766130877682874	1	0.156326349870181	0.870388279778489	0.893819357296686	0.0788110406239101	0.785674201318386	0.280670699693906	0.187317162316339	0.0649113483611873	0.0851256530758749	0.158113883008419	0.280224269158903	0.243332131696144	0.0425628265379374	0.109108945117996	0.102062072615966	0.0890870806374748	0.0896221429896442	0.158113883008419	0.147313912747197	0.0352672807929299	0.0923186182344996	0.134231211042805	0.109108945117996	0.133630620956212	0.0833333333333333	0.108253175473055	0.0851256530758749	0.281787981470539	0.174077655955698	0.0555555555555556	0.108253175473055	0.21997067253203	0.17817416127495	0.180421959121758	0.0880450906325624	0.0768095372642569	0.136930639376292	0.144337567297406	0.11322770341446	0.117309283050866	0.267261241912424	0.210818510677892	0.124514561272938	0.0851256530758749	0.20008168266626	0.106600358177805	0.148522131446501	0.0956365069595008	0.109985336266015	0.184637236468999	0.288675134594813	0.101273936708367	0.0753778361444409	0.162221421130763	0.308606699924184	0.129099444873581	0.0583211843519804	0.130558241966773	0.170103454359943	0.231455024943138	0.153093108923949	0.114036162178938	0.17817416127495	0.123091490979333	0.111111111111111	0.0800640769025436	0.0866025403784439	0.166666666666667	0.0912870929175277	0.14213381090374	0.168231646227613	0.122474487139159	0.105409255338946	0.113714706536836	0.0933859209547035	0.0857492925712544	0.205737799949456	0.115470053837925	0.132453235706504	0.0833333333333333	0.144337567297406	0.058925565098879	0.134231211042805	0.105409255338946	0.266500895444513	0.196418550329597	0.183308893776692	0.105409255338946	0.151619608715781	0.123091490979333
ORC2	0.245062455393638	0.188982236504614	1	0.0837707816583391	0.128623938856882	0.245440346836908	0.166924465222397	0.0620173672946042	0.165144564768954	0.254840774258593	0.0800955177350543	0.0510310363079829	0.384900179459751	0.167984210226323	0.158665765604384	0.185695338177052	0.0958926602970768	0.0677976922058353	0.286769667338202	0.0595755468734499	0.0619710387495266	0.124878108210893	0.204124145231932	0.0834783871129682	0.208333333333333	0.150755672288882	0.125108648434245	0.157173653365483	0.118262479197817	0.102749367065848	0.249485066394583	0.0870388279778489	0.125656172487509	0.0785674201318386	0.182574185835055	0.21997067253203	0.137308759095272	0.282958229209055	0.163299316185545	0.136947758916194	0.132453235706504	0.193649167310371	0.186771841909407	0.17604840918975	0.200250469728704	0.17817416127495	0.147441956154897	0.245440346836908	0.0737209780774486	0.0591312395989083	0.212860833676077	0.202732689712984	0.210558721903079	0.17817416127495	0.121828980774635	0.173205080756888	0.419891104865182	0.242464322484436	0.216060405362556	0.109544511501033	0.158776837207489	0.098058067569092	0.0753778361444409	0.124093190990815	0.228747855498907	0.0850914041696099	0.143222974807887	0.212860833676077	0.154880618532473	0.248069469178417	0.102028865498569	0.285714285714286	0.173421993904824	0.0936585811581694	0.0680413817439772	0.139841947066477	0.421637021355784	0.204385006865824	0.322329185610152	0.078086880944303	0.244948974278318	0.240990093251511	0.062347968638855	0.0889206083435309	0.297408958257966	0.108798534972311	0.100055601894761	0.128965176043832	0.0816496580927726	0.30697030675746	0.136504726557987	0.0784615442649073
MCM5	0.800197604053897	0.870388279778489	0.215587222254518	1	0.844653026501335	0.105409255338946	0.779579442869107	0.266500895444513	0.195646395217807	0.0677976922058353	0.0889108448948774	0.165144564768954	0.250872603002127	0.254152122626207	0.0444554224474387	0.113960576459638	0.106600358177805	0.275838642183685	0.0936072754401818	0.165144564768954	0.153864363724166	0.0184177367170939	0.0964236519799837	0.140199927446556	0.113960576459638	0.139572631559771	0.0870388279778489	0.113066754216661	0.0889108448948774	0.227429413073671	0.181818181818182	0.0580258853185659	0.113066754216661	0.229751874320245	0.186096842079694	0.188444590361102	0.0919600979743406	0.0601687089090165	0.143019388386839	0.150755672288882	0.118262479197817	0.12252555009203	0.279145263119541	0.220192753025272	0.130051217752471	0.0889108448948774	0.208978501909286	0.111340442853781	0.155126306998506	0.099889073731804	0.114875937160123	0.192847303959967	0.301511344577764	0.105777177069589	0.0787295821622217	0.141195623681226	0.322329185610152	0.134839972492648	0.0609144903873173	0.136363636363636	0.14213381090374	0.241746889207614	0.159900537266708	0.102091617289509	0.186096842079694	0.128564869306645	0.116051770637132	0.0836242010007091	0.0904534033733291	0.174077655955698	0.0953462589245592	0.148453923805041	0.175712223797227	0.127920429813366	0.110096376512636	0.118771137369734	0.0975384133143533	0.0895622151039798	0.188025358272589	0.120604537831105	0.138342892773215	0.0580258853185659	0.150755672288882	0.0615457454896664	0.140199927446556	0.110096376512636	0.167541563316678	0.205152484965555	0.153167916213497	0.110096376512636	0.158361516492979	0.128564869306645
MCM4	0.869565217391304	0.893819357296686	0.121716123890037	0.844653026501335	1	0.268028133709449	0.882829589295641	0.260643017571343	0.143509461970482	0.0884099347405071	0.0869565217391304	0.16151457061745	0.204465205027383	0.276184088333054	0.0869565217391304	0.111455642515071	0.104257207028537	0.173421993904824	0.0915497214246348	0.215352760823266	0.150482316357212	0.0180129018582505	0.125738922692386	0.137118234038212	0.167183463772606	0.182006302077316	0.127688479613812	0.110581467116173	0.130434782608696	0.206418738616856	0.222277112237194	0.0567504353839166	0.147441956154897	0.224701765881942	0.227507877596645	0.184302445193621	0.112423437603322	0.0784615442649073	0.186500961648063	0.196589274873196	0.057831493196624	0.119832351978812	0.227507877596645	0.215352760823266	0.127192600149779	0.0869565217391304	0.233582864989514	0.145190801728126	0.202288694969669	0.0976934413538754	0.112350882940971	0.188608384038579	0.294883912309794	0.0775890900167808	0.0769990503509018	0.138092044166527	0.39405520311955	0.197814142018736	0.0595755468734499	0.133366267342316	0.139009609371383	0.275838642183685	0.156385810542806	0.0998475714488415	0.182006302077316	0.125738922692386	0.113500870767833	0.12267912301643	0.0884651736929383	0.17025130615175	0.186500961648063	0.145190801728126	0.171849945037861	0.125108648434245	0.16151457061745	0.154880618532473	0.127192600149779	0.116791432494757	0.210162774997094	0.117953564923918	0.135302018298348	0.0567504353839166	0.147441956154897	0.0902893898143269	0.137118234038212	0.107676380411633	0.239394948819869	0.200643088476282	0.149801177254628	0.107676380411633	0.154880618532473	0.125738922692386
MCM2	0.109536397994264	0.467099366496914	0.0994490316197694	0.241746889207614	0.108605868741846	1	0.0775890900167808	0.203672042472588	0.246182981958665	0.113960576459638	0.0665190105237739	0.324556741805937	0.359442577344795	0.14824986333222	0.164121987972444	0.193649167310371	0.131390361556601	0.361550763031094	0.116059586360657	0.14181900694935	0.0670612535576855	0.0965609099170535	0.125738922692386	0.198761597999981	0.200445931434318	0.120096115353815	0.376867331440716	0.148034227053235	0.0548821299948452	0.215410109213832	0.0781398391605935	0.103762134394115	0.100994645405847	0.0919600979743406	0.108253175473055	0.0990147542976674	0.227507877596645	0.0664048427128458	0.167506302543202	0.0716114874039433	0.269679944985297	0.196116135138184	0.0742610657232506	0.157459164324443	0.157485197087178	0.182089260182307	0.136504726557987	0.187867287325545	0.0730296743340221	0.087287156094397	0.0737209780774486	0.120385853085769	0.104972776216296	0.168358757425368	0.202776776413453	0.0870388279778489	0.163663417676994	0.114079161899069	0.155962573473011	0.15	0.147441956154897	0.149641290837679	0.23232092779871	0.185185185185185	0.162221421130763	0.0861061697819235	0.262431940540739	0.275009549108463	0.0912870929175277	0.133259320930554	0.26983140803851	0.276520451928113	0.224733287487747	0.12042147547243	0.0856705873756239	0.241746889207614	0.312195270527231	0.323029141234899	0.129159254672885	0.282267243490929	0.155857300039839	0.0563436169819011	0.238832573610613	0.263025454922346	0.0975900072948533	0.046175709653961	0.156385810542806	0.3	0.125738922692386	0.279145263119541	0.222882616611911	0.0690065559342354
MCM7	0.802572353905128	0.785674201318386	0.176090181265125	0.779579442869107	0.882829589295641	0.102597835208515	1	0.288675134594813	0.176604314275339	0.122398012272421	0.120385853085769	0.149071198499986	0.264197974633739	0.28039700806402	0.120385853085769	0.154303349962092	0.0962250448649376	0.175712223797227	0.084496566736597	0.198761597999981	0.166666666666667	0.0166251556017939	0.145064713296415	0.126554399433667	0.154303349962092	0.167984210226323	0.117851130197758	0.136082763487954	0.120385853085769	0.222277112237194	0.246182981958665	0.0523782800878924	0.170103454359943	0.276520451928113	0.251976315339485	0.170103454359943	0.145266988151761	0.126729270871833	0.172132593164774	0.181443684650606	0.0533760512683624	0.147467003629155	0.209980262782904	0.198761597999981	0.146741817720937	0.0802572353905128	0.242535625036333	0.167506302543202	0.233380014004668	0.0901669634667432	0.138260225964057	0.174077655955698	0.306186217847897	0.0716114874039433	0.0947558739358269	0.127453185483645	0.363696483726654	0.182574185835055	0.0824786098842323	0.123091490979333	0.160375074774896	0.254587538608658	0.144337567297406	0.122873514022424	0.167984210226323	0.116051770637132	0.130945700219731	0.11322770341446	0.0816496580927726	0.196418550329597	0.172132593164774	0.167506302543202	0.1850453700009	0.1539600717839	0.198761597999981	0.142948337978373	0.11739345417675	0.107793611127259	0.242464322484436	0.136082763487954	0.124878108210893	0.0785674201318386	0.181443684650606	0.111111111111111	0.126554399433667	0.0993807989999907	0.187867287325545	0.185185185185185	0.172825282455071	0.0993807989999907	0.178685422472966	0.174077655955698
RAD51	0.260643017571343	0.280670699693906	0.139875721236047	0.266500895444513	0.260643017571343	0.0800640769025436	0.288675134594813	1	0.200738767136742	0.145749708500875	0.104257207028537	0.161374306091976	0.392232270276368	0.248349816949696	0.130321508785672	0.167038276195265	0.0625	0.192879187452615	0.0823231949922678	0.129099444873581	0.144337567297406	0.043193421279068	0.0942222951805511	0.102749367065848	0.133630620956212	0.136386181397495	0.0765465544619743	0.110485434560398	0.078192905271403	0.268028133709449	0.186550626811159	0.102062072615966	0.110485434560398	0.269407953040162	0.190940653956493	0.154679608384557	0.107832773203438	0.11759010854795	0.139754248593737	0.117851130197758	0.10400628679223	0.155646771348437	0.163663417676994	0.193649167310371	0.0953116064578779	0.117289357907105	0.157531509453151	0.152317948961236	0.212218671906791	0.078086880944303	0.112253313766734	0.113066754216661	0.176776695296637	0.0930260509419063	0.0923186182344995	0.21523650802307	0.188982236504614	0.118585412256314	0.125	0.106600358177805	0.208333333333333	0.28347335475692	0.125	0.149641290837679	0.163663417676994	0.0753778361444409	0.102062072615966	0.098058067569092	0.0707106781186548	0.204124145231932	0.111803398874989	0.152317948961236	0.154530634442275	0.175	0.129099444873581	0.116059586360657	0.0762492851663023	0.0875175052517506	0.188982236504614	0.0883883476483184	0.162221421130763	0.11907241805196	0.176776695296637	0.144337567297406	0.164398987305357	0.0968245836551854	0.311286403182345	0.144337567297406	0.157154639273428	0.0645497224367903	0.139271503632789	0.169600131324992
KLF6	0.143509461970482	0.187317162316339	0.14451832825402	0.195646395217807	0.143509461970482	0.129957971008029	0.176604314275339	0.200738767136742	1	0.291816229851478	0.095672974646988	0.236939551103637	0.224960635332924	0.212707993911967	0.047836487323494	0.122627867896993	0.114707866935281	0.129793532912791	0.302179779099527	0.592348877759092	0.331133089266261	0.0396370017644709	0.311271508739734	0.377157143202357	0.18394180184549	0.250313087160879	0.140487871737254	0.162221421130763	0.191345949293976	0.449466574975495	0.195646395217807	0.0624390541054463	0.446108908109597	0.288429975200615	0.350438322025231	0.446108908109597	0.123692673998823	0.237397785226333	0.256494588021288	0.4325904563487	0.190885428892733	0.109870210072262	0.200250469728704	0.236939551103637	0.314870142843594	0.119591218308735	0.192747769860971	0.119808459574631	0.166924465222397	0.322458463755008	0.164817128686066	0.138342892773215	0.202776776413453	0.369921755595907	0.169434748417471	0.243094850185106	0.173421993904824	0.145095250022002	0.131094705068892	0.391292790435615	0.382359556450936	0.173421993904824	0.286769667338202	0.146474950634088	0.200250469728704	0.138342892773215	0.312195270527231	0.224960635332924	0.291998558035373	0.468292905790847	0.205195670417031	0.439297685106979	0.189076047498976	0.412948320967011	0.533113989983183	0.340811458273844	0.314870142843594	0.321246283101618	0.202325659555628	0.356887126487678	0.186080731891197	0.0936585811581694	0.21629522817435	0.231793162486383	0.226294285921414	0.473879102207274	0.218603775400767	0.176604314275339	0.247225693029099	0.533113989983183	0.468615755126535	0.415028678319645
JUN	0.110512418425634	0.0649113483611873	0.0941763218696022	0.0677976922058353	0.0884099347405071	0.0753778361444409	0.122398012272421	0.145749708500875	0.291816229851478	1	0.132614902110761	0.164214165451192	0.0831530749926064	0.168480178858653	0.0884099347405071	0.169977809901022	0.052999894000318	0.161917350720729	0.232699765779077	0.328428330902384	0.290695279147	0.0640989089804472	0.287641247445267	0.278820124830194	0.198307444884526	0.138786300617768	0.15145981284277	0.0749531688995861	0.154717385795887	0.141534629268074	0.180793845882227	0.100973208561847	0.262336091148551	0.152304991509027	0.138786300617768	0.337289260048138	0.217174770882618	0.279205395326019	0.21332045841299	0.274828285965149	0.117596206407571	0.121835259809855	0.0462621002059225	0.082107082725596	0.242472241884843	0.209973595008704	0.222644088072723	0.221426335523419	0.179961073855171	0.198652627817449	0.11422874363177	0.0639202772100593	0.187382922248965	0.262953111423425	0.104381375587932	0.210600223573316	0.120192462032251	0.100560228473099	0.181713922286805	0.248591538088063	0.282666101335029	0.0801283080215004	0.105999788000636	0.118435856783518	0.161917350720729	0.127840554420119	0.288494881605277	0.145517881237061	0.254840774258593	0.324556741805937	0.142213638941993	0.276782919404274	0.101921334607462	0.275599448801654	0.328428330902384	0.295254997192109	0.226307425759186	0.192958209663026	0.160256616043001	0.26983140803851	0.206345234988273	0.18752167304343	0.124921948165977	0.290695279147	0.139410062415097	0.328428330902384	0.174077655955698	0.122398012272421	0.171343115447655	0.328428330902384	0.314938663671583	0.415481801865386
