,TF,index
0,ERCC8,5
1,MYCN,9
2,FOXO1,13
3,EYA2,16
4,ZFP467,27
5,E2F4,35
6,CBFB,43
7,BATF2,45
8,REXO4,49
9,PHB2,51
10,RPA2,54
11,HCFC1,55
12,RAD51,57
13,PHF10,58
14,CREB5,62
15,GFI1B,67
16,MED16,68
17,ORC2,70
18,H1F0,74
19,MXD3,75
20,ZFP36,77
21,PRDM16,78
22,HDAC7,83
23,TOPORS,87
24,MCM5,94
25,WDR5,98
26,TEAD2,102
27,RPA1,109
28,DEK,110
29,KLF6,113
30,XPC,115
31,MCM3,126
32,SRSF1,129
33,SATB1,130
34,CENPK,132
35,MAPK1,136
36,XRCC6,141
37,IRF7,146
38,ATF7,154
39,HDGF,161
40,CBX7,170
41,VDR,172
42,STAT2,179
43,NR3C2,181
44,NFIA,187
45,MCM7,188
46,ELF1,204
47,MLLT3,205
48,MAPK12,209
49,IRF6,212
50,SPI1,215
51,EGR1,225
52,ZBTB20,237
53,SALL2,238
54,HIF3A,241
55,NUPR1,250
56,LMO4,251
57,GTF2F1,256
58,GTF2H1,257
59,RORA,264
60,RNF4,271
61,RPS6KA5,277
62,ZBTB38,283
63,MYB,285
64,RB1,291
65,NFATC2,298
66,MCM2,302
67,GATA2,305
68,E2F8,314
69,TLE2,316
70,ZBTB16,320
71,ZDHHC13,325
72,RORC,326
73,IRF8,334
74,NAP1L3,335
75,PA2G4,337
76,PLAG1,349
77,RELB,356
78,IKZF1,365
79,TSC22D3,367
80,MIS18BP1,371
81,ELP2,375
82,TRIB3,383
83,TLR4,392
84,RUNX1T1,393
85,SNRPB,395
86,TRPS1,397
87,JUN,398
88,LZTS1,403
89,MCM6,404
90,BTG2,407
91,SOX18,409
92,MECOM,416
93,EBF1,417
94,TCF19,420
95,CTR9,421
96,ABL1,430
97,DDX20,448
98,ARID3B,449
99,REL,455
100,RARB,465
101,EPAS1,467
102,IRF9,468
103,RUVBL2,472
104,DDX58,474
105,HNRNPAB,476
106,BTAF1,480
107,MYC,483
108,JARID2,485
109,CSRP3,487
110,HMGB2,501
111,TAF12,502
112,FEM1B,506
113,SMARCA2,521
114,MCM4,522
115,SLA2,528
116,NFAT5,536
117,MEIS1,542
118,HLF,547
119,HDAC11,549
120,MAML3,561
121,NDN,564
122,XRCC3,565
123,TTF2,571
124,NFE2,572
125,PBX1,576
126,YBX1,580
127,POLR1B,588
128,HDAC2,592
129,POLR2B,593
130,ZDHHC6,599
131,APBB1,601
132,NFKBIA,609
133,SPO11,622
134,ZEB2,631
