,Gene,index
0,PTPN7,0
1,MRPL20,1
2,ABL1,2
3,KAT7,3
4,TEK,4
5,CERS6,5
6,RP2,6
7,GTF2F1,7
8,CKAP2,8
9,GRIA3,9
10,VDR,10
11,NPLOC4,11
12,RPA1,12
13,RRM1,13
14,MPI,14
15,HDGFL3,15
16,TYROBP,16
17,NUDT19,17
18,ZHX1,18
19,COLGALT1,19
20,SAMD9L,20
21,WDHD1,21
22,AFAP1L1,22
23,SERP1,23
24,USP42,24
25,IRF8,25
26,SLC39A6,26
27,RCOR1,27
28,SLCO3A1,28
29,TXNDC11,29
30,RACGAP1,30
31,MAPKAPK3,31
32,FES,32
33,HASPIN,33
34,TTLL12,34
35,DOCK11,35
36,TMX4,36
37,NAPRT,37
38,MTMR1,38
39,TENT5A,39
40,ITM2A,40
41,NUP88,41
42,IRF6,42
43,ROBO4,43
44,SZT2,44
45,HAT1,45
46,MCPT8,46
47,MGAT5,47
48,PPP1R15A,48
49,TNIP3,49
50,SLC44A2,50
51,SLC35E1,51
52,ELAC2,52
53,USP37,53
54,CTSF,54
55,WDR5,55
56,ADGRG3,56
57,ADORA2A,57
58,JAM3,58
59,SELENOP,59
60,TSC22D1,60
61,CLTC,61
62,MLKL,62
63,STT3B,63
64,SLC43A3,64
65,DNAJC9,65
66,SH2D5,66
67,CASP12,67
68,CYP2J9,68
69,CAPG,69
70,DPP8,70
71,AHCYL1,71
72,MEIS1,72
73,F13A1,73
74,PFKP,74
75,NUBP2,75
76,PIK3R2,76
77,DDX1,77
78,OTUD4,78
79,NDN,79
80,SGCE,80
81,HMBS,81
82,LY9,82
83,MTFR1,83
84,H1F0,84
85,TPX2,85
86,MORC3,86
87,MYL10,87
88,NPDC1,88
89,RAB37,89
90,CKS2,90
91,PANX1,91
92,MSMO1,92
93,RTP4,93
94,LIG1,94
95,LONP1,95
96,PA2G4,96
97,TUBA4A,97
98,FCGRT,98
99,PBX1,99
100,PLEK,100
101,THEMIS2,101
102,SNAP47,102
103,GPR65,103
104,ARMT1,104
105,SLC35B4,105
106,EIF2S1,106
107,9530068E07RIK,107
108,RANGAP1,108
109,TTF2,109
110,GNG12,110
111,NDRG1,111
112,ARHGEF39,112
113,GM1966,113
114,CAMK2D,114
115,SLA,115
116,ZFP451,116
117,IFITM1,117
118,PARP8,118
119,FCER1G,119
120,HUS1,120
121,CLPTM1L,121
122,IFI27L2A,122
123,NMD3,123
124,PRDM16,124
125,IRF9,125
126,TBC1D9B,126
127,HNRNPAB,127
128,KCTD20,128
129,HK3,129
130,UTP4,130
131,OSGIN1,131
132,IARS,132
133,PADI4,133
134,BYSL,134
135,ELOVL5,135
136,RFC4,136
137,NAV1,137
138,SLA2,138
139,CCR2,139
140,CTSZ,140
141,BUB1B,141
142,LMO4,142
143,MC5R,143
144,FGFR1OP,144
145,METAP1,145
146,MYC,146
147,ADAM17,147
148,CD44,148
149,SGPP1,149
150,H2-OB,150
151,NCAPG,151
152,TRIM47,152
153,PRSS57,153
154,SELL,154
155,RNF4,155
156,DOK2,156
157,CENPA,157
158,DCK,158
159,IGFBP4,159
160,FAR1,160
161,MICU1,161
162,GM8113,162
163,MAML3,163
164,ARFGEF2,164
165,HMGB3,165
166,FARSB,166
167,FAM111A,167
168,TLR4,168
169,CYB5R1,169
170,MAGED1,170
171,SLC35A4,171
172,LZTS1,172
173,ZFAND5,173
174,DLST,174
175,ARL11,175
176,FOXRED1,176
177,MAMDC2,177
178,CD63-PS,178
179,GARS,179
180,FAM102B,180
181,SIGLECG,181
182,NFE2,182
183,ZDHHC13,183
184,PDE4D,184
185,HDGF,185
186,SH3BGRL,186
187,IL21R,187
188,CTLA2B,188
189,EEF1E1,189
190,OTUD6B,190
191,SUPV3L1,191
192,MS4A6C,192
193,NEAT1,193
194,UBE2C,194
195,SMC2,195
196,SDF2L1,196
197,HIF3A,197
198,TGM2,198
199,CSGALNACT1,199
200,FDFT1,200
201,TSPAN2,201
202,CDKN1A,202
203,NCLN,203
204,HCFC1,204
205,TARS,205
206,GLIPR2,206
207,ALDH18A1,207
208,NUP93,208
209,GIMAP6,209
210,TIMM50,210
211,TUBGCP3,211
212,PHB2,212
213,PRTN3,213
214,CCNF,214
215,MKI67,215
216,KRT18,216
217,KIF22,217
218,ELP2,218
219,PRELID3B,219
220,SPPL2B,220
221,MYO5A,221
222,HMGB2,222
223,QARS,223
224,TRPS1,224
225,CST7,225
226,BC035044,226
227,VKORC1L1,227
228,NUDT4,228
229,SERPINB9,229
230,RAD51AP1,230
231,USP10,231
232,PRODH,232
233,CD68,233
234,CALCRL,234
235,SLC16A1,235
236,ATF7,236
237,CDCA5,237
238,RCSD1,238
239,LAX1,239
240,TPM4,240
241,TINAGL1,241
242,ERGIC1,242
243,PLSCR4,243
244,PSAT1,244
245,D1ERTD622E,245
246,SULT1A1,246
247,MCM10,247
248,IFI44,248
249,DDX39,249
250,RPTOR,250
251,RANBP3,251
252,UPP1,252
253,DENND2D,253
254,LRRC59,254
255,TFRC,255
256,ZFP322A,256
257,HYOU1,257
258,AURKB,258
259,PTTG1IP,259
260,PLAA,260
261,B3GNT5,261
262,NCAPH,262
263,NDUFV1,263
264,TRPC6,264
265,NDRG2,265
266,CHRNB1,266
267,ZFP36,267
268,ITCH,268
269,MCM2,269
270,VPS16,270
271,GNL3,271
272,TOR3A,272
273,CDC6,273
274,PROCR,274
275,DTL,275
276,TBC1D5,276
277,CS,277
278,UBE2L6,278
279,CHORDC1,279
280,USP11,280
281,HACD3,281
282,TFG,282
283,FSTL1,283
284,CKAP5,284
285,RGS1,285
286,STT3A,286
287,NWD1,287
288,GT(ROSA)26SOR,288
289,PGLYRP2,289
290,TBC1D10C,290
291,SALL2,291
292,CSF2RB,292
293,SDC4,293
294,CEP55,294
295,ADSL,295
296,NAA50,296
297,MTUS1,297
298,TIE1,298
299,ABITRAM,299
300,PRC1,300
301,TCN2,301
302,CKS1B,302
303,WDR43,303
304,BTK,304
305,CYP4V3,305
306,PTPRE,306
307,ADGRL4,307
308,HSPH1,308
309,ACSS2,309
310,TGTP2,310
311,UBR7,311
312,CCNB1,312
313,GANAB,313
314,UHRF1,314
315,SHISA8,315
316,CD244A,316
317,MYO1F,317
318,SHCBP1,318
319,TGFBR1,319
320,B230219D22RIK,320
321,SF3B3,321
322,ITPR1,322
323,RMND5A,323
324,CDKN1C,324
325,TESPA1,325
326,RAP1B,326
327,MPZL1,327
328,COL4A1,328
329,C030034L19RIK,329
330,KIF13A,330
331,GM19590,331
332,RNF122,332
333,AKNA,333
334,GCLC,334
335,STIP1,335
336,FASTKD2,336
337,SLFN2,337
338,TOP3B,338
339,TMEM229B,339
340,KIF17,340
341,CDC20,341
342,LHCGR,342
343,E2F4,343
344,TCIRG1,344
345,PHKB,345
346,SNX30,346
347,TMEM154,347
348,AI504432,348
349,EYA2,349
350,RUVBL2,350
351,TEX10,351
352,ARHGAP15,352
353,THADA,353
354,GCNT2,354
355,NCF1,355
356,PRKCD,356
357,EPRS,357
358,SPI1,358
359,BACE1,359
360,GBP7,360
361,RB1,361
362,ABCG3,362
363,IRGM2,363
364,TEAD2,364
365,NRROS,365
366,SFXN1,366
367,EDEM1,367
368,ATP6AP2,368
369,HACD4,369
370,KCNK5,370
371,ACOT9,371
372,KIF11,372
373,TSPAN3,373
374,IGTP,374
375,GABBR1,375
376,UBA7,376
377,ARRDC4,377
378,NUDCD1,378
379,IGKC,379
380,MECOM,380
381,RGS19,381
382,FEM1A,382
383,CREB5,383
384,EML4,384
385,RARB,385
386,CASP4,386
387,SLC18A2,387
388,MCM5,388
389,LY6A,389
390,4833439L19RIK,390
391,MTMR4,391
392,MLLT3,392
393,OSTM1,393
394,MFSD1,394
395,TNFRSF21,395
396,DNAJC10,396
397,SVIP,397
398,OBSCN,398
399,API5,399
400,FUT7,400
401,UBASH3A,401
402,IDH3A,402
403,KPNA1,403
404,CDK6,404
405,PLIN3,405
406,TCF19,406
407,MFSD10,407
408,PFKFB3,408
409,CCNA2,409
410,MTHFD1,410
411,PHF10,411
412,PLPPR3,412
413,GMNN,413
414,COPB1,414
415,CD93,415
416,ADA,416
417,HLF,417
418,SYK,418
419,ITGAL,419
420,KLF6,420
421,RRM2,421
422,URB2,422
423,ABCB8,423
424,ELMO2,424
425,CSTF2,425
426,CD53,426
427,CTR9,427
428,GALNS,428
429,THSD1,429
430,STOM,430
431,CDK1,431
432,NUAK2,432
433,PTGS1,433
434,NUP107,434
435,JCHAIN,435
436,GEMIN5,436
437,SMARCA2,437
438,TMEM33,438
439,PCMTD1,439
440,SLC19A1,440
441,GSR,441
442,RPA2,442
443,ARL8B,443
444,DUS1L,444
445,NCAPD2,445
446,NKG7,446
447,NEIL3,447
448,CSF1R,448
449,PDIA4,449
450,CBX5,450
451,ARID5A,451
452,PATL1,452
453,LYN,453
454,BC005561,454
455,RASSF4,455
456,TBC1D2B,456
457,OASL2,457
458,IRF7,458
459,RORA,459
460,SLBP,460
461,DEK,461
462,CYBC1,462
463,NAP1L3,463
464,C1RL,464
465,GMIP,465
466,TSPOAP1,466
467,HEXA,467
468,ATP13A1,468
469,PEAR1,469
470,TOMM40,470
471,SOCS2,471
472,APBB1,472
473,PNO1,473
474,KPNA3,474
475,ST8SIA4,475
476,MIS18BP1,476
477,CDCA7,477
478,SNRPB,478
479,CERK,479
480,PPAT,480
481,TBXAS1,481
482,EIF4ENIF1,482
483,FLT3,483
484,SHMT1,484
485,MYO1G,485
486,IPO9,486
487,ATP10A,487
488,TEC,488
489,SMPDL3A,489
490,ADO,490
491,FIGNL1,491
492,YBX3,492
493,SLC28A2,493
494,EIF1AD,494
495,CCL9,495
