	ELF1	ESR1	FOXO1	GATA2	GFI1B	HMGB2	HOXA9	IKZF1	IRF8	MEF2C	MEIS1	MYC	NDN	NOTCH1	NR3C2	PBX1	PGR	REL	RUNX1T1	RUNX2	SATB1	SPI1	VDR	YBX1	CBFB	HDAC7	HLF	HNF4A	IRF6	MAML3	MCM4	MCM7	MECOM	MYCN	RARB	TEAD2	XRCC6
ELF1	1	0.04076	0.09286	0.04546	0.08083	0.1085	0.09843	0.05642	0.1502	0.05734	0.07261	0.06345	0.092	0.05002	0.05506	0.04952	0.0496	0.06418	0.07075	0.05069	0.06071	0.3068	0.04036	0.06934	0.08716	0.06324	0.08703	0.05827	0.1538	0.0515	0.04374	0.09045	0.04801	0.052	0.05548	0.08487	0.03489
ESR1	0.05456	1	0.04529	0.06868	0.07038	0.1178	0.1138	0.05384	0.06547	0.05991	0.08085	0.0709	0.06074	0.03356	0.3658	0.09189	0.3654	0.05177	0.07038	0.06287	0.07449	0.1171	0.4214	0.06683	0.1591	0.05355	0.06631	0.4104	0.0543	0.03792	0.05665	0.05491	0.04736	0.07204	0.4139	0.06775	0.04427
FOXO1	0.1003	0.06539	1	0.05018	0.08637	0.1025	0.1102	0.06147	0.1413	0.0641	0.09076	0.05129	0.1302	0.0392	0.0502	0.06024	0.04771	0.04304	0.04746	0.05839	0.03782	0.07285	0.08142	0.08412	0.06784	0.05208	0.08016	0.05017	0.09647	0.0519	0.0435	0.08321	0.05701	0.06695	0.06586	0.07017	0.03504
GATA2	0.05846	0.07324	0.06796	1	0.07094	0.07138	0.1048	0.06521	0.05105	0.06626	0.05197	0.0796	0.07814	0.05143	0.06749	0.04778	0.05804	0.05077	0.04857	0.05863	0.04584	0.08423	0.0821	0.06549	0.05306	0.06357	0.07723	0.06398	0.04583	0.0656	0.04485	0.03467	0.07037	0.05583	0.0774	0.06346	0.0434
GFI1B	0.08556	0.06927	0.07737	0.1141	1	0.08128	0.09405	0.2544	0.05764	0.07813	0.07603	0.07875	0.06455	0.07118	0.05753	0.06921	0.07323	0.07967	0.09937	0.06123	0.06109	0.1143	0.06201	0.07892	0.1113	0.07787	0.1104	0.06478	0.06384	0.07322	0.08676	0.07834	0.426	0.09574	0.07479	0.06836	0.06161
HMGB2	0.06779	0.1213	0.0738	0.06553	0.07299	1	0.1308	0.08944	0.05529	0.108	0.1135	0.08992	0.1168	0.06369	0.1116	0.1489	0.07229	0.09538	0.1382	0.1732	0.1546	0.0849	0.1166	0.07226	0.1719	0.08015	0.1497	0.08671	0.08359	0.122	0.1448	0.141	0.1134	0.1339	0.0674	0.1331	0.1174
HOXA9	0.08732	0.0739	0.08028	0.1084	0.1015	0.1266	1	0.09289	0.06507	0.0938	0.2072	0.1097	0.08504	0.07892	0.09701	0.2237	0.1017	0.1404	0.1087	0.08584	0.1798	0.0837	0.05823	0.09491	0.1144	0.08991	0.09972	0.0788	0.08428	0.1001	0.0777	0.06022	0.08465	0.1127	0.09821	0.1333	0.1176
IKZF1	0.04477	0.058	0.06402	0.06089	0.2486	0.1085	0.1164	1	0.05739	0.06322	0.09483	0.06369	0.1025	0.06393	0.07013	0.06127	0.05526	0.046	0.0538	0.06887	0.06329	0.09077	0.06218	0.07323	0.1372	0.05324	0.0933	0.05975	0.05319	0.06155	0.05959	0.04991	0.1436	0.0532	0.07655	0.06212	0.0521
IRF8	0.1542	0.05003	0.1464	0.0947	0.05718	0.1241	0.05256	0.06829	1	0.06442	0.07428	0.05063	0.06472	0.03805	0.05026	0.0827	0.07347	0.04357	0.07435	0.07888	0.06954	0.2454	0.07639	0.0836	0.1407	0.05826	0.06558	0.05988	0.4039	0.04749	0.04723	0.07421	0.07897	0.04644	0.05309	0.08702	0.04846
MEF2C	0.07412	0.05089	0.08695	0.06899	0.0872	0.07592	0.1024	0.06314	0.06611	1	0.06238	0.07242	0.07243	0.05908	0.0755	0.05084	0.05302	0.05789	0.05836	0.05397	0.05793	0.06911	0.0559	0.06625	0.1502	0.08229	0.08808	0.06708	0.0517	0.05999	0.06919	0.04895	0.05611	0.0711	0.03894	0.05947	0.05683
