	ELF1	ESR1	FOXO1	GATA2	GFI1B	HMGB2	HOXA9	IKZF1	IRF8	MEF2C	MEIS1	MYC	NDN	NOTCH1	NR3C2	PBX1	PGR	REL	RUNX1T1	RUNX2	SATB1	SPI1	VDR	YBX1	CBFB	HDAC7	HLF	HNF4A	IRF6	MAML3	MCM4	MCM7	MECOM	MYCN	RARB	TEAD2	XRCC6
ELF1	1	0.282609247546289	0.421637021355784	0.311751110695825	0.365148371670111	0.170996392014192	0.471404520791032	0.335410196624968	0.424476359978009	0.270707300876965	0.431516971336846	0.267182392156493	0.185495558304067	0.105409255338946	0.311399577664609	0.438178046004133	0.368855556781659	0.55048188256318	0.138013111868471	0.3626387311293	0.397523195999963	0.282267243490929	0.29277002188456	0.19346033336267	0.288675134594813	0.0463738895760168	0.733333333333333	0.390195146371982	0.612825877028341	0.195180014589707	0.107676380411633	0.0993807989999907	0.36291502734548	0.502079011046402	0.354374653931171	0.456435464587638	0.136797113611354
ESR1	0.282609247546289	1	0.216651856987303	0.240282945860364	0.257985766401107	0.197693843237432	0.254335346829466	0.22979399584857	0.196299727682028	0.147792565034562	0.203251144288266	0.215292017419113	0.178713955075539	0.121866669555358	0.345017251293858	0.225151214313693	0.398014876083996	0.254571170103892	0.132967437602285	0.209628529640985	0.191494996540475	0.321860342910192	0.22565322433338	0.0635000635000953	0.177997663795994	0.142971164060431	0.256917497769354	0.26604266479565	0.236168536341647	0.0752177414444602	0.0622438790044902	0.0574484989621426	0.170938571335579	0.228669202037345	0.227612623402193	0.228669202037345	0.118616305942459
FOXO1	0.421637021355784	0.216651856987303	1	0.209118333642503	0.224525104684854	0.162221421130763	0.273297197249974	0.255344115428476	0.335578027607012	0.202123306251819	0.277969282645598	0.204825432704685	0.195529486695138	0.138888888888889	0.246182981958665	0.288675134594813	0.291605921759902	0.348155311911396	0.181848241863327	0.254836524035998	0.261891400439462	0.235209128549336	0.205737799949456	0.219116414265911	0.213003216807565	0.0733235575106767	0.386500602909469	0.268928098796541	0.347832796499967	0.154303349962092	0.113500870767833	0.130945700219731	0.255030685225335	0.288675134594813	0.269781549424699	0.288675134594813	0.1441968187829
GATA2	0.311751110695825	0.240282945860364	0.209118333642503	1	0.310460210282533	0.174463576806774	0.300601806021076	0.237646593946679	0.270676997769406	0.210983254304656	0.32612338205663	0.185863553954972	0.197142430671938	0.134433214484466	0.231666187312523	0.263891178740153	0.235209128549336	0.280821826320545	0.176014394654657	0.218397893475571	0.232365558525642	0.157134840263677	0.207434953411256	0.175829549662027	0.245440346836908	0.137999701470356	0.340092120759081	0.267956556887548	0.260521565218266	0.124460972046753	0.0915497214246348	0.084496566736597	0.171422974035089	0.271652683997216	0.251083390830662	0.271652683997216	0.101770419803951
GFI1B	0.365148371670111	0.257985766401107	0.224525104684854	0.310460210282533	1	0.187317162316339	0.430331482911935	0.340206908719886	0.309993703316851	0.205934021071738	0.393919298579168	0.177384028063397	0.211666878333651	0.128300059819917	0.248734169081546	0.333333333333333	0.26937401188059	0.251259453814803	0.314970394174356	0.24828176658071	0.31752644813856	0.348155311911396	0.296956935458249	0.447213595499958	0.316227766016838	0.169333502666921	0.426006433615129	0.273998312175596	0.301232038038355	0.17817416127495	0.196589274873196	0.181443684650606	0.294484069532924	0.333333333333333	0.287554061875836	0.333333333333333	0.156097635263616
HMGB2	0.170996392014192	0.197693843237432	0.162221421130763	0.174463576806774	0.187317162316339	1	0.19346033336267	0.267651689515655	0.239526955970138	0.162014901096515	0.147575690382985	0.224282741245272	0.190314427227923	0.153209119956831	0.179712689361946	0.168585446084705	0.151375126521719	0.254152122626207	0.176998081351197	0.24803965851086	0.178434459677104	0.314970394174356	0.183562930584645	0.120482899335375	0.266556994991592	0.166525123824432	0.170996392014192	0.215563262528035	0.217642875033004	0.200250469728704	0.138092044166527	0.127453185483645	0.186171480851427	0.234146452895423	0.141392503568186	0.163902517026796	0.298245614035088
HOXA9	0.471404520791032	0.254335346829466	0.273297197249974	0.300601806021076	0.430331482911935	0.19346033336267	1	0.289875452182101	0.330165123853215	0.207370548847376	0.474644452534567	0.223276750636136	0.196747750735186	0.124225998749988	0.247716847153431	0.438938112570174	0.286902292026516	0.350324524872685	0.243975018237133	0.320530382378016	0.281091347570523	0.163902517026796	0.230021853114118	0.207370548847376	0.285773803324704	0.0655825835783953	0.518544972870135	0.254685815986805	0.366666666666667	0.207019667802706	0.152277397525376	0.140545673785261	0.285132974256101	0.419573195839137	0.250580720875367	0.387298334620742	0.145095250022002
IKZF1	0.335410196624968	0.22979399584857	0.255344115428476	0.237646593946679	0.340206908719886	0.267651689515655	0.289875452182101	1	0.355934248407187	0.226994972537393	0.321633760451339	0.203672042472588	0.259237923682606	0.157134840263677	0.261116483933547	0.347011046894284	0.268055482123755	0.307728727448332	0.270030862433661	0.337868689199743	0.333333333333333	0.210558721903079	0.309142011167656	0.118107719071499	0.322748612183951	0.233314131314346	0.335410196624968	0.302020224846311	0.316227766016838	0.163663417676994	0.150482316357212	0.166666666666667	0.315584372133601	0.280670699693906	0.264135271897687	0.306186217847897	0.229415733870562
IRF8	0.424476359978009	0.196299727682028	0.335578027607012	0.270676997769406	0.309993703316851	0.239526955970138	0.330165123853215	0.355934248407187	1	0.229817699391451	0.274753129892699	0.201049625529064	0.236215438142997	0.111859342535671	0.247840798548305	0.325493388482694	0.23485569615051	0.38554980047803	0.175749910065499	0.269380245009416	0.348024598442583	0.124225998749988	0.227835580867107	0.288675134594813	0.294085848837523	0.118107719071499	0.424476359978009	0.267553917205721	0.420210157631365	0.18641092980036	0.137118234038212	0.126554399433667	0.282422891279703	0.348742916231458	0.30084732633834	0.348742916231458	0.195976600339204
MEF2C	0.270707300876965	0.147792565034562	0.202123306251819	0.210983254304656	0.205934021071738	0.162014901096515	0.207370548847376	0.226994972537393	0.229817699391451	1	0.194691324322	0.180820560556338	0.203998445272211	0.148620078126338	0.131715842443458	0.234764784021782	0.13729635176102	0.242156629991817	0.116753615623576	0.286326110284259	0.201773308922127	0.269380245009416	0.187129819560417	0.116753615623576	0.175829549662027	0.125537504782899	0.270707300876965	0.213288670450258	0.255225290889079	0.132091637336765	0.0728719557735862	0.100886654461064	0.191029509028526	0.247120825286086	0.199857929301908	0.231675773705706	0.104152436419188
MEIS1	0.431516971336846	0.203251144288266	0.277969282645598	0.32612338205663	0.393919298579168	0.147575690382985	0.474644452534567	0.321633760451339	0.274753129892699	0.194691324322	1	0.209624975741642	0.200111203789521	0.138984641322799	0.223957004382342	0.446441871723057	0.265279054538646	0.356313412109203	0.198516666794186	0.304275935729018	0.321633760451338	0.244948974278318	0.257349548992652	0.105409255338946	0.33218191941496	0.100055601894761	0.479463301485384	0.259039735065807	0.339031751810405	0.210558721903079	0.154880618532473	0.142948337978373	0.232005916226297	0.328266082149306	0.22654618871544	0.328266082149306	0.147575690382985
MYC	0.267182392156493	0.215292017419113	0.204825432704685	0.185863553954972	0.177384028063397	0.224282741245272	0.223276750636136	0.203672042472588	0.201049625529064	0.180820560556338	0.209624975741642	1	0.135166764551141	0.108813511124364	0.156000907644285	0.212860833676077	0.188144173676719	0.240674835636066	0.150850936546281	0.242226709179304	0.271562723296784	0.221186977601904	0.165927564724782	0.125092558324419	0.189316422860252	0.0675833822755704	0.291471700534356	0.207777501366594	0.223276750636136	0.106667720180217	0.0784615442649073	0.126729270871833	0.132224325212324	0.315965299987926	0.172150305012654	0.199557031571322	0.137061675205444
NDN	0.185495558304067	0.178713955075539	0.195529486695138	0.197142430671938	0.211666878333651	0.190314427227923	0.196747750735186	0.259237923682606	0.236215438142997	0.203998445272211	0.200111203789521	0.135166764551141	1	0.122205929184461	0.189535626375859	0.228600228600343	0.153947401737236	0.229751874320245	0.192006144294928	0.210212105917213	0.172825282455071	0.192450089729875	0.203653269990639	0.273998312175596	0.281126765115875	0.161290322580645	0.231869447880084	0.187908230398348	0.196747750735186	0.203653269990639	0.149801177254628	0.172825282455071	0.168297814035964	0.190500190500286	0.219116414265911	0.222250222250333	0.166525123824432
