	ELF1	ESR1	FOXO1	GATA2	GFI1B	HMGB2	HOXA9	IKZF1	IRF8	MEF2C	MEIS1	MYC	NDN	NOTCH1	NR3C2	PBX1	PGR	REL	RUNX1T1	RUNX2	SATB1	SPI1	VDR	YBX1	CBFB	HDAC7	HLF	HNF4A	IRF6	MAML3	MCM4	MCM7	MECOM	MYCN	RARB
ELF1	1	0.0562287003133207	0.120177107761485	0.169371655265484	0.00692835661150742	0.164208210176994	0.12079813844106	0.138260052670637	0.0999085566404194	0.178121714055063	0.0433493638951488	0.103113607671273	0.170839930549337	0.135076603213786	0.106351181987073	0.0497760201842506	0.0540814968856831	0.0515116072680826	0.0387056376417658	0.0994910744131189	0.244748735547446	0.119862513778257	0.0925418235427554	0.131576991536299	0.162751275660799	0.126527061513087	0.149158141538036	0.123331518992451	0.0791262107647019	0.157312070801213	0.061627151606577	0.116555958588061	0.181696552786572	0.0266653124768495	0.0326344678597776
ESR1	0.0562287003133207	1	0.0847660743325034	0.148568264877829	0.0239017795265462	0.0602065114755087	0.0809693363257581	0.100667580895746	0.0751155782744239	0.0693546350397513	0.0111237321069014	0.0789990437081938	0.0947582097269975	0.110427949279663	0.0309027635843161	0.0347184871087714	0.0531159226041346	0.0364751045945352	0.0407144892314587	0.0815197861331322	0.204287137793912	0.0555977590201585	0.0231552238119095	0.0466373956740402	0.0394155107609652	0.0712372449165973	0.0938074058394818	0.0539005987627111	0.0483660321182549	0.150396369214677	0.0665629944521036	0.0880100391696734	0.114750999002207	0.077104750255601	0.044456375771011
FOXO1	0.120177107761485	0.0847660743325034	1	0.0925347128147684	0.0136559756572257	0.0987062992305669	0.114465722561361	0.0347112979688132	0.0141104225532258	0.0374613245388599	0.0101859292018464	0.113835408644906	0.0492522298242642	0.0931108074925073	0.0719261127088003	0.0952212563323404	0.0283645231234529	0.0458483177972408	0.057753426257219	0.0333846392546126	0.095520360378111	0.117463910401937	0.0990871271418919	0.105296052902124	0.0970572189676601	0.0600015335010751	0.0839038956760814	0.000916525081349602	0.0886642399779188	0.0228730287774285	0.0329487175387306	0.100010968490185	0.134675507010759	0.0705905045844428	0.111630915156228
GATA2	0.169371655265484	0.148568264877829	0.0925347128147684	1	0.259604007301966	0.144157802206734	0.102811221913125	0.244706054030324	0.233167608735332	0.200278820798357	0.176748819010887	0.0745317219780545	0.263414695997457	0.225441058679683	0.0567568372994362	0.214535156976676	0.138826464558417	0.121472523765863	0.22097070376585	0.148786464171148	0.34361483393438	0.0948604975572039	0.165830876355792	0.135093096693893	0.0877339012450345	0.0829684970385053	0.251551506985622	0.106022560880061	0.112652341066446	0.146617602248062	0.129446234547313	0.142720777105052	0.269269467851017	0.157216679517345	0.0975846656409581
GFI1B	0.00692835661150742	0.0239017795265462	0.0136559756572257	0.259604007301966	1	0.00309009895419524	0.0549258888252644	0.114701510612959	0.066973730286864	0.101745649752092	0.0627795607488296	0.0817686211190273	0.0274635033143274	0.0882992816218003	0.0158291579422809	0.0970252965628191	0.050043875542187	0.0773085590778295	0.0830107423686239	0.00537885559543406	0.167756715593808	0.0169657033405676	0.0551011449601233	0.00217116955971854	0.0125054720339429	0.0353150456551121	0.0939436577851348	0.00575652695332125	0.121356567155356	0.0426336195884005	0.0222134200300525	0.0370216781821698	0.14653246232192	0.0859919428317177	0.0593016480531928
HMGB2	0.164208210176994	0.0602065114755087	0.0987062992305669	0.144157802206734	0.00309009895419524	1	0.0584571012793417	0.180929414781832	0.130972921747246	0.0969156757520118	0.139750723284894	0.129853484889048	0.149833678175815	0.143367414589467	0.0425450152271128	0.129206988449714	0.0282004162398845	0.0849712201227115	0.107000673511862	0.0965151787915879	0.180104744109866	0.0788745238649859	0.134276549380467	0.268844461229719	0.160538322023298	0.112521727632441	0.211002535104767	0.130557932690618	0.0921304885961543	0.106889228959627	0.317394478868919	0.344871049658447	0.16135609767198	0.121081227924036	0.124501035367318
HOXA9	0.12079813844106	0.0809693363257581	0.114465722561361	0.102811221913125	0.0549258888252644	0.0584571012793417	1	0.135031341199368	0.0492280976091537	0.182467836428812	0.0306650192864377	0.109837129186567	0.0745090561843805	0.127497743011766	0.0666133029346562	0.153211428752017	0.14018323076014	0.0644822412489161	0.102036386459607	0.145423615664957	0.223584635376205	0.119229991024459	0.0187964748518615	0.0770019845695485	0.080176233475892	0.0620535895466646	0.0204124677227943	0.107121929238181	0.00774869371064585	0.0425333150739407	0.0627808219862296	0.0490400532984556	0.08202027343114	0.0483796367580112	0.085777306231426
IKZF1	0.138260052670637	0.100667580895746	0.0347112979688132	0.244706054030324	0.114701510612959	0.180929414781832	0.135031341199368	1	0.147343640425724	0.232171337936593	0.0984149452399479	0.0953647387190902	0.120506257368406	0.218044594468263	0.00436797970643505	0.129506483265934	0.104674068022888	0.128683325485993	0.104294573436276	0.134849968582794	0.307247291918493	0.124016138233175	0.0535667873476295	0.0429437513289951	0.120222230020932	0.181007986571736	0.148539920603574	0.0972301940874997	0.0810730760729582	0.134386561947207	0.163604012576171	0.143467118163494	0.125978536820817	0.0758431234910699	0.0763406435769181
IRF8	0.0999085566404194	0.0751155782744239	0.0141104225532258	0.233167608735332	0.066973730286864	0.130972921747246	0.0492280976091537	0.147343640425724	1	0.146067507893362	0.193435852606579	0.075864363780997	0.126941241275884	0.188446913553871	0.0708874838903081	0.0963884785343544	0.0746891646378536	0.0837616708244103	0.00830861033263452	0.0329582287540164	0.284416304783773	0.0944589821043453	0.0258304076047001	0.125959191086619	0.070070216199289	0.15305148883843	0.354078055179728	0.00228652467141644	0.0812153048415151	0.149962727798936	0.14127976323365	0.154104800523472	0.197622358966842	0.147842963033479	0.0196015323966304
MEF2C	0.178121714055063	0.0693546350397513	0.0374613245388599	0.200278820798357	0.101745649752092	0.0969156757520118	0.182467836428812	0.232171337936593	0.146067507893362	1	0.0166541699083292	0.0765858470427903	0.0790497288784021	0.223799237050895	0.0336121798718459	0.0761052886778232	0.160857039325449	0.146412594508258	0.0501105468806694	0.126483371325919	0.29920324960631	0.138077264051969	0.0824595198208964	0.0651414207390691	0.0693362243392293	0.0711251083998211	0.127700013981172	0.0711375435928486	0.0437778978832568	0.129337084136334	0.0734551868029792	0.0679392978643503	0.112626313457	0.0779363366097335	0.0277615394874446
MEIS1	0.0433493638951488	0.0111237321069014	0.0101859292018464	0.176748819010887	0.0627795607488296	0.139750723284894	0.0306650192864377	0.0984149452399479	0.193435852606579	0.0166541699083292	1	0.0125293816850845	0.16406125766774	0.11818360279792	0.0184757821493229	0.0897673756758403	0.0542316478542742	0.0618277555391937	0.0940149443951643	0.0234477905121989	0.192898035211438	0.0179938381010559	0.133887251547685	0.0289338160185173	0.0121486611600116	0.0428799877651205	0.200314000198159	0.00142113347238168	0.0958600480374279	0.0292923703270285	0.0552844061584886	0.02699387355474	0.178115095343964	0.155366564421375	0.00922669501205393
MYC	0.103113607671273	0.0789990437081938	0.113835408644906	0.0745317219780545	0.0817686211190273	0.129853484889048	0.109837129186567	0.0953647387190902	0.075864363780997	0.0765858470427903	0.0125293816850845	1	0.141418815113074	0.0230755639476272	0.0994635907441919	0.0818806851480603	0.0398501387238897	0.0566305861630375	0.145546458058569	0.0354739507814673	0.169408776794732	0.108347399114647	0.0345088938962348	0.295294950981994	0.14324978310568	0.139336084215819	0.0422942753299006	0.137258529884227	0.0738589698204043	0.12392533369871	0.19080154179192	0.197273338970001	0.123668355517746	0.0194525977144639	0.0761679888175467
NDN	0.170839930549337	0.0947582097269975	0.0492522298242642	0.263414695997457	0.0274635033143274	0.149833678175815	0.0745090561843805	0.120506257368406	0.126941241275884	0.0790497288784021	0.16406125766774	0.141418815113074	1	0.112695212596117	0.10834530761587	0.134910667185646	0.0882917779122074	0.0845299961903661	0.205861756857607	0.0925067052850772	0.268507987379542	0.0513914904658504	0.189262698332805	0.108159330449979	0.133463333182139	0.0561182309689116	0.196624621706793	0.0657749298699181	0.130431621727537	0.0959403236479063	0.0164457927470961	0.0677606487584759	0.237730817544195	0.140093728530695	0.0993953989526222
NOTCH1	0.135076603213786	0.110427949279663	0.0931108074925073	0.225441058679683	0.0882992816218003	0.143367414589467	0.127497743011766	0.218044594468263	0.188446913553871	0.223799237050895	0.11818360279792	0.0230755639476272	0.112695212596117	1	0.0294587987483078	0.117302431289756	0.0854015283756501	0.175636787589611	0.0970417848082334	0.105041209258652	0.319554567573528	0.0845911817979121	0.0464835048585083	0.063854257249386	0.0622435003003202	0.11148911495169	0.269086257794286	0.0826221677879421	0.111391128468266	0.175771164306891	0.100295187693184	0.127723033535071	0.188255525062227	0.0765096913013307	0.0447857237340924
NR3C2	0.106351181987073	0.0309027635843161	0.0719261127088003	0.0567568372994362	0.0158291579422809	0.0425450152271128	0.0666133029346562	0.00436797970643505	0.0708874838903081	0.0336121798718459	0.0184757821493229	0.0994635907441919	0.10834530761587	0.0294587987483078	1	0.0152727483481984	0.0640547515616169	0.0534733937726459	0.0688556158512957	0.00196869481954773	0.0954172784153602	0.0758705925319906	0.0755643030453934	0.0883652797604703	0.0566125222293878	0.0978762620970264	0.0566645406275841	0.0542715561218912	0.0699478364756517	0.0440064002877951	0.0156281565681276	0.0749639482829134	0.103618806122364	0.000829992470012458	0.0170281911185502
PBX1	0.0497760201842506	0.0347184871087714	0.0952212563323404	0.214535156976676	0.0970252965628191	0.129206988449714	0.153211428752017	0.129506483265934	0.0963884785343544	0.0761052886778232	0.0897673756758403	0.0818806851480603	0.134910667185646	0.117302431289756	0.0152727483481984	1	0.0763601860535171	0.119662868928343	0.141470929682587	0.0489363847374	0.168248445135607	0.0958050090832159	0.116769182649329	0.123815817933269	0.0886069104552519	0.0417330316877423	0.12724478495674	0.0389612294835073	0.106173842849669	0.104645024243111	0.127886120094027	0.100825175741115	0.200809122138197	0.131418796635817	0.0411526625742863
PGR	0.0540814968856831	0.0531159226041346	0.0283645231234529	0.138826464558417	0.050043875542187	0.0282004162398845	0.14018323076014	0.104674068022888	0.0746891646378536	0.160857039325449	0.0542316478542742	0.0398501387238897	0.0882917779122074	0.0854015283756501	0.0640547515616169	0.0763601860535171	1	0.00433226935300151	0.074747884598812	0.072514708114312	0.185783851063482	0.0693443278814102	0.0339626088799152	0.00904651799021761	0.0353900920434184	0.00905216924005675	0.0680188009079692	0.101888069069871	0.00601307322449593	0.136063039810097	0.00138899661940223	0.0462451458202074	0.136457114627488	0.0212038088702027	0.0316590858451066
REL	0.0515116072680826	0.0364751045945352	0.0458483177972408	0.121472523765863	0.0773085590778295	0.0849712201227115	0.0644822412489161	0.128683325485993	0.0837616708244103	0.146412594508258	0.0618277555391937	0.0566305861630375	0.0845299961903661	0.175636787589611	0.0534733937726459	0.119662868928343	0.00433226935300151	1	0.0856204475042316	0.0771769628119087	0.119407066299487	0.0345801428058053	0.0449830973903371	0.0431754700336337	0.00578272627691003	0.0727806850090899	0.126286546222302	0.010922496714602	0.0556980661835271	0.116401585961723	0.0285958324607942	0.0502672411575919	0.077268376032522	0.0475770648503992	0.029809549156379
RUNX1T1	0.0387056376417658	0.0407144892314587	0.057753426257219	0.22097070376585	0.0830107423686239	0.107000673511862	0.102036386459607	0.104294573436276	0.00830861033263452	0.0501105468806694	0.0940149443951643	0.145546458058569	0.205861756857607	0.0970417848082334	0.0688556158512957	0.141470929682587	0.074747884598812	0.0856204475042316	1	0.0501501260064104	0.192304542158779	0.0669305893910757	0.053239760612818	0.094900633456999	0.0630580066504546	0.0643228933807298	0.0923816667867767	0.085054957662383	0.059518374513049	0.101056386901653	0.0483307769767137	0.129299435713956	0.203699195424539	0.135462695838907	0.162926099117263
RUNX2	0.0994910744131189	0.0815197861331322	0.0333846392546126	0.148786464171148	0.00537885559543406	0.0965151787915879	0.145423615664957	0.134849968582794	0.0329582287540164	0.126483371325919	0.0234477905121989	0.0354739507814673	0.0925067052850772	0.105041209258652	0.00196869481954773	0.0489363847374	0.072514708114312	0.0771769628119087	0.0501501260064104	1	0.247446564546045	0.141747022094381	0.0448496440373813	0.0885233533237209	0.0661454776407418	0.0695800041774229	0.0299928602029874	0.12378117185885	0.0315926860209672	0.149936584225097	0.0366824068691771	0.106082869352015	0.082904999038129	0.0570405136919675	0.062387315291006
SATB1	0.244748735547446	0.204287137793912	0.095520360378111	0.34361483393438	0.167756715593808	0.180104744109866	0.223584635376205	0.307247291918493	0.284416304783773	0.29920324960631	0.192898035211438	0.169408776794732	0.268507987379542	0.319554567573528	0.0954172784153602	0.168248445135607	0.185783851063482	0.119407066299487	0.192304542158779	0.247446564546045	1	0.172079035911767	0.113877742687431	0.16448688340312	0.151676559586126	0.197593476123331	0.267827295133398	0.146320275968971	0.156867214857422	0.255673198494824	0.164205708036586	0.224390135201701	0.314830297865116	0.164088041175545	0.104853112234609
SPI1	0.119862513778257	0.0555977590201585	0.117463910401937	0.0948604975572039	0.0169657033405676	0.0788745238649859	0.119229991024459	0.124016138233175	0.0944589821043453	0.138077264051969	0.0179938381010559	0.108347399114647	0.0513914904658504	0.0845911817979121	0.0758705925319906	0.0958050090832159	0.0693443278814102	0.0345801428058053	0.0669305893910757	0.141747022094381	0.172079035911767	1	0.0375962375373952	0.118848637957827	0.0471063777838567	0.0991538521263431	0.0619434002820577	0.113614604736493	0.0573087113283259	0.076683758999808	0.101998091689325	0.0642338025994496	0.149028742618008	0.0482231806678208	0.0988691992856658
VDR	0.0925418235427554	0.0231552238119095	0.0990871271418919	0.165830876355792	0.0551011449601233	0.134276549380467	0.0187964748518615	0.0535667873476295	0.0258304076047001	0.0824595198208964	0.133887251547685	0.0345088938962348	0.189262698332805	0.0464835048585083	0.0755643030453934	0.116769182649329	0.0339626088799152	0.0449830973903371	0.053239760612818	0.0448496440373813	0.113877742687431	0.0375962375373952	1	0.112158569771778	0.0458840105328764	0.0162778826805992	0.0990681123476558	0.0608026345122068	0.10947090496275	0.0461297338878719	0.0567966549462082	0.104120864971268	0.170276460167137	0.0913806608698229	0.0771834192012034
YBX1	0.131576991536299	0.0466373956740402	0.105296052902124	0.135093096693893	0.00217116955971854	0.268844461229719	0.0770019845695485	0.0429437513289951	0.125959191086619	0.0651414207390691	0.0289338160185173	0.295294950981994	0.108159330449979	0.063854257249386	0.0883652797604703	0.123815817933269	0.00904651799021761	0.0431754700336337	0.094900633456999	0.0885233533237209	0.16448688340312	0.118848637957827	0.112158569771778	1	0.18441073425691	0.122265209940553	0.116292343661004	0.0882693673209207	0.0970690547327657	0.102736812368041	0.328453987687478	0.349453355774949	0.140682145329854	0.0357405552495768	0.0644172179152755
CBFB	0.162751275660799	0.0394155107609652	0.0970572189676601	0.0877339012450345	0.0125054720339429	0.160538322023298	0.080176233475892	0.120222230020932	0.070070216199289	0.0693362243392293	0.0121486611600116	0.14324978310568	0.133463333182139	0.0622435003003202	0.0566125222293878	0.0886069104552519	0.0353900920434184	0.00578272627691003	0.0630580066504546	0.0661454776407418	0.151676559586126	0.0471063777838567	0.0458840105328764	0.18441073425691	1	0.0716461850504934	0.111068708353411	0.0496040972369158	0.0874209045558436	0.072480874877911	0.236455929488823	0.135256208821022	0.104011112963757	0.0613259400372497	0.0146942567307021
HDAC7	0.126527061513087	0.0712372449165973	0.0600015335010751	0.0829684970385053	0.0353150456551121	0.112521727632441	0.0620535895466646	0.181007986571736	0.15305148883843	0.0711251083998211	0.0428799877651205	0.139336084215819	0.0561182309689116	0.11148911495169	0.0978762620970264	0.0417330316877423	0.00905216924005675	0.0727806850090899	0.0643228933807298	0.0695800041774229	0.197593476123331	0.0991538521263431	0.0162778826805992	0.122265209940553	0.0716461850504934	1	0.207401430151976	0.0997774931487791	0.0563952682226357	0.0738329579688589	0.0915660861417652	0.176844031898919	0.129830030216862	0.0992980964387101	0.0400144811294058
HLF	0.149158141538036	0.0938074058394818	0.0839038956760814	0.251551506985622	0.0939436577851348	0.211002535104767	0.0204124677227943	0.148539920603574	0.354078055179728	0.127700013981172	0.200314000198159	0.0422942753299006	0.196624621706793	0.269086257794286	0.0566645406275841	0.12724478495674	0.0680188009079692	0.126286546222302	0.0923816667867767	0.0299928602029874	0.267827295133398	0.0619434002820577	0.0990681123476558	0.116292343661004	0.111068708353411	0.207401430151976	1	0.00918301137769823	0.0733570033588945	0.147698904237115	0.15169271840212	0.184267909668213	0.282372462168142	0.123060165952079	0.0570055706835663
HNF4A	0.123331518992451	0.0539005987627111	0.000916525081349602	0.106022560880061	0.00575652695332125	0.130557932690618	0.107121929238181	0.0972301940874997	0.00228652467141644	0.0711375435928486	0.00142113347238168	0.137258529884227	0.0657749298699181	0.0826221677879421	0.0542715561218912	0.0389612294835073	0.101888069069871	0.010922496714602	0.085054957662383	0.12378117185885	0.146320275968971	0.113614604736493	0.0608026345122068	0.0882693673209207	0.0496040972369158	0.0997774931487791	0.00918301137769823	1	0.0593800413170542	0.0500440903493644	0.0519639982800413	0.068987842190098	0.130905667609283	0.0859313608344457	0.0848754885664698
IRF6	0.0791262107647019	0.0483660321182549	0.0886642399779188	0.112652341066446	0.121356567155356	0.0921304885961543	0.00774869371064585	0.0810730760729582	0.0812153048415151	0.0437778978832568	0.0958600480374279	0.0738589698204043	0.130431621727537	0.111391128468266	0.0699478364756517	0.106173842849669	0.00601307322449593	0.0556980661835271	0.059518374513049	0.0315926860209672	0.156867214857422	0.0573087113283259	0.10947090496275	0.0970690547327657	0.0874209045558436	0.0563952682226357	0.0733570033588945	0.0593800413170542	1	0.0324237253107656	0.0293085303628589	0.0925667282917566	0.125849133385003	0.0541170598909542	0.0142684030350459
MAML3	0.157312070801213	0.150396369214677	0.0228730287774285	0.146617602248062	0.0426336195884005	0.106889228959627	0.0425333150739407	0.134386561947207	0.149962727798936	0.129337084136334	0.0292923703270285	0.12392533369871	0.0959403236479063	0.175771164306891	0.0440064002877951	0.104645024243111	0.136063039810097	0.116401585961723	0.101056386901653	0.149936584225097	0.255673198494824	0.076683758999808	0.0461297338878719	0.102736812368041	0.072480874877911	0.0738329579688589	0.147698904237115	0.0500440903493644	0.0324237253107656	1	0.0681589817166402	0.0868917798408295	0.124282945069859	0.0171745523044306	0.0762112670478439
MCM4	0.061627151606577	0.0665629944521036	0.0329487175387306	0.129446234547313	0.0222134200300525	0.317394478868919	0.0627808219862296	0.163604012576171	0.14127976323365	0.0734551868029792	0.0552844061584886	0.19080154179192	0.0164457927470961	0.100295187693184	0.0156281565681276	0.127886120094027	0.00138899661940223	0.0285958324607942	0.0483307769767137	0.0366824068691771	0.164205708036586	0.101998091689325	0.0567966549462082	0.328453987687478	0.236455929488823	0.0915660861417652	0.15169271840212	0.0519639982800413	0.0293085303628589	0.0681589817166402	1	0.411778693647326	0.085143984552172	0.07068361022844	0.0486529644863884
MCM7	0.116555958588061	0.0880100391696734	0.100010968490185	0.142720777105052	0.0370216781821698	0.344871049658447	0.0490400532984556	0.143467118163494	0.154104800523472	0.0679392978643503	0.02699387355474	0.197273338970001	0.0677606487584759	0.127723033535071	0.0749639482829134	0.100825175741115	0.0462451458202074	0.0502672411575919	0.129299435713956	0.106082869352015	0.224390135201701	0.0642338025994496	0.104120864971268	0.349453355774949	0.135256208821022	0.176844031898919	0.184267909668213	0.068987842190098	0.0925667282917566	0.0868917798408295	0.411778693647326	1	0.153463891226442	0.0369734131039383	0.0694004400442272
MECOM	0.181696552786572	0.114750999002207	0.134675507010759	0.269269467851017	0.14653246232192	0.16135609767198	0.08202027343114	0.125978536820817	0.197622358966842	0.112626313457	0.178115095343964	0.123668355517746	0.237730817544195	0.188255525062227	0.103618806122364	0.200809122138197	0.136457114627488	0.077268376032522	0.203699195424539	0.082904999038129	0.314830297865116	0.149028742618008	0.170276460167137	0.140682145329854	0.104011112963757	0.129830030216862	0.282372462168142	0.130905667609283	0.125849133385003	0.124282945069859	0.085143984552172	0.153463891226442	1	0.161052982680639	0.152567953807766
MYCN	0.0266653124768495	0.077104750255601	0.0705905045844428	0.157216679517345	0.0859919428317177	0.121081227924036	0.0483796367580112	0.0758431234910699	0.147842963033479	0.0779363366097335	0.155366564421375	0.0194525977144639	0.140093728530695	0.0765096913013307	0.000829992470012458	0.131418796635817	0.0212038088702027	0.0475770648503992	0.135462695838907	0.0570405136919675	0.164088041175545	0.0482231806678208	0.0913806608698229	0.0357405552495768	0.0613259400372497	0.0992980964387101	0.123060165952079	0.0859313608344457	0.0541170598909542	0.0171745523044306	0.07068361022844	0.0369734131039383	0.161052982680639	1	0.060786933949886
RARB	0.0326344678597776	0.044456375771011	0.111630915156228	0.0975846656409581	0.0593016480531928	0.124501035367318	0.085777306231426	0.0763406435769181	0.0196015323966304	0.0277615394874446	0.00922669501205393	0.0761679888175467	0.0993953989526222	0.0447857237340924	0.0170281911185502	0.0411526625742863	0.0316590858451066	0.029809549156379	0.162926099117263	0.062387315291006	0.104853112234609	0.0988691992856658	0.0771834192012034	0.0644172179152755	0.0146942567307021	0.0400144811294058	0.0570055706835663	0.0848754885664698	0.0142684030350459	0.0762112670478439	0.0486529644863884	0.0694004400442272	0.152567953807766	0.060786933949886	1
