	DNTT	CASP12	MYC	PTGS1	CCNG2	CCR7	IKZF1	IL7R	RUNX2	SELL	TRIB3	SPI1	MEIS1	RAG2	FLT3	NOTCH1	IL12A	SOCS2	PF4	BCL2	NFIA	PDGFRB	GATA2	MLLT3	TSC22D3	ESR1	ELF1	IGHM	IRF8	MEF2C	NCF1	PIRB	SLC2A3	TIE1	APOE	GGTA1	ICA1	KCTD12	MOGS	NDRG2	NEAT1	NUDT19	PGR	PRR5	VEGFC	ANKRD44	CCDC112	CD44	CTSL	DACH1	EFNA1	GFI1B	H2-DMA	HNF4A	IPCEF1	ITGB7	RUNX1T1	VAMP5	CDK6	CRIP1	DUSP1	HDAC7	HLF	OSGIN1	RARB	TEK	TMEM14C	MAML3	CDT1	MCM4	MCM7	MKI67	PRIM1	TIPIN	TOP2A	UHRF1	FOXO1	VDR	ANGPT1	ARPP21	FCHO2	IL1R1	PBX1	SATB1	SYK	DENND2D	MPZL1	NCAPD2	PTP4A3	SLC43A2	TUBB4B	FDFT1	IRF6	CKS1B	HMGB2	POLA2	SLBP	2810468N07RIK	ARHGAP27	CAV2	ERP29	FHL1	FUT8	GNG11	GP9	KCNK5	KLF6	MGAT1	MYCT1	PYGL	ST8SIA4	TMEM123	WLS	ARRDC4	HOXA9	NDN	RNF38	AMPD2	AP1S2	CCT2	CD63	EMP1	HNRNPAB	CADPS2	CBX7	CHRNB1	CPXM1	CTSF	DTL	ELL2	ENPP5	ITSN1	ME2	MYO5A	N4BP3	NT5C3	NUPR1	PKN3	RANBP1	RGS19	RHOF	SGMS1	SLC29A1	TAPT1	YBX1	ZFP62	ZNRF2	OBSCN	PRDM16	RASAL3	SPNS2	TMEM246	TRIM16	UNC93B1	ITGB5	MAGED1	NUCB2	H1F0	NPDC1	TGM2	CD74	FKBP9	HSD3B7	CBFB
DNTT	1	0.0953462589245592	0.105175790477918	0.0790569415042095	0.212132034355964	0	0.193649167310371	0.086066296582387	0.157027176777064	0.0932504808240314	0.08304547985374	0.051434449987364	0.12456821978061	0.1606438657805	0.0293610109757352	0.0760725774312731	0.0322748612183951	0	0	0.0480384461415261	0.118585412256314	0.0688247201611685	0.122720173418454	0.190692517849118	0.1	0.133498247846995	0.115470053837925	0.0340997169735237	0.147042924418762	0.0976830831455704	0.074535599249993	0.0616333551361366	0.0422577127364258	0.0408248290463863	0.0175142361026015	0.134839972492648	0.1	0	0.0707106781186547	0.115470053837925	0	0.134839972492648	0.127775312999988	0	0	0	0.0912870929175277	0.0291111254869791	0.0632455532033676	0.204124145231931	0	0.263523138347365	0.0459800489871703	0.181956335718513	0.111803398874989	0	0.239045721866879	0	0.152145154862546	0.149071198499986	0.116774841624228	0.200804832225625	0.173205080756888	0	0.170498584867618	0.0516397779494322	0	0.169030850945703	0.134164078649987	0.186500961648063	0.215165741455968	0.195180014589707	0.179284291400159	0.216930457818656	0.193649167310371	0.345134244981317	0.121716123890037	0.225374467927604	0	0.1	0.054232614454664	0.0408248290463863	0.126491106406735	0.215165741455968	0.0819920061690788	0.335410196624968	0	0.195180014589707	0.15	0	0.105409255338946	0.0975900072948533	0.122474487139159	0	0.148087219439773	0.337099931231621	0.223606797749979	0.160128153805087	0.0707106781186547	0.0572598334313868	0	0.223606797749979	0.0476731294622796	0	0	0	0.307793505625546	0.173205080756888	0.169030850945703	0.086066296582387	0.0707106781186547	0	0.0395284707521047	0.0620173672946042	0.122474487139159	0.200804832225625	0.338061701891407	0.158113883008419	0	0.0894427190999916	0.0372677996249965	0	0.178885438199983	0.0975900072948533	0.216930457818656	0	0.141421356237309	0.0674199862463242	0.172132593164774	0.169030850945703	0.141421356237309	0.130465614610688	0.0577350269189626	0.0456435464587638	0	0.29277002188456	0.134839972492648	0.162697843363992	0.119522860933439	0	0.124034734589208	0.1	0	0.158113883008419	0	0.2	0.216930457818656	0.174607573942395	0.241522945769824	0.0845154254728516	0	0.0912870929175277	0.353553390593274	0	0	0.186500961648063	0.175411603861406	0.243975018237133	0	0.213003216807565	0.0493864798324795	0.0912870929175277	0	0.15
CASP12	0.0953462589245592	1	0.0601687089090165	0.0753778361444409	0.0674199862463242	0.0268607654675127	0.0615457454896664	0	0.049906512850595	0.133366267342316	0.0791807582464896	0.0487950036474267	0.0395903791232448	0.0382919790533742	0.0559892510955854	0.0725323566482074	0.0615457454896664	0.0502518907629606	0	0.0916057224828689	0	0.0656217958889711	0.0468036377200909	0.0454545454545455	0.0953462589245592	0.0424285283506487	0	0.0650256088762355	0.105149945584917	0.0372548661525872	0.0710669054518702	0.080350737600837	0.080582296402538	0	0.0500975067091351	0	0.0953462589245592	0.0642824346533225	0.134839972492648	0.055048188256318	0.0870388279778489	0.0642824346533225	0.0609144903873173	0	0.0341394370999459	0	0.0870388279778489	0.0277563690826684	0.241209075662211	0.0778498944161523	0.0365636212063565	0.0502518907629606	0.0629940788348712	0.049568159709661	0.106600358177805	0	0.056980288229819	0	0.0580258853185659	0.0710669054518702	0.111340442853781	0.114875937160123	0	0.080582296402538	0.0975384133143533	0.0492365963917331	0	0	0.0426401432711221	0.0889108448948774	0.0820609939862218	0.0465242105199235	0.056980288229819	0.103417537999004	0.0923186182344995	0.0365636212063565	0.0870388279778489	0.0537215309350254	0.0277563690826684	0.0953462589245592	0.103417537999004	0.116774841624228	0.0603022689155527	0	0.0586322328745578	0.106600358177805	0	0.0465242105199235	0.0953462589245592	0	0.0502518907629606	0.0465242105199235	0.0778498944161523	0	0.0564782494724905	0.0642824346533225	0.0533001790889026	0.0327736762672231	0.0674199862463242	0.0545951090432614	0.056980288229819	0.106600358177805	0	0	0	0	0.0489115988044518	0.055048188256318	0	0.0820609939862218	0	0	0.0753778361444409	0.0591312395989083	0.0389249472080761	0.0765839581067484	0	0.0502518907629606	0.0426401432711221	0.0426401432711221	0.0355334527259351	0	0.0852802865422442	0.0465242105199235	0.0517087689995019	0.0376889180722204	0.134839972492648	0.385694607919935	0.0410304969931109	0	0.0674199862463242	0.0621970413571123	0	0.0652791209833867	0.080582296402538	0.139572631559771	0.0964236519799837	0.0517087689995019	0.056980288229819	0.0870388279778489	0.0591312395989083	0.0476731294622796	0	0.0502518907629606	0.086066296582387	0	0.0517087689995019	0.0665927158212027	0.0657951694959769	0.080582296402538	0	0	0.0674199862463242	0.0889108448948774	0.0476731294622796	0.0889108448948774	0.0836242010007091	0	0	0.174077655955698	0.0706322414022017	0.0870388279778489	0.0615457454896664	0.0476731294622796
MYC	0.105175790477918	0.0601687089090165	1	0	0.0297482058654365	0.011851968908913	0.203672042472588	0.0543125446593568	0.242226709179304	0.0392307721324537	0.087343739892351	0	0.209624975741642	0.084479227844463	0.0617613507720754	0.108813511124364	0.0271562723296784	0.0221730035079246	0	0.148206125357133	0.199557031571322	0.0675611472421423	0.185863553954972	0.120337417818033	0.126210948573501	0.215292017419113	0.267182392156493	0.0430375762531635	0.201049625529064	0.180820560556338	0.0156786811397266	0.0456435464587638	0.0177779533633694	0	0.0515780615478239	0	0.0420703161911671	0.02836380138987	0	0.048578616755726	0.0768095372642569	0	0.188144173676719	0	0.0753179479500919	0	0	0.0612357126958977	0.0665190105237739	0.206101615971818	0.0322664595883638	0.177384028063397	0.0962250448649376	0.207777501366594	0	0	0.150850936546281	0.0235180217095899	0.128015895440428	0.0627147245589065	0.0163758483676825	0.0675833822755704	0.291471700534356	0.0355559067267389	0.172150305012654	0.0217250178637427	0	0.106667720180217	0.0940720868383597	0.0784615442649073	0.126729270871833	0.123169273919784	0.0251418227577135	0.136894994278883	0.122203225483553	0.145199068147637	0.204825432704685	0.165927564724782	0.0244942850783591	0	0.0228158323798138	0.0515254039929545	0.212860833676077	0.271562723296784	0.0431178703085159	0.0470360434191799	0	0.0410564246399279	0.0420703161911671	0	0	0	0.223276750636136	0.0502836455154269	0.224282741245272	0.11345520555948	0.0705540651287698	0.0928476690885259	0	0.0602234824378001	0.0502836455154269	0.0470360434191799	0.0200562363030055	0	0	0	0.237397785226333	0	0.106667720180217	0.0181041815531189	0	0	0.033259505261887	0	0.223276750636136	0.135166764551141	0.0711118134534778	0	0.0188144173676719	0.0376288347353439	0.0783934056986331	0	0.150515338941376	0.0410564246399279	0.114079161899069	0.0166297526309435	0.0297482058654365	0	0.0724167262124758	0.106667720180217	0	0.0274436482937331	0	0.0384047686321284	0.0355559067267389	0.0410564246399279	0.14181900694935	0.0228158323798138	0	0.0384047686321284	0	0.0420703161911671	0	0.0221730035079246	0	0.168281264764668	0.0456316647596275	0.0440747750707748	0.174187657645005	0	0	0	0.0297482058654365	0.0196153860662268	0.0210351580955836	0.156923088529815	0.0368981081902455	0.143697486239747	0	0.064007947720214	0.0623311446636333	0	0	0.189316422860252
PTGS1	0.0790569415042095	0.0753778361444409	0	1	0.0559016994374947	0.0222717701593687	0.0510310363079829	0.0340206908719886	0.0206901472150592	0.0737209780774486	0	0.102062072615966	0	0.0317500317500476	0.046423834544263	0.0721687836487032	0.0255155181539914	0	0.0487950036474267	0.0506369683541833	0	0.0725476250110012	0.0388075262853166	0	0	0.0703597544730292	0	0.0539163866017192	0.0290619096859548	0.0308901031607608	0.058925565098879	0.141421356237309	0.0668153104781061	0.0322748612183951	0.0692310969527139	0.159900537266708	0.158113883008419	0.0533001790889026	0.111803398874989	0.0912870929175277	0	0.0533001790889026	0.0505076272276105	0	0.0283069258536149	0	0.0721687836487032	0.0460287308949162	0.075	0.0645497224367903	0.0303169531295416	0.0416666666666667	0.0482242822170412	0.061649620239509	0.176776695296637	0.0395284707521047	0.0472455591261534	0.0883883476483184	0.0481125224324688	0.117851130197758	0.0307728727448332	0.0635000635000953	0	0.0668153104781061	0.0539163866017192	0.0408248290463863	0.0533001790889026	0	0	0	0	0.038575837490523	0.0472455591261534	0.0428746462856272	0.0510310363079829	0.0303169531295416	0.0481125224324688	0.0445435403187374	0	0.0790569415042095	0.0857492925712544	0.0322748612183951	0.05	0	0.0324101861776082	0.0883883476483184	0.125	0.038575837490523	0.0790569415042095	0.0405553552826906	0.0833333333333333	0.154303349962092	0.0645497224367903	0	0.0234146452895423	0	0.0441941738241592	0	0.111803398874989	0.0905357460425185	0.0472455591261534	0.0883883476483184	0.0753778361444409	0.0721687836487032	0.0559016994374947	0	0.121666065848072	0.182574185835055	0.133630620956212	0.0340206908719886	0.111803398874989	0.0883883476483184	0.09375	0.147087101353638	0	0.0317500317500476	0.0668153104781061	0.0416666666666667	0.106066017177982	0.0353553390593274	0.058925565098879	0.0883883476483184	0.0353553390593274	0.115727512471569	0	0.0625	0.0559016994374947	0.106600358177805	0.0680413817439772	0	0.111803398874989	0.128927655782349	0.136930639376292	0.090210979560879	0	0.115727512471569	0.0266500895444513	0.0428746462856272	0.0472455591261534	0.0721687836487032	0.098058067569092	0.158113883008419	0.0303169531295416	0.0833333333333333	0.0924500327042049	0.0790569415042095	0.171498585142509	0.0828236445561349	0.0545544725589981	0.0668153104781061	0.0405553552826906	0.144337567297406	0.111803398874989	0.0737209780774486	0.0395284707521047	0.0737209780774486	0.173343811320384	0.038575837490523	0.176776695296637	0.0721687836487032	0.0976086011803788	0.144337567297406	0.204124145231931	0
CCNG2	0.212132034355964	0.0674199862463242	0.0297482058654365	0.0559016994374947	1	0	0.182574185835055	0.0608580619450184	0.111034981529641	0	0.0587220219514703	0.0690065559342354	0.0587220219514703	0.0567961834247065	0	0.0645497224367903	0.0456435464587638	0	0.316227766016838	0.0905821627315676	0.0559016994374947	0.064888568452305	0.0694210134500623	0.134839972492648	0.141421356237309	0.0629316775527553	0.0816496580927726	0.0482242822170412	0.103975048982007	0.0828868445993306	0.105409255338946	0.0952596985263935	0.0597614304667197	0	0.0247688702309035	0	0.141421356237309	0	0	0.163299316185545	0	0	0.0903507902905251	0.0845154254728517	0	0	0.129099444873581	0.0411693484796309	0.0447213595499958	0.173205080756888	0	0.074535599249993	0.125	0.110282193314071	0.158113883008419	0	0.0845154254728517	0	0.258198889747161	0.105409255338946	0.165144564768954	0.170388550274119	0.0816496580927726	0	0.0964485644340824	0.0365148371670111	0	0.119522860933439	0.126491106406735	0.131876094679157	0.182574185835055	0.207019667802706	0	0.306785995538948	0.0912870929175277	0.108465228909328	0.086066296582387	0.119522860933439	0	0.141421356237309	0.076696498884737	0	0.0894427190999916	0.0608580619450184	0.0869656553478673	0.316227766016838	0	0.345032779671177	0.141421356237309	0	0.074535599249993	0	0.115470053837925	0.422577127364258	0.0837707816583391	0.190692517849118	0.237170824512628	0.0696310623822791	0.1	0.0809776330178916	0	0.237170824512628	0	0	0	0	0.217642875033003	0.0816496580927726	0.119522860933439	0.0608580619450184	0	0	0.0559016994374947	0.0877058019307029	0.0577350269189626	0.170388550274119	0.119522860933439	0.074535599249993	0	0.126491106406735	0	0	0.126491106406735	0	0.153392997769474	0	0	0	0.243432247780074	0.119522860933439	0	0.138379681204333	0	0.0645497224367903	0	0.138013111868471	0.0953462589245592	0.153392997769474	0.169030850945703	0	0.175411603861406	0.0707106781186547	0	0.149071198499986	0.0785674201318386	0.141421356237309	0.076696498884737	0.148159439497438	0.14638501094228	0.119522860933439	0	0	0.2	0	0	0.197814142018736	0.124034734589208	0.0690065559342354	0	0.129099444873581	0.0698430295769578	0	0	0.0707106781186547
CCR7	0	0.0268607654675127	0.011851968908913	0.0222717701593687	0	1	0.0363696483726654	0.0969857289937744	0.0147457985067936	0.15762208124782	0.0233954135447865	0.040144782295185	0.0233954135447865	0.022628141110071	0.132344444529457	0.0342896333249093	0.109108945117996	0.0296956935458249	0	0.0270665980980383	0	0.0904827856717728	0.0414869906822511	0.0268607654675127	0.0563436169819011	0.0501451609629734	0	0.0960650696173725	0.06213697660012	0.0110076364447304	0.0839921051131616	0.0696310623822791	0.0714285714285714	0.0460043706228236	0.0296044623208668	0.0379868588198793	0.0563436169819011	0.113960576459638	0.0398409536444798	0.0325300024316178	0.051434449987364	0.0379868588198793	0.0359966164770693	0.0336717514850737	0.0403485021779202	0	0	0.0984135662610246	0.0890870806374748	0.0230021853114118	0.0648203723552164	0.0593913870916499	0	0.0146458258387916	0.125988157669742	0.0563436169819011	0.0336717514850737	0.0944911182523068	0.0342896333249093	0	0	0.045256282220142	0	0	0.0192130139234745	0.0581914373962646	0.0759737176397586	0	0.0251976315339485	0.0262703468746367	0.0242464322484436	0	0.0336717514850737	0.030556616567607	0.0181848241863327	0.0216067907850721	0.0171448166624547	0.0158730158730159	0.0328045220870082	0	0.0916698497028211	0.161015297179883	0.017817416127495	0	0.0923945238233649	0	0.17817416127495	0	0.0563436169819011	0.057807331301608	0	0.0274928699614107	0.0230021853114118	0	0.0834376957202931	0.0379868588198793	0	0.0307728727448332	0.119522860933439	0.0806556530826379	0.0336717514850737	0.0629940788348712	0.0268607654675127	0.205737799949456	0.0398409536444798	0	0	0.0325300024316178	0.0476190476190476	0.0242464322484436	0.0398409536444798	0.125988157669742	0.0668153104781061	0.0698856557814612	0.0230021853114118	0.022628141110071	0	0	0.050395263067897	0	0.0839921051131616	0.125988157669742	0.0251976315339485	0.0549857399228215	0.030556616567607	0.0890870806374748	0	0.0379868588198793	0.0242464322484436	0	0.0796819072889596	0.0551317846419971	0.0325300024316178	0.025717224993682	0.0476190476190476	0.0274928699614107	0.0189934294099397	0.030556616567607	0	0.102868899974728	0.104828483672192	0.0563436169819011	0.0432135815701443	0.0296956935458249	0.0501451609629734	0	0.0611132331352141	0.0590281336100955	0.0194403947839935	0	0.086710996952412	0.051434449987364	0.0398409536444798	0.0788110406239101	0.112687233963802	0.0788110406239101	0.02470831055537	0	0.125988157669742	0.0685792666498186	0.125217580669452	0	0.0363696483726654	0.0281718084909506
IKZF1	0.193649167310371	0.0615457454896664	0.203672042472588	0.0510310363079829	0.182574185835055	0.0363696483726654	1	0.166666666666667	0.337868689199743	0.0601929265428846	0.134014066854724	0.105409255338946	0.321633760451339	0.233314131314346	0.151619608715781	0.157134840263677	0.0416666666666667	0.0340206908719886	0.139009609371383	0.113698506706774	0.229639663385923	0.0592348877759092	0.237646593946679	0.215410109213832	0.193649167310371	0.22979399584857	0.335410196624968	0.0660338179744218	0.355934248407187	0.226994972537393	0.0721687836487032	0	0.0545544725589981	0.0263523138347365	0.0452215631646135	0.0435194139889245	0.129099444873581	0.0870388279778489	0	0.111803398874989	0.058925565098879	0.0435194139889245	0.268055482123755	0.038575837490523	0.0462250163521024	0	0.058925565098879	0.0751646028002829	0.0408248290463863	0.421637021355784	0.0495073771488337	0.340206908719886	0.104756560175785	0.302020224846311	0.144337567297406	0	0.270030862433661	0.0360843918243516	0.176776695296637	0.0962250448649376	0.0753778361444409	0.233314131314346	0.335410196624968	0	0.264135271897687	0.0833333333333333	0.0870388279778489	0.163663417676994	0.144337567297406	0.150482316357212	0.166666666666667	0.157485197087178	0.077151674981046	0.175035010503501	0.1875	0.222783197169752	0.255344115428476	0.309142011167656	0.0939557535003536	0.0645497224367903	0.105021006302101	0.052704627669473	0.347011046894284	0.333333333333333	0.0926198217043686	0.21650635094611	0	0.157485197087178	0.0968245836551854	0	0.0680413817439772	0.0314970394174356	0.316227766016838	0.077151674981046	0.267651689515655	0.217597069944622	0.180421959121758	0	0.0456435464587638	0.0739221270954573	0.038575837490523	0.21650635094611	0	0	0	0	0.331133089266261	0.074535599249993	0.109108945117996	0.0833333333333333	0	0	0.102062072615966	0.0400320384512718	0.289875452182101	0.259237923682606	0.163663417676994	0.102062072615966	0.0288675134594813	0.0577350269189626	0.0721687836487032	0	0.202072594216369	0.0944911182523068	0.245049014704902	0.0255155181539914	0.0456435464587638	0	0.111111111111111	0.163663417676994	0.0456435464587638	0.105268990133315	0.0372677996249965	0.058925565098879	0.109108945117996	0.125988157669742	0.130558241966773	0.0700140042014005	0.077151674981046	0.058925565098879	0.0800640769025436	0.0645497224367903	0	0.136082763487954	0.0837707816583391	0.258198889747161	0.140028008402801	0.135250445200115	0.356348322549899	0.109108945117996	0.0331133089266261	0	0.182574185835055	0.0300964632714423	0.0322748612183951	0.300964632714423	0.11322770341446	0.0944911182523068	0	0.117851130197758	0.0956365069595007	0.058925565098879	0	0.322748612183951
IL7R	0.086066296582387	0	0.0543125446593568	0.0340206908719886	0.0608580619450184	0.0969857289937744	0.166666666666667	1	0.15767205495988	0.120385853085769	0.0357370844945932	0.041702882811415	0.107211253483779	0.103695169473043	0.176889543501744	0.104756560175785	0	0	0.0914739653606304	0.151598008942366	0.102062072615966	0.0592348877759092	0.0422482833682985	0.123091490979333	0	0.0382989993080951	0	0.11739345417675	0.0316385998584166	0.100886654461064	0.128300059819917	0.025	0.0727392967453308	0.0702728368926307	0.030147708776409	0.0580258853185659	0.086066296582387	0.116051770637132	0.0608580619450184	0	0	0	0.0549857399228215	0	0.0616333551361366	0	0	0.150329205600566	0.0816496580927726	0.0702728368926307	0.0660098361984449	0.0907218423253029	0.285714285714286	0.0671156055214024	0.192450089729875	0.0430331482911935	0.051434449987364	0.0962250448649376	0.130945700219731	0	0	0.0345650564910142	0.0496903994999953	0	0.0293483635441875	0.0666666666666667	0.0580258853185659	0.0727392967453308	0.038490017945975	0.0401286176952564	0.0740740740740741	0.0419960525565808	0	0.0466760028009337	0.0277777777777778	0.0330049180992225	0.0523782800878924	0.0969857289937744	0.0751646028002829	0	0.0933520056018673	0.140545673785261	0.0272165526975909	0.037037037037037	0.0529256124024963	0.192450089729875	0.272165526975909	0.0839921051131616	0.086066296582387	0.0883021571376696	0	0.0419960525565808	0	0	0.0764719112901873	0.116051770637132	0.0962250448649376	0	0.0608580619450184	0.0492814180636382	0.051434449987364	0.0962250448649376	0.0410304969931109	0.157134840263677	0.0608580619450184	0	0.132453235706504	0.0496903994999953	0.145478593490662	0	0.0608580619450184	0.192450089729875	0.102062072615966	0.106752102536725	0.0351364184463153	0.0691301129820284	0.0727392967453308	0.0453609211626514	0.038490017945975	0.038490017945975	0.0962250448649376	0.192450089729875	0.038490017945975	0.0839921051131616	0.0933520056018673	0.0680413817439772	0	0.0580258853185659	0.111111111111111	0.0727392967453308	0.121716123890037	0.0842151921066519	0	0.0392837100659193	0	0.0839921051131616	0.029012942659283	0	0.051434449987364	0.0785674201318386	0.160128153805087	0.129099444873581	0.0660098361984449	0.136082763487954	0.15762208124782	0	0.140028008402801	0.0901669634667432	0.0593913870916499	0	0.220755392844174	0.0785674201318386	0.121716123890037	0.0802572353905128	0.086066296582387	0.120385853085769	0.0377425678048199	0.0419960525565808	0.192450089729875	0.104756560175785	0.106262785510556	0	0.0555555555555556	0.0430331482911935
RUNX2	0.157027176777064	0.049906512850595	0.242226709179304	0.0206901472150592	0.111034981529641	0.0147457985067936	0.337868689199743	0.15767205495988	1	0.024404766228169	0.108669977046078	0	0.304275935729018	0.126127263550327	0.0768412776806681	0.175200110274749	0.0506803033799615	0.0275868629534123	0	0.100577887658145	0.310352208225888	0.0720490099958652	0.218397893475571	0.224579307827677	0.157027176777064	0.209628529640985	0.3626387311293	0.0356972152349957	0.269380245009416	0.286326110284259	0.0780274314640871	0.0481125224324688	0.0442373955203809	0.0213686921585344	0.045836850809974	0	0.104684784518043	0.0352892336620293	0	0.0906596827823249	0.0477818482567497	0	0.200641966621938	0	0.0937079140987292	0	0.0477818482567497	0.0609498379736422	0.0331042355440947	0.299161690219482	0.040144782295185	0.24828176658071	0.161295567709102	0.326538167938031	0.117041147196131	0	0.187683374126956	0.0292602867990326	0.159272827522499	0.0780274314640871	0.0407484971085364	0.147148474142049	0.332418836868525	0.0442373955203809	0.232031899027472	0.0540589902719589	0	0.132712186561143	0.117041147196131	0.122023831140845	0.15767205495988	0.204323777695519	0.0312805623544927	0.170319886741098	0.152040910139884	0.120434346885555	0.254836524035998	0.221186977601904	0.0609498379736422	0.0523423922590214	0.056773295580366	0.0427373843170688	0.347594473212995	0.247770372079812	0.0858331549801204	0.175561720794196	0	0.102161888847759	0.0785135883885321	0	0.0275868629534123	0	0.363267766695085	0.0312805623544927	0.24803965851086	0.176446168310146	0.117041147196131	0	0.0370116605098803	0.0899134998645562	0.0312805623544927	0.146301433995163	0.0249532564252975	0	0	0	0.322212968124633	0.030219894260775	0.0884747910407618	0.0675737378399486	0	0	0.0413802944301184	0.0324613736580598	0.320530382378016	0.210212105917213	0.0884747910407618	0.0275868629534123	0.0234082294392261	0.0702246883176783	0.0585205735980653	0	0.187265835513809	0.0510809444238797	0.170319886741098	0.0206901472150592	0	0	0.0900983171199315	0.132712186561143	0	0.0682888237626696	0	0.0477818482567497	0.0442373955203809	0.0766214166358196	0.105867700986088	0.0851599433705489	0.0625611247089854	0.0477818482567497	0.0649227473161196	0.0523423922590214	0	0.137934314767061	0.0727392967453308	0.209369569036086	0.0851599433705489	0.109672537520267	0.270897616436539	0.0442373955203809	0	0	0.111034981529641	0.024404766228169	0.0261711961295107	0.219642896053521	0.0688609723207333	0.127702361059699	0	0.0955636965134993	0.0775501949905167	0	0	0.261711961295107
SELL	0.0932504808240314	0.133366267342316	0.0392307721324537	0.0737209780774486	0	0.15762208124782	0.0601929265428846	0.120385853085769	0.024404766228169	1	0.0387201546331183	0	0.0387201546331183	0.0749005886273138	0.136896419548348	0.0851256530758749	0.0902893898143269	0.0491473187182991	0	0.0746601366789441	0	0.0855725099681116	0.0457748607123174	0.0444554224474387	0.0932504808240314	0.0829918386726536	0	0.190788900224668	0.0342795585095531	0.0182179889433966	0.104257207028537	0.145864991497895	0.118216560935865	0.0761386987626881	0.0653284375133279	0.125738922692386	0.0932504808240314	0.188608384038579	0.0659380473395787	0	0.0851256530758749	0.0628694613461932	0.0893633203101749	0	0.100167084494127	0	0	0.162877586939371	0.147441956154897	0.038069349381344	0.107279780977823	0.147441956154897	0.0625	0.048478616556372	0.208514414057075	0.279751442472094	0.111455642515071	0.156385810542806	0.0283752176919583	0.0695048046856916	0	0.0749005886273138	0	0.0788110406239101	0.0635963000748893	0.0963086824686154	0.0628694613461932	0	0.041702882811415	0.0434782608695652	0.0401286176952564	0	0.111455642515071	0.0505721737424174	0.0601929265428846	0.0715198539852152	0.0283752176919583	0.0525406937492734	0.0814387934696855	0	0.151716521227252	0.266485445669408	0.0294883912309794	0	0.0573434549924516	0	0.294883912309794	0	0.0932504808240314	0.095672974646988	0.0491473187182991	0.091003151038658	0.038069349381344	0	0.0552368176666107	0.0628694613461932	0	0.2	0.0659380473395787	0.106790139987615	0.0557278212575353	0.156385810542806	0.0444554224474387	0.17025130615175	0.131876094679157	0	0.047836487323494	0.107676380411633	0.0788110406239101	0.0802572353905128	0.0659380473395787	0.208514414057075	0.110581467116173	0.115662986393248	0.038069349381344	0.0374502943136569	0.0788110406239101	0.0491473187182991	0.0834057656228299	0	0.173762011714229	0.208514414057075	0.041702882811415	0.136504726557987	0.0505721737424174	0.110581467116173	0.131876094679157	0.125738922692386	0.0401286176952564	0	0.197814142018736	0.152074766168118	0.0538381902058166	0.0638442398069062	0.0788110406239101	0.045501575519329	0.0314347306730966	0	0	0.17025130615175	0.115662986393248	0.0932504808240314	0.0715198539852152	0.0491473187182991	0.0597022314125994	0.0932504808240314	0.151716521227252	0.162822402256459	0.0643489452087787	0	0.095672974646988	0.0851256530758749	0.131876094679157	0.0869565217391304	0.233126202060078	0.130434782608696	0.163572164021906	0	0.208514414057075	0.141876088459791	0.161185954670476	0.17025130615175	0.0601929265428846	0.0466252404120157
