	SLC2A3	NFE2	ARID5A	SLC39A13	DOCK10	SSH2	TES	F2R	MGAT1	SPNS2	PRKCH	TFR2	LY9	TMEM123	NCEH1	ACAP1	EYA2	RANBP1	SLBP	TBXA2R	CMAH	XRCC6	SLC26A11	DYNLL1	SERP1	HDAC7	PTPRE	AP1S2	CIPC	RASAL3	CDK17	LCK	PPM1G	PAFAH2	NT5C3	LONP2	TESPA1	XPC	ELF1	BTLA	CCR7	ZBTB20	VAMP1	ZFP62	CCNG2	GPR171	PPCDC	MCM7	ST8SIA4	ATP8B4	MCM4	GPR65	ITGAL	TUBB4B	ARHGAP15	MOGS	ITGB2	CTR9	STK17B	GBP4	ZFP422	DHRS3	PKN3	ELOVL5	MPZL1	DUSP1	OTULINL	ITSN1	SATB1	SPNS3	DOK2	JPT1	PLIN3	SLC9A9	DUSP5	KCTD12	BCL2	NCAPD2	RNF38	CKS1B	P2RY14	DEF8	UBASH3A	ARPP21	TPM4	CAPG	PSTPIP1	TSPAN3	PANX1	P2RX1	DCK	CST7	CTSL	LAX1	ABHD17B	NLRC3	SLC43A2	CD69	GAS2L3	CISH	DTL	SELPLG	ANXA5	NWD1	SERPINB6A	LRRC8C	IL17RE	STK10	RNF125	SNAP47	GPR18	ZFP367	ME2	RASSF2	SLC18A2	LGMN	FDFT1	CLEC12A	TRPV2	PYGL	CD7	CDT1	ART4	NUCB2	PRSS57	CTSB	FCHO2	COQ8A	CDK19	RNF13	HNRNPAB	UHRF1	RCSD1	FRMD6	GM2A	REL	GSTM1	EVI2A	CYFIP2	LDHB	MCM5	MYCN	LACTB	APLP2	CD44	ZNRF2	CAMK1D	GNG2	STARD4	SLC39A6	NDRG2	RHOF	DUSP6	HMGB2	IL7R	MKI67	NRROS	UBA7	UAP1L1	CBX7	GAA	FADS1	VAMP5	ERP29	PTP4A3	CCT2	MLLT3	KAZALD1	LSP1	ANXA2	RGS2	GBP9	SLC16A10	EEPD1	RGS19	NUDT19	AMPD2	IRAK3	SPC24	RORA	PLXDC2	SAMSN1	CD48	CREG1	MYO5A	TRIM59	CD55	TNFAIP2	ABCG3	TXNIP	TOP2A	ITPR2	TMEM173	RFTN1	SLC18A1	BPIFC	YBX1	PARVG	SYTL1	CPQ	FUT8	SLCO3A1	EMP1	DENND2D	TMEM206	SLC44A2	CFP	BTG2	TMEM14C	ARHGAP27	MSMO1	GSN	GIMAP5	PAG1	TIPIN	N4BP3	ARHGAP18	ZMIZ1	TBC1D5	ELL2	GMNN	H2-DMA	RRAS	SGMS1	CERS4	MAML3	EPSTI1	LTB	PLXNC1	RAG2	PGRMC1	PPP1R15A	MAN1A	PARP8	SYK	CNN3	MPL	DOCK11	KLF3	ANKRD44	KLF6	ITGB7	MPO	SLA	METTL7A1	FLT3	ADSSL1	GFI1B	TM6SF1	ITGA6	CD81	SOCS2	HLF	PF4	IKZF1	SAT1	SELENOP	GIMAP8	SP100	TRIB3	IFI27	S100A6	RHOH	IL18RAP	NHP2	USP11	GIMAP1	CTSW	UNC93B1	TMEM268	AKNA	SLC29A1	FOXO1	RUNX2	NOTCH1	TAPT1	SLFN2	LDHD	CHRNB1	MCTP2	CTNNAL1	FUT7	STXBP1	IRF6	PDE1B	SELL	UBE2L6	CCDC112	GOLM1	PLSCR4	HACD4	PRNP	FAM171A1	GP9	IGFBP4	ARHGEF39	OTUB2	LAG3	CTTN	SLAMF1	HID1	KLHL4	KCNK5	FUCA2	ESR1	TSPAN2	TRIM16	RAB27B	ANGPT1	ABCG2	CSGALNACT1	POLA2	ARRDC4	EMB	VAV3	NSMF	GRAMD1A	DPP4	LYN	RAMP1	PEAR1	RUNX1T1	GBP2	H1F0	ITGAM	CDK6	RASA4	NKG7	GIMAP4	ENPP5	PRPS2	TYROBP	WLS	RP2	HAAO	IL17RA	NAPSA	TTC39B	SMPDL3A	KBTBD11	GGTA1	CORO7	IPCEF1	D630039A03RIK	CPXM1	CD33	RNF213	MYC	APOE	KIF17	PRIM1	CRIP1	TLR7	IFI213	NPDC1	SSTR2	FCRL1	VDR	TMEM246	ARL11	PPIC	CD53	NEURL3	LGALS1	RARB	SCARF1	CTSG	MYLK	FAM110C	NUPR1	ENG	PRUNE2	CCL3	SPI1	FGD2	SH2D5	PTGS1	HSD3B7	GNG11	AFDN	BDH2	TRAF1	MEIS1	IL12A	PECAM1	MAGED2	PAQR5	MYCT1	PLEK	CD9	IRF8	IFI209	ITGB5	FLNA	RNASE6	PDGFRB	FGD5	APP	OBSCN	MECOM	SOX18	CDKN1C	DACH1	NAV1	CADPS2	ANKRD33B	NFIA	SLC35D3	H2-Q6	SEMA3D	COL4A2	COL4A1	VLDLR	PGR	TRIM47	MEF2C	TRPC6	TSC22D3	SLC22A3	OBSL1	NDN	MN1	CTSH	AFF3	NR3C2	SLC16A11	CPNE8	PRDM16	PKIB	LPCAT2	CAV2	RAB38	VEGFC	GUCY1A1	PLPPR3	CD34	FSTL1	DDX4	UPP1	PBX1	ICA1	TMEM37	GATA2	KRT18	SDC1	IL1R1	CD63	JAM3	CDK18	SNAP23	SIGLECG	PROCR	FHL1	CCL9	CBFB	EFNA1	PIRB	EBI3	TFEC	OSGIN1	CTSS	PLD4	CD244A	WFDC17	GM1966	OAS2	GGT5	TNS2	C1RL	FCGRT	CTSF	SERPINF1	RBPMS	GM4951	LHCGR	TGM2	SDSL	IL18BP	BLNK	TINAGL1	FKBP9	ALDH1A1	CLIP3	ARHGEF18	ESAM	HOXA9	MAMDC2	TEAD2	CASP12	SULT1A1	SERPINB1A	PRR5	ADGRG3	GSTT1	GM973	WFDC2	TFPI	HNF4A	GDF3	TEK	ITM2A	F11R	SERPINA3F	CD93	CD52	SERPINA3G	MMRN1	IFI27L2A	BC035044	5430427O19RIK	H2-OB	GM5111	GIMAP3	CD74	NCF1	TBXAS1	CSF3R	PLAC8	JCHAIN	ADGRL4	DNTT	PDZK1IP1	CRACR2B	TIE1	ROBO4
CBFB	0	1	1	1	0	0	1	1	1	0	1	1	0	1	0	0	0	1	0	1	1	0	1	1	1	0	0	1	1	0	1	1	1	1	0	0	0	0	1	1	0	1	0	0	0	1	1	1	1	0	1	0	1	1	0	1	1	0	1	1	1	1	0	0	1	0	1	0	1	0	1	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	1	0	0	0	0	1	1	1	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	0	0	1	1	1	0	0	1	0	1	1	0	0	1	1	0	1	0	1	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	1	0	1	1	1	1	0	0	0	1	1	1	0	1	0	1	0	0	0	1	0	0	1	1	1	0	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	0	1	0	1	1	1	0	0	1	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	0	1	0	1	1	1	0	1	0	1	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	1	0	0	1	0	0	1	1	0	1	0	0	1	1	1	1	0	1	0	1	1	0	0	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBX7	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	0	1	0	0	0	1	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELF1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	0	1	0	0	1	1	0	0	1	0	1	0	0	1	0	0	1	1	0	1	0	0	1	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESR1	1	0	1	0	1	1	1	1	1	1	0	1	0	0	0	0	0	1	0	1	1	1	0	1	1	1	0	1	1	0	1	1	1	0	1	1	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0	1	1	1	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	1	1	0	1	1	0	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	0	1	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	1	1	1	1	0	1	0	1	0	1	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	0	1	1	1	0	0	1	1	0	1	0	1	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1	0	1	1	1	0	1	1	1	0	0	1	0	1	1	1	0	0	1	0	0	1	1	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	1	1	1	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0	1	1	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	1	1	0	1	0	1	1	0	0	0	1	0	0	0	1	0	1	1	1	0	0	1	0	0	1	0	1	1	1	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	0	1	0	0	0	1	1	0	0	0	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXO1	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GATA2	0	1	0	0	1	0	0	1	1	0	1	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	1	0	1	1	1	1	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	1	1	0	0	0	1	0	1	1	0	0	1	0	1	1	1	1	0	1	0	0	1	1	0	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	1	1	1	1	0	1	1	1	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	1	1	1	0	1	0	1	1	0	1	0	0	0	1	1	1	0	1	0	0	0	0	1	1	1	0	0	1	1	0	1	1	0	1	1	0	0	1	0	1	0	1	0	1	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	0	1	1	1	0	1	0	0	0	1	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GFI1B	1	1	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	1	1	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IKZF1	1	0	1	1	1	0	1	0	0	1	1	1	1	0	1	1	0	0	1	1	0	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	1	1	0	1	1	0	0	0	1	1	0	0	1	1	0	1	1	0	1	1	1	1	0	1	0	0	0	0	0	1	1	1	0	1	0	1	1	0	1	1	0	1	1	0	0	1	1	0	1	1	1	0	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	1	1	0	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	0	1	1	1	0	0	1	1	1	0	1	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	1	1	0	1	0	0	1	1	1	1	1	0	0	1	0	1	0	0	0	0	0	1	1	1	0	0	1	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	1	0	1	0	1	0	1	0	0	1	0	1	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0	0	1	1	0	0	1	1	1	1	0	1	0	0	0	1	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
IRF8	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
MEF2C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
