	CBFB	CBX7	ELF1	ESR1	FOXO1	GATA2	GFI1B	IKZF1	IRF8	MEF2C	MEIS1	MYC	NOTCH1	RAG2	SATB1	SPI1
CBFB	1	0.1278	0.07726	0.06706	0.1201	0.07263	0.1001	0.06224	0.08431	0.1046	0.1399	0.1992	0.1027	0.1285	0.1079	0.05984
CBX7	0.08785	1	0.1225	0.09145	0.1072	0.149	0.102	0.08348	0.1259	0.1084	0.1533	0.1023	0.09261	0.08429	0.1129	0.1252
ELF1	0.08716	0.1211	1	0.04076	0.09286	0.04546	0.08083	0.05642	0.1502	0.05734	0.07261	0.06345	0.05002	0.05148	0.06071	0.3068
ESR1	0.1591	0.12	0.05456	1	0.04529	0.06868	0.07038	0.05384	0.06547	0.05991	0.08085	0.0709	0.03356	0.07597	0.07449	0.1171
FOXO1	0.06784	0.09365	0.1003	0.06539	1	0.05018	0.08637	0.06147	0.1413	0.0641	0.09076	0.05129	0.0392	0.05407	0.03782	0.07285
GATA2	0.05306	0.1172	0.05846	0.07324	0.06796	1	0.07094	0.06521	0.05105	0.06626	0.05197	0.0796	0.05143	0.06231	0.04584	0.08423
GFI1B	0.1113	0.09279	0.08556	0.06927	0.07737	0.1141	1	0.2544	0.05764	0.07813	0.07603	0.07875	0.07118	0.07628	0.06109	0.1143
IKZF1	0.1372	0.1334	0.04477	0.058	0.06402	0.06089	0.2486	1	0.05739	0.06322	0.09483	0.06369	0.06393	0.05461	0.06329	0.09077
IRF8	0.1407	0.1018	0.1542	0.05003	0.1464	0.0947	0.05718	0.06829	1	0.06442	0.07428	0.05063	0.03805	0.08332	0.06954	0.2454
MEF2C	0.1502	0.1511	0.07412	0.05089	0.08695	0.06899	0.0872	0.06314	0.06611	1	0.06238	0.07242	0.05908	0.0579	0.05793	0.06911
MEIS1	0.1399	0.1179	0.08422	0.06195	0.07939	0.05549	0.06102	0.06859	0.04871	0.05149	1	0.1044	0.04485	0.06199	0.1205	0.1177
MYC	0.1105	0.0953	0.05809	0.0709	0.06824	0.05552	0.07013	0.06457	0.05536	0.05729	0.07148	1	0.06348	0.05802	0.07335	0.07495
NOTCH1	0.1021	0.1155	0.07174	0.03907	0.0694	0.04889	0.07681	0.09154	0.04503	0.06168	0.09009	0.05713	1	0.043	0.052	0.0784
RAG2	0.1285	0.1061	0.03824	0.07597	0.05921	0.05778	0.04959	0.04264	0.05706	0.05086	0.0685	0.04697	0.05242	1	0.04406	0.08671
SATB1	0.1031	0.1013	0.06821	0.06371	0.05178	0.06387	0.06865	0.07676	0.05364	0.07305	0.1335	0.05793	0.02193	0.04574	1	0.07484
SPI1	0.06172	0.1137	0.3067	0.071	0.07183	0.07828	0.09664	0.09623	0.2406	0.06911	0.1343	0.09863	0.06949	0.07046	0.1024	1
