	CBFB	CBX7	ELF1	ESR1	FOXO1	GATA2	GFI1B	IKZF1	IRF8	MEF2C	MEIS1	MYC	NOTCH1	RAG2	SATB1	SPI1
CBFB	1	0.216930457818656	0.288675134594813	0.177997663795994	0.213003216807565	0.245440346836908	0.316227766016838	0.322748612183951	0.294085848837523	0.175829549662027	0.33218191941496	0.189316422860252	0.106501608403782	0.200804832225625	0.258198889747161	0.270676997769406
CBX7	0.216930457818656	1	0.0626224291085149	0.120665983430988	0.0990147542976674	0.133108717016251	0.228664780190012	0.245049014704902	0.15949044456578	0.127142615687439	0.180150939644418	0.114079161899069	0.0990147542976674	0.261364105121419	0.326732019606536	0.0990147542976674
ELF1	0.288675134594813	0.0626224291085149	1	0.282609247546289	0.421637021355784	0.311751110695825	0.365148371670111	0.335410196624968	0.424476359978009	0.270707300876965	0.431516971336846	0.267182392156493	0.105409255338946	0.13912166872805	0.397523195999963	0.200804832225625
ESR1	0.177997663795994	0.120665983430988	0.282609247546289	1	0.216651856987303	0.240282945860364	0.257985766401107	0.22979399584857	0.196299727682028	0.147792565034562	0.203251144288266	0.215292017419113	0.121866669555358	0.125099768552877	0.191494996540475	0.133108717016251
FOXO1	0.213003216807565	0.0990147542976674	0.421637021355784	0.216651856987303	1	0.209118333642503	0.224525104684854	0.255344115428476	0.335578027607012	0.202123306251819	0.277969282645598	0.204825432704685	0.138888888888889	0.122205929184461	0.261891400439462	0.201049625529064
GATA2	0.245440346836908	0.133108717016251	0.311751110695825	0.240282945860364	0.209118333642503	1	0.310460210282533	0.237646593946679	0.270676997769406	0.210983254304656	0.32612338205663	0.185863553954972	0.134433214484466	0.15771394453755	0.232365558525642	0.365148371670111
GFI1B	0.316227766016838	0.228664780190012	0.365148371670111	0.257985766401107	0.224525104684854	0.310460210282533	1	0.340206908719886	0.309993703316851	0.205934021071738	0.393919298579168	0.177384028063397	0.128300059819917	0.211666878333651	0.31752644813856	0.201049625529064
IKZF1	0.322748612183951	0.245049014704902	0.335410196624968	0.22979399584857	0.255344115428476	0.237646593946679	0.340206908719886	1	0.355934248407187	0.226994972537393	0.321633760451339	0.203672042472588	0.157134840263677	0.233314131314346	0.333333333333333	0.226994972537393
IRF8	0.294085848837523	0.15949044456578	0.424476359978009	0.196299727682028	0.335578027607012	0.270676997769406	0.309993703316851	0.355934248407187	1	0.229817699391451	0.274753129892699	0.201049625529064	0.111859342535671	0.147634648839373	0.348024598442583	0.0611029645922305
MEF2C	0.175829549662027	0.127142615687439	0.270707300876965	0.147792565034562	0.202123306251819	0.210983254304656	0.205934021071738	0.226994972537393	0.229817699391451	1	0.194691324322	0.180820560556338	0.148620078126338	0.0941531285871745	0.201773308922127	0.257985766401107
MEIS1	0.33218191941496	0.180150939644418	0.431516971336846	0.203251144288266	0.277969282645598	0.32612338205663	0.393919298579168	0.321633760451339	0.274753129892699	0.194691324322	1	0.209624975741642	0.138984641322799	0.200111203789521	0.321633760451338	0.177384028063397
MYC	0.189316422860252	0.114079161899069	0.267182392156493	0.215292017419113	0.204825432704685	0.185863553954972	0.177384028063397	0.203672042472588	0.201049625529064	0.180820560556338	0.209624975741642	1	0.108813511124364	0.084479227844463	0.271562723296784	0.210983254304656
NOTCH1	0.106501608403782	0.0990147542976674	0.105409255338946	0.121866669555358	0.138888888888889	0.134433214484466	0.128300059819917	0.157134840263677	0.111859342535671	0.148620078126338	0.138984641322799	0.108813511124364	1	0.0611029645922305	0.0916619901538117	0.0626224291085149
RAG2	0.200804832225625	0.261364105121419	0.13912166872805	0.125099768552877	0.122205929184461	0.15771394453755	0.211666878333651	0.233314131314346	0.147634648839373	0.0941531285871745	0.200111203789521	0.084479227844463	0.0611029645922305	1	0.207390338946085	0.267182392156493
SATB1	0.258198889747161	0.326732019606536	0.397523195999963	0.191494996540475	0.261891400439462	0.232365558525642	0.31752644813856	0.333333333333333	0.348024598442583	0.201773308922127	0.321633760451338	0.271562723296784	0.0916619901538117	0.207390338946085	1	0.213003216807565
SPI1	0.201049625529064	0.321633760451339	0.277969282645598	0.121866669555358	0.157134840263677	0.216651856987303	0.0916619901538117	0.209624975741642	0.226994972537393	0.335578027607012	0.393919298579168	0.229817699391451	0.311751110695825	0.203672042472588	0.133108717016251	1
