	CBFB	CBX7	ELF1	ESR1	FOXO1	GATA2	GFI1B	IKZF1	IRF8	MEF2C	MEIS1	MYC	NOTCH1	RAG2	SATB1	SPI1
CBFB	1	0.0307381696073134	0.162751275660799	0.0394155107609652	0.0970572189676601	0.0877339012450345	0.0125054720339429	0.120222230020932	0.070070216199289	0.0693362243392293	0.0121486611600116	0.14324978310568	0.0622435003003202	0.041365932909892	0.151676559586126	0.0471063777838567
CBX7	0.0307381696073134	1	0.00594528005519188	0.00669124817319281	0.0196456196722794	0.130188242964391	0.0561418394752393	0.0465182599986359	0.0400918458474099	0.0685096842516614	0.086551503461201	0.0323210995757542	0.0452970107778314	0.058464445103417	0.110340215356966	0.0172732129759183
ELF1	0.162751275660799	0.00594528005519188	1	0.0562287003133207	0.120177107761485	0.169371655265484	0.00692835661150742	0.138260052670637	0.0999085566404194	0.178121714055063	0.0433493638951488	0.103113607671273	0.135076603213786	0.144052679915254	0.244748735547446	0.119862513778257
ESR1	0.0394155107609652	0.00669124817319281	0.0562287003133207	1	0.0847660743325034	0.148568264877829	0.0239017795265462	0.100667580895746	0.0751155782744239	0.0693546350397513	0.0111237321069014	0.0789990437081938	0.110427949279663	0.113889826019677	0.204287137793912	0.0555977590201585
FOXO1	0.0970572189676601	0.0196456196722794	0.120177107761485	0.0847660743325034	1	0.0925347128147684	0.0136559756572257	0.0347112979688132	0.0141104225532258	0.0374613245388599	0.0101859292018464	0.113835408644906	0.0931108074925073	0.00066848557740213	0.095520360378111	0.117463910401937
GATA2	0.0877339012450345	0.130188242964391	0.169371655265484	0.148568264877829	0.0925347128147684	1	0.259604007301966	0.244706054030324	0.233167608735332	0.200278820798357	0.176748819010887	0.0745317219780545	0.225441058679683	0.20582800990236	0.34361483393438	0.0948604975572039
GFI1B	0.0125054720339429	0.0561418394752393	0.00692835661150742	0.0239017795265462	0.0136559756572257	0.259604007301966	1	0.114701510612959	0.066973730286864	0.101745649752092	0.0627795607488296	0.0817686211190273	0.0882992816218003	0.0377569539965119	0.167756715593808	0.0169657033405676
IKZF1	0.120222230020932	0.0465182599986359	0.138260052670637	0.100667580895746	0.0347112979688132	0.244706054030324	0.114701510612959	1	0.147343640425724	0.232171337936593	0.0984149452399479	0.0953647387190902	0.218044594468263	0.141427093046515	0.307247291918493	0.124016138233175
IRF8	0.070070216199289	0.0400918458474099	0.0999085566404194	0.0751155782744239	0.0141104225532258	0.233167608735332	0.066973730286864	0.147343640425724	1	0.146067507893362	0.193435852606579	0.075864363780997	0.188446913553871	0.211996355516269	0.284416304783773	0.0944589821043453
MEF2C	0.0693362243392293	0.0685096842516614	0.178121714055063	0.0693546350397513	0.0374613245388599	0.200278820798357	0.101745649752092	0.232171337936593	0.146067507893362	1	0.0166541699083292	0.0765858470427903	0.223799237050895	0.158354291246578	0.29920324960631	0.138077264051969
MEIS1	0.0121486611600116	0.086551503461201	0.0433493638951488	0.0111237321069014	0.0101859292018464	0.176748819010887	0.0627795607488296	0.0984149452399479	0.193435852606579	0.0166541699083292	1	0.0125293816850845	0.11818360279792	0.190210652089306	0.192898035211438	0.0179938381010559
MYC	0.14324978310568	0.0323210995757542	0.103113607671273	0.0789990437081938	0.113835408644906	0.0745317219780545	0.0817686211190273	0.0953647387190902	0.075864363780997	0.0765858470427903	0.0125293816850845	1	0.0230755639476272	0.0462676791024263	0.169408776794732	0.108347399114647
NOTCH1	0.0622435003003202	0.0452970107778314	0.135076603213786	0.110427949279663	0.0931108074925073	0.225441058679683	0.0882992816218003	0.218044594468263	0.188446913553871	0.223799237050895	0.11818360279792	0.0230755639476272	1	0.210500068754754	0.319554567573528	0.0845911817979121
RAG2	0.041365932909892	0.058464445103417	0.144052679915254	0.113889826019677	0.00066848557740213	0.20582800990236	0.0377569539965119	0.141427093046515	0.211996355516269	0.158354291246578	0.190210652089306	0.0462676791024263	0.210500068754754	1	0.219393603687209	0.0415558281391141
SATB1	0.151676559586126	0.110340215356966	0.244748735547446	0.204287137793912	0.095520360378111	0.34361483393438	0.167756715593808	0.307247291918493	0.284416304783773	0.29920324960631	0.192898035211438	0.169408776794732	0.319554567573528	0.219393603687209	1	0.172079035911767
SPI1	0.0471063777838567	0.0172732129759183	0.119862513778257	0.0555977590201585	0.117463910401937	0.0948604975572039	0.0169657033405676	0.124016138233175	0.0944589821043453	0.138077264051969	0.0179938381010559	0.108347399114647	0.0845911817979121	0.0415558281391141	0.172079035911767	1
