	KLF6	BTG2	SPI1	MCM7	MCM5	MCM4	GATA2	IKZF1	IRF8	RUNX1T1	FOXO1	CD7	MYC	NOTCH1	CTR9	MLLT3	CBFB	GFI1B	H1F0	MEIS1	PBX1	RARB	HNF4A	ESR1	VDR	RUNX2	TSC22D3	MAML3	XPC	XRCC6	HMGB2	PGR	SOX18	NDN	ELF1	HOXA9	YBX1	NR3C2	EYA2	DACH1
KLF6	1	0.06167	0.09263	0.09086	0.07631	0.09476	0.07737	0.2479	0.09335	0.084	0.1174	0.1065	0.1073	0.05674	0.07918	0.08362	0.1098	0.2547	0.1218	0.1213	0.09223	0.08742	0.1258	0.1256	0.08098	0.0928	0.1795	0.1105	0.1006	0.07502	0.1173	0.07688	0.08445	0.08595	0.08336	0.1214	0.1108	0.08282	0.1026	0.08537
BTG2	0.06124	1	0.1319	0.08708	0.1635	0.08618	0.1062	0.09061	0.1999	0.2104	0.1636	0.1091	0.08177	0.09338	0.1312	0.07566	0.09473	0.08412	0.1468	0.1114	0.1215	0.09857	0.08372	0.1081	0.1653	0.09465	0.1559	0.07474	0.131	0.08396	0.1518	0.1163	0.09008	0.1823	0.09007	0.08887	0.1043	0.152	0.1825	0.08248
SPI1	0.08486	0.06325	1	0.1811	0.1406	0.0676	0.07828	0.09623	0.2406	0.079	0.07183	0.08403	0.09863	0.06949	0.09327	0.09621	0.06172	0.09664	0.08472	0.1343	0.1019	0.08452	0.06381	0.071	0.05606	0.09145	0.108	0.1055	0.06287	0.1145	0.09005	0.111	0.0759	0.125	0.3067	0.09097	0.07636	0.07544	0.1177	0.07418
MCM7	0.0898	0.08708	0.1811	1	0.679	0.7108	0.04061	0.04623	0.04866	0.06964	0.08321	0.07725	0.06405	0.04115	0.03581	0.04456	0.1054	0.07862	0.281	0.0842	0.1008	0.1084	0.06706	0.05491	0.0757	0.04258	0.1289	0.04184	0.06342	0.04964	0.141	0.05191	0.0775	0.08129	0.05531	0.1235	0.05036	0.04816	0.05397	0.03717
MCM5	0.08351	0.1635	0.1482	0.6675	1	0.5733	0.03168	0.05743	0.07169	0.09036	0.05417	0.08024	0.04691	0.02607	0.06502	0.04907	0.1116	0.08878	0.2193	0.09198	0.1083	0.06631	0.06668	0.07755	0.05334	0.0573	0.181	0.04775	0.03624	0.0483	0.1515	0.07135	0.0851	0.06745	0.06043	0.05999	0.0679	0.04829	0.06182	0.03847
MCM4	0.1034	0.08618	0.07186	0.7087	0.5733	1	0.04964	0.06502	0.07272	0.08998	0.05341	0.09058	0.05873	0.03427	0.03246	0.05368	0.1016	0.06485	0.07318	0.05817	0.097	0.05527	0.05037	0.05608	0.07505	0.06917	0.1467	0.03528	0.0404	0.06212	0.1544	0.03037	0.07721	0.08539	0.06297	0.09895	0.06341	0.03835	0.05033	0.03951
GATA2	0.08027	0.08656	0.08423	0.03467	0.02711	0.04485	1	0.06521	0.05105	0.04857	0.06796	0.06101	0.0796	0.05143	0.04613	0.05779	0.05306	0.07094	0.09857	0.05197	0.04778	0.0774	0.06398	0.07324	0.0821	0.05863	0.1271	0.0656	0.05337	0.0434	0.07138	0.05804	0.06608	0.07814	0.05846	0.1048	0.06549	0.06749	0.06338	0.05918
IKZF1	0.2317	0.07513	0.09077	0.04991	0.04144	0.05959	0.06089	1	0.05739	0.0538	0.06402	0.1387	0.06369	0.06393	0.05804	0.05206	0.1372	0.2486	0.1008	0.09483	0.06127	0.07655	0.05975	0.058	0.06218	0.06887	0.1135	0.06155	0.06494	0.0521	0.1085	0.05526	0.06612	0.1025	0.04477	0.1164	0.07323	0.07013	0.04974	0.0676
IRF8	0.09226	0.1679	0.2454	0.07421	0.104	0.04723	0.0947	0.06829	1	0.07435	0.1464	0.1123	0.05063	0.03805	0.04845	0.04665	0.1407	0.05718	0.1371	0.07428	0.0827	0.05309	0.05988	0.05003	0.07639	0.07888	0.1602	0.04749	0.05206	0.04846	0.1241	0.07347	0.0727	0.06472	0.1542	0.05256	0.0836	0.05026	0.05341	0.09134
RUNX1T1	0.09368	0.197	0.06593	0.05764	0.09009	0.04489	0.04857	0.04483	0.04285	1	0.05509	0.1095	0.07681	0.04093	0.05413	0.05049	0.1208	0.0915	0.1359	0.09354	0.08249	0.06177	0.06268	0.04111	0.08946	0.04238	0.3906	0.1141	0.05417	0.04036	0.1079	0.04107	0.1045	0.09893	0.06305	0.07753	0.07575	0.05788	0.0642	0.1207
