	KLF6	BTG2	SPI1	MCM7	MCM5	MCM4	GATA2	IKZF1	IRF8	RUNX1T1	FOXO1	CD7	MYC	NOTCH1	CTR9	MLLT3	CBFB	GFI1B	H1F0	MEIS1	PBX1	RARB	HNF4A	ESR1	VDR	RUNX2	TSC22D3	MAML3	XPC	XRCC6	HMGB2	PGR	SOX18	NDN	ELF1	HOXA9	YBX1	NR3C2	EYA2	DACH1
KLF6	1	0.105854920987283	0.0398737744318487	0.136215979904314	0.126486638307187	0.0935201080992321	0.171675603379076	0.101567120872955	0.0486940262586338	0.101747429817994	0.0549306054044139	0.0279565400895191	0.148769060514396	0.0599802159950767	0.138792318395724	0.145770555119682	0.0964948874982309	0.0148115534592559	0.166263814922988	0.126919605949372	0.0755555771256267	0.059758284990923	0.0423942471854725	0.0175546709052062	0.13295559500398	0.0728654419178163	0.107944965998225	0.0517733280160089	0.0661160535373328	0.113506443600382	0.102526569447213	0.0354950239908085	0.0641524370366224	0.113079460412796	0.0819777123495253	0.0507864122596732	0.151716047555002	0.047159870058137	0.0825668716861265	0.0240460463319264
BTG2	0.105854920987283	1	0.117541473773283	0.0481323029430634	0.049559459163859	0.0715001308175262	0.200050582832029	0.153298789579174	0.170147210423511	0.12543887465886	0.038265412340265	0.147500046046401	0.0242867305564376	0.157457152614215	0.104338534662705	0.188228061512514	0.0866671047299378	0.0474506621426349	0.0332036530010349	0.0400852470785118	0.139711557934137	0.0857016033688906	0.0617733220821499	0.129899824417222	0.03124986108455	0.0545251374667583	0.029564597245468	0.134417855376442	0.143616719089436	0.152672483429658	0.0908161416749264	0.131479077820021	0.113335538103232	0.133151511927138	0.146556339873745	0.109527210235808	0.044893360844233	0.00371690100836503	0.151036472334496	0.0779384856196025
SPI1	0.0398737744318487	0.117541473773283	1	0.0642338025994496	0.0857061006143153	0.101998091689325	0.0948604975572039	0.124016138233175	0.0944589821043453	0.0669305893910757	0.117463910401937	0.0534009990346094	0.108347399114647	0.0845911817979121	0.0719695546331768	0.189657619243717	0.0471063777838567	0.0169657033405676	0.106178659336218	0.0179938381010559	0.0958050090832159	0.0988691992856658	0.113614604736493	0.0555977590201585	0.0375962375373952	0.141747022094381	0.0362173027298394	0.076683758999808	0.145638644481042	0.130476908438629	0.0788745238649859	0.0693443278814102	0.057318591408603	0.0513914904658504	0.119862513778257	0.119229991024459	0.118848637957827	0.0758705925319906	0.0368998570527777	0.0770186188453811
MCM7	0.136215979904314	0.0481323029430634	0.0642338025994496	1	0.494874650963461	0.411778693647326	0.142720777105052	0.143467118163494	0.154104800523472	0.129299435713956	0.100010968490185	0.0259774753687046	0.197273338970001	0.127723033535071	0.203699668585241	0.235507671528273	0.135256208821022	0.0370216781821698	0.0985425732599915	0.02699387355474	0.100825175741115	0.0694004400442272	0.068987842190098	0.0880100391696734	0.104120864971268	0.106082869352015	0.162748125217312	0.0868917798408295	0.0997330305311177	0.252829888962478	0.344871049658447	0.0462451458202074	0.0834480744698292	0.0677606487584759	0.116555958588061	0.0490400532984556	0.349453355774949	0.0749639482829134	0.0725575802236103	0.00108021671661751
MCM5	0.126486638307187	0.049559459163859	0.0857061006143153	0.494874650963461	1	0.493071148094338	0.189787457847157	0.128379829821178	0.184053510997111	0.0645615729879949	0.0666318634744643	0.0447787411310913	0.271153192139336	0.0920927714757034	0.164851632330591	0.198887361159109	0.237056310232879	0.0291586375550556	0.133908789523906	0.0977909256148167	0.0988591053567628	0.0453176989035347	0.0813514260888054	0.0349282090409469	0.0413629156081531	0.0450217951456753	0.111210512022237	0.0963137373069452	0.072395960024761	0.24226186891345	0.337859224737849	0.000838019595168045	0.0451835526281034	0.0590610585801476	0.121567683774065	0.0101342598557717	0.358491957335061	0.0576971478226477	0.0251297930412584	0.00924260235089711
MCM4	0.0935201080992321	0.0715001308175262	0.101998091689325	0.411778693647326	0.493071148094338	1	0.129446234547313	0.163604012576171	0.14127976323365	0.0483307769767137	0.0329487175387306	0.0230031299786804	0.19080154179192	0.100295187693184	0.114414516348485	0.155039664741846	0.236455929488823	0.0222134200300525	0.08187803539806	0.0552844061584886	0.127886120094027	0.0486529644863884	0.0519639982800413	0.0665629944521036	0.0567966549462082	0.0366824068691771	0.142977018471985	0.0681589817166402	0.0817465961345918	0.235529028832155	0.317394478868919	0.00138899661940223	0.00102964413763502	0.0164457927470961	0.061627151606577	0.0627808219862296	0.328453987687478	0.0156281565681276	0.103746821475368	0.0235618726458994
GATA2	0.171675603379076	0.200050582832029	0.0948604975572039	0.142720777105052	0.189787457847157	0.129446234547313	1	0.244706054030324	0.233167608735332	0.22097070376585	0.0925347128147684	0.100275515819451	0.0745317219780545	0.225441058679683	0.14922844837221	0.330782998322626	0.0877339012450345	0.259604007301966	0.14833667541521	0.176748819010887	0.214535156976676	0.0975846656409581	0.106022560880061	0.148568264877829	0.165830876355792	0.148786464171148	0.167768390815225	0.146617602248062	0.161289345591248	0.139162351335071	0.144157802206734	0.138826464558417	0.147994103370775	0.263414695997457	0.169371655265484	0.102811221913125	0.135093096693893	0.0567568372994362	0.116132410843481	0.151806013079086
IKZF1	0.101567120872955	0.153298789579174	0.124016138233175	0.143467118163494	0.128379829821178	0.163604012576171	0.244706054030324	1	0.147343640425724	0.104294573436276	0.0347112979688132	0.0606911422461289	0.0953647387190902	0.218044594468263	0.140728811353192	0.240363958536781	0.120222230020932	0.114701510612959	0.0418000479782114	0.0984149452399479	0.129506483265934	0.0763406435769181	0.0972301940874997	0.100667580895746	0.0535667873476295	0.134849968582794	0.107733464455733	0.134386561947207	0.0750160169405887	0.137424812621583	0.180929414781832	0.104674068022888	0.0820570558588993	0.120506257368406	0.138260052670637	0.135031341199368	0.0429437513289951	0.00436797970643505	0.114040264585063	0.0722234174436754
IRF8	0.0486940262586338	0.170147210423511	0.0944589821043453	0.154104800523472	0.184053510997111	0.14127976323365	0.233167608735332	0.147343640425724	1	0.00830861033263452	0.0141104225532258	0.12058909932585	0.075864363780997	0.188446913553871	0.198847336841533	0.190360913828577	0.070070216199289	0.066973730286864	0.0589006136470102	0.193435852606579	0.0963884785343544	0.0196015323966304	0.00228652467141644	0.0751155782744239	0.0258304076047001	0.0329582287540164	0.147961877605409	0.149962727798936	0.113075480562174	0.159365817663242	0.130972921747246	0.0746891646378536	0.0679329991169345	0.126941241275884	0.0999085566404194	0.0492280976091537	0.125959191086619	0.0708874838903081	0.110125519534956	0.0960487452089537
RUNX1T1	0.101747429817994	0.12543887465886	0.0669305893910757	0.129299435713956	0.0645615729879949	0.0483307769767137	0.22097070376585	0.104294573436276	0.00830861033263452	1	0.057753426257219	0.0206993871635842	0.145546458058569	0.0970417848082334	0.0850130907547319	0.266065662041159	0.0630580066504546	0.0830107423686239	0.0536885120199342	0.0940149443951643	0.141470929682587	0.162926099117263	0.085054957662383	0.0407144892314587	0.053239760612818	0.0501501260064104	0.0607286300803961	0.101056386901653	0.12421059039218	0.124432456104867	0.107000673511862	0.074747884598812	0.226900166759933	0.205861756857607	0.0387056376417658	0.102036386459607	0.094900633456999	0.0688556158512957	0.189117432080599	0.113403267334915
