	KLF6	BTG2	SPI1	MCM7	MCM5	MCM4	GATA2	IKZF1	IRF8	RUNX1T1	FOXO1	CD7	MYC	NOTCH1	CTR9	MLLT3	CBFB	GFI1B	HNF4A	ESR1	VDR	RUNX2	TSC22D3	MEIS1	MAML3	XPC	XRCC6	HMGB2	PGR	SOX18	NDN	ELF1	HOXA9	PBX1	YBX1	NR3C2	H1F0	EYA2	DACH1
KLF6	1	0.095672974646988	0.169434748417471	0.176604314275339	0.195646395217807	0.143509461970482	0.302179779099527	0.331133089266261	0.377157143202357	0.18394180184549	0.312195270527231	0	0.237397785226333	0.109268344684531	0.140487871737254	0.195646395217807	0.256494588021288	0.4325904563487	0.346697485590732	0.228277187220526	0.28903665650804	0.322212968124633	0.205195670417031	0.340811458273844	0.260132990857236	0.288429975200615	0.212707993911967	0.243094850185106	0.294963086405008	0.310226693731792	0.247225693029099	0.533113989983183	0.418853908291695	0.356887126487678	0.286902292026516	0.345857231933037	0.200250469728704	0.195646395217807	0.376968517462526
BTG2	0.095672974646988	1	0.223957004382342	0.120385853085769	0.0889108448948774	0.0869565217391304	0.205986873205428	0.120385853085769	0.137118234038212	0.167183463772606	0.141876088459791	0	0.0980769303311342	0.099313261921854	0.127688479613812	0.133366267342316	0.139875721236047	0.147441956154897	0.12119654139093	0.103739798340817	0.131351734373183	0.097619064912676	0.186500961648063	0.0774403092662366	0.0788110406239101	0.149801177254628	0.110473635333221	0.110473635333221	0.1191510937469	0.105736106527536	0.187251471568285	0.0538381902058166	0.114208048144032	0.117953564923918	0.168585446084705	0.0943041920192897	0.045501575519329	0.177821689789755	0.152277397525376
SPI1	0.118771137369734	0.0975900072948533	1	0.355934248407187	0.179712689361946	0.3	0.110473635333221	0.122205929184461	0.268043853373619	0.201049625529064	0.224525104684854	0.206714103550839	0.127453185483645	0.285773803324704	0.045501575519329	0.136082763487954	0.131812432549124	0.298245614035088	0.153947401737236	0.133498247846995	0.156772360333924	0.267553917205721	0.0592348877759092	0.154303349962092	0.161164592805076	0.409193967641251	0.0592348877759092	0.194624736040381	0.376968517462526	0.335658556671309	0.186338998124983	0.113960576459638	0.261711961295107	0.106501608403782	0.152286225968293	0.259039735065807	0.294963086405008	0.122023831140845	0.127775312999988
MCM7	0.176604314275339	0.120385853085769	0.105081387498547	1	0.779579442869107	0.882829589295641	0.084496566736597	0.166666666666667	0.126554399433667	0.154303349962092	0.130945700219731	0	0.126729270871833	0.0654728501098655	0.117851130197758	0.246182981958665	0.172132593164774	0.181443684650606	0.111859342535671	0.0574484989621426	0.121232161242218	0.15767205495988	0.172132593164774	0.142948337978373	0.145478593490662	0.276520451928113	0.28039700806402	0.127453185483645	0.0824786098842323	0.0975900072948533	0.172825282455071	0.0993807989999907	0.140545673785261	0.136082763487954	0.257349548992652	0.116051770637132	0.167984210226323	0.205152484965555	0.175682092231577
MCM5	0.195646395217807	0.0889108448948774	0	0.779579442869107	1	0.844653026501335	0.0936072754401818	0.153864363724166	0.140199927446556	0.113960576459638	0.116051770637132	0	0.0601687089090165	0.0435194139889245	0.0870388279778489	0.181818181818182	0.143019388386839	0.150755672288882	0.0991363194193219	0.063642792525973	0.107443061870051	0.124766282126487	0.0953462589245592	0.118771137369734	0.161164592805076	0.229751874320245	0.254152122626207	0.141195623681226	0.0913717355809759	0.0720749970156447	0.153167916213497	0.110096376512636	0.116774841624228	0.120604537831105	0.110473635333221	0.128564869306645	0.186096842079694	0.136363636363636	0.155699788832305
MCM4	0.143509461970482	0.0869565217391304	0.131812432549124	0.882829589295641	0.844653026501335	1	0.0915497214246348	0.150482316357212	0.137118234038212	0.167183463772606	0.113500870767833	0	0.0784615442649073	0.0425628265379374	0.127688479613812	0.222277112237194	0.186500961648063	0.196589274873196	0.0969572331127439	0.0622438790044902	0.105081387498547	0.122023831140845	0.186500961648063	0.154880618532473	0.15762208124782	0.224701765881942	0.276184088333054	0.138092044166527	0.0893633203101749	0.105736106527536	0.149801177254628	0.107676380411633	0.152277397525376	0.117953564923918	0.0735214622093808	0.125738922692386	0.182006302077316	0.133366267342316	0.152277397525376
GATA2	0.302179779099527	0.205986873205428	0.203251144288266	0.084496566736597	0.0936072754401818	0.0915497214246348	1	0.237646593946679	0.270676997769406	0.176014394654657	0.209118333642503	0.0490880693673816	0.185863553954972	0.134433214484466	0.156838750231877	0.140410913160273	0.245440346836908	0.310460210282533	0.267956556887548	0.240282945860364	0.207434953411256	0.218397893475571	0.147264208102145	0.32612338205663	0.124460972046753	0.118285458403163	0.101770419803951	0.174463576806774	0.235209128549336	0.259749647772759	0.197142430671938	0.311751110695825	0.300601806021076	0.263891178740153	0.294963086405008	0.231666187312523	0.0718575757147955	0.0936072754401818	0.240481444816861
IKZF1	0.331133089266261	0.120385853085769	0.120337417818033	0.166666666666667	0.153864363724166	0.150482316357212	0.237646593946679	1	0.355934248407187	0.270030862433661	0.255344115428476	0	0.203672042472588	0.157134840263677	0.176776695296637	0.215410109213832	0.322748612183951	0.340206908719886	0.302020224846311	0.22979399584857	0.309142011167656	0.337868689199743	0.193649167310371	0.321633760451339	0.163663417676994	0.181466546577824	0.229415733870562	0.267651689515655	0.268055482123755	0.317167523708273	0.259237923682606	0.335410196624968	0.289875452182101	0.347011046894284	0.136082763487954	0.261116483933547	0.0944911182523068	0.215410109213832	0.421637021355784
IRF8	0.377157143202357	0.137118234038212	0.330165123853215	0.126554399433667	0.140199927446556	0.137118234038212	0.270676997769406	0.355934248407187	1	0.175749910065499	0.335578027607012	0.0735214622093808	0.201049625529064	0.111859342535671	0.234904619324909	0.210299891169834	0.294085848837523	0.309993703316851	0.267553917205721	0.196299727682028	0.227835580867107	0.269380245009416	0.220564386628142	0.274753129892699	0.18641092980036	0.177161578607248	0.195976600339204	0.239526955970138	0.23485569615051	0.333462008626037	0.236215438142997	0.424476359978009	0.330165123853215	0.325493388482694	0.0445435403187374	0.247840798548305	0.107624400500126	0.105149945584917	0.390195146371982
RUNX1T1	0.18394180184549	0.167183463772606	0.177704663327728	0.154303349962092	0.113960576459638	0.167183463772606	0.176014394654657	0.270030862433661	0.175749910065499	1	0.181848241863327	0	0.150850936546281	0.127293769304329	0.218217890235992	0.227921152919276	0.179284291400159	0.314970394174356	0.18641092980036	0.132967437602285	0.235702260395516	0.187683374126956	0.239045721866879	0.198516666794186	0.202030508910442	0.144004608221196	0.141598465080958	0.176998081351197	0.190900887080303	0.18070158058105	0.192006144294928	0.138013111868471	0.243975018237133	0.188982236504614	0.186500961648063	0.241746889207614	0.116642368703961	0.170940864689457	0.243975018237133
