	BTG2	KLF6	ITGB2	PLK2	CDT1	UHRF1	MCM5	MCM7	MKI67	GMNN	POLA2	SLBP	TIPIN	NCAPD2	MCM4	TOP2A	PRIM1	TYROBP	GATA2	SPI1	LCP1	MPO	SERPINA3N	PLEK	FLT3	MPEG1	IKZF1	ITGAM	LAPTM5	CSF1R	CTSS	CD53	IRF8	RUNX1T1	CSF3R	IL7R	CD33	CD44	APP	MLLT3	CTR9	KIT	CRIP1	MYC	CBFB	GFI1B	H2AFY	CD34	FOXO1	HNF4A	DUSP1	OTUB2	LY86	ESR1	CDK6	ANXA5	NOTCH1	RUNX2	VDR	DTL	CD38	SELL	MEIS1	MAML3	IGF1	ADAM17	XRCC6	XPC	USP11	VEGFC	NDN	ELF1	HOXA9	PBX1	PGR	PGRMC1	NR3C2	H1F0	HMGB2	DACH1	EYA2
BTG2	1	0.095672974646988	0.0294883912309794	0.0884651736929383	0.0834057656228299	0.14303970797043	0.0889108448948774	0.120385853085769	0.091003151038658	0.231325972786496	0.125738922692386	0.104257207028537	0.202288694969669	0.091003151038658	0.0869565217391304	0.120385853085769	0.0557278212575353	0.0329690236697893	0.205986873205428	0.0975900072948533	0.0715198539852152	0	0	0.0401286176952564	0.0547585678193394	0	0.120385853085769	0.0621669872160209	0.0325644804512918	0.0899387500826576	0	0	0.137118234038212	0.167183463772606	0.0601929265428846	0	0	0.0814387934696855	0.111956569275048	0.133366267342316	0.127688479613812	0.0410910714179416	0.0695048046856916	0.0980769303311342	0.139875721236047	0.147441956154897	0.0589767824619589	0.0368604890387243	0.141876088459791	0.12119654139093	0.145190801728126	0	0.0737209780774486	0.103739798340817	0.141876088459791	0.0725954008640628	0.099313261921854	0.097619064912676	0.131351734373183	0.120385853085769	0.0374502943136569	0.0434782608695652	0.0774403092662366	0.0788110406239101	0.0524944227638563	0.0727179248345579	0.110473635333221	0.149801177254628	0.111455642515071	0.0333890281647089	0.187251471568285	0.0538381902058166	0.114208048144032	0.117953564923918	0.1191510937469	0.0869565217391304	0.0943041920192897	0.045501575519329	0.110473635333221	0.152277397525376	0.177821689789755
KLF6	0.095672974646988	1	0.0324442842261525	0.0973328526784575	0.137649440322337	0.157377895072927	0.195646395217807	0.176604314275339	0.250313087160879	0.127256952595156	0.27668578554643	0.286769667338202	0.166924465222397	0.200250469728704	0.143509461970482	0.231793162486383	0.0613139339484966	0.0362738125055006	0.302179779099527	0.0953462589245592	0.118033421304695	0.150187852296528	0	0.0441510785688348	0.0301237616564389	0	0.331133089266261	0.0341992784028385	0	0.074215604399294	0.0399361531915436	0	0.377157143202357	0.18394180184549	0.0662266178532522	0.132453235706504	0.132453235706504	0.0298673845544749	0.092384255369158	0.195646395217807	0.140487871737254	0.0904200157816849	0.152943822580374	0.237397785226333	0.256494588021288	0.4325904563487	0.12977713690461	0.0405553552826906	0.312195270527231	0.346697485590732	0.0798723063830872	0	0	0.228277187220526	0.124878108210893	0.0399361531915436	0.109268344684531	0.322212968124633	0.28903665650804	0.220755392844174	0	0.047836487323494	0.340811458273844	0.260132990857236	0.019252140716413	0.0800071120593997	0.212707993911967	0.288429975200615	0.245255735793986	0	0.247225693029099	0.533113989983183	0.418853908291695	0.356887126487678	0.294963086405008	0.095672974646988	0.345857231933037	0.200250469728704	0.243094850185106	0.376968517462526	0.195646395217807
ITGB2	0.0294883912309794	0.0324442842261525	1	0.04	0.0282842712474619	0.0485071250072666	0	0.0272165526975909	0	0.0392232270276368	0.0426401432711221	0	0.0342997170285018	0	0.0294883912309794	0.0408248290463863	0.0755928946018454	0.156524758424985	0.0620920420565066	0.106047460495963	0.169774937525433	0.0308606699924184	0	0.0544331053951817	0.129986736723936	0.0447213595499958	0.0408248290463863	0.590291829898097	0.0662589156449079	0.0762492851663023	0.0492365963917331	0.15	0.0464990554975277	0.0755928946018454	0.244948974278318	0.0816496580927726	0.204124145231932	0.202526415937631	0.123390539447825	0.0301511344577764	0.0288675134594813	0.0975426220008265	0.0471404520791032	0.0266076042095096	0.0316227766016838	0.1	0.02	0.2	0.0192450089729875	0.0493196961916072	0	0	0.05	0.0985036562622408	0.0192450089729875	0.0492365963917331	0.0577350269189626	0.0165521177720474	0.0534522483824849	0.0272165526975909	0.0762000762001143	0.235907129847835	0.0262612865719445	0	0.0237356331638771	0.164398987305357	0.0374634324632678	0.0762000762001143	0	0.0679366220486757	0.0254000254000381	0	0.0258198889747161	0.02	0.0606091526731326	0.0884651736929383	0.106600358177805	0	0.0187317162316339	0.0258198889747161	0.0603022689155527
PLK2	0.0884651736929383	0.0973328526784575	0.04	1	0.113137084989848	0.0970142500145332	0.150755672288882	0.108866210790363	0.154303349962092	0.0784464540552736	0.0852802865422442	0.106066017177982	0.102899151085505	0.123442679969674	0.117953564923918	0.122474487139159	0.0377964473009227	0	0.0620920420565066	0.11322770341446	0.0970142500145332	0.0308606699924184	0	0.0272165526975909	0.148556270541641	0	0.0612372435695795	0.0210818510677892	0	0.137248713299344	0	0	0.0697485832462916	0.0755928946018454	0	0.0272165526975909	0.0408248290463863	0.0552344770738994	0.0759326396601999	0.0603022689155527	0.0577350269189626	0.111477282286659	0.0471404520791032	0.0798228126285287	0.0632455532033676	0.0666666666666667	0.1	0.025	0.115470053837925	0.0821994936526786	0.0738548945875996	0	0	0.084431705367635	0.3079201435678	0.0738548945875996	0.0288675134594813	0.0827605888602368	0.0534522483824849	0.163299316185545	0.0762000762001143	0	0.052522573143889	0.10690449676497	0.0237356331638771	0.0328797974610715	0.112390297389803	0.101600101600152	0.113389341902768	0	0.127000127000191	0.0365148371670111	0.0516397779494322	0.06	0.101015254455221	0.0294883912309794	0.0852802865422442	0.0925820099772552	0.0749268649265355	0.0774596669241483	0.0603022689155527
CDT1	0.0834057656228299	0.137649440322337	0.0282842712474619	0.113137084989848	1	0.171498585142509	0.255840859626732	0.269430125621825	0.305505046330389	0.221880078490092	0.301511344577764	0.1	0.242535625036333	0.218217890235992	0.291920179679905	0.173205080756888	0.10690449676497	0.0316227766016838	0.10976425998969	0	0.0342997170285018	0.0436435780471985	0	0	0.0262612865719445	0	0.144337567297406	0.0596284793999944	0.0312347523777212	0.0431331092813754	0	0	0.131519189844286	0.160356745147455	0.0577350269189626	0.038490017945975	0.0577350269189626	0.0260377821961648	0.0536924844171219	0.255840859626732	0.122474487139159	0.0197065855632859	0	0.0940720868383597	0.178885438199983	0.188561808316413	0.14142135623731	0	0.108866210790363	0.116247638743819	0.0696310623822791	0	0.0707106781186548	0.0796029752167991	0.136082763487954	0.0348155311911396	0.0544331053951817	0.117041147196131	0.100790526135794	0.1539600717839	0	0.041702882811415	0.185695338177052	0.151185789203691	0.0167836271659338	0.0232495277487639	0.132453235706504	0.179605302026775	0.160356745147455	0.0320256307610174	0.14368424162142	0.103279555898864	0.146059348668044	0.113137084989848	0.0857142857142857	0.041702882811415	0.120604537831105	0.218217890235992	0.132453235706504	0.182574185835055	0.0852802865422442
UHRF1	0.14303970797043	0.157377895072927	0.0485071250072666	0.0970142500145332	0.171498585142509	1	0.146254484825426	0.198029508595335	0.149696237713024	0.142695448246348	0.206835075998008	0.128623938856882	0.249567099242311	0.149696237713024	0.178799634963038	0.148522131446501	0.183339699405642	0.081348921681996	0.131770907012125	0.0726193242131597	0.0588235294117647	0.074848118856512	0	0	0.0450377349111045	0	0.222783197169752	0.0511309992564914	0.026783579200279	0.0554795041091482	0	0.0606339062590832	0.14097096860865	0.275009549108463	0.0495073771488337	0.0330049180992225	0.0495073771488337	0.0223272140344553	0.0690613883274196	0.182818106031783	0.175035010503501	0.0506947731313997	0.114332390095006	0.145199068147637	0.191741247211843	0.282958229209055	0.169774937525433	0	0.140028008402801	0.15949044456578	0.0597081434026532	0	0.0606339062590832	0.153582723256672	0.163366009803268	0.0597081434026532	0.0816830049016339	0.120434346885555	0.216067907850721	0.165024590496112	0.0616041103633697	0.0715198539852152	0.127385951059696	0.129640744710433	0.0143918415625851	0.039872611141445	0.136293255127276	0.184812331090109	0.137504774554232	0.0274617518190545	0.154010275908424	0.0885614885540095	0.12524485821703	0.0970142500145332	0.19599838302001	0.0715198539852152	0.180980691498257	0.224544356569536	0.159008797648489	0.156556072771287	0.219381727238139
MCM5	0.0889108448948774	0.195646395217807	0	0.150755672288882	0.255840859626732	0.146254484825426	1	0.779579442869107	0.372193684159388	0.177393718796725	0.321412173266612	0.159900537266708	0.206835075998008	0.232621052599618	0.844653026501335	0.184637236468999	0.113960576459638	0	0.0936072754401818	0.118285458403163	0.0365636212063565	0.0465242105199235	0	0.0410304969931109	0.0559892510955854	0	0.153864363724166	0.0317820863081864	0	0.0689700734807554	0.0371134809512603	0	0.140199927446556	0.113960576459638	0	0.0410304969931109	0.0615457454896664	0	0.0286181903516071	0.181818181818182	0.0870388279778489	0.0630218723852352	0.0710669054518702	0.0601687089090165	0.143019388386839	0.150755672288882	0.120604537831105	0.0376889180722204	0.116051770637132	0.0991363194193219	0.148453923805041	0.0642824346533225	0	0.063642792525973	0.174077655955698	0.0371134809512603	0.0435194139889245	0.124766282126487	0.107443061870051	0.205152484965555	0.0382919790533742	0	0.118771137369734	0.161164592805076	0	0.049568159709661	0.254152122626207	0.229751874320245	0.284901441149095	0	0.153167916213497	0.110096376512636	0.116774841624228	0.120604537831105	0.0913717355809759	0	0.128564869306645	0.186096842079694	0.141195623681226	0.155699788832305	0.136363636363636
MCM7	0.120385853085769	0.176604314275339	0.0272165526975909	0.108866210790363	0.269430125621825	0.198029508595335	0.779579442869107	1	0.335968420452646	0.160128153805087	0.406181197229962	0.144337567297406	0.233380014004668	0.209980262782904	0.882829589295641	0.194444444444444	0.154303349962092	0.0304290309725092	0.084496566736597	0.161100558132207	0.0660098361984449	0.0419960525565808	0	0	0.101079739143854	0	0.166666666666667	0.0573775310549247	0.0300556544889144	0.103762134394115	0.0335012605086404	0	0.126554399433667	0.154303349962092	0.0555555555555556	0.0740740740740741	0.111111111111111	0.0501097352001886	0.0258328086097376	0.246182981958665	0.117851130197758	0.0758506831984766	0	0.126729270871833	0.172132593164774	0.181443684650606	0.108866210790363	0	0.130945700219731	0.111859342535671	0.100503781525921	0.0580258853185659	0.0680413817439772	0.0574484989621426	0.20951312035157	0.0335012605086404	0.0654728501098655	0.15767205495988	0.121232161242218	0.222222222222222	0.0345650564910142	0.0401286176952564	0.142948337978373	0.145478593490662	0.0323001055407673	0.0671156055214024	0.28039700806402	0.276520451928113	0.25717224993682	0.0616333551361366	0.172825282455071	0.0993807989999907	0.140545673785261	0.136082763487954	0.0824786098842323	0.0401286176952564	0.116051770637132	0.167984210226323	0.127453185483645	0.175682092231577	0.205152484965555
MKI67	0.091003151038658	0.250313087160879	0	0.154303349962092	0.305505046330389	0.149696237713024	0.372193684159388	0.335968420452646	1	0.181568259800641	0.197385508487931	0.218217890235992	0.211702449609985	0.285714285714286	0.318511028635303	0.28347335475692	0	0	0.0958101009530607	0.844653026501335	0.037424059428256	0.0476190476190476	0	0.0419960525565808	0.0859602382591879	0	0.157485197087178	0.0325300024316178	0	0.0941241610670023	0	0	0.143499200666835	0.116642368703961	0	0.0419960525565808	0.0629940788348712	0	0.0292916516775831	0.232621052599618	0.0890870806374748	0.107508238134383	0.0727392967453308	0.123169273919784	0.14638501094228	0.154303349962092	0.18516401995451	0.038575837490523	0.1187827741833	0.101469257886368	0.113960576459638	0	0	0.0651404749061921	0.17817416127495	0.0379868588198793	0.0742392338645623	0.204323777695519	0.109971479845643	0.209980262782904	0	0	0.121566134770966	0.164957219768465	0.0183124385532878	0.0253673144715921	0.231229325206432	0.235158540500886	0.233284737407922	0.0349428278907306	0.156772360333924	0.112687233963802	0.119522860933439	0.18516401995451	0.0935219529582825	0	0.131590338991954	0.238095238095238	0.202325659555628	0.199204768222399	0.0930484210398471
GMNN	0.231325972786496	0.127256952595156	0.0392232270276368	0.0784464540552736	0.221880078490092	0.142695448246348	0.177393718796725	0.160128153805087	0.181568259800641	1	0.167248402001418	0.138675049056307	0.269069117598525	0.181568259800641	0.173494479589872	0.120096115353815	0.0741249316661101	0.0438529009653515	0.0913293848321974	0.0536488098304502	0.0951302988308988	0	0	0.0533760512683624	0.0364178520364615	0	0.200160192256359	0.0826898230594723	0.043314808182421	0.029907430227729	0	0	0.136788225776266	0.370624658330551	0.0800640769025436	0	0	0.0361079072337059	0.0558435593287455	0.118262479197817	0.11322770341446	0.0546562343944197	0.0924500327042049	0.0782727075428324	0.124034734589208	0.130744090092123	0.0392232270276368	0.049029033784546	0.11322770341446	0.128965176043832	0.14484136487558	0	0.098058067569092	0.0827920986991322	0.188712839024099	0.0965609099170535	0.0754851356096397	0.194768241948359	0.174714139453653	0.106752102536725	0.0498135481386718	0.057831493196624	0.154507860787381	0.104828483672192	0.0232747032057864	0.0644825880219161	0.146943671674129	0.149440644416015	0.14824986333222	0.0888231183368655	0.149440644416015	0.0716114874039433	0.101273936708367	0.196116135138184	0.118864327762549	0.057831493196624	0.125436301501064	0.0605227532668802	0.183679589592661	0.202547873416733	0.177393718796725
POLA2	0.125738922692386	0.27668578554643	0.0426401432711221	0.0852802865422442	0.301511344577764	0.206835075998008	0.321412173266612	0.406181197229962	0.197385508487931	0.167248402001418	1	0.226133508433323	0.219381727238139	0.197385508487931	0.377216768077159	0.174077655955698	0.40291148201269	0.0476731294622796	0.132380678464299	0.164364285671766	0.103417537999004	0.0657951694959769	0	0	0.0395903791232448	0	0.217597069944622	0.0898933149950989	0.0470881609348011	0.0650256088762355	0	0	0.198272638838644	0.241746889207614	0.0870388279778489	0.116051770637132	0.174077655955698	0.078506867197886	0.0404722329258176	0.321412173266612	0.184637236468999	0.0297087955511153	0	0.11345520555948	0.269679944985297	0.284267621807481	0.127920429813366	0	0.164121987972444	0.175249909308195	0.0524863881081478	0	0.106600358177805	0.0900045003375281	0.164121987972444	0.0524863881081478	0.102576242482777	0.176446168310146	0.189934294099397	0.232103541274264	0	0.0628694613461932	0.223957004382342	0.227921152919276	0.0253022699684629	0.0700999637232782	0.159744612766174	0.270765180536941	0.241746889207614	0.0482804549585268	0.270765180536941	0.155699788832305	0.220192753025272	0.170560573084488	0.129219147676184	0.0628694613461932	0.181818181818182	0.197385508487931	0.159744612766174	0.27524094128159	0.192847303959967
