	BTG2	KLF6	ITGB2	CDT1	UHRF1	MCM5	MCM7	MKI67	GMNN	POLA2	SLBP	TIPIN	NCAPD2	MCM4	TOP2A	PRIM1	TYROBP	GATA2	SPI1	MPO	PLEK	FLT3	IKZF1	ITGAM	CTSS	CD53	IRF8	RUNX1T1	CSF3R	IL7R	CD33	CD44	APP	MLLT3	CTR9	CRIP1	MYC	CBFB	GFI1B	CD34	FOXO1	HNF4A	DUSP1	OTUB2	ESR1	CDK6	ANXA5	NOTCH1	RUNX2	VDR	DTL	SELL	MEIS1	MAML3	ADAM17	XRCC6	XPC	USP11	VEGFC	NDN	ELF1	HOXA9	PBX1	PGR	PGRMC1	NR3C2	H1F0	HMGB2	DACH1	EYA2
BTG2	1	0.105854920987283	0.14593368786993	0.00325071294365309	0.0460173926748055	0.049559459163859	0.0481323029430634	0.0955477081793909	0.0359406947954701	0.0221705090223311	0.0614258669361853	0.0165653195332132	0.0970782225423717	0.0715001308175262	0.0398898730731748	0.0290933304194713	0.238999121395945	0.200050582832029	0.117541473773283	0.215849956312563	0.203193406857492	0.304142769132457	0.153298789579174	0.0915882922941467	0.158027317728633	0.295929513707874	0.170147210423511	0.12543887465886	0.0538142711684974	0.11008769664334	0.0863078780199836	0.0887600826415807	0.0807346583267947	0.188228061512514	0.104338534662705	0.172281574324262	0.0242867305564376	0.0866671047299378	0.0474506621426349	0.210326613918935	0.038265412340265	0.0617733220821499	0.0856137086749797	0.0405077353320838	0.129899824417222	0.174753225743842	0.0675849360791829	0.157457152614215	0.0545251374667583	0.03124986108455	0.0544286228645823	0.194986147668144	0.0400852470785118	0.134417855376442	0.0714953742835732	0.152672483429658	0.143616719089436	0.0883846685529041	0.0203112512611955	0.133151511927138	0.146556339873745	0.109527210235808	0.139711557934137	0.131479077820021	0.0646261944665292	0.00371690100836503	0.0332036530010349	0.0908161416749264	0.0779384856196025	0.151036472334496
KLF6	0.105854920987283	1	0.00551275929144401	0.122955807448371	0.127342755032419	0.126486638307187	0.136215979904314	0.00920593251514989	0.130648669542746	0.0815024073807773	0.0661278632908947	0.122388431689597	0.0163387933181368	0.0935201080992321	0.0489381056692764	0.114064715488751	0.0759475437468168	0.171675603379076	0.0398737744318487	0.0426109282480292	0.060042409590215	0.138032057224068	0.101567120872955	0.00531723474979428	0.0230668882152161	0.0958118608161008	0.0486940262586338	0.101747429817994	0.125284801343457	0.0625144810204835	0.0695030698107118	0.115485418102928	0.101171401028447	0.145770555119682	0.138792318395724	0.122900960001059	0.148769060514396	0.0964948874982309	0.0148115534592559	0.112879187245594	0.0549306054044139	0.0423942471854725	0.292865067484744	0.0759868165414849	0.0175546709052062	0.166967449264034	0.143254756312222	0.0599802159950767	0.0728654419178163	0.13295559500398	0.000579356137067038	0.0123113798561013	0.126919605949372	0.0517733280160089	0.0103183642989556	0.113506443600382	0.0661160535373328	0.0490871929316559	0.062496809877203	0.113079460412796	0.0819777123495253	0.0507864122596732	0.0755555771256267	0.0354950239908085	0.026488533285088	0.047159870058137	0.166263814922988	0.102526569447213	0.0240460463319264	0.0825668716861265
ITGB2	0.14593368786993	0.00551275929144401	1	0.0883366257227997	0.0505405238232013	0.0977859166614474	0.0961878268049638	0.060133939218911	0.0883615603734874	0.046266050821377	0.0379663357348742	0.0614037561937621	0.0575608721960992	0.0623443949970494	0.0923852979905191	0.0493946090007156	0.14168688713732	0.115110645946367	0.0328427715050516	0.0751023405698427	0.087773968805932	0.106593552553691	0.0868951026027675	0.0283416112614421	0.0879360998854329	0.150307071445972	0.128643753151258	0.0210188029474017	0.0513965688061118	0.127221141722155	0.171465586285299	0.0277849056876921	0.0351867787266303	0.0559858663830801	0.0823683500017875	0.0858590575809947	0.074882882568367	0.060216924178544	0.019913243784567	0.0699031383851916	0.00739772212855632	0.00179131653960414	0.024272751298821	0.00482179944862081	0.00318494881752317	0.00564512885172159	0.0512021292650312	0.132493905500549	0.0289695349323128	0.106187004699665	0.069418686776478	0.0985557125840324	0.0615961219547939	0.0171579413376765	0.0544244451483561	0.0972441763432172	0.0159349529435434	0.0623741526950647	0.012445151484219	0.0654898695304829	0.019606067013185	0.00421882004544435	0.0873264961495749	0.0175101371272263	0.0531345958579386	0.00314226209467032	0.0161414441071772	0.046223029621211	0.0505342469042617	0.026203596932235
CDT1	0.00325071294365309	0.122955807448371	0.0883366257227997	1	0.589505438047971	0.544942807621385	0.473041062160179	0.280588765273066	0.5289003141185	0.32387374444459	0.429784718640125	0.489689862589551	0.328141984788797	0.5044699602701	0.420189077051728	0.448319076322374	0.169844765287548	0.112884335853994	0.0551010238964159	0.288737625704273	0.0990917734351747	0.194181032437963	0.148545267303249	0.0445310095594517	0.00967483123816566	0.14743964827966	0.165293160917556	0.0585654889355133	0.157339090506761	0.061116444192217	0.0871000495926001	0.119213484360597	0.0930057197703957	0.176960682873424	0.115764685251946	0.251933657814033	0.224257987029014	0.224776009553688	0.0563941437104717	0.202917816295192	0.104954933793478	0.0960541596276156	0.0945814014460822	0.00638753959277124	0.0912787681735148	0.22470686870601	0.170295853500039	0.143269632176664	0.0565705783133912	0.0689834942513212	0.462070681848394	0.121743378356739	0.0490379241333324	0.101277684501016	0.0961817462699333	0.192678576861954	0.0553559180585788	0.118725570586718	0.0594364751560855	0.0486951208432624	0.111871120242358	0.046491376666288	0.0670097074168414	0.0668000922225471	0.069310908095319	0.0412540940124468	0.0798766334729591	0.327148754582878	0.0127577462871893	0.116231878089661
UHRF1	0.0460173926748055	0.127342755032419	0.0505405238232013	0.589505438047971	1	0.55815730816881	0.441918347086736	0.394009216500026	0.567073147929194	0.363280872303599	0.400070154571265	0.539488335071479	0.401754732872751	0.487634382108181	0.539613664102646	0.472601132340503	0.191474367617861	0.130813769277956	0.065562943607354	0.283712975387755	0.06651920187636	0.212941653341308	0.188692142620053	0.0111675973586399	0.0237798323560612	0.163076711182373	0.218277573401977	0.0816659819120556	0.104741825831895	0.115824725742292	0.068921973190843	0.157699786555475	0.0768839256530007	0.182511222602038	0.174102975828457	0.311000107170461	0.190714548968067	0.235606750749114	0.00962564651243082	0.182519492257361	0.0117232870345133	0.108322215348507	0.0885289383851948	0.0363795414645024	0.0548275294806894	0.258799477583895	0.17558662964711	0.136051603836473	0.032220639321389	0.082176112686497	0.481191091356139	0.164329219149779	0.186530261628758	0.0955271288559081	0.106624134778062	0.225272264151166	0.0766738191009434	0.109967102763192	0.0643507184464563	0.0448815165870651	0.09782740694516	0.0445114839847825	0.05908947165228	0.0107098134421568	0.088761232732032	0.0275746571858166	0.0964792774995776	0.440129374785233	0.00709026478891809	0.0962413361206928
MCM5	0.049559459163859	0.126486638307187	0.0977859166614474	0.544942807621385	0.55815730816881	1	0.494874650963461	0.293738961423267	0.496364298288785	0.33797084792838	0.42677361268914	0.499834138675897	0.353398008632382	0.493071148094338	0.433146674433573	0.506358165243776	0.108205363255933	0.189787457847157	0.0857061006143153	0.253387305053641	0.120199542183828	0.205244110746404	0.128379829821178	0.0789855231217054	0.000915689673897278	0.152039220360784	0.184053510997111	0.0645615729879949	0.146155808612596	0.10987422818922	0.0851594561872732	0.12693175536395	0.100419905689635	0.198887361159109	0.164851632330591	0.292685827545574	0.271153192139336	0.237056310232879	0.0291586375550556	0.203415158744547	0.0666318634744643	0.0813514260888054	0.124652458618987	0.0242947239919528	0.0349282090409469	0.23489152135409	0.135418692073215	0.0920927714757034	0.0450217951456753	0.0413629156081531	0.411113377238992	0.155681853931167	0.0977909256148167	0.0963137373069452	0.092351374363251	0.24226186891345	0.072395960024761	0.114501641552611	0.0654489947879208	0.0590610585801476	0.121567683774065	0.0101342598557717	0.0988591053567628	0.000838019595168045	0.0476718145760587	0.0576971478226477	0.133908789523906	0.337859224737849	0.00924260235089711	0.0251297930412584
MCM7	0.0481323029430634	0.136215979904314	0.0961878268049638	0.473041062160179	0.441918347086736	0.494874650963461	1	0.255257519276523	0.430952233281364	0.293372369386241	0.370110213623071	0.434148698072812	0.310964107405169	0.411778693647326	0.351553483305206	0.400505860887467	0.180163759941854	0.142720777105052	0.0642338025994496	0.232785459729935	0.128543911520674	0.287887060374485	0.143467118163494	0.057567806354462	0.0513884877974969	0.187547915129436	0.154104800523472	0.129299435713956	0.180470740620823	0.101507818175242	0.134863100618753	0.142827533460066	0.122584053834357	0.235507671528273	0.203699668585241	0.337216182903624	0.197273338970001	0.135256208821022	0.0370216781821698	0.265372027239886	0.100010968490185	0.068987842190098	0.119347384819745	0.0398408295940031	0.0880100391696734	0.243476839913153	0.171939653298454	0.127723033535071	0.106082869352015	0.104120864971268	0.373115489944103	0.078866825534114	0.02699387355474	0.0868917798408295	0.0717768228586078	0.252829888962478	0.0997330305311177	0.0507693467111216	0.108944407370228	0.0677606487584759	0.116555958588061	0.0490400532984556	0.100825175741115	0.0462451458202074	0.0808582995960397	0.0749639482829134	0.0985425732599915	0.344871049658447	0.00108021671661751	0.0725575802236103
MKI67	0.0955477081793909	0.00920593251514989	0.060133939218911	0.280588765273066	0.394009216500026	0.293738961423267	0.255257519276523	1	0.400658881289654	0.244955327424166	0.230751843526814	0.283413087310999	0.492408362256319	0.210192525605106	0.601465614273681	0.305349550651761	0.0909019793506132	0.0921168570458594	0.00236571491668348	0.272148499162171	0.016475268445297	0.171810675325386	0.157708901485258	0.0259550204945491	0.0359105352674617	0.181828885384097	0.170429191155178	0.0589992436152989	0.0186561330022658	0.137456267361794	0.0545739409314017	0.148224382078926	0.0668860676803909	0.1707864689276	0.149242773912358	0.250442526544167	0.0377348200707656	0.198668844662892	0.0465408678407684	0.156447083151323	0.041643930968863	0.0543224065750286	0.0920555331313126	0.00867694712740831	0.07219949349479	0.243471717663785	0.138172899878639	0.136754603850604	0.0659356227676703	0.0819875712943341	0.275646984458624	0.214991652970129	0.146040208061254	0.108795612676952	0.0991943833553868	0.112141176708724	0.0277097067679107	0.0826714451422371	0.0419928387748069	0.105122627375126	0.14377137740036	0.0258719051844419	0.0668819220346462	0.0248283369044013	0.0032474730756436	0.0339359667792642	0.0314789801352753	0.49197263680237	0.00946648933940189	0.055038593096332
GMNN	0.0359406947954701	0.130648669542746	0.0883615603734874	0.5289003141185	0.567073147929194	0.496364298288785	0.430952233281364	0.400658881289654	1	0.386856750965871	0.38265688343195	0.508203062449053	0.354791152581759	0.429763177835917	0.488906502789015	0.490007057683395	0.208444185924746	0.084230871452869	0.074399572154917	0.27550834991976	0.0353064179435382	0.177724639396939	0.149345731502637	0.00319945131633725	0.029208327752906	0.128454138503473	0.128427430381123	0.0550247246197871	0.144053864356698	0.100959539286048	0.051642533876249	0.15656940386944	0.0557691354478801	0.163616528663601	0.194858485337096	0.29802291616173	0.209342821829211	0.184203919893023	0.0765415037154119	0.215079670161508	0.0767468204599128	0.0975913873287498	0.124684016491131	0.000200802997157723	0.0531550161510741	0.250707794926601	0.180293144790777	0.0806932812901993	0.0746080236454375	0.0848130754781167	0.436790133021001	0.151562789342954	0.0910399235001689	0.0417979320356369	0.0896390482050459	0.245365006060611	0.032341272186492	0.0991435503488276	0.0457638077372788	0.0416265594229876	0.109547458580944	0.0437124133254879	0.0926589106832441	0.00235660974942948	0.117244873661029	0.0649265028994331	0.10805586026221	0.411777567176378	0.00606452381967896	0.0416698906963023
POLA2	0.0221705090223311	0.0815024073807773	0.046266050821377	0.32387374444459	0.363280872303599	0.33797084792838	0.293372369386241	0.244955327424166	0.386856750965871	1	0.234849064806496	0.323690195106061	0.287797720083462	0.302623674423867	0.302590921035256	0.30221800816071	0.124356982700604	0.13162469475294	0.0671673121259131	0.146891404624763	0.069056755693322	0.166286113049575	0.1583922595392	0.0732922271031494	0.0539705293201048	0.107761289299588	0.0776557370341741	0.0569572113816633	0.165044079831329	0.105904704634934	0.0224713235805165	0.146006995157273	0.0590862309097116	0.187797301301938	0.115593360622296	0.237675094913054	0.143558441650543	0.140349132044228	0.0189531128051517	0.172316767634558	0.105222261802212	0.10059559053938	0.116658083314415	0.00963297646055327	0.0229380769386531	0.210126191480999	0.088684521259744	0.0499518556498144	0.110116879165392	0.104165561702478	0.315467002443658	0.105322116830316	0.100387511283309	0.0756915734745621	0.0872794540366838	0.165992693150071	0.0724363964871894	0.123748519727272	0.0334966990468901	0.0862331983118985	0.094148857381751	0.0395878974871039	0.0647534341594984	0.0337609827557899	0.0374810331980483	0.0375687801851746	0.0480958135275268	0.283222026009609	0.0093684700846409	0.0714760696843383
