,TF,index
0,XRCC6,9
1,SPI1,14
2,SOX18,21
3,ESR1,34
4,IRF6,41
5,MYCN,45
6,ELF1,46
7,NFE2,57
8,KLF6,81
9,NDN,115
10,ELL2,121
11,KLF3,131
12,HMGB2,145
13,CBFB,150
14,NUPR1,152
15,MCM5,154
16,IRF8,157
17,RUNX2,172
18,H1F0,174
19,HDAC7,175
20,MEF2C,176
21,PRDM16,186
22,CBX7,205
23,HOXA9,218
24,BTG2,219
25,MECOM,233
26,RAG2,239
27,MEIS1,241
28,TSC22D3,257
29,HNRNPAB,268
30,EYA2,291
31,NFIA,314
32,MAML3,328
33,TEAD2,332
34,MCM4,343
35,GATA2,344
36,FOXO1,359
37,NOTCH1,362
38,PGR,365
39,IKZF1,373
40,GFI1B,400
41,YBX1,401
42,MCM7,405
43,DACH1,412
44,MYC,417
45,CTR9,425
46,CD7,434
47,TRIB3,435
48,HNF4A,436
49,MLLT3,446
50,ZBTB20,464
51,NR3C2,467
52,VDR,490
53,RORA,492
54,PBX1,495
55,RUNX1T1,506
56,SATB1,523
57,RARB,528
58,HLF,530
59,REL,538
60,XPC,547
