,Gene,index
0,NSMF,0
1,RRAS,1
2,ITGB7,2
3,TXNIP,3
4,PLIN3,4
5,PAQR5,5
6,ELOVL5,6
7,MYCT1,7
8,SPNS3,8
9,XRCC6,9
10,GPR171,10
11,DHRS3,11
12,ZFP422,12
13,EMB,13
14,SPI1,14
15,GM2A,15
16,GM11346,16
17,PRKCH,17
18,RGS19,18
19,PYGL,19
20,IL10RA,20
21,SOX18,21
22,ITGAL,22
23,CSF3R,23
24,VAV3,24
25,ANXA2,25
26,APLP2,26
27,ARHGAP15,27
28,CCL3,28
29,DUSP6,29
30,RASAL3,30
31,MILR1,31
32,GIMAP8,32
33,PRUNE2,33
34,ESR1,34
35,C1RL,35
36,PLEK,36
37,GUCY1A1,37
38,NEAT1,38
39,SNAP23,39
40,AI504432,40
41,IRF6,41
42,ITM2A,42
43,GM1966,43
44,FCRL1,44
45,MYCN,45
46,ELF1,46
47,PDZK1IP1,47
48,CRIP1,48
49,TMEM246,49
50,TBC1D5,50
51,SELENOP,51
52,AFF3,52
53,TFPI,53
54,TBXAS1,54
55,UBASH3A,55
56,SPC24,56
57,NFE2,57
58,VAMP5,58
59,CTSH,59
60,CD33,60
61,IFI27,61
62,RNF125,62
63,CFP,63
64,GM37124,64
65,ARHGAP27,65
66,CTSS,66
67,UNC93B1,67
68,IGKC,68
69,KAZALD1,69
70,NCAPD2,70
71,ITGAM,71
72,VEGFC,72
73,MAN1A,73
74,MAGED1,74
75,UBE2L6,75
76,NRROS,76
77,MOGS,77
78,MSMO1,78
79,HSD3B7,79
80,RGS2,80
81,KLF6,81
82,FLT3,82
83,CTSF,83
84,CIPC,84
85,SLC2A3,85
86,RNASE6,86
87,DCK,87
88,FUCA2,88
89,NCF1,89
90,NHP2,90
91,SLCO3A1,91
92,LONP2,92
93,ITGA6,93
94,PTP4A3,94
95,MAMDC2,95
96,HAAO,96
97,CST7,97
98,CCL9,98
99,IGHV1-77,99
100,MCTP2,100
101,SLC22A3,101
102,WFDC2,102
103,ROBO4,103
104,TGM2,104
105,FGD2,105
106,H2-DMA,106
107,2810468N07RIK,107
108,PPIC,108
109,PEAR1,109
110,SNAP47,110
111,CHRNB1,111
112,CPNE8,112
113,RASA4,113
114,EMP1,114
115,NDN,115
116,TM6SF1,116
117,TMEM123,117
118,H2-Q6,118
119,RBPMS,119
120,CTSG,120
121,ELL2,121
122,SLC16A11,122
123,PPM1G,123
124,TRPC6,124
125,GIMAP1,125
126,F2R,126
127,CMAH,127
128,CAV2,128
129,GNG11,129
130,CD52,130
131,KLF3,131
132,HACD4,132
133,SERPINF1,133
134,PAFAH2,134
135,OSGIN1,135
136,C230085N15RIK,136
137,CERS4,137
138,CNN3,138
139,ST8SIA4,139
140,SSH2,140
141,PPP1R15A,141
142,SIGLECG,142
143,ARL11,143
144,COL4A1,144
145,HMGB2,145
146,ANKRD44,146
147,IGHV1-74,147
148,MPZL1,148
149,CD9,149
150,CBFB,150
151,ARHGEF39,151
152,NUPR1,152
153,EPSTI1,153
154,MCM5,154
155,UHRF1,155
156,DOK2,156
157,IRF8,157
158,PDGFRB,158
159,LACTB,159
160,EVI2A,160
161,SEMA3D,161
162,5430427O19RIK,162
163,AMPD2,163
164,SLC39A13,164
165,AFDN,165
166,LDHB,166
167,KCNK5,167
168,STARD4,168
169,TUBB4B,169
170,IRAK3,170
171,STK10,171
172,RUNX2,172
173,SLC9A9,173
174,H1F0,174
175,HDAC7,175
176,MEF2C,176
177,ARRDC4,177
178,EBI3,178
179,CSGALNACT1,179
180,SYK,180
181,OAS2,181
182,DNTT,182
183,IFI213,183
184,AKNA,184
185,UBA7,185
186,PRDM16,186
187,SLAMF1,187
188,PLXNC1,188
189,GM45837,189
190,USP11,190
191,IFI27L2A,191
192,ADSSL1,192
193,SOCS2,193
194,CCR7,194
195,TNFAIP2,195
196,TYROBP,196
197,TSPAN3,197
198,TRPV2,198
199,IL18BP,199
200,BDH2,200
201,GSN,201
