mgi_symbol uniprotswissprot
RLIM Q9WTV7
ZDHHC15 Q8BGJ0
DMRT1 Q9QZ59
MCM4 P49717
CTCF Q61164
DACH1 Q9QYB2
ERCC3 P49135
OVOL1 Q9WTJ2
ZMYM2 Q9CU65
YEATS4 Q9CR11
FOS P01101
MYC P01108
GTF2A1L Q8R4I4
CRY1 P97784
ABT1 Q9QYL7
MDM2 P23804
XRCC3 Q9CXE6
ESRRB Q61539
RELA Q04207
PWP1 Q99LL5
DDX21 Q9JIK5
JARID2 Q62315
RPA1 Q8VEE4
SATB1 Q60611
PURA P42669
POU4F1 P17208
RUVBL1 P60122
KAT2B Q9JHD1
GRHL1 Q921D9
TET1 Q3URK3
CTNNBIP1 Q9JJN6
FLI1 P26323
RNPS1 Q99M28
NFATC2IP O09130
ETS1 P27577
TGFB1 P04202
REXO4 Q6PAQ4
MAPK1 P63085
ID4 P41139
KLF13 Q9JJZ6
GATA4 Q08369
HEY2 Q9QUS4
EMX2 Q04744
DPPA4 Q8CCG4
SOX7 P40646
DPPA2 Q9CWH0
ID2 P41136
MCM2 P97310
MED1 Q925J9
MIS18BP1 Q80WQ8
RAI14 Q9EP71
GTF2A1 Q99PM3
ELP3 Q9CZX0
JMJD1C Q69ZK6
ELF4 Q9Z2U4
SOX4 Q06831
RERE Q80TZ9
ARID5B Q8BM75
NFAT5 Q9WV30
ZZZ3 Q6KAQ7
POLR1A O35134
HMGA2 P52927
TRIM32 Q8CH72
SOS2 Q02384
AHCTF1 Q8CJF7
TLR4 Q9QUK6
ARNT2 Q61324
COPS5 O35864
RNF14 Q9JI90
ZKSCAN17 Q5SXI5
KLF15 Q9EPW2
NR3C1 P06537
HDAC10 Q6P3E7
PLRG1 Q922V4
MAPK12 O08911
MAPK11 Q9WUI1
TCERG1 Q8CGF7
TAF12 Q8VE65
NFKBIZ Q9EST8
SMURF1 Q9CUN6
TFDP1 Q08639
MEF2A Q60929
MED15 Q924H2
HDAC11 Q91WA3
PKNOX2 Q8BG99
NR1H2 Q60644
NR1D1 Q3UV55
DCP1A Q91YD3
NFIL3 O08750
XPC P51612
IRF2 P23906
CENPK Q9ESN5
FOXO3 Q9WVH4
ELL2 Q3UKU1
EED Q921E6
RNF6 Q9DBU5
TWIST1 P26687
SP8 Q8BMJ8
NR2F2 P43135
RPS6KA5 Q8C050
ZSWIM4 Q8C7B8
RNF4 Q9QZS2
MED21 Q9CQ39
PHF14 Q9D4H9
PRDM1 Q60636
GTF3C5 Q8R2T8
GFI1B O70237
TGIF1 P70284
DDIT3 P35639
CHD5 A2A8L1
DIDO1 Q8C9B9
RARA P11416
GLI1 P47806
SIX5 P70178
PRDM14 E9Q3T6
GLI2 Q0VGT2
HMG20A Q9DC33
TCF4 Q60722
TTF1 Q62187
ETS2 P15037
POLR2K Q63871
TSC22D3 Q9Z2S7
ERCC8 Q8CFD5
RNF19A P50636
MED27 Q9DB40
ETV1 P41164
SIX1 Q62231
ZIC3 Q62521
SREBF1 Q9WTN3
MBD2 Q9Z2E1
SMAD4 P97471
PRDM16 A2A935
YAF2 Q99LW6
SIN3A Q60520
PGR Q00175
NFIB P97863
SNAPC3 Q9D2C9
NRIP1 Q8CBD1
PSIP1 Q99JF8
MTF2 Q02395
SMAD2 Q62432
ARL6IP5 Q8R5J9
RUNX3 Q64131
RBBP7 Q60973
FOSB P13346
STAT6 P52633
DDB1 Q3U1J4
KLF10 O89091
CNOT3 Q8K0V4
EYA1 P97767
MSC O88940
ZFP143 O70230
PITX2 P97474
POLR1D P97304
TEAD4 Q62296
TULP3 O88413
POLR2H Q923G2
GLIS2 Q8VDL9
SSB P32067
HSF2 P38533
MITF Q08874
E2F1 Q61501
RAPGEF3 Q8VCC8
PIAS3 O54714
BMP6 P20722
FOXO1 Q9R1E0
ARID3B Q9Z1N7
MLLT3 A2AM29
SRSF2 Q62093
CREBZF Q91ZR3
HDAC7 Q8C2B3
PHF1 Q9Z1B8
PAPOLA Q61183
VDR P48281
PDCD11 Q6NS46
ID3 P41133
E2F2 P56931
NR0B1 Q61066
TCEA3 P23881
PAWR Q925B0
NOTCH2 O35516
CHD1 P40201
ELAVL2 Q60899
CTR9 Q62018
MEF2C Q8CFN5
RAD21 Q61550
ZFP423 Q80TS5
INTS12 Q9D168
SRSF5 O35326
CIITA P79621
LZTS1 P60853
TET2 Q4JK59
EBF1 Q07802
PBX4 Q99NE9
MCM3 P25206
ING3 Q8VEK6
TIMELESS Q9R1X4
GATAD2A Q8CHY6
TOX3 Q80W03
PML Q60953
TTF2 Q5NC05
RB1 P13405
ESR1 P19785
RUNX2 Q08775
FOXP1 P58462
EZH1 P70351
ELL3 Q80VR2
CDC5L Q6A068
CREM P27699
MED8 Q9D7W5
MCM6 P97311
RYBP Q8CCI5
BCL3 Q9Z2F6
PBRM1 Q8BSQ9
ZMYND11 Q8R5C8
CBX8 Q9QXV1
CBX4 O55187
RBM39 Q8VH51
NFKB1 P25799
PHF20 Q8BLG0
SMARCC2 Q6PDG5
ZFP410 Q8BKX7
ZDHHC6 Q9CPV7
RBL2 Q64700
RARG P18911
KDM6A O70546
PA2G4 P50580
H1F0 P10922
YBX1 P62960
MTA3 Q924K8
AIP O08915
POLR2F P61219
ETV6 P97360
ATF4 Q06507
CITED1 P97769
POLR1C P52432
WWTR1 Q9EPK5
MYCN P03966
CSDE1 Q91W50
AKT1 P31750
ELF1 Q60775
DPF2 Q61103
ZFP148 Q61624
PIAS2 Q8C5D8
EP300 B2RWS6
FOXJ3 Q8BUR3
SRF Q9JM73
L3MBTL2 P59178
MATR3 Q8K310
NKRF Q8BY02
SCMH1 Q8K214
PHF12 Q5SPL2
ORC2 Q60862
BRCA1 P48754
PCBD1 P61458
CNOT6 Q8K3P5
NCOA4 Q5U4H9
POLR2C P97760
BATF2 Q8R1H8
KDM5C P41230
ESRRA O08580
SLA2 Q8R4L0
ZFP592 Q8BHZ4
HNRNPK P61979
CXXC1 Q9CWW7
NCOR2 Q9WU42
ELP2 Q91WG4
MAPK9 Q9WTU6
TFEB Q9R210
SNRPD1 P62315
POLR2G P62488
ZBTB3 Q91X45
CITED2 O35740
MAPK8 Q91Y86
GATA6 Q61169
BHLHE40 O35185
TNFAIP3 Q60769
RBL1 Q64701
TCOF1 O08784
ETV4 P28322
HHEX P43120
SMAD7 O35253
ATF2 P16951
SMARCAD1 Q04692
BCLAF1 Q8K019
RBMX Q9WV02
BATF3 Q9D275
ATF3 Q60765
THRAP3 Q569Z6
WBP11 Q923D5
